Row,Xpos,Ypos
ROI# 1,1421.656,1296.428
ROI# 2,1384.15,719.55
ROI# 3,1527.03,1288.09333333333
ROI# 4,1274.39741935484,317.123870967742
ROI# 5,1178.76,1725.66333333333
ROI# 6,1475.51076923077,953.790769230769
ROI# 7,1455.59,871.36
ROI# 8,955.51,1844.73
ROI# 9,1272.02888888889,684.822222222222
ROI# 10,1127.56133333333,718.954666666667
ROI# 11,842.992,1900.096
ROI# 12,978.728,1585.76
ROI# 13,732.26,1112.47
ROI# 14,1151.15818181818,2145.91454545455
ROI# 15,1762.782,1137.474
ROI# 16,968.408888888889,1355.56444444444
ROI# 17,1148.14285714286,1988.88571428571
ROI# 18,603.668,2112.63
ROI# 19,1898.518,749.912
ROI# 20,908.875555555555,2177.12444444444
ROI# 21,1732.42,710.62
ROI# 22,1723.49,808.85
ROI# 23,1330.57,884.117142857143
ROI# 24,792.709230769231,529.272307692308
ROI# 25,1199.59666666667,2029.28333333333
ROI# 26,1421.656,857.072
ROI# 27,1613.35333333333,1216.65333333333
ROI# 28,1712.774,910.652
ROI# 29,1824.27142857143,396.794285714286
ROI# 30,1128.752,496.3
ROI# 31,1380.32285714286,310.045714285714
ROI# 32,1309.73333333333,1579.80666666667
ROI# 33,653.676,1278.568
ROI# 34,784.054,1623.266
ROI# 35,434.593333333333,2248.56444444444
ROI# 36,852.177142857143,1310.20571428571
ROI# 37,848.35,1174.98
ROI# 38,882.284,839.212
ROI# 39,1033.89555555556,662.993333333333
ROI# 40,1003.732,853.5
ROI# 41,991.23,1035.672
ROI# 42,1048.63714285714,1103.54
ROI# 43,1062.67,1353.58
ROI# 44,860.852,1576.83
ROI# 45,1030.77714285714,1971.02571428571
ROI# 46,1039.84888888889,2058.05777777778
ROI# 47,1226.12782608696,1862.97826086957
ROI# 48,1068.62333333333,1856.63666666667
ROI# 49,1082.316,1696.492
ROI# 50,1151.97,1625.052
ROI# 51,1178.76,1546.468
ROI# 52,691.437142857143,700.414285714286
ROI# 53,1562.75,1576.83
ROI# 54,1318.66333333333,1422.04333333333
ROI# 55,1455.59,1442.88
ROI# 56,1496.668,1378.584
ROI# 57,1294.85,1255.35
ROI# 58,1348.43,1219.63
ROI# 59,1137.93714285714,942.8
ROI# 60,1332.63076923077,1114.53076923077
ROI# 61,1137.93714285714,942.8
ROI# 62,1234.32444444444,847.546666666667
ROI# 63,1169.83,353.42
ROI# 64,1077.55333333333,561.786666666667
ROI# 65,1191.262,608.818
ROI# 66,1257.344,528.448
ROI# 67,1575.252,567.74
ROI# 68,1473.45,540.95
ROI# 69,1335.928,542.736
ROI# 70,1471.664,796.348
ROI# 71,1571.68,755.27
ROI# 72,1687.77,1014.24
ROI# 73,1687.77,1014.24
ROI# 74,1672.88666666667,1145.21333333333
ROI# 75,1571.68,1130.33
ROI# 76,1509.17,1192.84
ROI# 77,1473.45,1065.5875
ROI# 78,1080.53,1800.08
ROI# 79,1565.72666666667,999.356666666667
ROI# 80,1014.05111111111,1688.95111111111
ROI# 81,1636.4225,1431.7175
ROI# 82,1662.60363636364,1277.26909090909
ROI# 83,1367.56571428571,491.197142857143
ROI# 84,1826.185,686.0625
ROI# 85,1095.41333333333,785.036666666667
ROI# 86,746.151111111111,323.653333333333
ROI# 87,734.4925,181.5175
ROI# 88,931.696666666666,835.64
ROI# 89,1080.53,296.268
ROI# 90,1933.75090909091,661.910909090909
ROI# 91,923.617142857143,1123.95142857143
ROI# 92,1050.76333333333,462.068333333333
ROI# 93,1553.82,287.933333333333
ROI# 94,1410.94,1231.11142857143
ROI# 95,1798.75714285714,799.92
ROI# 96,1131.13333333333,573.693333333333
ROI# 97,1053.74,907.08
ROI# 98,1685.33454545455,401.587878787879
ROI# 99,1170.51692307692,1234.05538461538
ROI# 100,842.667272727273,999.627272727273
ROI# 101,839.42,911.842666666667
ROI# 102,711.721,1394.658
ROI# 103,1132.324,1239.276
ROI# 104,1040.75090909091,1066.19636363636
ROI# 105,1253.17666666667,1207.72333333333
ROI# 106,1364.83627906977,1775.15906976744
ROI# 107,1237.698,1455.382
ROI# 108,1394.866,1355.366
ROI# 109,1112.42285714286,1085.68
ROI# 110,1184.118,1375.012
ROI# 111,1494.28666666667,649.102222222222
ROI# 112,1472.17428571429,474.612857142857
ROI# 113,1599.74571428571,1057.61428571429
ROI# 114,1202.57333333333,774.122222222222
ROI# 115,1700.46,470.92
ROI# 116,1205.55,1244.1875
ROI# 117,934.078,1401.802
ROI# 118,1426.81555555556,1109.49333333333
ROI# 119,1162.686,1008.882
ROI# 120,1159.114,682.044
ROI# 121,1281.95111111111,1174.98
ROI# 122,882.284,1791.74533333333
ROI# 123,904.906666666667,1706.01733333333
ROI# 124,1399.94923076923,931.809230769231
ROI# 125,1268.06,458.028571428572
ROI# 126,1274.92923076923,739.470769230769
ROI# 127,1541.318,416.823
ROI# 128,307.741538461538,2007.98871794872
ROI# 129,804.975714285715,2110.07857142857
ROI# 130,1379.685,703.9225
ROI# 131,320.884666666667,1493.48333333333
