Row,Xpos,Ypos
ROI# 1,-1561.38923076923,1328.85076923077
ROI# 2,-1437.15428571429,858.602857142857
ROI# 3,-1429.5,1463.48769230769
ROI# 4,-1349.13,460.58
ROI# 5,-1207.52571428571,1703.12571428571
ROI# 6,-1346.15333333333,752.293333333333
ROI# 7,-1469.685,1228.56
ROI# 8,-1483.08,1103.54
ROI# 9,-1280.66666666667,909.064444444444
ROI# 10,-649.613333333333,2065.00333333333
ROI# 11,-1012.76666666667,1809.60533333333
ROI# 12,-828.754545454545,1319.48363636364
ROI# 13,-1092.3925,2226.4875
ROI# 14,-947.28,1505.39
ROI# 15,-1050.868,2063.21733333333
ROI# 16,-498.5475,2233.185
ROI# 17,-1754.80714285714,895.598571428572
ROI# 18,-850.724375,2331.415
ROI# 19,-1774.79333333333,782.06
ROI# 20,-1748.00333333333,994.891666666667
ROI# 21,-1304.48,996.38
ROI# 22,-790.112,665.97
ROI# 23,-1084.20666666667,2137.93166666667
ROI# 24,-1650.964,912.438
ROI# 25,-1681.24095238095,1181.78380952381
ROI# 26,-1545.59,871.36
ROI# 27,-1765.268,467.724
ROI# 28,-1125.88,552.856666666667
ROI# 29,-1431.7325,601.2275
ROI# 30,-1254.472,1782.22
ROI# 31,-759.75,782.06
ROI# 32,-859.468333333333,838.616666666667
ROI# 33,-768.68,1005.31
ROI# 34,-777.61,1210.7
ROI# 35,-994.906666666667,491.835
ROI# 36,-761.536,1517.892
ROI# 37,-724.03,1701.85
ROI# 38,-697.24,1782.22
ROI# 39,-792.493333333333,1651.24666666667
ROI# 40,-847.264,1564.328
ROI# 41,-920.49,1683.99
ROI# 42,-960.8536,2148.7072
ROI# 43,-983,1389.3
ROI# 44,-1004.432,1308.93
ROI# 45,-1061.30923076923,1146.12923076923
ROI# 46,-994.906666666667,966.613333333333
ROI# 47,-1021.96727272727,903.832727272727
ROI# 48,-1108.02,657.04
ROI# 49,-1201.785,482.905
ROI# 50,-1494.98666666667,494.315555555556
ROI# 51,-1716.74833333333,581.135
ROI# 52,-1233.04,612.39
ROI# 53,-1227.08666666667,1087.66444444444
ROI# 54,-1177.2275,1422.7875
ROI# 55,-1081.23,1541.11
ROI# 56,-1314.00533333333,1261.89866666667
ROI# 57,-1215.18,1514.32
ROI# 58,-1270.03571428571,1644.44285714286
ROI# 59,-1372.348,1378.584
ROI# 60,-1465.22,1344.65
ROI# 61,-1358.06,849.928
ROI# 62,-1551.27272727273,684.641818181818
ROI# 63,-435.293333333333,933.87
ROI# 64,-1233.04,1189.86333333333
ROI# 65,-882.5375,1498.6925
ROI# 66,-1043.724,1717.924
ROI# 67,-1351.56545454545,1642.58727272727
ROI# 68,-1121.415,2007.7025
ROI# 69,-1623.40857142857,1419.91714285714
ROI# 70,-1235.02444444444,278.011111111111
ROI# 71,-629.372,432.004
ROI# 72,-852.622,932.084
ROI# 73,-407.358461538462,662.535384615385
ROI# 74,-1192.44909090909,2001.41090909091
ROI# 75,-371.791111111111,2546.23111111111
ROI# 76,-161.44,1671.81272727273
ROI# 77,-1686.03454545455,419.989090909091
ROI# 78,-690.294444444444,501.261111111111
ROI# 79,-1030.27647058824,1256.92588235294
ROI# 80,-1206.25,782.06
ROI# 81,-1044.39375,1105.7725
ROI# 82,-1006.11294117647,669.647058823529
ROI# 83,-1065.49619047619,478.44
ROI# 84,-1656.42705882353,636.028235294118
ROI# 85,-1156.83733333333,747.530666666667
ROI# 86,-1137.78666666667,752.293333333333
ROI# 87,-1153.563,873.146
ROI# 88,-1169.84307692308,946.921538461538
ROI# 89,-1159.3675,1144.84125
ROI# 90,-1275.904,1300
ROI# 91,-1258.55428571429,688.932857142857
ROI# 92,-1477.64434782609,822.439130434783
ROI# 93,-1445.48,1104.48
ROI# 94,-1633.104,1117.828
ROI# 95,-1608.1,1038.90380952381
ROI# 96,-1658.108,714.192
ROI# 97,-1528.54181818182,1445.31545454545
ROI# 98,-1159.61555555556,1561.94666666667
ROI# 99,-841.395714285714,1242.59285714286
ROI# 100,-1363.64125,1119.1675
ROI# 101,-1796.82066666667,539.759333333333
ROI# 102,-1635.19793103448,373.743448275862
ROI# 103,-1322.34,1444.86444444444
ROI# 104,-1520.35304347826,601.130434782609
ROI# 105,-841.673043478261,1873.84956521739
ROI# 106,-618.656,1026.742
ROI# 107,-1654.536,517.732
ROI# 108,-1499.31636363636,731.727272727273
ROI# 109,-1009.19466666667,572.502666666667
ROI# 110,-1627.746,1236.597
ROI# 111,-1793.47448275862,649.033793103448
ROI# 112,-1058.012,1417.876
ROI# 113,-1708.39076923077,934.556923076923
ROI# 114,-1750.16818181818,1200.95818181818
ROI# 115,-1464.02933333333,437.957333333333
