Row,Xpos,Ypos
ROI# 1,-1390.66666666667,1148.83333333333
ROI# 2,-1298.39,776.75
ROI# 3,-1314.0175,1593.845
ROI# 4,-1298.39,544.57
ROI# 5,-1084.07,1660.82
ROI# 6,-1207.304,548.737333333333
ROI# 7,-1369.14307692308,1030.22461538462
ROI# 8,-1388.68222222222,980.155555555555
ROI# 9,-860.82,2066.49714285714
ROI# 10,-1116.81333333333,744.006666666667
ROI# 11,-1009.65333333333,755.913333333333
ROI# 12,-716.749333333333,2145.42133333333
ROI# 13,-932.26,1794.77
ROI# 14,-726.87,1151.81
ROI# 15,-1070.30291666667,2113.27333333333
ROI# 16,-1573.59636363636,1123.39636363636
ROI# 17,-950.12,1655.71714285714
ROI# 18,-1109.23636363636,1995.28909090909
ROI# 19,-548.27,2080.53
ROI# 20,-793.915873015873,2298.96063492064
ROI# 21,-1566.29,714.24
ROI# 22,-950.12,2122.62857142857
ROI# 23,-1478.776,1103.588
ROI# 24,-1657.8225,665.125
ROI# 25,-985.84,553.5
ROI# 26,-1168.012,440.982
ROI# 27,-1155.51,1580.45
ROI# 28,-692.936,603.508
ROI# 29,-780.45,553.5
ROI# 30,-932.26,946.42
ROI# 31,-956.073333333333,720.193333333333
ROI# 32,-1155.51,821.4
ROI# 33,-1226.95,857.12
ROI# 34,-1596.05666666667,922.606666666667
ROI# 35,-1319.22666666667,922.606666666667
ROI# 36,-1226.95,964.28
ROI# 37,-998.597142857143,1107.16
ROI# 40,-208.93,1759.05
ROI# 41,-583.99,1455.43
ROI# 42,-732.823333333333,1449.47666666667
ROI# 43,-825.1,1505.18285714286
ROI# 44,-959.05,1348.27
ROI# 45,-1423.41,1232.18
ROI# 46,-1298.39,1241.11
ROI# 47,-1265.64666666667,1315.52666666667
ROI# 48,-1051.922,1351.842
ROI# 49,-994.77,1410.78
ROI# 50,-1015.60666666667,1529.84666666667
ROI# 51,-914.4,1562.59
ROI# 52,-801.286666666667,1666.77333333333
ROI# 53,-691.15,1830.49
ROI# 54,-470.876666666667,764.843333333333
ROI# 55,-983.288571428571,1594.48285714286
ROI# 56,-638.845714285714,1135.22571428571
ROI# 57,-377.111666666667,1214.32
ROI# 58,-1396.62,1375.06
ROI# 59,-1489.88888888889,1271.86888888889
ROI# 60,-1309.106,869.622
ROI# 61,-568.190769230769,1745.99846153846
ROI# 62,-1488.1525,993.3025
ROI# 63,-1006.25142857143,880.082857142857
ROI# 64,-1581.9175,799.075
ROI# 65,-1430.85166666667,559.453333333333
ROI# 66,-935.236666666667,851.166666666667
ROI# 67,-1474.01333333333,830.33
ROI# 68,-1064.424,710.668
ROI# 69,-1214.05111111111,779.726666666667
ROI# 70,-1514.496,1173.242
ROI# 71,-860.82,1415.245
ROI# 72,-875.932307692308,436.723076923077
ROI# 73,-917.972,1189.316
ROI# 74,-1043.885,258.81
ROI# 75,-299.505714285714,1775.63428571429
ROI# 76,-775.488888888889,1273.85333333333
ROI# 77,-220.607692307692,1516.56615384615
ROI# 78,-1343.04,1526.05818181818
ROI# 79,-1155.51,1008.93
ROI# 80,-1658.56666666667,880.933333333333
ROI# 81,-1196.588,1000
ROI# 82,-829.068888888889,916.653333333333
ROI# 83,-973.338,390.974
ROI# 84,-1277.55333333333,1083.34666666667
ROI# 85,-982.863333333333,654.706666666667
ROI# 86,-882.252,921.416
ROI# 87,-1560.18,349.52
ROI# 88,-1292.70727272727,659.036363636364
ROI# 89,-1404.73818181818,446.34
ROI# 90,-222.325,2138.575
ROI# 91,-212.989090909091,1844.29090909091
ROI# 92,-1066.21,1565.56666666667
ROI# 93,-1542.05142857143,1035.72
ROI# 94,-1232.90333333333,1547.70666666667
ROI# 95,-1260.23454545455,462.576363636364
ROI# 96,-778.664,2035.88
ROI# 97,-1128.72,1342.912
ROI# 98,-1039.42,1089.3
ROI# 99,-1011.05411764706,1856.22941176471
ROI# 100,-1126.934,1657.248
ROI# 101,-1223.66,1719.57
ROI# 102,-805.616363636364,1086.05272727273
ROI# 103,-825.1,1773.08285714286
ROI# 104,-673.29,1757.264
ROI# 105,-959.861818181818,1102.28909090909
ROI# 106,-1426.75875,1309.20125
ROI# 107,-698.456363636364,711.804545454545
ROI# 108,-647.393,690.129
ROI# 109,-1015.06545454545,779.185454545455
ROI# 110,-399.207692307692,1147.00153846154
ROI# 111,-1183.57571428571,589.22
ROI# 112,-1074.36347826087,1882.12869565217
ROI# 113,-1221.26727272727,1147.75090909091
ROI# 114,-1530.2128,852.8336
ROI# 115,-1215.04333333333,1056.55666666667
ROI# 116,-1054.30333333333,574.336666666667
ROI# 117,-1053.93125,753.30875
ROI# 118,-1111.97625,293.41375
ROI# 119,-1435.49176470588,913.851764705882
ROI# 120,-1526.44846153846,430.540769230769
ROI# 121,-1363.00117647059,721.594117647059
ROI# 122,-1085.06222222222,688.442222222222
ROI# 123,-960.042222222222,2057.70888888889
