smiles,regression_QED
COC(OC)C(C)c1ccccc1,0.6623377161213929
CC(C)=CCCC(C)=CCOC(Cc1ccccc1)OCC=C(C)CCC=C(C)C,0.2285543273058907
CCCCCCCCCCCCOS(=O)(=O)O,0.4316509402014865
COc1ccc(C(C)=O)cc1,0.6016592633823299
CC(=O)c1ccccc1,0.5170467542625542
CC/C=C\C[C@H]1C(=O)CC[C@@H]1CC(=O)OC,0.5320436649768467
CCCCCCCCCCCCCC=O,0.3324633423713521
CCCCCCCCCC=O,0.3889444461925324
CCCCCCCCCO,0.5446193762686498
CC(C)=C[C@@H]1C[C@H](C)CCO1,0.5276089913970072
CCCCCCCCCCO,0.5380402798848124
CCCCCC1(C)CCC(C)(C)C1=O,0.6218937477667653
CCCCCCCC=O,0.3966101918122153
CCCCCCCCC=O,0.3943168373689603
O=C1CCCCCCCCCCCCCCCO1,0.5682583416831803
Cc1ccc(CCC=O)cc1,0.5999626187688002
C=CCOC(=O)CCC1CCCCC1,0.4986865969990717
C=CCCCCCCCCC=O,0.2924282251388943
CCC/C=C/CC1CCCC1O,0.6398671714050908
CCC/C=C/CC1CCCC1=O,0.5863932033384113
CCCCCCCCCCCC=O,0.3687271875064953
CC(O)CO,0.43583499661104974
CC/C=C/CCC1CCCC(=O)O1,0.4933592059314156
CCCC[C@H]1C[C@H](C(C)=O)C(=O)O1,0.4930413802853025
CCCCCCCCCC(C)C=O,0.39133964241644187
O=COCCOc1ccccc1,0.4873115139098394
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.4274213512497734
CCOC(=O)C(=O)OCCC(C)CCC=C(C)C,0.3990902496759138
CC(CC=O)CCc1ccccc1,0.6303699616433197
CCO,0.40680796565539457
CCCCCC1CCC(=O)O1,0.4607618724022216
CC(C)CCCC(C)CCO,0.6299238689160793
CC(C)COC(=O)CC(C)C,0.5863535565334941
CCCCC(=O)OCC,0.5416729314973412
C=CCOC(=O)CCCCC,0.3348650134513954
CCOC(=O)C(C)C,0.506664866588942
CCCCCCCCC(C)C#N,0.5274976542147506
CCCCCCCC1CCC(=O)O1,0.4682009755951634
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,0.6690235003355474
C/C=C/C(=O)C1=C(C)CCCC1(C)C,0.6101503454772369
COC(C)OCCC(C)CCC=C(C)C,0.4521425730901566
CC(=O)OCC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,0.5559885660869417
CC1=C(O)C(=O)C(C)O1,0.5235905714022909
CCC(O)c1ccccc1,0.6599404909081105
CC(CC=O)CCCC(C)(C)O,0.6232407158482187
OCC1CC2CC1C1CCC(CO)C21,0.6979751284768186
CCCCCC(C=O)=Cc1ccccc1,0.3888206589950484
CCC(=O)OCCC(C)CCC=C(C)C,0.4747481875606392
CCCCCOC(=O)CC(C)C,0.4546319985068869
C/C=C/c1ccc(OC)cc1,0.6262155548658499
