Stimulus,descriptors
-69,['spicy']
-68,['cinnamon']
-67,"['nutty', 'ethereal', 'sweet']"
-66,"['fruity', 'sweet']"
-65,"['meaty', 'sulfurous', 'vegetable']"
-64,"['minty', 'camphoraceous']"
-63,['violet']
-62,"['cherry', 'strawberry']"
-61,"['clove', 'woody', 'spicy']"
-60,['camphoraceous']
-59,"['musty', 'medicinal']"
-58,"['apple', 'herbaceous', 'woody', 'nutty']"
-57,"['sweet', 'fruity']"
-56,['ethereal']
-55,['spicy']
-54,['herbaceous']
-53,"['cinnamon', 'fruity', 'sweet', 'vanilla', 'herbaceous', 'woody']"
-52,['tobacco']
-51,"['fruity', 'wine-like']"
-50,['lemon']
-49,"['caraway', 'warm', 'spicy']"
-48,"['cinnamon', 'citrus', 'herbaceous', 'sweet']"
-47,"['coumarin', 'sweet', 'rich', 'warm']"
-46,"['meaty', 'alliaceous (onion, garlic)']"
-45,"['minty', 'herbaceous']"
-44,['herbaceous']
-43,"['berry', 'green', 'woody', 'minty', 'vanilla']"
-42,"['berry', 'lemon', 'sweet', 'vegetable']"
-41,['herbaceous']
-40,"['chocolate', 'grape', 'woody', 'wine-like']"
-39,"['floral', 'vanilla']"
-38,"['berry', 'fruity', 'green']"
-37,"['honey', 'floral', 'rose']"
-36,['berry']
-35,"['spicy', 'woody']"
-34,"['berry', 'herbaceous', 'pineapple', 'pepper', 'spicy', 'woody', 'wine-like']"
-33,['pepper']
-32,['lime']
-31,['wine-like']
-30,"['alcohol', 'butter', 'cheese', 'ethereal']"
-29,"['sweet', 'honey']"
-28,"['lemon', 'herbaceous', 'citrus', 'woody']"
-27,"['sulfurous', 'alliaceous (onion, garlic)']"
-26,"['minty', 'camphoraceous', 'tobacco']"
-25,['rose']
-24,"['rich', 'honey']"
-23,"['lemon', 'citrus']"
-22,['woody']
-21,"['sweet', 'spicy']"
-20,"['apricot', 'peach']"
-19,"['berry', 'grape', 'orange', 'fruity', 'citrus']"
-18,['woody']
-17,"['orange', 'sweet']"
-16,"['apple', 'apricot', 'blossom', 'chocolate']"
-15,['balsam']
-14,"['cinnamon', 'clove', 'spicy']"
-13,"['musty', 'floral', 'wine-like']"
-12,"['floral', 'woody']"
-11,['coconut']
-10,"['cheese', 'horseradish', 'earthy', 'alliaceous (onion, garlic)', 'spicy']"
-9,"['sweet', 'warm', 'rich']"
-8,"['apple', 'berry', 'cranberry', 'honey', 'citrus']"
-7,['floral']
-6,"['berry', 'honey', 'lime', 'vanilla', 'minty']"
-5,"['fruity', 'sweet']"
-4,"['apple', 'lavender', 'lime', 'herbaceous']"
-3,"['herbaceous', 'sweet']"
-2,"['apple', 'apricot', 'berry', 'rose', 'sweet']"
-1,"['lavender', 'spicy']"
58,"['caramel', 'creamy']"
107,"['rose', 'sweet']"
126,"['lily', 'sweet']"
135,['caramel']
176,"['apple', 'ethereal']"
177,['ethereal']
240,['almond']
240,"['almond', 'cherry', 'sweet']"
243,['balsam']
244,"['berry', 'cherry', 'grapefruit', 'citrus', 'walnut']"
261,"['apple', 'chocolate', 'creamy', 'ethereal']"
263,"['medicinal', 'vanilla']"
264,['cheese']
311,"['cherry', 'lemon', 'green', 'rose', 'sweet']"
313,"['almond', 'cherry', 'chocolate', 'cinnamon']"
323,"['fruity', 'rose']"
325,['floral']
326,"['oily', 'woody']"
332,"['apple', 'spicy', 'peanut', 'wine-like']"
338,"['jasmine', 'animal']"
342,"['woody', 'ethereal', 'medicinal']"
379,['oily']
454,"['honey', 'fruity', 'fatty', 'citrus']"
460,"['medicinal', 'woody', 'smoky']"
527,"['almond', 'apple', 'banana', 'cheese']"
660,"['almond', 'coconut', 'creamy', 'herbaceous', 'sweet', 'vanilla', 'nutty', 'tobacco']"
679,"['butter', 'alliaceous (onion, garlic)']"
798,"['butter', 'cheese', 'chocolate', 'grape']"
880,['caramel']
957,"['citrus', 'fatty', 'woody', 'waxy']"
996,"['honey', 'rose']"
997,"['chocolate', 'fennel', 'herbaceous', 'minty']"
998,"['apple', 'berry', 'cherry', 'chocolate']"
999,"['honey', 'floral', 'green', 'sweet']"
1030,"['cheese', 'wine-like']"
1031,"['alcohol', 'apple', 'musty', 'fruity', 'peanut']"
1032,['cherry']
1049,"['sour', 'fishy']"
1060,"['caramel', 'creamy', 'vegetable', 'meaty']"
1068,"['sulfurous', 'vegetable']"
1136,"['nutty', 'meaty']"
1145,['walnut']
1146,"['oily', 'meaty', 'fishy']"
1183,"['caramel', 'chocolate', 'sweet', 'vanilla']"
1254,"['minty', 'woody', 'camphoraceous']"
1491,['spicy']
2214,['vanilla']
2346,['cabbage']
2519,['vanilla']
2537,"['floral', 'woody']"
2758,"['citrus', 'herbaceous', 'fruity', 'sweet']"
2879,['medicinal']
2969,"['fatty', 'citrus']"
3593,"['floral', 'waxy']"
3776,['butter']
3893,['fatty']
4133,"['spicy', 'minty', 'sweet']"
4133,['vanilla']
4133,"['floral', 'sweet']"
4947,"['herbaceous', 'green', 'earthy', 'alliaceous']"
5281,"['balsam', 'berry', 'nutty', 'spicy', 'fishy']"
5541,"['wine-like', 'herbaceous', 'sweet']"
5610,"['orange', 'fatty', 'rose', 'waxy']"
5634,"['woody', 'sweet']"
5962,['chocolate']
5971,"['apple', 'cherry', 'wine-like', 'fruity']"
6050,"['caramel', 'creamy', 'fatty']"
6054,"['honey', 'rose']"
6140,['sweet']
6202,['sour']
6276,"['sweet', 'vanilla']"
6287,"['chocolate', 'creamy', 'grape', 'nutty']"
6306,['vanilla']
6341,"['blossom', 'grape', 'sweet']"
6364,"['meaty', 'sulfurous', 'alliaceous (onion, garlic)']"
6493,"['green', 'fruity']"
6501,"['strawberry', 'sweet']"
6544,"['berry', 'woody', 'herbaceous', 'nutty']"
6558,"['sweet', 'vegetable']"
6560,"['fruity', 'wine-like']"
6561,['banana']
6584,"['ethereal', 'sweet']"
6590,"['butter', 'strawberry']"
6669,"['anise', 'grape', 'fruity', 'herbaceous']"
6781,"['hazelnut', 'meaty', 'earthy']"
6826,"['blossom', 'grape', 'orange']"
6873,"['green', 'vegetable']"
6912,['floral']
6915,"['berry', 'caramel', 'sour']"
6943,['medicinal']
6989,"['woody', 'fruity', 'sweet', 'minty', 'earthy']"
6998,"['almond', 'spicy']"
7002,['earthy']
7017,"['chocolate', 'floral', 'earthy']"
7043,"['creamy', 'vanilla']"
7058,"['orange', 'sweet']"
7092,"['anise', 'coconut', 'creamy', 'herbaceous']"
7095,"['geranium', 'green']"
7119,"['floral', 'strawberry', 'sweet']"
7122,"['berry', 'blossom', 'coconut', 'grape']"
7129,['grape']
7136,"['balsam', 'clove', 'fruity', 'sweet']"
7146,['floral']
7147,"['balsam', 'floral', 'sweet']"
7151,"['herbaceous', 'tobacco']"
7165,"['anise', 'banana', 'berry', 'cherry', 'grape']"
7175,"['woody', 'floral', 'sweet', 'herbaceous']"
7184,['herbaceous']
7193,['sweet']
7194,"['honey', 'rose']"
7222,"['apple', 'apricot', 'cherry', 'jasmine', 'floral']"
7225,"['almond', 'musty', 'vanilla']"
7249,"['cucumber', 'green', 'violet']"
7276,['sour']
7284,"['chocolate', 'coffee']"
7288,"['apple', 'orange', 'green', 'vegetable']"
7304,"['woody', 'smoky', 'herbaceous']"
7334,"['wine-like', 'herbaceous', 'ethereal']"
7335,"['minty', 'green']"
7341,"['cheese', 'sour']"
7342,"['citrus', 'strawberry']"
7344,"['butter', 'fruity']"
7351,"['grape', 'ethereal']"
7353,"['apple', 'banana']"
7361,['grape']
7362,"['almond', 'woody', 'sweet']"
7363,"['caramel', 'chocolate', 'oily', 'nutty']"
7393,"['honey', 'rose']"
7409,['hyacinth']
7410,"['almond', 'hawthorne', 'sweet', 'floral']"
7413,"['fruity', 'fatty']"
7460,"['minty', 'herbaceous']"
7461,"['herbaceous', 'citrus']"
7463,['citrus']
7476,"['butter', 'caramel', 'nutty', 'fruity', 'sweet']"
7501,"['medicinal', 'plastic']"
7509,['meaty']
7531,"['apple', 'banana', 'strawberry']"
7559,"['honey', 'jasmine', 'sweet']"
7590,"['anise', 'apple', 'apricot', 'cherry', 'chocolate', 'grapefruit', 'honey', 'melon', 'waxy', 'pineapple']"
7593,"['plastic', 'seedy']"
7601,"['apricot', 'hyacinth', 'floral', 'fruity', 'rose']"
7635,['spicy']
7646,"['jasmine', 'fruity']"
7650,"['apricot', 'berry', 'butter', 'cheese', 'jasmine', 'fruity', 'peach', 'pear', 'plum']"
7651,"['apple', 'herbaceous', 'pineapple']"
7654,"['apple', 'apricot', 'caramel', 'grape', 'honey', 'melon', 'citrus', 'fruity', 'pineapple', 'rose', 'sweet']"
7655,"['fruity', 'rose']"
7657,"['almond', 'chocolate', 'fruity', 'spicy']"
7658,"['grape', 'floral', 'strawberry', 'sweet']"
7662,"['balsam', 'fruity', 'sweet']"
7695,"['almond', 'cherry', 'coumarin', 'creamy']"
7704,"['coconut', 'creamy', 'herbaceous', 'peach']"
7708,"['apricot', 'floral', 'fruity', 'meaty', 'pineapple', 'sweet']"
7710,"['anise', 'coconut', 'fatty', 'herbaceous']"
7711,"['floral', 'green', 'herbaceous', 'rose']"
7714,"['musty', 'peach', 'sweet', 'earthy']"
