Stimulus,CAS
-69,84961-50-2
-68,8015-91-6
-67,8030-97-5
-66,8008-52-4
-65,8016-49-7
-64,68917-18-0
-63,8023-88-9
-62,8006-77-7
-61,8000-34-8
-60,8000-25-7
-59,8001-61-4
-58,8013-86-3
-57,8016-03-3
-56,25395-31-7
-55,8023-85-6
-54,8001-23-8
-53,8007-00-9
-52,8037-19-2
-51,8001-31-8
-50,120962-03-0
-49,8000-42-8
-48,8000-66-6
-47,8046-22-8
-46,9000-64-0
-45,8015-88-1
-44,8022-56-8
-43,4.5
-42,8016-88-4
-41,8016-84-0
-40,27216-37-1
-39,8016-78-2
-38,68606-81-5
-37,8014-17-3
-36,8000-68-8
-35,8006-83-5
-34,61789-91-1
-33,8015-64-3
-32,8008-26-2
-31,68648-39-5
-30,8007-70-3
-29,90131-21-8
-28,8007-08-7
-27,(CH3)2CH
-26,8015-01-8
-25,8016-23-7
-24,90045-56-0
-23,8014-71-9
-22,8024-15-5
-21,8015-73-4
-20,9000-05-9
-19,8008-31-9
-18,8015-65-4
-17,8008-57-9
-16,8016-38-4
-15,8016-36-2
-14,92201-64-4
-13,8007-69-0
-12,8015-77-8
-11,90028-66-3
-10,-CH2CH2CO2CH2CH(C2H5)(CH2)3CH3
-9,72968-50-4
-8,8023-80-1
-7,8031-03-6
-6,8016-37-3
-5,8007-75-8
-4,84625-32-1
-3,84625-40-1
-2,8023-91-4
-1,8000-28-0
58,600-18-0
107,501-52-0
126,123-08-0
135,99-96-7
176,64-19-7
177,75-07-0
240,8013-76-1
240,100-52-7
243,65-85-0
244,100-51-6
261,123-72-8
263,71-36-3
264,107-92-6
311,77-92-9
313,7647-01-0
323,91-64-5
325,536-60-7
326,122-03-2
332,7786-61-0
338,69-72-7
342,108-39-4
379,124-07-2
454,124-13-0
460,90-05-1
527,123-38-6
660,119-84-6
679,67-68-5
798,120-72-9
880,78-98-8
957,111-87-5
996,108-95-2
997,156-06-9
998,122-78-1
999,103-82-2
1030,57-55-6
1031,71-23-8
1032,79-09-4
1049,110-86-1
1060,127-17-3
1068,75-18-3
1136,137-00-8
1145,1184-78-7
1146,75-50-3
1183,121-33-5
1254,89-78-1
1491,89-86-1
2214,498-02-2
2346,622-78-6
2519,58-08-2
2537,76-22-2
2758,470-82-6
2879,106-44-5
2969,334-48-5
3593,69097-99-0
3776,67-63-0
3893,143-07-7
4133,119-36-8
4133,90045-28-6
4133,68917-50-0
4947,121-79-9
5281,57-11-4
5541,102-76-1
5610,51-67-2
5634,112-38-9
5962,56-87-1
5971,57-06-7
6050,60-01-5
6054,60-12-8
6140,63-91-2
6202,67-03-8
6276,71-41-0
6287,72-18-4
6306,73-32-5
6341,75-04-7
6364,75-33-2
6493,77-74-7
6501,77-83-8
6544,78-59-1
6558,78-81-9
6560,78-83-1
6561,78-84-2
6584,79-20-9
6590,79-31-2
6669,81-14-1
6781,84-66-2
6826,85-91-6
6873,87-19-4
6912,87-99-0
6915,88-09-5
6943,88-69-7
6989,89-83-8
6998,90-02-8
7002,90-12-0
7017,90-43-7
7043,91-16-7
7058,91-60-1
7092,92-48-8
7095,92-52-4
7119,93-04-9
7122,93-08-3
7129,93-18-5
7136,93-28-7
7146,93-53-8
7147,93-54-9
7151,93-60-7
7165,93-89-0
7175,94-13-3
7184,94-26-8
7193,94-46-2
7194,94-47-3
7222,95-16-9
7225,95-21-6
7249,95-65-8
7276,96-09-3
7284,96-17-3
7288,96-22-0
7304,96-54-8
7334,97-41-6
7335,97-42-7
7341,97-61-0
7342,97-62-1
7344,97-64-3
7351,97-85-8
7353,97-87-0
7361,98-00-0
7362,98-01-1
7363,98-02-2
7393,98-54-4
7409,98-85-1
7410,98-86-2
7413,98-89-5
7460,99-83-2
7461,99-85-4
7463,99-87-6
7476,100-06-1
7501,100-42-5
7509,100-53-8
7531,100-86-7
7559,101-41-7
7590,101-97-3
7593,102-04-5
7601,102-20-5
7635,103-09-3
7646,103-28-6
7650,103-37-7
7651,103-38-8
7654,103-45-7
7655,103-48-0
7657,103-50-4
7658,103-52-6
7662,103-58-2
7695,104-21-2
7704,104-50-7
7708,104-57-4
7710,104-61-0
7711,104-62-1
7714,104-67-6
7731,104-93-8
7738,105-13-5
7755,105-43-1
7761,105-53-3
7762,105-54-4
7765,105-57-7
7768,105-60-2
7770,105-66-8
7771,105-67-9
7772,105-68-0
7775,105-79-3
7778,105-85-1
7793,7540-51-4
7794,8000-29-1
7795,106-27-4
7797,106-30-9
7798,106-31-0
7799,106-32-1
7800,106-33-2
7802,106-35-4
7803,106-36-5
7824,106-70-7
7826,106-73-0
7848,107-03-9
7852,107-10-8
7865,107-31-3
7895,107-87-9
7909,108-10-1
7921,108-29-2
7937,108-48-5
7938,108-50-9
7967,108-94-1
7981,109-19-3
7991,109-52-4
7997,109-60-4
8007,109-73-9
8025,109-94-4
8026,109-95-5
8038,110-19-0
8042,110-27-0
8048,110-38-3
8049,110-40-7
8051,110-43-0
8052,110-45-2
8060,110-58-7
8073,110-74-7
8077,110-81-6
8092,111-12-6
8093,111-13-7
8103,111-27-3
8122,111-61-5
8125,111-66-0
8129,111-70-6
8130,111-71-7
8137,111-80-8
8138,111-81-9
8139,111-82-0
8158,112-05-0
8163,112-12-9
8164,112-14-1
8167,112-17-4
8169,112-23-2
8174,112-30-1
8176,112-32-3
8184,112-42-5
8193,112-53-8
8194,112-54-9
8201,112-61-8
8205,112-66-3
8257,115-18-4
8294,115-95-7
8299,116-09-6
8314,116-53-0
8347,62563-80-8
8365,118-61-6
8369,118-71-8
8438,120-57-0
8452,120-92-3
8456,25013-16-5
8467,121-32-4
8469,121-39-1
8499,121-98-2
8500,122-00-9
8615,133-18-6
8635,134-20-3
8658,135-02-4
8697,149-57-5
8763,139-45-7
8792,140-26-1
8797,140-39-6
8815,140-67-0
8821,140-88-5
8834,141-14-0
8842,106-22-9
8857,141-78-6
8858,141-79-7
8863,141-92-4
8868,141-97-9
8878,142-19-8
8892,142-62-1
8907,142-91-6
8908,142-92-7
8914,143-08-8
8918,143-13-5
9012,150-60-7
9016,150-78-7
9020,150-90-3
9024,151-05-3
9025,151-10-0
9256,288-47-1
9261,290-37-9
9589,350-03-8
9609,352-93-2
10285,491-35-0
10315,495-40-9
10351,498-60-2
10430,503-74-2
10448,505-10-2
10453,505-32-8
10484,507-09-5
10560,513-53-1
10722,529-20-4
10748,531-59-9
10795,534-15-6
10823,536-78-7
10882,539-82-2
10883,539-88-8
10885,539-90-2
10890,540-18-1
10895,540-42-1
10934,541-58-2
10976,543-49-7
11005,544-63-8
11039,547-63-7
11086,551-93-9
11167,556-61-6
11173,556-82-1
11230,562-74-3
11335,576-26-1
11340,577-16-2
11363,579-07-7
11463,586-62-9
11508,589-35-5
11509,589-38-8
11520,589-82-2
11525,589-92-4
11527,589-98-0
11529,590-01-2
11552,590-86-3
11559,591-12-8
11569,591-31-1
11617,592-88-1
11902,611-13-2
11980,614-99-3
12020,616-25-1
12041,617-35-6
12097,620-02-0
12150,622-62-8
12180,623-42-7
12232,624-92-0
12257,625-55-8
12266,625-86-5
12294,626-82-4
12297,626-93-7
12348,628-63-7
12366,628-97-7
12367,628-99-9
12506,637-64-9
12514,638-02-8
12529,638-49-3
12571,644-49-5
12587,646-07-1
12613,659-70-1
12741,693-54-9
12748,693-95-8
12810,705-86-2
12844,713-95-1
12988,763-32-6
13187,821-55-6
13204,823-22-3
13216,825-51-4
13357,868-57-5
13436,882-33-7
13561,927-49-1
14079,1072-83-9
14104,1076-56-8
14228,1117-55-1
14257,1120-21-4
14286,1122-62-9
14296,1124-11-4
14328,1131-62-0
14475,1188-02-9
14491,1191-43-1
14493,1191-62-4
14505,1192-62-7
14514,1193-79-9
14925,99-14-9
15037,1438-94-4
15394,1629-58-9
15406,1632-73-1
15422,1639-09-4
15448,1653-30-1
15510,1679-07-8
15606,1731-84-6
15717,1797-74-6
15877,1878-18-8
16237,2021-28-5
16255,2035-99-6
16330,2052-14-4
16331,2052-15-5
16537,2153-26-6
16590,2179-57-9
16592,2179-60-4
16724,2244-16-8
16741,2257-09-2
16800,2294-76-0
16867,2346-00-1
16872,2349-07-7
16925,2379-55-7
17008,2412-80-8
17016,2416-94-6
17121,2442-10-6
17129,2445-78-5
17356,2550-40-5
17525,2639-63-6
17617,2705-87-5
17691,2758-18-1
17739,2785-87-7
17898,2847-30-5
18467,3149-28-8
18522,3188-00-9
18554,3208-16-0
18635,3268-49-3
18698,3301-94-8
18756,13877-91-3
18938,3452-97-9
19309,3658-77-3
19602,3777-69-3
19707,3848-24-6
19844,3943-74-6
20083,123-96-6
20219,4230-97-1
20499,4437-20-1
20653,4536-23-6
20928,4798-44-1
21057,4938-52-7
21059,4940-11-8
21574,5435-64-3
21596,5454-28-4
21648,5471-51-2
22311,138-86-3
22629,6259-76-3
22873,6378-65-0
23347,6911-51-9
23642,7217-59-6
24114,7492-70-8
24116,7493-63-2
24117,7493-74-5
24473,7764-50-3
24513,7779-41-1
24838,10032-15-2
24874,13952-84-6
24915,10094-34-5
25311,10486-19-8
25611,13019-20-0
26331,13925-00-3
26333,13925-06-9
26334,55031-15-7
26447,14073-97-3
26808,14667-55-1
27457,15707-23-0
27892,16491-54-6
28905,18138-04-0
29096,18479-58-8
30215,20662-84-4
30248,20777-49-5
31211,122-48-5
31219,122-63-4
31225,122-70-3
31226,122-72-5
31234,122-97-4
31242,123-07-9
31246,123-19-3
31249,123-25-1
31252,123-32-0
31260,123-51-3
31265,123-66-0
31266,123-68-2
31268,123-75-1
31272,123-86-4
31276,123-92-2
31283,124-06-1
31284,124-10-7
31289,124-19-6
31353,126-64-7
31954,23495-12-7
32065,23747-48-0
32093,23787-80-6
32594,24683-00-9
33032,56-86-0
33135,25680-58-4
33637,578-58-5
33931,27538-10-9
33960,27593-23-3
38679,40789-98-8
47649,65505-17-1
60979,94-30-4
60983,96-04-8
60985,97-89-2
60995,101-48-4
60997,101-94-0
60998,102-13-6
60999,102-16-9
61007,104-20-1
61015,106-18-3
61016,106-72-9
61020,107-86-8
61024,109-15-9
61027,109-42-2
61030,110-39-4
61040,115-99-1
61045,118-72-9
61048,120-50-3
61052,122-74-7
61054,122-91-8
61096,142-60-9
61098,144-39-8
61137,591-68-4
61151,606-45-1
61155,613-70-7
61166,623-19-8
61171,625-60-5
61183,637-65-0
61184,638-11-9
61185,638-25-5
61192,656-53-1
61199,698-10-2
61200,698-27-1
61204,710-04-3
61209,765-70-8
61229,881-68-5
61235,925-78-0
61282,1883-78-9
61293,2305-25-1
61294,2306-88-9
61319,2408-20-0
61331,4112-89-4
61334,4166-20-5
61337,4208-49-5
61341,4265-16-1
61375,6222-35-1
61384,6290-37-5
61386,6309-51-9
61400,6380-23-0
61403,7493-57-4
61408,7493-69-8
61416,7540-53-6
61417,7549-33-9
61448,10031-87-5
61450,10031-90-0
61455,10032-13-0
61466,10094-36-7
61523,10521-91-2
61527,10599-70-9
61592,13327-56-5
61631,13481-87-3
61633,13494-06-9
61634,13494-07-0
61641,13532-18-8
61653,13623-11-5
61658,13678-60-9
61660,13678-68-7
61663,13679-70-4
61664,13679-85-1
61743,14436-32-9
61771,14765-30-1
61808,15679-13-7
61812,15706-73-7
61814,15764-16-6
61840,16493-80-4
61845,16630-52-7
61918,32974-92-8
61922,34047-39-7
61955,36701-01-6
61982,38462-22-5
61995,41820-22-8
62003,45019-28-1
62013,51755-85-2
62024,53399-81-8
62089,54947-74-9
62105,55704-78-4
62128,57124-87-5
62131,57500-00-2
62161,8028-48-6
62321,78-36-4
62326,79-42-5
62328,80-27-3
62332,87-22-9
62334,88-41-5
62336,90-87-9
62341,93-92-5
62348,498-00-0
62351,505-79-3
62374,1125-21-9
62375,1125-88-8
62378,1128-08-1
62385,1195-32-0
62444,2432-51-1
62445,2445-77-4
62465,2785-89-9
62510,3581-91-7
62539,4437-51-8
62553,4861-85-2
62572,5405-41-4
62578,5452-07-3
62580,5461-08-5
62583,5579-78-2
62592,5870-93-9
62661,7779-78-4
62835,28664-35-9
62900,39212-23-2
62902,39255-32-8
62907,39711-79-0
64805,1205-17-0
65413,51755-66-9
69320,622-39-9
69460,635-46-1
74008,1334-82-3
74096,1576-85-8
76654,3184-13-2
78006,4313-57-9
78120,4404-45-9
78126,4410-99-5
78199,4455-13-4
78435,4707-47-5
78925,5271-38-5
79148,1191-08-8
79406,5406-18-8
82227,7785-70-8
82229,7787-20-4
85224,15986-80-8
85522,16630-66-3
86733,18433-93-7
86751,18479-57-7
88301,19894-97-4
88454,2445-76-3
90984,23832-18-0
91497,1222-05-5
92874,1196-01-6
93009,5655-61-8
93009,76-49-3
94349,13341-72-5
95392,6290-17-1
98218,4352-99-2
98330,40018-26-6
101010,67715-80-4
101989,1153-51-1
102861,24851-98-7
103034,19342-01-9
103404,65504-94-1
103589,52089-55-1
104721,54300-08-2
106997,18368-91-7
107217,13851-11-1
108765,55764-25-5
111037,80-26-2
145742,147-85-3
159055,464-49-3
161875,35493-46-0
169110,29926-41-8
170833,89-79-2
219672,5349-62-2
220674,2623-23-6
226486,6627-88-9
228604,3240-09-3
228769,7786-58-5
229385,5454-19-3
229387,5454-09-1
229888,5457-70-5
234237,1322-17-4
238498,3249-68-1
240119,1118-27-0
240925,6638-05-7
243783,1551-44-6
246728,106-68-3
248488,3489-28-9
251531,7149-32-8
287439,7774-44-9
369312,18457-55-1
429065,623-70-1
439250,5989-54-8
439570,6485-40-1
440967,18172-67-3
441246,38630-75-0
442495,89-82-7
443158,126-91-0
443162,10482-56-1
443314,9005-64-5
443315,9005-65-6
444041,7585-39-9
444539,140-10-3
444972,110-17-8
445070,4602-84-0
445639,112-80-1
445858,537-98-4
459494,2110-18-1
494311,89-49-6
517827,103-95-7
518937,1438-91-1
519382,17283-81-7
519539,18277-27-5
519709,19788-49-9
519786,2050-01-3
519890,2177-77-7
519907,21948-70-9
520098,24168-70-5
520108,24295-03-2
520148,24817-51-4
520191,2530-10-1
520326,27625-35-0
520567,32263-00-6
521238,4864-61-3
522673,7774-65-4
522674,7774-74-5
522676,7779-70-6
528108,54410-83-2
529253,84642-61-5
537682,7779-72-8
539829,20665-85-4
540124,26643-91-4
543664,818-57-5
548353,4532-64-3
549519,1575-74-2
551316,2217-33-6
556940,94278-27-0
565690,16409-46-4
566940,35493-47-1
570574,3460-44-4
576240,65813-53-8
576263,80866-83-7
578423,2153-28-8
595928,2568-25-4
605629,3549-23-3
636687,17587-33-6
637511,104-55-2
637511,14371-10-9
637520,103-26-4
637564,142-83-6
637758,103-36-6
637759,122-57-6
637776,93-16-3
638011,5392-40-5
638014,79-77-6
638024,94-62-2
638122,13991-37-2
641248,928-92-7
641294,24680-50-0
641298,1504-74-1
641423,1866-31-5
641834,37887-04-0
643460,110-44-1
643731,557-48-2
643820,106-25-2
643941,6789-80-6
764139,92666-21-2
778574,122-67-8
853433,97-54-1
876160,93-29-8
929336,35836-72-7
1549018,488-10-8
1549026,105-87-3
1549521,623-30-3
1549778,3796-70-1
1550470,2396-84-1
1550884,101-86-0
1550890,122-69-0
1551246,5146-66-7
1712058,122-40-7
1742210,1139-30-6
2724059,3715-29-5
2724159,18031-40-8
2733294,2497-18-9
3034463,27939-60-2
3321360,3008-43-3
3479589,4809-35-2
3578033,31704-80-0
3591866,7779-50-2
3734338,4500-58-7
4120025,65894-83-9
5084146,82654-98-6
5271566,141-05-9
5273464,7780-06-5
5273467,7779-65-9
5273469,103-41-3
5275520,459-80-3
5280443,8002-66-2
5280450,60-33-3
5281162,3025-30-7
5281163,5837-78-5
5281167,928-96-1
5281168,6728-26-3
5281515,87-44-5
5282108,127-41-3
5282109,105-86-2
5282110,103-54-8
5282708,1577-18-0
5282714,1871-67-6
5283316,18829-55-5
5283321,4313-03-5
5283324,2548-87-0
5283335,18829-56-6
5283339,5910-87-2
5283345,3913-81-3
5283356,53448-07-0
5283361,20407-84-5
5283363,7774-82-5
5284503,928-97-2
5284507,7212-44-4
5311110,50-69-1
5315892,104-54-1
5318042,928-95-0
5318599,18409-17-1
5319754,623-36-9
5319765,17619-36-2
5324489,928-94-9
5352162,999-40-6
5352435,7549-37-3
5352438,16491-36-4
5352461,53398-83-7
5352539,41519-23-7
5352543,31501-11-8
5352799,78989-37-4
5352837,64275-73-6
5354883,104-65-4
5355254,78761-39-4
5355850,78761-38-3
5355851,103-59-3
5355853,105-90-8
5355855,69121-78-4
5357002,55719-85-2
5362584,76788-46-0
5362588,81925-81-7
5362620,21662-09-9
5362622,2396-83-0
5362720,2277-19-2
5362814,6728-31-0
5362830,109-20-6
5362833,28069-72-9
5363120,68555-65-7
5363229,18402-82-9
5363388,3681-71-8
5363491,1516-17-2
5363526,7416-35-5
5364231,61931-81-5
5364532,7367-81-9
5364631,10340-23-5
5364729,7493-71-2
5364919,1576-95-0
5364941,31502-14-4
5364942,18409-18-2
5365027,41453-56-9
5365049,33467-74-2
5365069,53398-85-9
5365793,73545-15-0
5365794,7492-66-2
5365976,79-78-7
5365991,2345-24-6
5366038,19089-92-0
5366044,102-22-7
5366244,7541-49-3
5367681,35154-45-1
5367698,42436-07-7
5367706,25152-85-6
5367719,39924-52-2
5367745,1733-25-1
5367785,8000-46-2
5368076,111-79-5
5369459,103-53-7
5370602,21834-92-4
5371102,65405-77-8
5463682,41519-18-0
5463904,7367-88-6
6076971,101-85-9
6114390,120-24-1
6429039,3915-83-1
6435882,61444-38-0
6436710,147159-49-7
6850741,8006-90-4
6850743,8007-02-1
6850745,8007-46-3
6950273,125-12-2
6999977,34451-19-9
7076215,61597-98-6
9855795,4630-07-3
10174581,152766-94-4
10311044,7367-79-5
10857465,6790-58-5
11435490,1079-01-2
12963317,2733-86-0
14030006,8001-79-4
15461361,67883-79-8
16129778,1401-55-4
16212702,232257-97-5
16220105,36731-41-6
16220110,65405-80-3
23308252,8014-13-9
23673663,10255-67-1
23693089,9005-38-3
24758199,19870-74-7
24847856,9036-66-2
44134940,6381-91-5
54675810,89-65-6
55251157,67952-65-2
91001317,8030-89-5
92043553,8022-96-6
