TGSC ID,Content Data Category,Content TGSC ID,Content Name,Content Header,Concentration %,Concentration Min %,Concentration Max %
1001921,rw,1012271,isogreen methanoindene,also (can) contains,,,
1001951,rw,1002371,(Z)-geranic acid,also (can) contains,,,
1001951,rw,1476241,(E)-geranic acid,also (can) contains,,,
1002151,rw,1696121,5-tricyclodecenyl acetate,also (can) contains,,,
1002152,rw,1696121,5-tricyclodecenyl acetate,also (can) contains,,,
1002171,rw,1537941,(E)-2-penten-1-ol,also (can) contains,,0.1,4.0
1002301,rw,1615431,dihexyl (Z)-fumarate,also (can) contains,,,
1002311,rw,1117191,allyl (E)-cinnamate,also (can) contains,,,
1002361,rw,1040391,phytol,also (can) contains,65.0,,
1002361,rw,1696131,(Z)-phytol,also (can) contains,65.0,,
1002362,rw,1040391,phytol,also (can) contains,65.0,,
1002362,rw,1696131,(Z)-phytol,also (can) contains,65.0,,
1002461,rw,1613221,cis-green acetate,also (can) contains,,8.0,18.0
1002462,rw,1613221,cis-green acetate,also (can) contains,,8.0,18.0
1002571,rw,1696081,geranyl diethyl acetal,also (can) contains,,,
1002571,rw,1696091,neryl diethyl acetal,also (can) contains,,,
1002581,rw,1374091,(Z)-geranyl nitrile,also (can) contains,,,
1002581,rw,1374101,(E)-geranyl nitrile,also (can) contains,,,
1002631,rw,1092691,(E)-cinnamaldehyde,also (can) contains,,,
1002631,rw,1093121,(Z)-cinnamaldehyde,also (can) contains,,,
1002632,rw,1092691,(E)-cinnamaldehyde,also (can) contains,,,
1002632,rw,1093121,(Z)-cinnamaldehyde,also (can) contains,,,
1002801,rw,1002791,allyl disulfide,also (can) contains,,20.0,25.0
1002801,rw,1002971,allyl sulfide,also (can) contains,,20.0,25.0
1003001,rw,1002971,allyl sulfide,also (can) contains,15.0,,
1003271,rw,1350711,cinnamic acid,also (can) contains,,,
1003291,rw,1040881,(E)-cinnamyl alcohol,also (can) contains,,,
1003291,rw,1462641,(Z)-cinnamyl alcohol,also (can) contains,,,
1003292,rw,1040881,(E)-cinnamyl alcohol,also (can) contains,,,
1003292,rw,1462641,(Z)-cinnamyl alcohol,also (can) contains,,,
1003371,rw,1020731,(Z)-cinnamyl acetate,also (can) contains,,,
1003371,rw,1106381,(E)-cinnamyl acetate,also (can) contains,,,
1003372,rw,1020731,(Z)-cinnamyl acetate,also (can) contains,,,
1003372,rw,1106381,(E)-cinnamyl acetate,also (can) contains,,,
1003391,rw,1106431,(E)-cinnamyl isovalerate,also (can) contains,,,
1003431,rw,1041341,(E)-citral,also (can) contains,,,
1003431,rw,1331191,(Z)-citral,also (can) contains,,,
1003432,rw,1041341,(E)-citral,also (can) contains,,,
1003432,rw,1331191,(Z)-citral,also (can) contains,,,
1003451,rw,1696101,neryl dimethyl acetal,also (can) contains,,,
1003451,rw,1696111,geranyl dimethyl acetal,also (can) contains,,,
1003452,rw,1696101,neryl dimethyl acetal,also (can) contains,,,
1003452,rw,1696111,geranyl dimethyl acetal,also (can) contains,,,
1003491,rw,1022051,amyl isoeugenol branched,also (can) contains,,,
1003591,rw,1662991,(E)-civet decenone,also (can) contains,,,
1004271,rw,1495171,glucose pentaacetate,also (can) contains,,,
1004301,rw,1011272,alpha-terpinyl acetate,also (can) contains,,5.0,25.0
