Stimulus,TGSC ID,CID,Concentration %,Solvent
10444-50-5E,1015621,5338463,100.0,
104468-21-5,1003951,53428828,10.0,dipropylene glycol
10448-24-5,1624761,92572,10.0,propylene glycol
10448-26-7,1419771,82635,,
10458-14-7,1399161,6986,10.0,dipropylene glycol
10461-98-0,1131081,66327,100.0,
104691-41-0,1038321,529052,0.1,dipropylene glycol
10471-96-2,1030621,112045,100.0,
10482-53-8,1011021,5352710,,
10482-55-0,1044991,5366155,100.0,
10482-56-1,1218601,443162,100.0,
10482-77-6,1015761,112049,100.0,
10482-79-8,1015801,6437720,100.0,
10484-09-0,1002941,66330,100.0,
10484-36-3,1003491,6437735,100.0,
10484-56-7,1413311,82664,100.0,
10486-12-1,1058721,112051,100.0,
10486-14-3,1028381,61521,100.0,
10486-19-8,1005541,25311,1.0,dipropylene glycol
10486-25-6,1454671,112052,100.0,
10486-26-7,1454681,112053,100.0,
104864-90-6,1559441,16063533,10.0,dipropylene glycol
10493-98-8,1538021,82674,0.1,propylene glycol
104986-28-9,1061361,113640,100.0,
105-01-1,1013401,7733,10.0,dipropylene glycol
105-13-5,1001251,7738,5.0,
105-21-5,1017151,7742,10.0,dipropylene glycol
105-37-3,1004931,7749,2.0,dipropylene glycol
105-43-1,1028581,7755,1.0,dipropylene glycol
105-45-3,1014971,7757,100.0,
105-46-4,1039911,7758,100.0,
105-53-3,1004331,7761,100.0,
105-54-4,1004791,7762,1.0,propylene glycol
105-57-7,1019481,7765,1.0,propylene glycol
105-60-2,1242681,7768,0.01,propylene glycol
105-66-8,1009231,7770,100.0,
105-67-9,1040091,7771,100.0,
105-68-0,1021091,7772,2.0,
105-79-3,1013501,7775,2.0,
105-82-8,1019611,66929,10.0,dipropylene glycol
105-85-1,1017871,7778,100.0,
105-86-2,1005551,5282109,100.0,
105-87-3,1030091,1549026,100.0,
105-89-5,1034381,7781,100.0,
105-90-8,1005591,5355853,100.0,
105-91-9,1033181,5365982,100.0,
105-95-3,1002471,61014,100.0,
10519-06-9,1013221,66337,1.0,dipropylene glycol
10519-11-6,1012631,25324,100.0,
10519-12-7,1027051,25325,100.0,
10519-17-2,1022511,82694,0.1,dipropylene glycol
10519-20-7,1022691,66338,10.0,dipropylene glycol
10521-91-2,1037121,61523,100.0,
10521-96-7,1548551,5380647,10.0,dipropylene glycol
10522-18-6,1033001,61524,100.0,
10522-26-6,1057911,66341,,
10522-32-4,1423931,6436374,100.0,
10544-63-5,1343341,12191,10.0,dipropylene glycol
105450-79-1,1622791,5352819,100.0,
105463-44-3,1002391,184493,100.0,
10551-58-3,1208491,66349,,
105657-89-4,1028281,71333711,,
105683-99-6,1552431,6432852,0.1,dipropylene glycol
10580-25-3,1015781,114416,100.0,
10588-10-0,1014021,66356,10.0,dipropylene glycol
10588-15-5,1058691,114419,10.0,dipropylene glycol
10599-70-9,1027711,61527,1.0,dipropylene glycol
106-02-5,1004211,235414,10.0,dipropylene glycol
106-11-6,1307211,7788,100.0,
106-18-3,1013551,61015,100.0,
106-19-4,1363611,7790,,
106-21-8,1000591,7792,100.0,
106-23-0,1032651,7794,10.0,dipropylene glycol
106-24-1,1006991,637566,100.0,
106-25-2,1008951,643820,100.0,
106-26-3,1331191,643779,100.0,
106-27-4,1006751,7795,100.0,
106-28-5,1290201,445070,100.0,
106-29-6,1025351,5355856,100.0,
106-30-9,1009171,7797,100.0,
106-31-0,1040691,7798,,
106-32-1,1056351,7799,100.0,
106-33-2,1012431,7800,100.0,
106-35-4,1025651,7802,1.0,dipropylene glycol
106-36-5,1029321,7803,100.0,
106-44-5,1003851,2879,0.1,dipropylene glycol
106-65-0,1021021,7820,100.0,
106-68-3,1004231,246728,10.0,dipropylene glycol
106-70-7,1008741,7824,100.0,
106-72-9,1019891,61016,1.0,dipropylene glycol
106-73-0,1017861,7826,100.0,
1064678-08-5,1118371,46195362,0.5,propylene glycol
1066-33-7,1097681,14013,100.0,
106887-88-1,1046651,550851,,
107-02-8,1216121,7847,0.1,dipropylene glycol
107-03-9,1021391,7848,0.1,propylene glycol
107-10-8,1049651,7852,0.1,propylene glycol
107-18-6,1038671,7858,0.1,dipropylene glycol
107-19-7,1278841,7859,100.0,
107-22-2,1248641,7860,100.0,
107-31-3,1039421,7865,10.0,dipropylene glycol
107-35-7,1097201,1123,100.0,
107-41-5,1022291,7870,100.0,
107-74-4,1002001,249494,100.0,
107-75-5,1000971,7888,100.0,
107-85-7,1035551,7894,0.1,propylene glycol
107-86-8,1037231,61020,1.0,dipropylene glycol
107-87-9,1009121,7895,1.0,dipropylene glycol
107-88-0,1018691,7896,,
107-92-6,1003411,264,1.0,dipropylene glycol
107-93-7,1231971,637090,1.0,
107-95-9,1002211,239,100.0,
1070-35-5,1038761,529770,100.0,
1072-83-9,1028421,14079,1.0,dipropylene glycol
1073-11-6,1532911,102550,100.0,
1073-26-3,1037101,61260,1.0,dipropylene glycol
1073-29-6,1035511,61261,0.1,propylene glycol
1073606-36-6,1655721,86278333,100.0,
1076-56-8,1036161,14104,1.0,dipropylene glycol
107697-91-6,1039011,545739,0.1,propylene glycol
107715-18-4,1029981,14818318,100.0,
107797-24-0,1555271,7057971,100.0,
107797-25-1,1555261,7057972,100.0,
107797-26-2,1555311,183870,100.0,
107797-27-3,1555301,7057904,100.0,
107898-54-4,1032011,15984303,10.0,dipropylene glycol
1079-01-2,1038161,11435490,100.0,
108-10-1,1032841,7909,10.0,dipropylene glycol
108-11-2,1204781,7910,1.0,dipropylene glycol
108-21-4,1020281,7915,10.0,dipropylene glycol
108-22-5,1252701,7916,100.0,
108-24-7,1097401,7918,1.0,dipropylene glycol
108-29-2,1024031,7921,100.0,
108-32-7,1040401,7924,,
108-38-3,1257341,7929,,
108-39-4,1007701,342,0.01,dipropylene glycol
108-46-3,1009421,5054,1.0,propylene glycol
108-47-4,1164611,7936,0.01,dipropylene glycol
108-48-5,1005491,7937,1.0,dipropylene glycol
108-50-9,1008151,7938,10.0,dipropylene glycol
108-59-8,1020321,7943,,
108-64-5,1007041,7945,10.0,dipropylene glycol
108-82-7,1035301,7957,10.0,dipropylene glycol
108-83-8,1036771,7958,1.0,dipropylene glycol
108-84-9,1046491,7959,100.0,
108-88-3,1290031,1140,10.0,
108-93-0,1017341,7966,10.0,dipropylene glycol
108-94-1,1098591,7967,1.0,dipropylene glycol
108-95-2,1009361,996,0.01,dipropylene glycol
