Stimulus,TGSC ID,CID,Concentration %,Solvent
1241905-19-0,1116831,87129548,0.1,propylene glycol
1247790-47-1,1611751,19871663,100.0,
124918-65-6,1554471,6997340,1.0,propylene glycol
125-12-2,1006791,61061,100.0,
125037-13-0,1122351,442368,1.0,ethyl alcohol
125109-84-4,1462391,86208,10.0,dipropylene glycol
125109-85-5,1131041,86209,100.0,
125187-30-6,1662371,18159637,,
125412-70-6,1555721,9990075,,
125476-23-5,1619141,6431224,,
125476-24-6,1619131,6431223,0.1,propylene glycol
125811-37-2,1374431,21606187,100.0,
126-14-7,1034761,219904,100.0,
126-64-7,1030541,31353,100.0,
126-90-9,1377001,67179,100.0,
126-91-0,1011631,443158,100.0,
126-96-5,1099861,23662384,100.0,
126745-61-7,1600461,6430151,,
127-08-2,1033941,517044,100.0,
127-09-3,1034671,517045,100.0,
127-17-3,1034261,1060,1.0,propylene glycol
127-41-3,1011951,5282108,10.0,dipropylene glycol
127-42-4,1011971,5371084,10.0,dipropylene glycol
127-43-5,1032741,61072,10.0,dipropylene glycol
127-51-5,1023011,5372174,10.0,dipropylene glycol
127-82-2,1304461,31391,100.0,
127-91-3,1344431,14896,10.0,dipropylene glycol
1271488-66-4,1681271,15775286,100.0,
127793-88-8,1094391,20224800,,
127931-21-9,1583181,54281757,0.1,propylene glycol
128-37-0,1029651,31404,100.0,
128-50-7,1017251,31408,100.0,
128-51-8,1007151,101604,100.0,
128119-70-0,1057661,18955245,100.0,
128331-45-3,1038191,25080119,100.0,
128331-48-6,1038221,25080121,100.0,
128331-49-7,1038231,25080122,100.0,
128342-71-2,1554431,6997333,0.1,dipropylene glycol
128342-72-3,1554461,6997342,1.0,propylene glycol
128386-31-2,1552491,527305,,
129098-41-5,1033821,6950760,100.0,
129319-15-9,1597451,14638401,100.0,
130-95-0,1108861,3034034,,
13002-09-0,1408161,83036,10.0,dipropylene glycol
1301-70-8,1117441,14765,100.0,
13019-16-4,1587111,25610,100.0,
13019-20-0,1108181,25611,100.0,
13019-22-2,1009351,25612,10.0,dipropylene glycol
1303-96-4,1283911,16722143,100.0,
1304037-63-5,1059551,58265243,100.0,
1304037-68-0,1047581,67159299,1000.0,
13049-88-2,1582811,71586960,10.0,dipropylene glycol
1305-62-0,1098101,6093208,,
1305-78-8,1098151,14778,100.0,
13074-63-0,1050791,114453,100.0,
13074-65-2S,1019361,1810691,100.0,
130786-09-3,1085891,20831761,100.0,
1308-38-9,1229661,517277,100.0,
1309-42-8,1099181,73981,100.0,
1309-48-4,1099201,14792,100.0,
13092-66-5,1609991,24439,100.0,
1309389-73-8,1094351,1042026,,
131-11-3,1018891,8554,100.0,
131-99-7,1608901,135398640,100.0,
13109-70-1,1012621,97897,100.0,
13112-65-7,1594031,22011445,10.0,dipropylene glycol
131222-75-8,1636381,15046847,0.1,dipropylene glycol
131222-76-9,1636371,11815467,0.1,dipropylene glycol
131222-81-6,1117551,6951723,1.0,propylene glycol
131222-82-7,1117261,6951724,1.0,propylene glycol
131379-24-3,1132081,16723410,,
1314-13-2,1100231,14806,100.0,
1314-62-1,1296301,14814,100.0,
1314926-27-6,1552381,6429016,10.0,propylene glycol
1315251-11-6,1021261,68161970,10.0,dipropylene glycol
13162-46-4,1582041,61584,0.1,propylene glycol
131671-56-2,1551421,15273629,,
1317-38-0,1231511,14829,100.0,
1317-61-9,1252151,9816051,100.0,
13171-00-1,1007691,61585,100.0,
131766-73-9,1059161,57483300,100.0,
13184-86-6,1434631,61586,20.0,ethyl alcohol
1319-88-6,1004731,5463840,100.0,
13192-12-6,1299691,166783,100.0,
1320-67-8,1463601,3032390,100.0,
1321-30-8,1022261,5463842,100.0,
1321-60-4,1054521,5463846,,
1321-89-7,1016951,14862,1.0,dipropylene glycol
13211-15-9,1487721,93073,100.0,
13215-88-8,1041871,107631,100.0,
1322-17-4,1010231,16220103,100.0,
1322-58-3,1034921,6374524,100.0,
1323-00-8,1000041,24832103,100.0,
1323-39-3,1034081,221068,100.0,
1323-75-7,1034521,73557527,100.0,
13254-34-7,1024471,83268,100.0,
13257-44-8,1001971,25812,10.0,dipropylene glycol
1327-43-1,1301251,3084116,100.0,
132735-95-6,1621141,21434157,10.0,propylene glycol
1329-99-3,1399431,7460,,
133-18-6,1006421,8615,100.0,
133-37-9,1060791,875,100.0,
1331-92-6,1120711,1623625,100.0,
13327-56-5,1008241,61592,0.1,propylene glycol
1333-09-1,1034971,6451245,10.0,dipropylene glycol
1333-49-9,1424091,7792,100.0,
1333-53-5,1548071,74004,1.0,dipropylene glycol
1333-58-0,1381341,74005,1.0,dipropylene glycol
1334-76-5,1435781,14918,100.0,
1334-78-7,1004561,12105,1.0,dipropylene glycol
1334-82-3,1003551,74008,100.0,
13341-72-5,1038151,94349,100.0,
133447-37-7,1552511,529251,1.0,propylene glycol
1335-44-0,1052201,74010,10.0,dipropylene glycol
1335-46-2,1006171,5371084,10.0,dipropylene glycol
1335-66-6,1020591,16204527,100.0,
1335-86-0,1506631,11574,10.0,dipropylene glycol
13351-61-6,1013491,83367,100.0,
13360-64-0,1008361,25915,0.1,propylene glycol
13360-65-1,1426491,25916,0.01,propylene glycol
1337-83-3,1016731,61097,1.0,dipropylene glycol
1338-41-6,1034711,14928,100.0,
1338-43-8,1050391,6433271,100.0,
133860-42-1,1590661,14837639,0.1,propylene glycol
1339119-15-1,1023661,54159794,100.0,
134-03-2,1253391,23667548,100.0,
134-09-8,1031281,8633,100.0,
134-20-3,1008211,8635,100.0,
134-28-1,1005771,61079,100.0,
134-96-3,1026801,8655,100.0,
1340-11-0,1120411,637756,100.0,
134123-93-6,1059261,164355,100.0,
13419-69-7,1026581,5282707,1.0,propylene glycol
13422-51-0,1109591,50935334,,
1343-88-0,1247061,61680,100.0,
134346-43-3,1552521,20981955,,
134359-15-2,1597361,9942315,,
1344-00-9,1303551,19758701,100.0,
1344-28-1,1218901,9989226,100.0,
1344-95-2,1227011,14941,100.0,
134452-45-2,1552531,20981956,,
13463-67-7,1100161,26042,100.0,
13466-78-9,1014471,26049,100.0,
13474-59-4,1384461,6429302,100.0,
134769-33-8,1030521,6450538,10.0,dipropylene glycol
13477-62-8,1032951,114530,10.0,dipropylene glycol
13481-87-3,1037561,61631,100.0,
13491-79-7,1010571,26068,100.0,
13493-97-5,1587351,556916,,
13494-06-9SS,1012731,6997364,1.0,dipropylene glycol
13494-07-0,1012741,61634,1.0,propylene glycol
13494-08-1,1447311,114535,0.1,propylene glycol
135-02-4,1006111,8658,10.0,propylene glycol
135-79-5,1007221,67285,1.0,dipropylene glycol
13529-27-6,1176261,83553,100.0,
13532-18-8,1007021,61641,0.1,propylene glycol
13552-96-0,1037201,6421281,1.0,dipropylene glycol
13567-39-0,1001171,122510,100.0,
135910-94-0,1555161,643135,10.0,dipropylene glycol
1359963-68-0,1661811,66746559,,
136-60-7,1013151,8698,100.0,
136115-65-6,1597111,5369325,,
136115-66-7,1597121,5369326,,
13623-11-5,1008831,61653,1.0,dipropylene glycol
1365-19-1,1014331,22310,100.0,
13678-55-2,1628301,19863975,,
13678-56-3,1072781,15701285,1.0,dipropylene glycol
13678-58-5,1035491,61656,0.1,propylene glycol
13678-59-6,1035961,61657,0.1,dipropylene glycol
13678-60-9,1024341,61658,100.0,
13678-67-6,1035661,61659,0.1,propylene glycol
13678-68-7,1024401,61660,0.1,propylene glycol
13678-69-8,1586661,83652,0.1,propylene glycol
13679-46-4,1024351,61661,1.0,dipropylene glycol
13679-61-3,1035791,61662,0.1,dipropylene glycol
13679-70-4,1009041,61663,0.1,dipropylene glycol
13679-72-6,1056521,83653,,
13679-74-8,1503451,83655,1.0,propylene glycol
13679-75-9,1150811,26179,0.01,propylene glycol
13679-83-9,1583901,20560352,0.01,propylene glycol
13679-85-1,1036601,61664,0.1,dipropylene glycol
13679-86-2,1012121,61665,100.0,
136954-20-6,1552551,518810,0.1,dipropylene glycol
136954-21-7,1583191,537754,0.1,dipropylene glycol
136954-22-8,1583581,536987,0.1,dipropylene glycol
136954-25-1,1545851,2733977,0.1,dipropylene glycol
137-00-8,1023221,1136,100.0,
137-03-1,1004971,8710,100.0,
137-06-4,1020261,8712,0.1,propylene glycol
137-08-6,1098161,8714,100.0,
137-16-6,1303351,23668817,100.0,
137-32-6,1059521,8723,100.0,
137-40-6,1099971,2723816,100.0,
137-66-6,1253371,54680660,100.0,
13706-86-0,1007951,26204,1.0,propylene glycol
1370711-06-0,1019251,90266236,10.0,dipropylene glycol
13708-12-8,1035481,61670,0.1,dipropylene glycol
137085-37-1,1458311,6450542,100.0,
13720-12-2,1381991,114558,10.0,dipropylene glycol
137255-07-3,1435291,76959240,0.1,dipropylene glycol
13744-15-5,1454791,93081,100.0,
1374790-21-2,1037621,20381858,0.1,dipropylene glycol
13786-79-3,1525951,6436727,10.0,dipropylene glycol
137886-38-5,1587131,527108,100.0,
1378867-81-2,1086051,89491190,100.0,
13794-73-5,1046371,111402,100.0,
138-15-8,1253181,2723891,100.0,
138-22-7,1106241,8738,100.0,
138-23-8,1006431,61085,100.0,
138-86-3,1240221,22311,100.0,
138-87-4,1031211,8748,10.0,dipropylene glycol
13811-71-7,1018981,117410,100.0,
13816-33-6,1016811,26289,1.0,dipropylene glycol
13828-37-0,1596941,83763,100.0,
13837-75-7,1551651,6857487,,
13851-11-1,1005111,107217,100.0,
13877-91-3,1017311,18756,100.0,
13877-93-5,1011551,5322111,100.0,
13894-61-6,1433011,5362782,1.0,
13894-62-7,1590611,5362819,,
13894-63-8,1023271,5364409,100.0,
138964-30-4,1017431,5357153,100.0,
139-33-3,1131691,8759,100.0,
139-45-7,1025161,8763,100.0,
139-70-8,1020951,8767,100.0,
139-85-5,1040061,8768,100.0,
139164-92-4,1554801,6992421,100.0,
13925-00-3,1008381,26331,1.0,dipropylene glycol
13925-03-6,1302901,26332,0.1,dipropylene glycol
13925-05-8,1036821,61700,0.1,dipropylene glycol
13925-06-9,1013671,26333,0.1,dipropylene glycol
13925-07-0,1008281,26334,0.1,dipropylene glycol
13925-08-1,1035521,26335,,
139504-68-0,1100881,164422,100.0,
13952-84-6,1056631,24874,0.1,propylene glycol
139564-42-4,1582711,53436911,,
139564-43-5,1383171,263620,10.0,propylene glycol
13991-37-2,1048831,638122,100.0,
140-10-3,1003271,444539,100.0,
140-11-4,1001611,8785,100.0,
140-25-0,1030911,8791,100.0,
140-26-1,1010091,8792,1.0,
140-27-2,1003391,61091,1.0,
140-39-6,1003891,8797,1.0,dipropylene glycol
140-67-0,1013251,8815,10.0,propylene glycol
140-88-5,1008231,8821,1.0,dipropylene glycol
14009-71-3,1551671,6431477,100.0,
14049-11-7,1378061,26396,100.0,
1405-86-3,1032161,14982,100.0,
1405-92-1,1000921,102120,100.0,
1407-14-3,1009701,327378,,
14073-97-3,1008131,26447,10.0,dipropylene glycol
141-04-8,1018661,8831,100.0,
141-05-9Z,1018941,5271566,100.0,
141-06-0,1049881,67328,10.0,dipropylene glycol
141-09-3,1034371,61092,100.0,
141-10-6,1005841,1757003,100.0,
141-11-7,1001421,8833,100.0,
141-12-8,1033551,1549025,100.0,
141-13-9,1024451,98403,1.0,dipropylene glycol
141-14-0,1001021,8834,2.0,
141-15-1,1034361,61093,100.0,
141-16-2,1017851,8835,100.0,
141-25-3,1010451,8842,1.0,
141-27-5,1041341,638011,100.0,
141-78-6,1004691,8857,10.0,propylene glycol
141-79-7,1035971,8858,1.0,propylene glycol
141-92-4,1006451,8863,100.0,
141-97-9,1001851,8868,100.0,
14109-72-9,1583911,6430713,0.1,dipropylene glycol
14129-48-7,1586051,84216,1.0,dipropylene glycol
14159-61-6,1035991,61715,0.1,dipropylene glycol
1416051-88-1,1094291,86723329,0.01,ethyl alcohol
14173-25-2,1047211,84234,0.1,propylene glycol
141773-73-1,1557401,16063567,100.0,
142-19-8,1021051,8878,100.0,
142-47-2,1033031,23677676,100.0,
142-50-7,1384621,5356544,100.0,
142-60-9,1033401,61096,100.0,
142-62-1,1008541,8892,10.0,propylene glycol
142-68-7,1287681,8894,0.1,dipropylene glycol
142-75-6,1463591,14878,100.0,
142-77-8,1013711,5354342,100.0,
142-82-5,1249371,8900,,
142-83-6,1026221,637564,10.0,dipropylene glycol
142-88-1,1670751,8905,100.0,
142-91-6,1019311,8907,100.0,
142-92-7,1003201,8908,10.0,dipropylene glycol
142-96-1,1226111,8909,,
142227-90-5,1697751,15953432,,
1424-83-5,1597471,6429101,,
14252-42-7,1483541,139711,0.01,dipropylene glycol
14259-46-2,1057341,85704,100.0,
142653-61-0,1547821,15031854,10.0,dipropylene glycol
14289-65-7,1038811,84328,100.0,
142896-08-0,1618571,529346,0.1,dipropylene glycol
142896-09-1,1600671,529345,0.1,dipropylene glycol
142896-11-5,1600651,529344,1.0,dipropylene glycol
142896-12-6,1600661,529352,0.1,dipropylene glycol
143-07-7,1008181,3893,100.0,
143-08-8,1000211,8914,100.0,
143-13-5,1015611,8918,100.0,
143-14-6,1035131,61097,1.0,dipropylene glycol
143-28-2,1270841,5284499,100.0,
14309-57-0,1028061,26630,100.0,
143361-03-9,1368881,53822360,,
14350-97-1,1363821,84372,100.0,
14352-61-5,1259731,139743,100.0,
14360-50-0,1036121,61738,1.0,dipropylene glycol
14371-10-9,1092691,637511,10.0,dipropylene glycol
14374-92-6,1045531,84398,10.0,dipropylene glycol
143764-28-7,1590511,6428938,,
1438-91-1,1024361,518937,0.1,propylene glycol
1438-94-4,1028491,15037,1.0,dipropylene glycol
144-39-8,1007941,61098,100.0,
144-62-7,1271141,971,100.0,
14400-67-0,1042761,85730,1.0,dipropylene glycol
14436-32-9,1018301,61743,10.0,dipropylene glycol
1445-91-6,1142401,443135,100.0,
14476-37-0,1587031,84467,,
14481-52-8,1034821,61746,100.0,
14481-55-1,1050701,85741,100.0,
14486-03-4,1045981,6992930,1.0,propylene glycol
145-39-1,1005681,67350,10.0,benzyl benzoate
1450-72-2,1158081,15068,1.0,dipropylene glycol
1450-85-7,1177551,1550489,0.1,propylene glycol
14507-02-9,1018201,87632,1.0,dipropylene glycol
14542-13-3,1031961,575451,0.1,propylene glycol
14543-49-8,1361391,535026,100.0,
1455-20-5,1040641,73818,0.01,propylene glycol
14575-74-7,1551681,6427108,,
14576-08-0,1050691,85755,100.0,
14595-54-1,1014881,6365389,100.0,
14617-92-6,1041611,84556,1.0,dipropylene glycol
14620-52-1,1001691,84559,100.0,
14639-25-9,1554751,151932,100.0,
14667-55-1,1012941,26808,0.01,dipropylene glycol
146955-45-5,1132411,11344862,100.0,
147-71-7,1060801,439655,,
147-85-3,1035851,145742,100.0,
147159-48-6,1552561,5283348,0.1,dipropylene glycol
147159-49-7,1524991,6436710,1.0,dipropylene glycol
14735-72-9,1025731,84614,50.0,dipropylene glycol
14765-30-1,1001541,61771,100.0,
148-83-4,1068721,5281420,,
14807-96-6,1285311,26924,100.0,
14812-03-4,1594271,5312586,100.0,
1487-49-6,1415671,15146,100.0,
14898-79-4,1140361,84682,100.0,
149-32-6,1257251,222285,100.0,
1490-04-6,1310491,1254,10.0,dipropylene glycol
14901-07-6,1006631,638014,10.0,dipropylene glycol
14959-86-5,1131881,5363527,100.0,
149982-46-7,1044631,6366719,100.0,
150-19-6,1191401,9007,1.0,dipropylene glycol
150-30-1,1037691,994,100.0,
150-60-7,1011651,9012,0.1,propylene glycol
150-76-5,1027421,9015,1.0,dipropylene glycol
150-78-7,1004451,9016,1.0,dipropylene glycol
150-84-5,1012171,9017,100.0,
150-86-7,1040391,5280435,100.0,
150-90-3,1021271,9020,,
1504-55-8,1032341,6393846,100.0,
1504-74-1,1006091,15173,5.0,
1504-75-2,1032331,582941,10.0,dipropylene glycol
150436-68-3,1038241,23670520,100.0,
15051-81-7,1551691,6430754,100.0,
151-05-3,1004431,9024,100.0,
151-10-0,1027111,9025,1.0,dipropylene glycol
151-19-9,1003621,9027,100.0,
151-21-3,1000091,3423265,100.0,
15111-56-5,1043561,85803,,
15111-96-3,1031171,61780,100.0,
15111-97-4,1046211,61781,100.0,
15120-21-5,1303411,5460514,100.0,
151409-53-9,1037541,641832,10.0,dipropylene glycol
15149-10-7,1497961,84804,100.0,
1515-95-3,1531711,73690,10.0,dipropylene glycol
151533-22-1,1607161,135564391,100.0,
1516-17-2,1026241,15196,100.0,
1517-69-7,1140171,637516,100.0,
15174-47-7,1072121,5372813,100.0,
15186-51-3,1435551,84825,1.0,dipropylene glycol
1523-19-9,1010921,137059,100.0,
153175-57-6,1107791,12980879,100.0,
15323-35-0,1000831,47167,10.0,dipropylene glycol
1534-08-3,1046361,73750,0.1,propylene glycol
15352-77-9,1012461,27208,100.0,
15356-60-2,1107951,165675,,
15356-74-8,1019161,27209,100.0,
15373-31-6,1548671,85833,10.0,dipropylene glycol
15399-05-0,1597051,6429708,10.0,dipropylene glycol
1540-29-0,1474221,95466,100.0,
154170-44-2,1132231,3025865,100.0,
15423-57-1,1104471,5281519,100.0,
15456-68-5,1597371,78122470,,
15456-70-9,1597381,16224907,,
1551-43-5,1041931,73772,100.0,
1551-44-6,1017411,243783,100.0,
15514-30-0,1049741,57009973,100.0,
1552-67-6,1385771,519129,100.0,
15537-55-0,1532211,62367,100.0,
15543-65-4,1022461,177610,10.0,dipropylene glycol
155639-75-1,1594081,11084346,10.0,dipropylene glycol
156-06-9,1274191,997,100.0,
1560-81-2,1052331,519145,,
1561-11-1,1582441,15271,1.0,propylene glycol
156324-82-2,1584191,66939693,100.0,
156420-69-8,1590291,15420665,0.01,propylene glycol
156472-94-5,1584261,9833996,0.1,dipropylene glycol
1565-74-8,1139851,640199,100.0,
1565-76-0,1501841,102648,100.0,
1565-80-6,1142101,2723602,,
1565-81-7,1037041,519158,100.0,
15679-09-1,1043911,85053,0.01,propylene glycol
15679-12-6,1022921,27440,0.1,dipropylene glycol
15679-13-7,1005381,61808,0.1,dipropylene glycol
15679-19-3,1022201,61809,1.0,dipropylene glycol
1569-50-2,1458251,15289,,
1569-60-4,1008971,20745,1.0,dipropylene glycol
1569-69-3,1041841,15290,,
15706-73-7,1007621,61812,100.0,dipropylene glycol
15707-23-0,1017841,27457,0.1,dipropylene glycol
15707-24-1,1017911,27458,0.1,dipropylene glycol
15707-34-3,1551711,27460,0.1,propylene glycol
15729-76-7,1042411,85073,0.01,propylene glycol
1575-74-2,1036591,549519,10.0,propylene glycol
157501-13-8,1029691,101670432,,
1576-78-9,1054441,21159742,10.0,dipropylene glycol
1576-85-8,1206291,74096,1.0,dipropylene glycol
1576-87-0,1028601,5364752,1.0,dipropylene glycol
1576-95-0,1002171,5364919,10.0,dipropylene glycol
1576-96-1,1537941,5364920,,
15760-18-6,1015731,85903,100.0,
157615-33-3,1552571,6429268,0.1,dipropylene glycol
15764-16-6,1005451,61814,100.0,
1577-18-0,1027611,5282708,1.0,dipropylene glycol
1577-19-1,1054501,15307,100.0,
1582789-90-9,1076781,89422368,,
15848-49-4,1804521,10877336,1.0,dipropylene glycol
1587-20-8,1118901,74112,100.0,
15932-80-6,1507831,6988,,
159640-28-5,1607721,11686063,100.0,
15986-80-8,1040341,85224,0.1,dipropylene glycol
15986-81-9,1656381,519203,0.1,propylene glycol
15987-00-5,1013661,85228,0.1,propylene glycol
1599-47-9,1026441,74137,100.0,
1599-49-1,1037171,15336,100.0,
1604-28-0,1004501,27971,1.0,dipropylene glycol
1604-34-8,1026351,95495,,
1608-72-6,1590271,97895,100.0,
16128-68-0,1036711,61829,0.1,propylene glycol
1617-23-8,1036291,53428586,10.0,dipropylene glycol
1617-40-9,1433071,6436311,10.0,propylene glycol
1618-26-4,1057521,15380,0.1,propylene glycol
16197-92-5,1558331,6951704,100.0,
16251-77-7,1010011,85979,10.0,dipropylene glycol
1628-89-3,1177991,74201,0.1,propylene glycol
1629-58-9,1009141,15394,1.0,propylene glycol
1629-60-3,1044601,15395,0.1,propylene glycol
163038-04-8,1618361,11815386,1.0,dipropylene glycol
1632-73-1,1011531,15406,100.0,
163266-17-9,1593771,53338773,0.1,propylene glycol
1634-04-4,1040561,15413,,
16356-11-9,1005481,61832,1.0,dipropylene glycol
1637294-12-2,1804751,17877030,,
1639-09-4,1249431,15422,0.1,propylene glycol
16400-72-9,1430591,61834,100.0,
16409-43-1,1035651,27866,1.0,dipropylene glycol
16409-45-3,1006931,27867,100.0,
16409-46-4,1020381,565690,100.0,
16423-19-1,1462671,15559490,0.01,dipropylene glycol
16424-55-8,1127541,5362593,100.0,
16429-21-3,1037061,61835,100.0,
164524-93-0,1583971,526853,0.01,propylene glycol
1646-26-0,1108931,15435,10.0,dipropylene glycol
16491-24-0,1026281,86015,100.0,
16491-25-1,1026321,86016,100.0,
16491-36-4,1015591,5352438,100.0,
16491-54-6,1037081,27892,10.0,dipropylene glycol
16493-80-4,1515051,61840,1.0,propylene glycol
16509-46-9,1376991,442474,,
16510-27-3,1589981,6422476,10.0,dipropylene glycol
165191-91-3,1594621,246089,100.0,
1653-30-1,1035681,15448,100.0,
1658479-63-0,1588201,118437152,1.0,propylene glycol
16587-71-6,1003401,27941,10.0,dipropylene glycol
16630-52-7S,1036011,643442,0.1,dipropylene glycol
16630-55-0,1047461,85519,0.1,propylene glycol
16630-60-7,1471011,85520,0.1,propylene glycol
16630-61-8,1597221,85521,0.1,propylene glycol
16630-66-3,1062271,85522,0.1,dipropylene glycol
16635-54-4,1095381,6428782,10.0,dipropylene glycol
166432-52-6Z,1011491,10374596,1.0,dipropylene glycol
1669-44-9,1028561,15475,1.0,dipropylene glycol
1670-47-9,1041851,74279,1.0,dipropylene glycol
16721-38-3,1053761,85567,100.0,
16721-39-4,1053771,85568,100.0,
1674-08-4,1054331,5320609,100.0,
1679-07-8,1015151,15510,0.01,propylene glycol
16841-14-8,1220271,9805153,100.0,
168564-54-3,1552581,6428927,100.0,
1686-14-2,1218571,91508,,
168677-75-6,1656131,86278328,100.0,
169054-69-7,1581871,6430188,100.0,
16930-93-1,1026261,86094,100.0,
16930-96-4,1002591,28151,10.0,dipropylene glycol
16939-73-4,1025741,5363203,10.0,dipropylene glycol
16957-70-3,1468281,5365909,10.0,dipropylene glycol
16958-88-6,1058211,85652,100.0,
1703-52-2,1175471,74346,0.1,propylene glycol
17042-24-9,1551731,529635,0.01,propylene glycol
1706-12-3,1058571,74351,1.0,dipropylene glycol
17066-67-0,1053721,28237,100.0,
170678-49-6,1473961,11073907,100.0,
1708-34-5,1005861,74360,100.0,
1708-35-6,1438011,15571,100.0,
1708-81-2,1040241,5364517,10.0,dipropylene glycol
1708-82-3,1451571,15574,10.0,dipropylene glycol
17102-64-6,1040171,641256,100.0,
17114-82-8,1039151,56844155,1.0,propylene glycol
172201-58-0,1586421,71587572,100.0,
1725-01-5,1016871,74408,100.0,
1727-68-0,1459301,61270,100.0,
1728-46-7S,1013281,7004919,10.0,dipropylene glycol
17283-81-7,1019321,519382,100.0,
1730-89-8,1554411,11126290,,
1730-91-2,1141241,448893,,
1730-94-5,1554351,12477205,,
1730-97-8,1554331,6971249,10.0,propylene glycol
17301-53-0,1235811,3014969,100.0,
1731-81-3,1582831,15605,100.0,
1731-84-6,1032801,15606,10.0,
1731-86-8,1047501,15607,100.0,
1733-25-1,1035621,15613,1.0,dipropylene glycol
17369-60-7,1507851,86558,10.0,propylene glycol
17369-61-8,1034931,86559,100.0,
17373-89-6,1007801,4574094,1.0,dipropylene glycol
17465-86-0,1248011,86575,100.0,
17511-60-3,1011151,86579,100.0,
1754-62-7,1008271,637520,100.0,
17587-33-6,1038171,636687,1.0,dipropylene glycol
1759-28-0,1028541,15654,0.1,dipropylene glycol
17597-95-4,1003601,87166,10.0,dipropylene glycol
17619-36-2,1035771,5319765,0.1,propylene glycol
17626-75-4,1049861,87198,0.01,propylene glycol
17627-44-0,1383021,86597,100.0,
1767-46-0,1554311,13463446,100.0,
17699-14-8,1054531,86609,100.0,
17699-16-0,1532201,6326181,100.0,
1775-43-5,1445951,5355152,1.0,propylene glycol
1786-08-9,1001891,61275,100.0,
178900-23-7,1655711,86278278,100.0,
17909-77-2,1009441,5281534,,
17957-94-7,1558081,442478,10.0,dipropylene glycol
1797-74-6,1002911,15717,100.0,
17990-16-8,1491571,643723,100.0,
18031-40-8,1023571,2724159,10.0,dipropylene glycol
180348-60-1,1586551,22182954,100.0,
18060-79-2,1551741,87436,0.01,propylene glycol
18096-62-3,1033251,87453,1.0,dipropylene glycol
180964-47-0,1422351,11631979,100.0,
18114-49-3,1548311,193527,0.1,propylene glycol
1812-53-9,1052811,15743,100.0,
181258-87-7,1426341,18974564,10.0,dipropylene glycol
18127-01-0,1023831,64832,10.0,dipropylene glycol
18138-03-9,1049831,87466,0.1,dipropylene glycol
18138-04-0,1018961,28905,0.1,dipropylene glycol
18138-05-1,1301661,28906,0.1,dipropylene glycol
181589-32-2,1552591,6431144,,
18172-67-3,1108611,440967,10.0,dipropylene glycol
18189-02-1,1058661,87499,100.0,
18189-07-6,1018411,87501,100.0,
182699-77-0,1552601,6430321,10.0,dipropylene glycol
18277-27-5S,1013841,446177,0.1,dipropylene glycol
18309-28-9,1507821,6432469,,
18318-83-7,1026571,6436486,10.0,dipropylene glycol
18358-53-7,1437821,86707,100.0,
18362-97-5,1045611,87598,100.0,
18368-91-7,1024171,106997,1.0,dipropylene glycol
18368-95-1,1551761,176983,100.0,
18374-76-0,1081281,5321003,1.0,dipropylene glycol
1838-59-1,1038721,61278,,
1838-88-6,1458011,6365449,,
18383-49-8,1015631,11030188,100.0,
18402-84-1,1057561,5363233,1.0,dipropylene glycol
18409-17-1,1048181,5318599,1.0,dipropylene glycol
18409-18-2,1420171,5364942,100.0,
18409-20-6EZ,1048091,12607745,1.0,
18409-21-7,1615981,5362696,1.0,dipropylene glycol
18433-93-7,1062251,86733,100.0,
18433-97-1,1381321,87637,0.1,propylene glycol
18433-98-2,1551771,519564,,
18436-37-8,1020491,86736,100.0,
18445-88-0,1020071,5365877,10.0,dipropylene glycol
18479-49-7,1381571,86748,100.0,
18479-51-1,1004371,86749,100.0,
18479-54-4,1020651,86750,100.0,
18479-57-7,1030291,86751,100.0,
18479-58-8,1006051,29096,100.0,
18479-68-0,1107931,86753,100.0,
18485-38-6,1021361,6436491,10.0,dipropylene glycol
18486-69-6,1362961,44145443,100.0,
184900-07-0,1030791,5368491,100.0,
18492-65-4,1025701,5369371,100.0,
185429-83-8,1378721,17839537,1.0,dipropylene glycol
18543-68-5,1609401,198473,100.0,
18607-93-7,1551781,95289,1.0,dipropylene glycol
1862-61-9,1050841,5365912,100.0,
18640-74-9,1005371,62725,1.0,dipropylene glycol
1866-31-5,1117191,641423,100.0,
1866-31-5N,1002311,15834,100.0,
1866-31-5Z,1117241,15834,100.0,
18675-35-9,1551791,443180,100.0,
18679-18-0,1038301,5352428,2.0,dipropylene glycol
1871-67-6,1048161,5282714,10.0,dipropylene glycol
18721-61-4,1043951,87762,0.1,propylene glycol
1875-89-4,1032141,74648,100.0,
18776-92-6,1594001,6433715,10.0,dipropylene glycol
1878-18-8S,1032241,7058092,0.1,propylene glycol
18787-63-8,1176351,29251,100.0,
18794-77-9,1044761,87793,0.1,dipropylene glycol
18794-84-8,1053891,5281517,100.0,
18824-63-0,1017811,87813,10.0,dipropylene glycol
18829-55-5,1028241,5283316,1.0,dipropylene glycol
18829-56-6,1027921,5283335,1.0,dipropylene glycol
1883-78-9,1024381,61282,0.1,dipropylene glycol
18836-52-7,1584141,5318516,1.0,dipropylene glycol
188417-26-7,1407661,3025943,1.0,
1885-38-7,1004921,1550846,10.0,dipropylene glycol
188570-78-7,1483601,44152604,100.0,
188590-62-7,1552541,6427068,100.0,
18871-14-2,1005441,86799,100.0,
1888-80-8,1119741,86848,100.0,
18881-04-4,1132431,2734021,100.0,
188829-73-4,1035461,5370602,100.0,
