TGSC ID,Concentration %,Solvent
1000021,,
1000031,100.0,
1000031,,
1000041,100.0,
1000041,,
1000051,100.0,
1000091,100.0,
1000111,100.0,
1000111,,
1000131,1.0,dipropylene glycol
1000131,1.0,
1000141,100.0,
1000141,,
1000161,100.0,
1000161,,
1000171,10.0,dipropylene glycol
1000171,,
1000172,10.0,dipropylene glycol
1000172,,
1000191,100.0,
1000211,100.0,
1000212,100.0,
1000221,1.0,dipropylene glycol
1000231,100.0,
1000232,100.0,
1000241,100.0,
1000251,1.0,dipropylene glycol
1000251,,
1000291,10.0,dipropylene glycol
1000291,1.0,
1000292,10.0,dipropylene glycol
1000292,1.0,
1000301,10.0,dipropylene glycol
1000311,1.0,dipropylene glycol
1000321,100.0,
1000322,100.0,
1000322,,
1000331,1.0,dipropylene glycol
1000332,1.0,dipropylene glycol
1000332,,
1000341,100.0,
1000361,10.0,dipropylene glycol
1000371,10.0,dipropylene glycol
1000371,2.0,
1000381,100.0,
1000382,100.0,
1000391,100.0,
1000391,,
1000401,100.0,
1000411,1.0,dipropylene glycol
1000411,,
1000412,1.0,dipropylene glycol
1000412,,
1000421,100.0,
1000431,100.0,
1000441,100.0,
1000481,100.0,
1000491,100.0,
1000511,100.0,
1000531,100.0,
1000531,,
1000532,100.0,
1000532,,
1000591,100.0,
1000592,100.0,
1000592,1.0,
1000601,100.0,
1000631,100.0,
1000631,,
1000691,100.0,
1000701,10.0,dipropylene glycol
1000701,,
1000731,10.0,dipropylene glycol
1000751,10.0,dipropylene glycol
1000751,,
1000801,10.0,dipropylene glycol
1000811,100.0,
1000821,100.0,
1000822,100.0,
1000822,,
1000831,10.0,dipropylene glycol
1000881,1.0,dipropylene glycol
1000911,10.0,dipropylene glycol
1000921,100.0,
1000931,1.0,propylene glycol
1000931,0.1,
1000941,100.0,
1000961,100.0,
1000971,100.0,
1000972,100.0,
1000972,,
1000981,100.0,
1001011,100.0,
1001011,,
1001021,100.0,
1001021,2.0,
1001051,100.0,
1001111,100.0,
1001151,10.0,dipropylene glycol
1001152,10.0,dipropylene glycol
1001152,,
1001171,100.0,
1001221,100.0,
1001231,10.0,dipropylene glycol
1001251,100.0,
1001251,5.0,
1001271,100.0,
1001272,100.0,
1001272,2.0,
1001291,100.0,
1001292,100.0,
1001292,5.0,
1001331,1.0,propylene glycol
1001351,0.1,dipropylene glycol
1001361,100.0,
1001361,,
1001371,100.0,
1001372,100.0,
1001381,100.0,
1001382,100.0,
1001382,,
1001391,100.0,
1001401,1.0,propylene glycol
1001401,2.0,
1001421,100.0,
1001441,100.0,
1001451,10.0,dipropylene glycol
1001451,,
1001452,10.0,dipropylene glycol
1001452,,
1001471,10.0,dipropylene glycol
1001471,,
1001491,10.0,dipropylene glycol
1001491,,
1001511,100.0,
1001531,10.0,dipropylene glycol
1001531,,
1001541,100.0,
1001541,,
1001561,100.0,
1001561,,
1001571,0.1,dipropylene glycol
1001591,100.0,
1001591,,
1001601,100.0,
1001602,100.0,
1001602,,
1001611,100.0,
1001612,100.0,
1001612,,
1001621,100.0,
1001631,10.0,dipropylene glycol
1001632,10.0,dipropylene glycol
1001632,,
1001641,100.0,
1001641,,
1001651,100.0,
1001651,,
1001652,100.0,
1001652,,
1001661,0.1,propylene glycol
1001661,,
1001671,100.0,
1001672,100.0,
1001672,,
1001681,100.0,
1001681,,
1001691,100.0,
1001711,100.0,
1001711,,
1001731,100.0,
1001751,10.0,dipropylene glycol
1001751,,
1001771,100.0,
1001772,100.0,
1001772,,
1001781,100.0,
1001791,100.0,
1001792,100.0,
1001801,100.0,
1001811,100.0,
1001841,10.0,dipropylene glycol
1001842,10.0,dipropylene glycol
1001851,100.0,
1001852,100.0,
1001852,,
1001881,100.0,
1001891,100.0,
1001891,,
1001901,100.0,
1001921,100.0,
1001951,10.0,propylene glycol
1001951,,
1001961,10.0,dipropylene glycol
1001971,10.0,dipropylene glycol
1001991,100.0,
1002001,100.0,
1002011,100.0,
1002031,100.0,
1002091,10.0,dipropylene glycol
1002092,10.0,dipropylene glycol
1002111,10.0,dipropylene glycol
1002111,,
1002131,100.0,
1002141,100.0,
1002141,1.0,
1002151,100.0,
1002152,100.0,
1002161,100.0,
1002171,10.0,dipropylene glycol
1002181,100.0,
1002191,1.0,dipropylene glycol
1002211,100.0,
1002221,100.0,
1002231,,
1002261,100.0,
1002281,1.0,propylene glycol
1002281,,
1002291,100.0,
1002301,100.0,
1002311,100.0,
1002311,,
1002341,5.0,benzyl alcohol
