TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1000021,,,8002-33-3,,8035-60-7,,,,,,,,,MFCD00132540,232-306-7,,75T1HFY189,,,,
1000031,90-87-9,"1,1-dimethoxypropan-2-ylbenzene",90-87-9,,130605-86-6,,,,62336,C11 H16 O2,2091958,2017.0,J59.869K,MFCD00008860,202-022-8,100.001.839,H41WGL6C12,,,180.24692,2.4
1000041,1323-00-8,"[(Z)-5-[(3R,6S)-2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl]-2-methylpent-2-enyl]acetate;[(Z)-2-methyl-5-[(1R,3R,4S)-3-methyl-2-methylide",1323-00-8,,,,,,,C34 H52 O4,,224.0,,,215-349-6,100.013.954,NI0P5374LY,,,524.78524,4.3
1000051,67634-02-0,"[2,2-bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",67634-02-0,,,,,,,C28 H42 O2,,,J60.243D,,266-805-6,100.060.713,,,,410.64114,8.8
1000061,14016-29-6,"(1S,17S)-3,7,9-trihydroxy-17-methyl-16,21-dioxapentacyclo[15.3.1.02,15.04,13.06,11]henicosa-2(15),3,6(11),7,9,13-hexaene-5,12-dione",14016-29-6,,,,,,,C20 H16 O7,1299991,,,,,,7R1N64C5MZ,,,368.34192,3.0
1000091,151-21-3,sodium dodecyl sulfate,151-21-3,,51-21-3,,,,3423265,C12 H25 Na O4 S,3599286,,J817F,MFCD00036175,205-788-1,100.005.263,368GB5141J,,,288.38281928,
1000111,100-06-1,1-(4-methoxyphenyl)ethanone,100-06-1,,,,,,7476,C9 H10 O2,0742313,570.0,J5.163B,MFCD00008745,202-815-9,100.002.560,0IRH2BR587,,,150.1771,1.7
1000131,98-86-2,1-phenylethanone,98-86-2,,,,,,7410,C8 H8 O,0605842,138.0,J3.225E,MFCD00008724,202-708-7,100.002.462,RK493WHV10,,,120.15096,1.6
1000141,1211-29-6,"methyl 2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate",1211-29-6,,,,,,,C13 H20 O3,,,J128.619F,MFCD00151382,214-918-6,100.013.562,900N171A0F,,,224.3,1.9
1000161,124-25-4,tetradecanal,124-25-4,,511542-15-7,,,,31291,C14 H28 O,1765987,118.0,J1.509A,MFCD00007019,204-692-7,100.004.267,44AJ2LT15N,,,212.37636,6.0
1000171,112-31-2,decanal,112-31-2,,,,,,8175,C10 H20 O,1362530,98.0,J2.888F,MFCD00007031,203-957-4,100.003.598,31Z90Q7KQJ,,,156.2686,3.8
1000172,112-31-2,decanal,112-31-2,,,,,,8175,C10 H20 O,1362530,98.0,J2.888F,MFCD00007031,203-957-4,,31Z90Q7KQJ,,,156.2686,3.8
1000181,6833-79-9,azane; diphosphono hydrogen phosphate,6833-79-9,,,,,,,H12 N3 O4 P,,,,,,,,,,149.087202,
1000211,143-08-8,nonan-1-ol,143-08-8,,,,,,8914,C9 H20 O,0969213,55.0,J2.549F,MFCD00002990,205-583-7,,NGK73Q6XMC,,2789,144.2576,4.3
1000212,143-08-8,nonan-1-ol,143-08-8,,,,,,8914,C9 H20 O,0969213,55.0,J2.549F,MFCD00002990,205-583-7,100.005.076,NGK73Q6XMC,,,144.2576,4.3
1000221,3033-23-6,"(2S,4R)-4-methyl-2-(2-methylprop-1-enyl)oxane",3033-23-6,,,,,,,C10 H18 O,5496892,2269.0,J85.991E,MFCD00674545,221-217-9,100.019.290,M8VU21JU32,,,154.25266,2.9
1000231,112-30-1,decan-1-ol,112-30-1,,,,,,8174,C10 H22 O,1735221,73.0,J2.887H,MFCD00004747,203-956-9,,89V4LX791F,,2365,158.28454,4.6
1000232,112-30-1,decan-1-ol,112-30-1,,,,,,8174,C10 H22 O,1735221,73.0,J2.887H,MFCD00004747,203-956-9,100.003.597,89V4LX791F,,,158.28454,4.6
1000241,65443-14-3,"2,2,5-trimethyl-5-pentylcyclopentan-1-one",65443-14-3,,193818-98-3,,,,,C13 H24 O,,,J23.228I,,265-779-3,100.059.782,BN3YZU63MN,,,196.33348,4.2
1000251,124-13-0,octanal,124-13-0,,,,,,454,C8 H16 O,1744086,97.0,J2.504F,MFCD00007029,204-683-8,100.004.259,XGE9999H19,,,128.21472,2.7
1000291,124-19-6,nonanal,124-19-6,,918959-88-3,,92.0,96.0,31289,C9 H18 O,1236701,114.0,J5.547F,MFCD00007030,204-688-5,100.004.263,2L2WBY9K6T,,,142.24166,3.3
1000292,124-19-6,nonanal,124-19-6,,918959-88-3,,92.0,96.0,31289,C9 H18 O,1236701,114.0,J5.547F,MFCD00007030,204-688-5,,2L2WBY9K6T,,,142.24166,3.3
1000301,109-29-5,1-oxacycloheptadecan-2-one,109-29-5,,,,,,7984,C16 H30 O2,0148631,,J65.679H,MFCD00039668,203-662-0,100.003.330,64E2HO00C7,,,254.4135,6.3
1000311,5406-12-2,3-(4-methylphenyl)propanal,5406-12-2,,,,,,64812,C10 H12 O,,,J217.968G,MFCD04112993,226-460-4,100.024.055,1RMD883W6C,,,148.20484,2.0
1000321,2705-87-5,prop-2-enyl 3-cyclohexylpropanoate,2705-87-5,,,,,,17617,C12 H20 O2,2254663,2223.0,J3.039B,MFCD00059557,220-292-5,,H4W9H3L241,,2026,196.2898,3.8
1000322,2705-87-5,prop-2-enyl 3-cyclohexylpropanoate,2705-87-5,,,,,,17617,C12 H20 O2,2254663,2223.0,J3.039B,MFCD00059557,220-292-5,100.018.447,H4W9H3L241,,,196.2898,3.8
1000331,112-45-8,undec-10-enal,112-45-8,,,,,,8187,C11 H20 O,1746480,122.0,J61.751B,MFCD00007032,203-973-1,,DU1OTA08RY,,3095,168.2796,3.8
1000332,112-45-8,undec-10-enal,112-45-8,,,,,,8187,C11 H20 O,1746480,122.0,J61.751B,MFCD00007032,203-973-1,100.003.612,DU1OTA08RY,,,168.2796,3.8
1000341,34686-67-4,2-[(E)-hex-2-enyl]cyclopentan-1-ol,34686-67-4,,,,,,,C11 H20 O,,,J1.584.487F,,,,,,,168.2796,3.0
1000361,34687-46-2,2-[(E)-hex-2-enyl]cyclopentan-1-one,34687-46-2,,,,,,,C11 H18 O,2356700,,J72.737G,,,,,,,166.26366,2.7
1000371,112-54-9,dodecanal,112-54-9,,,,,,8194,C12 H24 O,1703917,99.0,J22.116C,MFCD00007017,203-983-6,100.003.621,C42O120SEF,,,184.32248,4.9
1000381,57-55-6,"propane-1,2-diol",57-55-6,,,,,,1030,C3 H8 O2,1340498,2065.0,J1.918F,MFCD00064272,200-338-0,,6DC9Q167V3,,2940,76.09516,-0.9
1000382,57-55-6,"propane-1,2-diol",57-55-6,,1194046-20-2,,,,1030,C3 H8 O2,1340498,2065.0,J1.918F,MFCD00064272,200-338-0,100.000.307,6DC9Q167V3,,,76.09516,-0.9
1000391,68959-28-4,6-[(Z)-hex-3-enyl]oxan-2-one,68959-28-4,,,,,,,C11 H18 O2,,11198.0,,,273-411-8,100.066.718,3WL5LFE5RZ,,,182.26286,2.7
1000401,40010-99-9,3-acetyl-5-butyloxolan-2-one,40010-99-9,,,,,,,C10 H16 O3,,,J1.561.113H,,,,,,,184.23512,2.0
1000411,110-41-8,2-methylundecanal,110-41-8,,135026-96-9,,,,,C12 H24 O,1758291,2010.0,J127.230F,MFCD00006990,203-765-0,100.003.424,S94QNS2VY5,,,184.32248,4.9
1000412,110-41-8,2-methylundecanal,110-41-8,,135026-96-9,,,,,C12 H24 O,1758291,2010.0,J127.230F,MFCD00006990,203-765-0,,S94QNS2VY5,,,184.32248,4.9
1000421,9176-12-1,"ethyl 5-methyl-2-propyl-2,3-dihydrofuran-4-carboxylate",9176-12-1,,,,,,,C11 H18 O3,,,J1.556.638H,,,,,,,198.26206,2.4
1000431,58214-97-4,2-(phenoxy)ethyl formate,58214-97-4,,,,,,,C9 H10 O3,,,J1.580.059C,,,,,,,166.1763,1.7
1000441,77-92-9,"2-hydroxypropane-1,2,3-tricarboxylic acid",77-92-9,,1192555-95-5,,,,311,C6 H8 O7,0782061,20.0,J2.824J,MFCD00011669,201-069-1,100.000.973,XF417D3PSL,,,192.12416,-1.7
1000481,60788-25-2,"1-O-(3,7-dimethyloct-6-enyl) 2-O-ethyl oxalate",60788-25-2,,,,,,,C14 H24 O4,,,J268.293A,,262-433-3,100.056.739,,,,256.34208,4.4
1000491,55066-49-4,3-methyl-5-phenylpentanal,55066-49-4,,,,,,,C12 H16 O,,,J1.574.283F,,433-900-0,100.103.214,00RZ3F0O1X,,,176.25872,3.0
1000511,64-17-5,ethanol,64-17-5,,,,,,702,C2 H6 O,1718733,11891.0,,MFCD00003568,200-578-6,100.000.526,3K9958V90M,,,46.06902,-0.1
1000531,104-61-0,5-pentyloxolan-2-one,104-61-0,,,,,,7710,C9 H16 O2,,178.0,J2.412K,MFCD00005403,203-219-1,100.002.927,I1XGH66S8P,,,156.22492,2.2
1000532,104-61-0,5-pentyloxolan-2-one,104-61-0,,,,,,7710,C9 H16 O2,,178.0,J2.412K,MFCD00005403,203-219-1,,I1XGH66S8P,,,156.22492,2.2
1000581,129905-10-8,"(2S)-2-[(2R,3S,4R,5R,6R)-5-ethyl-6-[(2R,3R,4S,6R)-6-[(2R,3R,5S)-5-[(2R,3R,5S)-5-ethyl-2-hydroxy-5-[(1S)-1-hydroxybutyl]-3-methyloxolan-2-yl]-3,5-dimethyloxolan-2-yl]-3-hydroxy-4-methyl-5-oxooctan-2-yl]-2,4-dihydroxy-3-methyloxan-2-yl]butanoic acid",129905-10-8,,,,,,,C38 H68 O11,,,,,,,,,,700.95116,5.4
1000591,106-21-8,"3,7-dimethyloctan-1-ol",106-21-8,59204-02-3,,,,,7792,C10 H22 O,1719638,75.0,J37.634E,MFCD00002936,203-374-5,,DPY9K1927C,,2391,158.28454,3.6
1000592,106-21-8,"3,7-dimethyloctan-1-ol",106-21-8,,59204-02-3,,,,7792,C10 H22 O,1719638,75.0,J37.634E,MFCD00002936,203-374-5,100.003.068,DPY9K1927C,,,158.28454,3.6
1000601,NF0548,"2,2,11,11-tetramethyl-6,8-diazatetracyclo[10.2.1.01,10.04,9]pentadeca-4,6,8-triene",,,,,,,,C17 H24 N2,,,,,,,,,,256.39228,4.2
1000631,589-59-3,2-methylpropyl 3-methylbutanoate,589-59-3,,,,,,,C9 H18 O2,1702649,568.0,J2.678F,MFCD00048349,209-653-8,100.008.777,6VCJ0UB168,,,158.24086,2.7
1000661,39546-15-1,"3,3,4-trimethyltricyclo[2.2.1.02,6]heptane",39546-15-1,,,,,,,C10 H16,,,J19.469G,,,,,,,136.23752,3.2
1000691,99016-42-9,"(3S)-3-amino-4-oxo-4-[[(2R)-2-[(2,2,4,4-tetramethylthietan-3-yl)amino]propanoyl]amino]butanoic acid pentahydrate",99016-42-9,,,,,,,C28 H60 N6 O13 S2,,,,,,,6KI9M51JOG,,,752.9478,
1000701,539-82-2,ethyl pentanoate,539-82-2,,,,,,,C7 H14 O2,1744680,465.0,J43.250D,MFCD00009479,208-726-1,100.007.934,95R258T4P6,,,130.18698,1.9
1000731,123-68-2,prop-2-enyl hexanoate,123-68-2,,,,,,31266,C9 H16 O2,1761920,2181.0,J36.964K,MFCD00038339,204-642-4,,3VH84A363D,,2032,156.22492,2.7
1000751,97-62-1,ethyl 2-methylpropanoate,97-62-1,,,,,,,C6 H12 O2,0773846,288.0,J3.222K,MFCD00009165,202-595-4,100.002.361,9A9661LN4H,,,116.16004,1.5
1000771,64218-02-6,"(2Z,6E)-2-[(3E)-4,8-dimethylnona-3,7-dienyl]-6-methylocta-2,6-diene-1,8-diol",64218-02-6,,,,,,,C20 H34 O2,,,J22.741B,,,,MV715X4634,,,306.48938,5.4
1000801,69300-15-8,2-methyldecanenitrile,69300-15-8,,,,,,,C11 H21 N,,,J317.968K,MFCD00169833,273-960-3,100.067.218,,,,167.29537,4.6
1000811,,,72968-30-0,,,,,,,,,,,,277-134-3,,,,,,
1000811,,,69102-96-1,,,,,,,,,,,,273-866-2,,,,,,
1000821,104-67-6,5-heptyloxolan-2-one,104-67-6,57084-17-0,,,,,7714,C11 H20 O2,0081943,179.0,J1.182G,MFCD00005405,203-225-4,,QB1T0AG2YL,,3091,184.2788,3.3
1000822,104-67-6,5-heptyloxolan-2-one,104-67-6,,57084-17-0,,,,7714,C11 H20 O2,0081943,179.0,J1.182G,MFCD00005405,203-225-4,100.002.933,QB1T0AG2YL,,,184.2788,3.3
1000831,15323-35-0,"1-(1,1,2,3,3,6-hexamethyl-2H-inden-5-yl)ethanone",15323-35-0,,55599-08-1,,,,47167,C17 H24 O,,,J13.474K,,239-360-0,100.035.766,3KM1212J0Y,,,244.37748,4.8
1000881,23726-91-2,"(E)-1-(2,6,6-trimethyl-1-cyclohexenyl)but-2-en-1-one",23726-91-2,,,,,,,C13 H20 O,2046078,2340.0,J57.950E,MFCD00678408,245-842-1,100.041.660,I75J0X33Q6,,,192.3016,3.5
1000911,68039-24-7,"8-(1-methoxyethoxy)-2,6-dimethyloct-2-ene",68039-24-7,,,,,,,C13 H26 O2,,,J288.953F,MFCD00087018,268-243-7,100.062.021,,,,214.34862,4.1
1000921,1405-92-1,,1405-92-1,,65082-67-9,,,,,C17 H26 O2,,,J298.600K,,215-789-9,100.014.354,,,,262.39262,3.9
1000931,3658-77-3,"4-hydroxy-2,5-dimethylfuran-3-one",3658-77-3,,,,,,,C6 H8 O3,1281357,536.0,J13.291H,MFCD00010706,222-908-8,100.020.826,20PI8YZP7A,,,128.12736,0.7
1000941,93-54-9,1-phenylpropan-1-ol,93-54-9,,,,,,,C9 H12 O,1906759,82.0,J4.678G,MFCD00004564,202-256-0,100.002.052,0F897O3O4M,,,136.19384,1.9
1000951,NF0413,"2-(2,2-dimethyl-3-methylidenecyclopentyl)acetaldehyde",,,,,,,,C10 H16 O,,,,,,,,,,152.23672,2.1
1000961,,,144020-22-4,,68610-78-6,,,,,unspecified,,,,,,,,,,,3.3
1000971,107-75-5,"7-hydroxy-3,7-dimethyloctanal",107-75-5,123238-75-5,,,,,7888,C10 H20 O2,1721290,100.0,J2.859B,MFCD00014681,203-518-7,,8SQ0VA4YUR,,2583,172.2678,1.6
1000972,107-75-5,"7-hydroxy-3,7-dimethyloctanal",107-75-5,,123238-75-5,,,,7888,C10 H20 O2,1721290,100.0,J2.859B,MFCD00014681,203-518-7,100.003.199,8SQ0VA4YUR,,,172.2678,1.6
1000981,26896-48-0,tricyclodecanedimethanol,26896-48-0,,,,,,,C12 H20 O2,,,,MFCD00151166,248-096-5,100.043.709,,,,196.2898,1.5
1000991,NF0785,"[(2Z,6Z)-3,7,11-trimethyldodeca-2,6,10-trienyl] octanoate",,,,,,,,C23 H40 O2,,,,,,,,,,348.5702,8.3
1001011,122-40-7,2-benzylideneheptanal,122-40-7,,,,,,,C14 H18 O,0511292,128.0,,MFCD00006988,204-541-5,100.004.129,WC51CA3418,,,202.29666,4.2
1001021,141-14-0,"3,7-dimethyloct-6-enyl propanoate",141-14-0,,,,,,,C13 H24 O2,,410.0,J133.559F,MFCD00027010,205-461-3,100.004.966,87R1092U7J,,,212.33268,4.2
1001051,25415-62-7,pentyl 3-methylbutanoate,25415-62-7,,,,,,,C10 H20 O2,,2224.0,J183.048A,MFCD00048848,246-954-3,100.042.671,,,,172.2678,3.2
1001111,,amyris balsamifera oil acetylated,68916-14-3,,,,,,,,,,,,,,,,,,
1001151,4180-23-8,1-methoxy-4-[(E)-prop-1-enyl]benzene,4180-23-8,109957-71-3,,,,,637563,C10 H12 O,0636190,183.0,J61.645A,MFCD00009284,224-052-0,,Q3JEK5DO4K,,2086,148.20484,3.3
1001152,4180-23-8,1-methoxy-4-[(E)-prop-1-enyl]benzene,4180-23-8,,109957-71-3,,,,637563,C10 H12 O,0636190,183.0,J61.645A,MFCD00009284,224-052-0,100.021.866,Q3JEK5DO4K,,,148.20484,3.3
1001171,13567-39-0,,13567-39-0,,11000-57-0,,,,,C15 H24 O,,,J286.908J,,236-971-4,100.033.596,,,,220.35548,3.9
1001221,64577-91-9,2-(1-butoxyethoxy)ethylbenzene,64577-91-9,,,,,,,C14 H22 O2,,10007.0,J307.253C,,264-948-9,100.059.026,KZ6JI8OWWE,,,222.32774,3.7
1001231,54484-73-0,1-(1-ethoxyethoxy)hexane,54484-73-0,,,,,,,C10 H22 O2,1698939,11948.0,J102.469H,,259-184-8,100.053.786,,,,174.28374,3.2
1001251,105-13-5,(4-methoxyphenyl)methanol,105-13-5,,185532-75-6,,,,7738,C8 H10 O2,0636654,66.0,J4.028B,MFCD00004653,203-273-6,100.002.976,7N6XGV3U49,,,138.1661,1.1
1001271,123-11-5,4-methoxybenzaldehyde,123-11-5,26249-15-0,,,,,31244,C8 H8 O2,0471382,103.0,J3.618H,MFCD00003385,204-602-6,,9PA5V6656V,,2670,136.15016,1.8
1001272,123-11-5,4-methoxybenzaldehyde,123-11-5,,26249-15-0,,,,31244,C8 H8 O2,0471382,103.0,J3.618H,MFCD00003385,204-602-6,100.004.185,9PA5V6656V,,,136.15016,1.8
1001291,104-21-2,(4-methoxyphenyl)methyl acetate,104-21-2,,,,,,,C10 H12 O3,,209.0,J31.561C,MFCD00048211,203-185-8,,2GEC7KBO31,,2098,180.20324,1.9
1001292,104-21-2,(4-methoxyphenyl)methyl acetate,104-21-2,,,,,,,C10 H12 O3,,209.0,J31.561C,MFCD00048211,203-185-8,100.002.896,2GEC7KBO31,,,180.20324,1.9
1001331,67-64-1,propan-2-one,67-64-1,,,,,,180,C3 H6 O,0635680,737.0,J2.365E,MFCD00008765,200-662-2,100.000.602,1364PS73AF,,,58.08002,-0.1
1001351,72797-17-2,"1-(3,5-dimethylpyrazin-1-ium-1-yl)ethanone",72797-17-2,,,,,,,C8 H10 N2 O,,11294.0,,MFCD00055023,276-848-2,100.069.841,O16657H2TP,,,150.1809,0.6
1001361,103-38-8,benzyl 3-methylbutanoate,103-38-8,,,,,,7651,C12 H16 O2,2503435,453.0,J36.795H,MFCD00048348,203-106-7,100.002.824,87UKH01DMA,,,192.25792,3.3
1001371,32210-23-4,(4-tert-butylcyclohexyl) acetate,32210-23-4,104-05-2,,,,,36081,C12 H22 O2,,,J55.311E,MFCD00019354,250-954-9,,ATR4EHD017,,,198.30574,3.4
1001372,32210-23-4,(4-tert-butylcyclohexyl) acetate,32210-23-4,,104-05-2,,,,36081,C12 H22 O2,,,J55.311E,MFCD00019354,250-954-9,100.046.307,ATR4EHD017,,,198.30574,3.4
1001381,25152-85-6,[(Z)-hex-3-enyl] benzoate,25152-85-6,,,,98.0,99.9,,C13 H16 O2,,11778.0,J36.023F,MFCD00036526,246-669-4,,P4871S0YA9,,3688,204.26892,4.0
1001382,25152-85-6,[(Z)-hex-3-enyl] benzoate,25152-85-6,,,,98.0,99.9,,C13 H16 O2,,11778.0,J36.023F,MFCD00036526,246-669-4,100.042.412,P4871S0YA9,,,204.26892,4.0
1001391,7070-15-7,"2-[[(1S,4S,6S)-1,7,7-trimethyl-6-bicyclo[2.2.1]heptanyl]oxy]ethanol",7070-15-7,,,,,,,C12 H22 O2,,,J195.358C,,230-364-8,100.027.604,,,,198.30574,2.6
1001401,32974-92-8,1-(3-ethylpyrazin-2-yl)ethanone,32974-92-8,,,,,,,C8 H10 N2 O,,11293.0,J319.481G,MFCD00038028,251-316-2,100.046.637,AQ03N14XTL,,,150.1809,0.6
1001421,141-11-7,"3,7-dimethyloct-7-enyl acetate",141-11-7,,130980-16-4,,,,,C12 H22 O2,1906633,223.0,J184.433D,MFCD00048218,205-458-7,100.004.963,,,,198.30574,4.1
1001451,33467-73-1,[(Z)-hex-3-enyl] formate,33467-73-1,,,,97.0,99.9,,C7 H12 O2,,2153.0,J59.827E,MFCD00036490,251-532-7,100.046.833,E34OB83TYM,,,128.17104,1.9
1001452,33467-73-1,[(Z)-hex-3-enyl] formate,33467-73-1,,,,97.0,99.9,,C7 H12 O2,,2153.0,J59.827E,MFCD00036490,251-532-7,,E34OB83TYM,,,128.17104,1.9
1001471,3681-71-8,[(Z)-hex-3-enyl] acetate,3681-71-8,,25152-87-8,,98.0,99.9,,C8 H14 O2,1721854,644.0,J118.141F,MFCD00036563,222-960-1,100.020.873,6INA6GC5I6,,,142.19798,1.9
1001491,100-52-7,benzaldehyde,100-52-7,,,,,,240,C7 H6 O,0471223,101.0,J4.010J,MFCD00003299,202-860-4,100.002.601,TA269SD04T,,,106.12402,1.5
1001511,67999-56-8,"2,2,7,7-tetramethyl-5,6-epoxytricyclo-(6.2.1.0(1,6))undecane",67999-56-8,,,,,,,C15 H24 O,,,J27.210H,,268-066-5,100.061.860,,,,220.35548,3.8
1001531,119-84-6,chroman-2-one,119-84-6,,1341-36-2,,,,660,C9 H8 O2,0004584,535.0,J36.832F,MFCD00006881,204-354-9,100.003.959,NM5K1Y1BT2,,,148.16116,1.6
1001541,14765-30-1,2-butan-2-ylcyclohexan-1-one,14765-30-1,,,,,,,C10 H18 O,1859137,11044.0,J227.181H,MFCD00051454,238-830-2,100.035.285,5WA6R1KL5J,,,154.25266,2.8
1001561,118-61-6,ethyl 2-hydroxybenzoate,118-61-6,,,,,,8365,C9 H10 O3,0907659,432.0,J5.527A,MFCD00002215,204-265-5,100.003.878,555U6TZ2MV,,,166.1763,3.0
1001571,23787-80-6,1-(3-methylpyrazin-2-yl)ethanone,23787-80-6,,,,,,,C7 H8 N2 O,,11296.0,J364.475H,MFCD00014612,245-889-8,100.041.703,7U5TEW2Y2B,,,136.15396,0.2
1001591,2306-91-4,3-methylbutyl decanoate,2306-91-4,,,,,,,C15 H30 O2,,,J584C,MFCD00053822,218-982-6,100.017.257,Z10YO60833,,,242.4025,5.9
1001601,77-83-8,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8,,,,,,6501,C12 H14 O3,0012299,6002.0,J15.727I,MFCD00022338,201-061-8,,UD51D5KR4A,,2444,206.24118,1.9
1001602,77-83-8,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,77-83-8,,,,,,6501,C12 H14 O3,0012299,6002.0,J15.727I,MFCD00022338,201-061-8,100.000.966,UD51D5KR4A,,,206.24118,1.9
1001611,140-11-4,benzyl acetate,140-11-4,,,,,,8785,C9 H10 O2,1908121,204.0,J2.950E,MFCD00008712,205-399-7,,0ECG3V79ZJ,,2135,150.1771,2.0
1001612,140-11-4,benzyl acetate,140-11-4,,,,,,8785,C9 H10 O2,1908121,204.0,J2.950E,MFCD00008712,205-399-7,100.004.909,0ECG3V79ZJ,,,150.1771,2.0
1001621,,,68648-34-0,,,,,,,C15 H22 O,,,,,,,,,,218.33954,
1001631,93-18-5,2-ethoxynaphthalene,93-18-5,,,,,,7129,C12 H12 O,2042397,2058.0,J4.670A,MFCD00016808,202-226-7,,ZF3IS6G3R7,,2768,172.22684,3.8
1001632,93-18-5,2-ethoxynaphthalene,93-18-5,,,,,,7129,C12 H12 O,2042397,2058.0,J4.670A,MFCD00016808,202-226-7,100.002.025,ZF3IS6G3R7,,,172.22684,3.8
1001641,121-39-1,ethyl 3-phenyloxirane-2-carboxylate,121-39-1,,,,,,8469,C11 H12 O3,0163394,11844.0,J122.448D,MFCD00005123,204-467-3,100.004.062,2VVS520ZWM,,,192.21424,1.7
1001641,121-39-1RR,"ethyl (2R,3R)-3-phenyloxirane-2-carboxylate",121-39-1 (RR),,,,,,,C11 H12 O3,,,J358.854H,,,,,,,192.21424,1.7
1001641,121-39-1RS,"ethyl (2R,3S)-3-phenyloxirane-2-carboxylate",121-39-1 (RS),,,,,,,C11 H12 O3,,,J258.792K,,,,,,,192.21424,1.7
1001641,121-39-1SS,"ethyl (2S,3S)-3-phenyloxirane-2-carboxylate",121-39-1 (SS),,,,,,,C11 H12 O3,,,J358.855F,,,,,,,192.21424,1.7
1001641,2272-55-1,"ethyl (2S,3R)-3-phenyloxirane-2-carboxylate",2272-55-1,,,,,,,C11 H12 O3,,,J259.704G,,,,,,,192.21424,1.7
1001651,100-51-6,phenylmethanol,100-51-6,,1336-27-2,,,,244,C7 H8 O,0878307,58.0,J4.009F,MFCD00004599,202-859-9,100.002.600,LKG8494WBH,,,108.13996,1.1
1001652,100-51-6,phenylmethanol,100-51-6,,1336-27-2,,,,244,C7 H8 O,0878307,58.0,J4.009F,MFCD00004599,202-859-9,,LKG8494WBH,,,108.13996,1.1
1001661,79-09-4,propanoic acid,79-09-4,,1032826-44-0,,,,,C3 H6 O2,0506071,3.0,J1.963A,MFCD00002756,201-176-3,100.001.070,JHU490RVYR,,,74.07922,0.3
1001671,120-51-4,benzyl benzoate,120-51-4,,,,,,2345,C14 H12 O2,2049280,262.0,J284.152E,MFCD00003075,204-402-9,,N863NB338G,,2138,212.24804,4.0
1001672,120-51-4,benzyl benzoate,120-51-4,,,,,,2345,C14 H12 O2,2049280,262.0,J284.152E,MFCD00003075,204-402-9,100.004.003,N863NB338G,,,212.24804,4.0
1001681,4023-65-8,"(E)-prop-1-ene-1,2,3-tricarboxylic acid",4023-65-8,,,,,,444212,C6 H6 O6,1725830,33.0,J79.903C,MFCD00002721,223-688-6,100.021.536,7DB37960CW,,,174.10902,-1.0
1001691,14620-52-1,"1,1-dimethoxydodecane",14620-52-1,,,,,,,C14 H30 O2,,,J121.647C,MFCD00036645,238-659-3,100.035.130,384YJ7FK35,,,230.3915,5.7
1001711,103-28-6,benzyl 2-methylpropanoate,103-28-6,,,,,,7646,C11 H14 O2,1869299,301.0,J36.998E,MFCD00048315,203-095-9,100.002.815,P98PE45V9M,,,178.23098,3.0
1001731,120-11-6,2-methoxy-1-phenylmethoxy-4-prop-1-enylbenzene,120-11-6,,,,92.0,98.0,,C17 H18 O2,,522.0,,MFCD00026985,204-370-6,100.003.973,,,,254.32886,4.1
1001751,111-13-7,octan-2-one,111-13-7,,,,,,8093,C8 H16 O,0635843,153.0,J1.984D,MFCD00009540,203-837-1,100.003.489,J2G84H29AF,,,128.21472,2.4
1001771,122-63-4,benzyl propanoate,122-63-4,,,,,,31219,C10 H12 O2,,413.0,J5.229I,MFCD00027003,204-559-3,,307DN1208L,,2150,164.20404,2.4
1001772,122-63-4,benzyl propanoate,122-63-4,,,,,,31219,C10 H12 O2,,413.0,J5.229I,MFCD00027003,204-559-3,100.004.146,307DN1208L,,,164.20404,2.4
1001781,28296-85-7,"2-[(1R,4R,5S)-1,8-dimethylspiro[4.5]dec-8-en-4-yl]propan-2-ol",28296-85-7,,,,,,,C15 H26 O,,,J17.038K,,,,,,,222.37142,3.6
1001791,118-58-1,benzyl 2-hydroxybenzoate,118-58-1,,,,,,8363,C14 H12 O3,2115365,436.0,J36.457F,MFCD00020034,204-262-9,,WAO5MNK9TU,,2151,228.24724,3.2
1001792,118-58-1,benzyl 2-hydroxybenzoate,118-58-1,,,,,,8363,C14 H12 O3,2115365,436.0,J36.457F,MFCD00020034,204-262-9,100.003.876,WAO5MNK9TU,,,228.24724,3.2
1001801,124-04-9,hexanedioic acid,124-04-9,,1186514-28-2,,,,196,C6 H10 O4,1209788,26.0,J10.057I,MFCD00004420,204-673-3,100.004.250,76A0JE0FKJ,,,146.1425,0.1
1001811,10340-23-5,,10340-23-5,,,,96.0,99.9,,C9 H18 O,,10293.0,J112.174J,MFCD00010314,233-735-2,100.030.656,W8G7341QJ8,,,142.24166,2.9
