TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1008041,624-41-9,2-methylbutyl acetate,624-41-9,,,,,,,C7 H14 O2,,10762.0,J95.657K,MFCD00040494,210-843-8,100.009.858,IY8732E0YC,,,130.18698,2.1
1008051,4643-27-0,(E)-oct-2-en-4-one,4643-27-0,,,,,,,C8 H14 O,,2313.0,J297.862H,MFCD00061023,225-071-7,100.022.792,C9NB51LMXT,,,126.19878,2.1
1008061,112-37-8,undecanoic acid,112-37-8,,,,,,8180,C11 H22 O2,1759287,696.0,J1.993C,MFCD00002730,203-964-2,100.003.604,138ON3IIQG,,,186.29474,3.7
1008081,624-92-0,methyldisulfanylmethane,624-92-0,,,,,,12232,C2 H6 S2,1730824,2175.0,J1.683G,MFCD00008561,210-871-0,100.009.883,3P8D642K5E,,,94.19982,1.8
1008101,3658-80-8,methylsulfanyldisulfanylmethane,3658-80-8,,85931-54-0,,,,,C2 H6 S3,1731604,539.0,J45.900C,MFCD00039808,222-910-9,100.020.828,3E691T3NL1,,,126.26482,1.3
1008111,4077-47-8,"4-methoxy-2,5-dimethylfuran-3-one",4077-47-8,,144831-51-6,,,,,C7 H10 O3,,,J217.886I,MFCD00209504,223-797-9,100.021.635,3241BIM975,,,142.1543,1.0
1008121,5910-89-4,"2,3-dimethylpyrazine",5910-89-4,,,,,,,C6 H8 N2,,11323.0,J45.570I,MFCD00006144,227-630-0,100.025.118,WHF7883D0V,,,108.14376,0.5
1008131,14073-97-3,"(2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-one",14073-97-3,,21060-23-1,,,,,C10 H18 O,2041368,2035.0,J9.142A,MFCD00001634,237-926-1,100.034.464,5F709W4OG4,,,154.25266,2.7
1008141,123-32-0,"2,5-dimethylpyrazine",123-32-0,,,,,,,C6 H8 N2,0107052,2210.0,J2.009E,MFCD00006147,204-618-3,100.004.200,V99Y0MUY1Q,,,108.14376,0.6
1008151,108-50-9,"2,6-dimethylpyrazine",108-50-9,,,,,,,C6 H8 N2,0107052,2211.0,J1.498B,MFCD00006148,203-589-4,100.003.264,N77Q72C9I3,,,108.14376,0.5
1008161,23654-92-4,"3,5-dimethyl-1,2,4-trithiolane",23654-92-4,,,,,,,C4 H8 S3,,11883.0,J127.228D,,245-808-6,100.041.629,FQN903SX70,,,152.30276,2.4
1008171,3613-30-7,"7-methoxy-3,7-dimethyloctanal",3613-30-7,,53023-57-7,,,,,C11 H22 O2,1904467,,J8.182E,,222-784-5,100.020.713,261VCL42SZ,,,186.29474,2.2
1008171,3613-30-7R,"(3R)-7-methoxy-3,7-dimethyloctanal",3613-30-7 (R),,,,,,,C11 H22 O2,,,,,,,,,,186.29474,2.2
1008171,3613-30-7S,"(3S)-7-methoxy-3,7-dimethyloctanal",3613-30-7 (S),,,,,,,C11 H22 O2,,,J911.447E,,,,,,,186.29474,2.2
1008181,143-07-7,dodecanoic acid,143-07-7,,,,,,3893,C12 H24 O2,1099477,12.0,J2.548H,MFCD00002736,205-582-1,100.005.075,1160N9NU9U,,,200.32168,4.2
1008191,122-00-9,1-(4-methylphenyl)ethanone,122-00-9,,,,,,8500,C9 H10 O,0606053,156.0,J2.926B,MFCD00008751,204-514-8,100.004.105,AX66V0KX3Y,,,134.1779,2.1
1008211,134-20-3,methyl 2-aminobenzoate,134-20-3,,,,,,8635,C8 H9 N O2,0606965,250.0,J2.018D,MFCD00007710,205-132-4,100.004.667,981I0C1E5W,,,151.16513,1.9
1008221,32737-14-7,2-ethoxy-3-methylpyrazine,32737-14-7,,,,,,,C7 H10 N2 O,,11921.0,J208.724C,MFCD00038025,251-184-6,100.046.516,P35895BBAF,,,138.1699,1.8
1008231,140-88-5,ethyl prop-2-enoate,140-88-5,,,,,,8821,C5 H8 O2,0773866,245.0,J2.534H,MFCD00009188,205-438-8,100.004.945,71E6178C9T,,,100.11716,1.3
1008241,13327-56-5,ethyl 3-methylsulfanylpropanoate,13327-56-5,,,,,,61592,C6 H12 O2 S,,11476.0,J213.846H,MFCD00039900,236-370-7,100.033.050,1AVT374NII,,,148.22504,1.1
1008251,628-97-7,ethyl hexadecanoate,628-97-7,,,,,,,C18 H36 O2,1782663,634.0,J46.819C,MFCD00008996,211-064-6,100.010.059,IRD3M534ZM,,,284.48332,7.8
1008261,55031-15-7,"2-ethyl-3,5-dimethylpyrazine; 3-ethyl-2,5-dimethylpyrazine",55031-15-7,,55031-15-7,,,,,C16 H24 N4,,727.0,,MFCD00047392,,,1D80F4PE6E,,,272.39528,
1008271,1754-62-7,methyl (E)-3-phenylprop-2-enoate,1754-62-7,,,,,,637520,C10 H10 O2,,333.0,J43.384E,MFCD00008458,,,533CV2ZCQL,,,162.1881,2.6
1008281,13925-07-0,"2-ethyl-3,5-dimethylpyrazine",13925-07-0,,,,,,,C8 H12 N2,0636984,727.0,J113.400K,,237-694-1,100.034.253,R182EY5L8C,,,136.19764,1.5
1008291,93-15-2,"1,2-dimethoxy-4-prop-2-enylbenzene",93-15-2,,,,,,7127,C11 H14 O2,1910871,185.0,J4.669H,MFCD00008652,202-223-0,100.002.022,29T9VA6R7M,,,178.23098,2.5
1008311,110-93-0,6-methylhept-5-en-2-one,110-93-0,,129085-68-3,,,,9862,C8 H14 O,1741705,149.0,J58.156I,MFCD00008905,203-816-7,100.003.470,448353S93V,,,126.19878,1.9
