Stimulus,Descriptors
10402-33-2,sweet;honey;spicy;carnation
10402-47-8,floral;fruity;pineapple;rose
10402-48-9,sweet;rummy;rose;herbal;fruity;tropical
10402-52-5,sweet;lilac;floral;green;earthy;hyacinth
10403-00-6,powdery;animal;musk
10411-92-4,floral;fruity;fresh;pine
10413-18-0,minty;fruity
10414-68-3,roasted;brown;cooked
10415-87-9,sweet;lilac;floral;peony;anisic;fresh;narcissus;earthy
104228-51-5,meaty;sulfurous
10444-50-5E,sweet;lemon;orange;citrus
104468-21-5,rose red rose;floral;herbal;fruity;chamomile;fresh
10448-24-5,fruity;green
10448-26-7,fresh;green
10458-14-7,minty
10461-98-0,floral;peony;fresh;geranium;grapefruit
104691-41-0,meaty;cocoa;nutty;onion;peanut;leek
10471-96-2,lavender;fruity;apricot;citrus
10482-53-8,costus
10482-55-0,floral;fruity;chamomile
10482-56-1,floral;terpenic;lilac
10482-77-6,floral;verbena;rose;rose dried rose
10482-79-8,sweet;palmarosa;rose red rose;floral;cinnamyl
10484-09-0,banana;fruity;pineapple;wintergreen
10484-36-3,sweet;spicy;floral;carnation;balsamic
10484-56-7,sweet;berry;floral;strawberry;fruity;raspberry
10486-12-1,sweet;ylang;floral;rose;deep
10486-14-3,sweet;rose red rose;floral;honey;powdery;green;geranium;waxy
10486-19-8,aldehydic;clean;petal;grapefruit peel;fresh;soapy;citrus;waxy
10486-25-6,woody;fresh;sandalwood
10486-26-7,woody;rooty;cedar
104864-90-6,woody;natural;sandalwood
10493-98-8,caramellic;maple
104986-28-9,floral;fruity;anisic;fresh;raspberry;jasmin
105-01-1,floral;fruity;pineapple;winey;woody
105-13-5,sweet;lilac;rose;floral;powdery;creamy;balsamic;coumarinic;cherry;licorice;hawthorn;hyacinth;lactonic
105-21-5,sweet;caramellic;nutty;coconut;powdery;creamy;coumarinic;lactonic;hay;tonka
105-37-3,sweet;fermented;juicy;rummy;grape;fruity;winey;pineapple;ethereal;egg nog
105-43-1,animal;sweaty;fruity;acidic;green;cheesy;sharp
105-45-3,fruity;fresh;citrus;green
105-46-4,banana;solvent;fruity
105-53-3,sweet;apple;fruity;green
105-54-4,juicy;fruit;cognac;fruity;pineapple
105-57-7,sweet;vegetable;nutty;green;ethereal;earthy
105-60-2,amine;spicy
105-66-8,sweet;rancid;sweaty;bubble gum;fruity;pineapple;apricot;ethereal;tutti frutti
105-67-9,roasted;smoky
105-68-0,sweet;estery;ripe;banana;fruity;pineapple;apple;fresh;green;fruit tropical fruit;tropical
105-79-3,sweet;earthy;estery;sour;fruity;pineapple;apple green apple;green;tropical;apple skin;peach
105-82-8,leafy;chrysanthemum;herbal;fresh;green
