stimulus,CIDs,conc
1,"[240, 7802]",1
2,"[264, 82227]",0
3,"[11684, 18840]",1
4,[18840],1
5,"[82227, 51358282]",0
6,[1032],1
7,[10430],0
8,"[7755, 82227]",1
9,[12587],1
10,"[18840, 637511]",1
11,"[7755, 10430]",0
12,"[7802, 8892]",1
13,"[7755, 10430]",1
14,"[7802, 82227]",0
15,"[12587, 17750155]",1
16,"[264, 8034]",0
17,"[1032, 17750155]",1
18,"[11684, 18840]",0
19,[14057],1
20,"[7802, 82227]",1
21,"[7991, 8892]",1
22,"[12587, 14057]",1
23,"[82227, 17750155]",1
24,"[7755, 8892]",0
25,"[8051, 637511]",0
26,"[8051, 11684]",0
27,"[12587, 17750155]",0
28,[14057],0
29,"[18840, 17750155]",1
30,"[240, 7802]",0
31,[637511],1
32,"[10430, 14057]",0
33,"[8314, 10430]",0
34,"[240, 17750155]",0
35,"[8892, 17750155]",1
36,"[240, 7755]",0
37,[12587],0
38,"[8314, 18840]",1
39,"[6590, 8314]",0
40,"[7755, 82227]",0
41,[51358282],0
42,"[6590, 17750155]",1
43,"[8051, 8314]",0
44,"[18840, 637511]",0
45,"[240, 51358282]",1
46,"[240, 14057]",1
47,"[18840, 17750155]",0
48,"[6590, 11684]",0
49,"[264, 1032]",0
50,"[10430, 17750155]",1
51,[8051],1
52,[17750155],1
53,[11684],1
54,"[7755, 8892]",1
55,"[1032, 17750155]",0
56,[6590],1
57,"[7802, 8892]",0
58,"[82227, 51358282]",1
59,"[7991, 12587]",1
60,"[264, 1032]",1
61,"[7755, 12587]",0
62,"[7802, 8034]",1
63,[1032],0
64,"[8892, 17750155]",0
65,[51358282],1
66,"[8892, 14057]",1
67,"[264, 82227]",1
68,"[8051, 8314]",1
69,"[7991, 10430]",0
70,[240],1
71,"[7802, 12587]",0
72,"[8034, 17750155]",1
73,"[7991, 12587]",0
74,[18840],0
75,[8892],0
76,"[8892, 14057]",0
77,"[7802, 10430]",0
78,"[8051, 637511]",1
79,"[1032, 7802]",0
80,[637511],0
81,"[7755, 12587]",1
82,[7991],0
83,"[6590, 637511]",1
84,"[240, 7991]",0
85,"[240, 7991]",1
86,"[1032, 7802]",1
87,"[240, 17750155]",1
88,[8892],1
89,"[240, 51358282]",0
90,"[8051, 17750155]",1
91,"[10430, 637511]",0
92,"[6590, 637511]",0
93,"[8034, 51358282]",1
94,"[240, 14057]",0
95,"[7991, 82227]",1
96,[6590],0
97,[8051],0
98,[8314],1
99,[240],0
100,"[8034, 17750155]",0
101,[7802],0
102,[7991],1
103,[7802],1
104,"[12587, 14057]",0
105,"[6590, 8314]",1
106,[7755],0
107,[264],0
108,"[7802, 8034]",0
109,"[8034, 51358282]",0
110,[8034],1
111,[8314],0
112,"[7991, 8892]",0
113,"[8051, 11684]",1
114,"[7991, 10430]",1
115,[17750155],0
116,"[1032, 51358282]",0
117,[82227],1
118,[7755],1
119,[264],1
120,"[240, 7755]",1
121,"[7802, 10430]",1
122,"[10430, 14057]",1
123,[10430],1
124,"[8314, 18840]",0
125,"[7991, 82227]",0
126,"[6590, 11684]",1
127,"[10430, 637511]",1
128,[11684],0
129,[8034],0
130,[82227],0
131,"[240, 264]",1
132,"[10430, 17750155]",0
133,"[10430, 11684]",1
134,"[6590, 17750155]",0
135,"[10430, 11684]",0
136,"[14057, 82227]",1
137,"[264, 8034]",1
138,"[8051, 17750155]",0
139,"[8314, 10430]",1
140,"[7802, 12587]",1
141,"[14057, 82227]",0
142,"[1032, 51358282]",1
143,"[82227, 17750155]",0
144,"[240, 264]",0
