stimulus_1,stimulus_2,delay,mouse_id,response
10,44,0.0,100,0
31,31,0.0,100,1
139,139,0.0,100,1
80,48,0.0,100,0
96,123,0.0,100,1
52,53,0.0,100,0
96,7,0.0,100,1
7,7,0.0,100,1
123,124,0.0,100,0
10,80,0.0,100,0
98,139,0.0,100,1
138,51,0.0,100,0
98,124,0.0,100,0
74,18,0.0,100,0
18,18,0.0,100,1
98,111,0.0,100,0
4,4,0.0,100,1
56,18,0.0,100,0
53,96,0.0,100,1
111,111,0.0,100,1
10,26,0.0,100,0
29,42,0.0,100,1
111,115,0.0,100,0
56,92,0.0,100,0
123,78,0.0,100,0
128,128,0.0,100,1
53,135,0.0,100,1
126,126,0.0,100,0
127,98,0.0,100,0
139,134,0.0,100,0
74,44,0.0,100,0
51,51,0.0,100,0
123,7,0.0,100,1
74,138,0.0,100,0
97,50,0.0,100,0
68,115,0.0,100,0
133,133,0.0,100,0
7,7,0.0,100,1
52,115,0.0,100,1
113,26,0.0,100,0
91,127,0.0,100,1
3,127,0.0,100,1
78,56,0.0,100,0
80,80,0.0,100,1
47,123,0.0,100,0
96,96,0.0,100,0
92,92,0.0,100,1
113,128,0.0,100,1
56,96,0.0,100,0
7,7,0.0,100,1
53,96,0.0,100,0
51,3,0.0,100,1
138,74,0.0,100,0
98,111,0.0,100,1
52,115,0.0,100,1
51,53,0.0,100,1
10,74,0.0,100,0
18,53,0.0,100,0
80,80,0.0,100,1
126,124,0.0,100,1
92,92,0.0,100,1
96,123,0.0,100,0
52,51,0.0,100,0
42,98,0.0,100,0
115,115,0.0,100,1
115,53,0.0,100,1
123,52,0.0,100,0
56,4,0.0,100,0
26,51,0.0,100,0
4,74,0.0,100,0
3,127,0.0,100,0
42,78,0.0,100,0
4,96,0.0,100,1
115,115,0.0,100,0
78,25,0.0,100,1
7,126,0.0,100,0
53,90,0.0,100,0
80,38,0.0,100,1
123,123,0.0,100,1
139,111,0.0,100,1
90,52,0.0,100,1
7,74,0.0,100,0
31,31,0.0,100,1
139,53,0.0,100,1
135,135,0.0,100,1
56,132,0.0,100,1
126,96,0.0,100,0
105,90,0.0,100,0
4,74,0.0,100,1
42,43,0.0,100,0
4,74,0.0,100,1
48,126,0.0,100,1
50,56,0.0,100,1
56,48,0.0,100,1
113,39,0.0,100,0
7,115,0.0,100,1
56,83,0.0,100,1
39,56,0.0,100,1
33,7,0.0,100,1
44,78,0.0,100,1
7,31,0.0,100,0
126,124,0.0,100,1
7,31,0.0,100,1
97,56,0.0,100,0
48,53,0.0,100,1
91,138,0.0,100,0
51,4,0.0,100,1
91,26,0.0,100,1
96,52,0.0,100,0
53,132,0.0,100,1
3,123,0.0,100,1
56,96,0.0,100,1
52,74,0.0,100,1
56,139,0.0,100,0
68,3,0.0,100,1
138,74,0.0,100,1
29,115,0.0,100,1
91,42,0.0,100,0
113,51,0.0,100,1
113,83,0.0,100,1
97,53,0.0,100,0
42,26,0.0,100,0
31,56,0.0,100,1
83,38,0.0,100,0
97,128,0.0,100,1
52,80,0.0,100,1
56,96,0.0,100,1
111,80,0.0,100,0
