Experiment,ROI#,Xpos,Ypos
112R,28,1614.56,1166.975
112R,29,1611.1580952381,884.829523809524
112R,30,1702.37166666667,343.926666666667
112R,31,993.428888888889,437.195555555556
112R,32,1290.26,400.64
112R,33,337.57,1841.19
112R,34,700.35125,1446.0375
112R,35,694.77,599.92
112R,36,837.65,555.27
112R,37,1074.295,375.181666666667
112R,38,766.21,841.03
112R,39,758.768333333333,1257.76333333333
112R,40,793.0,1019.63
112R,41,940.345,599.92
112R,42,1043.04,626.71
112R,43,973.8325,711.545
112R,44,950.492727272727,851.583636363636
112R,45,682.268,1575.076
112R,46,732.276,1675.092
112R,47,901.27625,1192.64875
112R,48,920.2525,1329.9475
112R,49,839.436,1364.328
112R,50,1119.58285714286,786.174285714286
112R,51,1332.372,671.36
112R,52,1453.82,570.694545454545
112R,53,1489.54,662.43
112R,54,1655.24111111111,696.165555555556
112R,55,1507.4,819.110909090909
112R,56,1398.454,812.454
112R,57,1541.334,1060.708
112R,58,1374.72571428571,997.942857142857
112R,59,1164.488,910.684
112R,60,1207.352,967.836
112R,61,1300.73428571429,987.737142857143
112R,62,1045.02444444444,951.166666666667
112R,63,1194.03818181818,1085.38727272727
112R,64,1053.756,1067.852
112R,65,1194.03818181818,1085.38727272727
112R,66,1105.55,1153.58
112R,67,1007.32,1126.79
112R,68,979.718181818182,1212.03090909091
112R,69,1025.18,1305.39
112R,70,1089.476,1335.752
112R,71,1456.0525,1151.3475
112R,72,1316.89333333333,1415.52666666667
112R,73,1350.232,1467.916
112R,74,1310.94,1600.08
112R,75,1094.3875,1633.5675
112R,76,880.676363636364,1624.43454545455
112R,77,1045.02444444444,1826.30666666667
112R,78,837.65,1832.26
112R,79,1224.19142857143,1656.21142857143
112R,80,963.945714285715,926.502857142857
112R,81,1409.17,919.1675
112R,82,1601.165,1064.28
112R,83,1547.585,1274.135
112R,84,1177.67692307692,358.123076923077
112R,85,1677.75692307692,1260.74
112R,86,1479.61777777778,732.877777777778
112R,87,1357.07833333333,754.706666666667
112R,88,1348.03384615385,1183.80461538462
112R,89,894.206666666666,468.946666666667
112R,90,1068.55428571429,439.18
112R,91,1085.904,721.368
112R,92,1407.384,685.648
112R,93,1129.78857142857,1023.45714285714
112R,94,694.77,912.47
112R,95,1118.945,559.735
112R,96,1198.67714285714,1304.11428571429
112R,97,1040.06333333333,1138.69666666667
112R,98,1662.18666666667,538.898333333333
112R,99,1195.44533333333,1900.128
112R,100,1443.89777777778,396.514444444445
112R,101,1387.48285714286,582.06
112R,102,1558.7475,534.06125
112R,103,755.494,1780.466
112R,104,1511.865,422.213
112R,105,1602.951,465.077
112R,106,1598.32363636364,695.714545454545
112R,107,1541.13555555556,736.846666666667
112R,108,1449.85111111111,851.944444444445
112R,109,984.357142857143,1105.10285714286
112R,110,903.92,1936.6
112R,111,1508.17652173913,1607.06869565217
112R,112,1761.75103448276,445.954482758621
112R,113,1427.03,1292.49111111111
112R,114,748.875294117647,1758.71882352941
112R,115,1187.40833333333,1469.10666666667
112R,116,1455.80444444444,1263.71666666667
113L,1,-1390.66666666667,1148.83333333333
113L,2,-1298.39,776.75
113L,3,-1314.0175,1593.845
113L,4,-1298.39,544.57
113L,5,-1084.07,1660.82
113L,6,-1207.304,548.737333333333
113L,7,-1369.14307692308,1030.22461538462
113L,8,-1388.68222222222,980.155555555555
113L,9,-860.82,2066.49714285714
113L,10,-1116.81333333333,744.006666666667
113L,11,-1009.65333333333,755.913333333333
113L,12,-716.749333333333,2145.42133333333
113L,13,-932.26,1794.77
113L,14,-726.87,1151.81
113L,15,-1027.51333333333,2080.53
113L,16,-1573.59636363636,1123.39636363636
113L,17,-950.12,1655.71714285714
113L,18,-1109.23636363636,1995.28909090909
113L,19,-548.27,2080.53
113L,20,-793.915873015873,2298.96063492064
113L,21,-1566.29,714.24
113L,22,-950.12,2122.62857142857
113L,23,-1478.776,1103.588
113L,24,-1657.8225,665.125
113L,25,-985.84,553.5
113L,26,-1168.012,440.982
113L,27,-1155.51,1580.45
113L,28,-692.936,603.508
113L,29,-780.45,553.5
113L,30,-932.26,946.42
113L,31,-956.073333333333,720.193333333333
113L,32,-1155.51,821.4
113L,33,-1226.95,857.12
113L,34,-1596.05666666667,922.606666666667
113L,35,-1319.22666666667,922.606666666667
113L,36,-1226.95,964.28
113L,37,-998.597142857143,1107.16
113L,38,-860.82,1317.015
113L,39,-557.2,1321.48
113L,40,-208.93,1759.05
113L,41,-583.99,1455.43
113L,42,-732.823333333333,1449.47666666667
113L,43,-825.1,1505.18285714286
113L,44,-959.05,1348.27
113L,45,-1423.41,1232.18
113L,46,-1298.39,1241.11
113L,47,-1265.64666666667,1315.52666666667
113L,48,-1051.922,1351.842
113L,49,-994.77,1410.78
113L,50,-1015.60666666667,1529.84666666667
113L,51,-914.4,1562.59
113L,52,-801.286666666667,1666.77333333333
113L,53,-691.15,1830.49
113L,54,-470.876666666667,764.843333333333
113L,55,-983.288571428571,1594.48285714286
113L,56,-638.845714285714,1135.22571428571
113L,57,-377.111666666667,1214.32
113L,58,-1396.62,1375.06
113L,59,-1489.88888888889,1271.86888888889
113L,60,-1309.106,869.622
113L,61,-568.190769230769,1745.99846153846
113L,62,-1488.1525,993.3025
113L,63,-1006.25142857143,880.082857142857
113L,64,-1581.9175,799.075
113L,65,-1430.85166666667,559.453333333333
113L,66,-935.236666666667,851.166666666667
113L,67,-1474.01333333333,830.33
113L,68,-1064.424,710.668
113L,69,-1214.05111111111,779.726666666667
113L,70,-1514.496,1173.242
113L,71,-860.82,1415.245
113L,72,-875.932307692308,436.723076923077
113L,73,-917.972,1189.316
113L,74,-1043.885,258.81
113L,75,-299.505714285714,1775.63428571429
113L,76,-775.488888888889,1273.85333333333
113L,77,-220.607692307692,1516.56615384615
113L,78,-1343.04,1526.05818181818
113L,79,-1155.51,1008.93
113L,80,-1658.56666666667,880.933333333333
113L,81,-1196.588,1000.0
113L,82,-829.068888888889,916.653333333333
113L,83,-973.338,390.974
113L,84,-1173.37,1120.555
113L,85,-1277.55333333333,1083.34666666667
113L,86,-982.863333333333,654.706666666667
113L,87,-882.252,921.416
113L,88,-1560.18,349.52
113L,89,-1292.70727272727,659.036363636364
113L,90,-1404.73818181818,446.34
113L,91,-222.325,2138.575
113L,92,-212.989090909091,1844.29090909091
113L,93,-1066.21,1565.56666666667
113L,94,-1542.05142857143,1035.72
113L,95,-1232.90333333333,1547.70666666667
113L,96,-1260.23454545455,462.576363636364
113L,97,-778.664,2035.88
113L,98,-1128.72,1342.912
113L,99,-1039.42,1089.3
113L,100,-1011.05411764706,1856.22941176471
113L,101,-1126.934,1657.248
113L,102,-1223.66,1719.57
113L,103,-805.616363636364,1086.05272727273
113L,104,-825.1,1773.08285714286
113L,105,-673.29,1757.264
113L,106,-1574.44347826087,1210.43739130435
113L,107,-959.861818181818,1102.28909090909
113L,108,-1091.29904761905,932.812380952381
113L,109,-1426.75875,1309.20125
113L,110,-698.456363636364,711.804545454545
113L,111,-647.393,690.129
113L,112,-1015.06545454545,779.185454545455
113L,113,-399.207692307692,1147.00153846154
113L,114,-1183.57571428571,589.22
113L,115,-1074.36347826087,1882.12869565217
113L,116,-1221.26727272727,1147.75090909091
113L,117,-1530.2128,852.8336
113L,118,-1215.04333333333,1056.55666666667
113L,119,-1054.30333333333,574.336666666667
113L,120,-1053.93125,753.30875
113L,121,-1111.97625,293.41375
113L,122,-1435.49176470588,913.851764705882
113L,123,-1135.21454545455,1090.92363636364
113L,124,-1526.44846153846,430.540769230769
113L,125,-1363.00117647059,721.594117647059
113L,126,-1085.06222222222,688.442222222222
113R,1,1486.49428571429,1329.13428571429
113R,2,1228.8,714.24
113R,3,1365.72666666667,1363.15333333333
113R,4,1188.615,446.34
113R,5,1201.32307692308,1832.55076923077
113R,6,1041.27,651.73
113R,7,1344.89,964.28
113R,8,1430.618,785.68
113R,9,862.67,2053.74
113R,10,1094.03818181818,743.465454545455
113R,11,925.18,526.71
113R,12,684.07,2137.08666666667
113R,13,960.9,1848.35
113R,14,603.7,928.56
113R,15,1003.97411764706,2099.96588235294
113R,16,1582.03111111111,978.171111111111
113R,17,873.584444444444,1506.03333333333
113R,18,1002.57333333333,2006.11333333333
113R,19,460.82,1973.37
113R,20,809.901818181818,2300.53272727273
113R,21,1523.49,901.77
113R,22,1639.58,857.12
113R,23,1076.99,883.91
113R,24,535.507272727273,512.909090909091
113R,25,1003.97411764706,2099.96588235294
113R,26,1575.284,1050.008
113R,27,1646.07454545455,728.852727272727
113R,28,893.032,410.62
113R,29,1226.36454545455,367.593636363636
113R,30,1264.52,1612.34285714286
113R,31,380.45,562.43
113R,32,588.0725,640.5675
113R,33,612.63,803.54
113R,34,800.16,870.515
113R,35,873.8325,729.8675
113R,36,871.6,594.322857142857
113R,37,990.666666666667,577.313333333333
113R,38,1137.51555555556,630.893333333333
113R,39,958.6675,783.4475
113R,40,919.226666666666,904.746666666667
113R,41,1193.08,794.61
113R,42,1376.78285714286,660.66
113R,43,1400.256,557.072
113R,44,1362.75,812.47
113R,45,1315.8675,895.0725
113R,46,1448.22285714286,1071.44
113R,47,1437.16666666667,1005.95333333333
113R,48,1348.71714285714,1053.58
113R,49,1358.285,1209.855
113R,50,1452.05,1294.69
113R,51,1373.66444444444,1511.98666666667
113R,52,1288.33333333333,1309.57333333333
113R,53,1273.45,1142.88
113R,54,1219.87,1178.6
113R,55,1159.5925,1305.8525
113R,56,504.658181818182,421.985454545455
113R,57,1240.70666666667,1476.26666666667
113R,58,1079.42545454545,1483.84363636364
113R,59,1041.27,1169.67
113R,60,937.086666666666,1283.77555555556
113R,61,987.69,1357.2
113R,62,937.086666666666,1283.77555555556
113R,63,1088.1525,1645.1925
113R,64,1112.71,1571.52
113R,65,802.3925,1198.6925
113R,66,695.2325,1145.1125
113R,67,1005.55,1544.73
113R,68,978.76,1473.29
113R,69,648.35,1330.41
113R,70,590.942857142857,1446.5
113R,71,432.244,1514.368
113R,72,268.825,1446.5
113R,73,800.16,1602.13714285714
113R,74,922.203333333333,1681.65666666667
113R,75,607.272,1828.704
113R,76,291.15,1848.35
113R,77,291.15,1848.35
113R,78,259.895,2250.2
113R,79,579.886666666666,2154.94666666667
113R,80,737.65,2116.25
113R,81,747.855714285714,1408.22857142857
113R,82,707.288,2010.876
113R,83,719.79,1023.218
113R,84,855.724444444445,1896.96888888889
113R,85,355.148333333334,1150.32166666667
113R,86,690.448571428571,1480.94428571429
113R,87,764.44,1811.63777777778
113R,88,989.178333333334,1212.83166666667
113R,89,1037.44285714286,474.405714285714
113R,90,1254.31428571429,1025.51428571429
113R,91,943.04,665.125
113R,92,818.02,742.305714285714
113R,93,971.318333333333,510.338333333333
113R,94,1573.01090909091,1368.56545454545
113R,95,1322.565,1435.3375
113R,96,1007.336,1392.92
113R,97,714.107272727273,340.803636363636
113R,98,1284.6125,444.1075
113R,99,1285.952,1757.264
113R,100,837.503636363636,1823.18363636364
113R,101,599.731111111111,1091.28444444444
113R,102,1404.15272727273,436.598181818182
113R,103,153.952727272727,1625.1
113R,104,1415.05428571429,721.894285714286
113R,105,972.806666666666,413.596666666667
113R,106,1478.84,917.3975
113R,107,800.16,357.04
113R,108,1180.32285714286,1035.72
113R,109,1213.91666666667,1297.66666666667
113R,110,1061.3625,1252.2725
113R,111,984.713333333333,717.216666666667
113R,112,1047.22333333333,1878.11666666667
113R,113,1537.52285714286,350.661428571428
113R,114,1298.75166666667,754.425
113R,115,784.284444444444,1259.96222222222
113R,116,1228.02347826087,217.266086956522
113R,117,1340.425,1598.31
113R,118,1074.01333333333,1382.99777777778
113R,119,1280.89166666667,537.128333333333
113R,120,871.6,491.982222222222
113R,121,1018.44888888889,337.195555555556
113R,122,1516.54444444444,793.617777777778
113R,123,1458.00333333333,614.521666666667
113R,124,1166.29,1235.752
113R,125,907.32,1415.88285714286
113R,126,791.825333333333,2210.908
113R,127,1521.2575,656.195
113R,128,1343.61428571429,1117.36571428571
113R,129,1330.85714285714,474.405714285714
113R,130,1357.392,708.286666666667
113R,131,641.404444444444,1714.4
113R,132,1499.44769230769,1002.74769230769
113R,133,1178.46727272727,904.205454545455
113R,134,823.973333333333,1511.98666666667
113R,135,647.357777777778,692.411111111111
113R,136,1154.38333333333,1145.85666666667
113R,137,1108.245,415.085
113R,138,1055.558,540.998
113R,139,1467.13862068965,283.136551724138
114L,1,-1505.1275,1350.5025
114L,2,-1382.34,785.68
114L,3,-1453.78,1619.99714285714
114L,4,-1284.11,473.13
114L,5,-1328.76,1821.56
114L,6,-1114.44,723.17
114L,7,-1384.32444444444,1166.69333333333
114L,8,-1373.41,1062.51
114L,9,-902.104444444444,1790.80111111111
114L,10,-1154.625,809.493333333333
114L,11,-969.458823529412,778.325882352941
114L,12,-662.257272727273,2111.37909090909
114L,13,-994.290909090909,1616.17
114L,14,-723.504444444445,1155.77888888889
114L,15,-995.869444444445,2167.34944444444
114L,16,-1823.58705882353,1242.68588235294
114L,17,-906.989230769231,1489.08923076923
114L,18,-1048.10285714286,2006.53857142857
114L,19,-488.724137931035,2120.86896551724
114L,20,-1841.44705882353,903.345882352941
114L,21,-828.68,2152.78181818182
114L,22,-1958.46903225806,768.972258064516
114L,23,-1736.29272727273,896.087272727273
114L,24,-953.7,1151.81
114L,25,-676.87,678.52
114L,26,-1104.98470588235,2058.99294117647
114L,27,-1548.18285714286,1089.3
114L,28,-1626.00142857143,1335.51285714286
114L,29,-1882.42,839.26
114L,30,-1739.54,514.208
114L,31,-1014.14923076923,506.789230769231
114L,32,-1194.81,566.257142857143
114L,33,-1295.42133333333,1723.92533333333
114L,34,-784.03,1383.99
114L,35,-646.252857142857,1580.45
114L,36,-755.0075,1051.3475
114L,37,-1278.15666666667,1211.34333333333
114L,38,-309.417037037037,1300.97407407407
114L,39,-1471.64,1485.792
114L,40,-1558.95555555556,994.046666666667
114L,41,-837.61,576.462857142857
114L,42,-1495.45333333333,1147.345
114L,43,-1328.76,1272.365
114L,44,-892.765882352941,1037.82117647059
114L,45,-1244.56285714286,874.98
114L,46,-605.43,780.577142857143
114L,47,-1666.61166666667,1258.97
114L,48,-1069.79,1258.97
114L,49,-1025.14,866.05
114L,50,-1364.48,1521.512
114L,51,-1412.10666666667,712.255555555555
114L,52,-834.038,503.492
114L,53,-919.766,748.174
114L,54,-1165.7875,944.1875
114L,55,-1352.57333333333,1364.14555555556
114L,56,-1082.292,1419.71
114L,57,-989.42,1241.11
114L,58,-1058.6275,1158.5075
114L,59,-807.248,1267.9
114L,60,-1246.32923076923,993.130769230769
114L,61,-1009.5125,712.0075
114L,62,-787.857142857143,785.68
