CID,Experiment,ROI#,DeltaF
-1,112L,99,0.0
-1,112L,100,0.0
-1,112R,1,0.0
-1,112R,2,0.0
-1,112R,3,0.0
-1,112R,4,0.0
-1,112R,5,0.0
-1,112R,6,0.0
-1,112R,7,0.0
-1,112R,8,0.0
-1,112R,9,0.0
-1,112R,10,0.0
-1,112R,11,0.0
-1,112R,12,0.0
-1,112R,13,0.0
-1,112R,14,0.0
-1,112R,15,0.0
-1,112R,16,0.0
-1,112R,17,0.0
-1,112R,18,0.0
-1,112R,19,0.0
-1,112R,20,0.0
-1,112R,21,0.0
-1,112R,22,0.0
-1,112R,23,0.0
-1,112R,24,0.0
-1,112R,25,0.0
-1,112R,26,0.0
-1,112R,27,0.0
-1,112R,28,0.0
-1,112R,29,0.0
-1,112R,30,0.0
-1,112R,31,0.0
-1,112R,32,0.0
-1,112R,33,0.0
-1,112R,34,0.0
-1,112R,35,0.0
-1,112R,36,0.0
-1,112R,37,0.0
-1,112R,38,0.0
-1,112R,39,0.0
-1,112R,40,0.0
-1,112R,41,0.0
-1,112R,42,0.0
-1,112R,43,0.0
-1,112R,44,0.0
-1,112R,45,0.0
-1,112R,46,0.0
-1,112R,47,0.0
-1,112R,48,0.0
-1,112R,49,0.0
-1,112R,50,0.0
-1,112R,51,0.0
-1,112R,52,0.0
-1,112R,53,0.0
-1,112R,54,0.0
-1,112R,55,0.0
-1,112R,56,0.0
-1,112R,57,0.0
-1,112R,58,0.0
-1,112R,59,0.0
-1,112R,60,0.0
-1,112R,61,0.0
-1,112R,62,0.0
-1,112R,63,0.0
-1,112R,64,0.0
-1,112R,65,0.0
-1,112R,66,0.0
-1,112R,67,0.0
-1,112R,68,0.0
-1,112R,69,0.0
-1,112R,70,0.0
-1,112R,71,0.0
-1,112R,72,0.0
-1,112R,73,0.0
-1,112R,74,0.0
-1,112R,75,0.0
-1,112R,76,0.0
-1,112R,77,0.0
-1,112R,78,0.0
-1,112R,79,0.0
-1,112R,80,0.0
-1,112R,81,0.0
-1,112R,82,0.0
-1,112R,83,0.0
-1,112R,84,0.0
-1,112R,85,0.0
-1,112R,86,0.0
-1,112R,87,0.0
-1,112R,88,0.0
-1,112R,89,0.0
-1,112R,90,0.0
-1,112R,91,0.0
-1,112R,92,0.0
-1,112R,93,0.0
-1,112R,94,0.0
-1,112R,95,0.0
-1,112R,96,0.0
-1,112R,97,0.0
-1,112R,98,0.0
-1,112R,99,0.0
-1,112R,100,0.0
-1,112R,101,0.0
-1,112R,102,0.0
-1,112R,103,0.0
-1,112R,104,0.0
-1,112R,105,0.0
-1,112R,106,0.0
-1,112R,107,0.0
-1,112R,108,0.0
-1,112R,109,0.0
-1,112R,110,0.0
-1,112R,111,0.0
-1,112R,112,0.0
-1,112R,113,0.0
-1,112R,114,0.0
-1,112R,115,0.0
-1,112R,116,0.0
-1,113L,1,0.0
-1,113L,2,0.0
-1,113L,3,0.0
-1,113L,4,0.0
-1,113L,5,0.0
-1,113L,6,0.0
-1,113L,7,0.0
-1,113L,8,0.0
-1,113L,9,0.0
-1,113L,10,0.0
-1,113L,11,0.0
-1,113L,12,0.0
-1,113L,13,0.0
-1,113L,14,0.0
-1,113L,15,0.0
-1,113L,16,0.0
-1,113L,17,0.0
-1,113L,18,0.0
-1,113L,19,0.0
-1,113L,20,0.0
-1,113L,21,0.0
-1,113L,22,0.0
-1,113L,23,0.0
-1,113L,24,0.0
-1,113L,25,0.0
-1,113L,26,0.0
-1,113L,27,0.0
-1,113L,28,0.0
-1,113L,29,0.0
-1,113L,30,0.0
-1,113L,31,0.0
-1,113L,32,0.0
-1,113L,33,0.0
-1,113L,34,0.0
-1,113L,35,0.0
-1,113L,36,0.0
-1,113L,37,0.0
-1,113L,38,0.0
-1,113L,39,0.0
-1,113L,40,0.0
-1,113L,41,0.0
-1,113L,42,0.0
-1,113L,43,0.0
-1,113L,44,0.0
-1,113L,45,0.0
-1,113L,46,0.0
-1,113L,47,0.0
-1,113L,48,0.0
-1,113L,49,0.0
-1,113L,50,0.0
-1,113L,51,0.0
-1,113L,52,4.8168206214904785
-1,113L,53,0.0
-1,113L,54,0.0
-1,113L,55,0.0
-1,113L,56,0.0
-1,113L,57,0.0
-1,113L,58,0.0
-1,113L,59,0.0
-1,113L,60,0.0
-1,113L,61,0.0
-1,113L,62,0.0
-1,113L,63,0.0
-1,113L,64,0.0
-1,113L,65,0.0
-1,113L,66,0.0
-1,113L,67,0.0
-1,113L,68,0.0
-1,113L,69,0.0
-1,113L,70,0.0
-1,113L,71,0.0
-1,113L,72,0.0
-1,113L,73,0.0
-1,113L,74,0.0
-1,113L,75,0.0
-1,113L,76,0.0
-1,113L,77,0.0
-1,113L,78,0.0
-1,113L,79,0.0
-1,113L,80,0.0
-1,113L,81,0.0
-1,113L,82,0.0
-1,113L,83,0.0
-1,113L,84,0.0
-1,113L,85,0.0
-1,113L,86,0.0
-1,113L,87,0.0
-1,113L,88,0.0
-1,113L,89,0.0
-1,113L,90,0.0
-1,113L,91,0.0
-1,113L,92,0.0
-1,113L,93,0.0
-1,113L,94,0.0
-1,113L,95,0.0
-1,113L,96,0.0
-1,113L,97,0.0
-1,113L,98,0.0
-1,113L,99,0.0
-1,113L,100,0.0
-1,113L,101,0.0
-1,113L,102,0.0
-1,113L,103,0.0
-1,113L,104,0.0
-1,113L,105,0.0
-1,113L,106,0.0
-1,113L,107,0.0
-1,113L,108,0.0
-1,113L,109,0.0
-1,113L,110,0.0
-1,113L,111,0.0
-1,113L,112,0.0
-1,113L,113,0.0
-1,113L,114,0.0
-1,113L,115,0.0
-1,113L,116,0.0
-1,113L,117,0.0
-1,113L,118,0.0
-1,113L,119,0.0
-1,113L,120,0.0
-1,113L,121,0.0
-1,113L,122,0.0
-1,113L,123,0.0
-1,113L,124,0.0
-1,113L,125,0.0
-1,113L,126,0.0
-1,113R,1,0.0
-1,113R,2,0.0
-1,113R,3,0.0
-1,113R,4,0.0
-1,113R,5,0.0
-1,113R,6,0.0
-1,113R,7,0.0
-1,113R,8,0.0
-1,113R,9,0.0
-1,113R,10,0.0
-1,113R,11,0.0
-1,113R,12,0.0
-1,113R,13,0.0
-1,113R,14,0.0
-1,113R,15,0.0
-1,113R,16,0.0
-1,113R,17,0.0
-1,113R,18,0.0
-1,113R,19,0.0
-1,113R,20,0.0
-1,113R,21,0.0
-1,113R,22,0.0
-1,113R,23,0.0
-1,113R,24,0.0
-1,113R,25,0.0
-1,113R,26,0.0
-1,113R,27,0.0
-1,113R,28,0.0
-1,113R,29,0.0
-1,113R,30,0.0
-1,113R,31,0.0
-1,113R,32,0.0
-1,113R,33,0.0
-1,113R,34,0.0
-1,113R,35,0.0
-1,113R,36,0.0
-1,113R,37,0.0
-1,113R,38,0.0
-1,113R,39,0.0
-1,113R,40,0.0
-1,113R,41,0.0
-1,113R,42,0.0
-1,113R,43,0.0
-1,113R,44,0.0
-1,113R,45,0.0
-1,113R,46,0.0
-1,113R,47,0.0
-1,113R,48,0.0
-1,113R,49,0.0
-1,113R,50,0.0
-1,113R,51,0.0
-1,113R,52,0.0
-1,113R,53,0.0
-1,113R,54,0.0
-1,113R,55,0.0
-1,113R,56,0.0
-1,113R,57,0.0
-1,113R,58,0.0
-1,113R,59,0.0
-1,113R,60,0.0
-1,113R,61,0.0
