Stimulus,Experiment,ImagePath
12097_4.91e-10,111R,images/111_5-methylfurfural.csv
12097_4.91e-10,112L,images/112_5-methylfurfural.csv
12097_4.91e-10,112R,images/112_5-methylfurfural.csv
12097_4.91e-10,113L,images/113_5-methylfurfural.csv
12097_4.91e-10,113R,images/113_5-methylfurfural.csv
12097_4.91e-10,114L,images/114_5-methylfurfural.csv
12097_4.91e-10,114R,images/114_5-methylfurfural.csv
12206_8.42e-10,111L,images/111_methyl_valerate.csv
12206_8.42e-10,111R,images/111_methyl_valerate.csv
12206_8.42e-10,112L,images/112_methyl_valerate.csv
12206_8.42e-10,112R,images/112_methyl_valerate.csv
12206_8.42e-10,113L,images/113_methyl_valerate.csv
12206_8.42e-10,113R,images/113_methyl_valerate.csv
12206_8.42e-10,114L,images/114_methyl_valerate.csv
12206_8.42e-10,114R,images/114_methyl_valerate.csv
12291_2.04e-10,111L,images/111_N-methyl_piperidine.csv
12291_2.04e-10,111R,images/111_N-methyl_piperidine.csv
12291_2.04e-10,112L,images/112_N-methyl_piperidine.csv
12291_2.04e-10,112R,images/112_N-methyl_piperidine.csv
12291_2.04e-10,113L,images/113_N-methyl_piperidine.csv
12291_2.04e-10,113R,images/113_N-methyl_piperidine.csv
12291_2.04e-10,114L,images/114_N-methyl_piperidine.csv
12291_2.04e-10,114R,images/114_N-methyl_piperidine.csv
12497_1.40e-11,111L,images/111_phenyl_propionate.csv
12497_1.40e-11,111R,images/111_phenyl_propionate.csv
12497_1.40e-11,112L,images/112_phenyl_propionate.csv
12497_1.40e-11,112R,images/112_phenyl_propionate.csv
12497_1.40e-11,113L,images/113_phenyl_propionate.csv
12497_1.40e-11,113R,images/113_phenyl_propionate.csv
12497_1.40e-11,114L,images/114_phenyl_propionate.csv
12497_1.40e-11,114R,images/114_phenyl_propionate.csv
1268142_9.39e-10,111L,images/111_nootkatone.csv
1268142_9.39e-10,111R,images/111_nootkatone.csv
1268142_9.39e-10,112L,images/112_nootkatone.csv
1268142_9.39e-10,112R,images/112_nootkatone.csv
1268142_9.39e-10,113L,images/113_nootkatone.csv
1268142_9.39e-10,113R,images/113_nootkatone.csv
1268142_9.39e-10,114L,images/114_nootkatone.csv
1268142_9.39e-10,114R,images/114_nootkatone.csv
12748_7.56e-10,111L,images/111_4-methylthiazole.csv
12748_7.56e-10,111R,images/111_4-methylthiazole.csv
12748_7.56e-10,112L,images/112_4-methylthiazole.csv
12748_7.56e-10,112R,images/112_4-methylthiazole.csv
12748_7.56e-10,113L,images/113_4-methylthiazole.csv
12748_7.56e-10,113R,images/113_4-methylthiazole.csv
12748_7.56e-10,114L,images/114_4-methylthiazole.csv
12748_7.56e-10,114R,images/114_4-methylthiazole.csv
13187_4.92e-10,111L,images/111_2-nonanone.csv
13187_4.92e-10,111R,images/111_2-nonanone.csv
13187_4.92e-10,112L,images/112_2-nonanone.csv
13187_4.92e-10,112R,images/112_2-nonanone.csv
13187_4.92e-10,113L,images/113_2-nonanone.csv
13187_4.92e-10,113R,images/113_2-nonanone.csv
13187_4.92e-10,114L,images/114_2-nonanone.csv
13187_4.92e-10,114R,images/114_2-nonanone.csv
13357_1.60e-10,111L,images/111_methyl_2-methylbutyrate.csv
13357_1.60e-10,111R,images/111_methyl_2-methylbutyrate.csv
13357_1.60e-10,112L,images/112_methyl_2-methylbutyrate.csv
13357_1.60e-10,112R,images/112_methyl_2-methylbutyrate.csv
13357_1.60e-10,113L,images/113_methyl_2-methylbutyrate.csv
13357_1.60e-10,113R,images/113_methyl_2-methylbutyrate.csv
13357_1.60e-10,114L,images/114_methyl_2-methylbutyrate.csv
13357_1.60e-10,114R,images/114_methyl_2-methylbutyrate.csv
13479201_5.11e-09,111L,images/111_2-hexyl-2-decenal.csv
13479201_5.11e-09,111R,images/111_2-hexyl-2-decenal.csv
13479201_5.11e-09,112L,images/112_2-hexyl-2-decenal.csv
13479201_5.11e-09,112R,images/112_2-hexyl-2-decenal.csv
13479201_5.11e-09,113L,images/113_2-hexyl-2-decenal.csv
13479201_5.11e-09,113R,images/113_2-hexyl-2-decenal.csv
13479201_5.11e-09,114L,images/114_2-hexyl-2-decenal.csv
13479201_5.11e-09,114R,images/114_2-hexyl-2-decenal.csv
13563_3.21e-10,111L,images/111_N-butyldimethylamine.csv
13563_3.21e-10,111R,images/111_N-butyldimethylamine.csv
13563_3.21e-10,112L,images/112_N-butyldimethylamine.csv
13563_3.21e-10,112R,images/112_N-butyldimethylamine.csv
13563_3.21e-10,113L,images/113_N-butyldimethylamine.csv
13563_3.21e-10,113R,images/113_N-butyldimethylamine.csv
13563_3.21e-10,114L,images/114_N-butyldimethylamine.csv
13563_3.21e-10,114R,images/114_N-butyldimethylamine.csv
14286_3.67e-10,111L,images/111_2-acetylpyridine.csv
14286_3.67e-10,111R,images/111_2-acetylpyridine.csv
14286_3.67e-11,112L,images/112_2-acetylpyridine.csv
14286_3.67e-11,112R,images/112_2-acetylpyridine.csv
14286_3.67e-11,113L,images/113_2-acetylpyridine.csv
14286_3.67e-11,113R,images/113_2-acetylpyridine.csv
14286_3.67e-11,114L,images/114_2-acetylpyridine.csv
14286_3.67e-11,114R,images/114_2-acetylpyridine.csv
14296_5.12e-09,111L,"images/111_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-09,111R,"images/111_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,112L,"images/112_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,112R,"images/112_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,113L,"images/113_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,113R,"images/113_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,114L,"images/114_2,3,5,6-tetramethylpyrazine.csv"
14296_5.12e-10,114R,"images/114_2,3,5,6-tetramethylpyrazine.csv"
15037_1.83e-09,111L,images/111_1-furfurylpyrrole.csv
15037_1.83e-09,111R,images/111_1-furfurylpyrrole.csv
15037_1.83e-10,112L,images/112_1-furfurylpyrrole.csv
15037_1.83e-10,112R,images/112_1-furfurylpyrrole.csv
15037_1.83e-10,113L,images/113_1-furfurylpyrrole.csv
