Subject,Experiment,Mouse ID,Hemisphere,ROI#,Xpos,Ypos
111L_077,111L,111,L,77,-1686.03454545455,419.989090909091
111L_078,111L,111,L,78,-690.294444444444,501.261111111111
111L_079,111L,111,L,79,-1030.27647058824,1256.92588235294
111L_080,111L,111,L,80,-1206.25,782.06
111L_081,111L,111,L,81,-1044.39375,1105.7725
111L_082,111L,111,L,82,-1006.11294117647,669.647058823529
111L_083,111L,111,L,83,-1065.49619047619,478.44
111L_084,111L,111,L,84,-1656.42705882353,636.028235294118
111L_085,111L,111,L,85,-1156.83733333333,747.530666666667
111L_086,111L,111,L,86,-1137.78666666667,752.293333333333
111L_087,111L,111,L,87,-1153.563,873.146
111L_088,111L,111,L,88,-1169.84307692308,946.921538461538
111L_089,111L,111,L,89,-1159.3675,1144.84125
111L_090,111L,111,L,90,-1275.904,1300.0
111L_091,111L,111,L,91,-1258.55428571429,688.932857142857
111L_092,111L,111,L,92,-1477.64434782609,822.439130434783
111L_093,111L,111,L,93,-1445.48,1104.48
111L_094,111L,111,L,94,-1633.104,1117.828
111L_095,111L,111,L,95,-1608.1,1038.90380952381
111L_096,111L,111,L,96,-1658.108,714.192
111L_097,111L,111,L,97,-1528.54181818182,1445.31545454545
111L_098,111L,111,L,98,-1159.61555555556,1561.94666666667
111L_099,111L,111,L,99,-841.395714285714,1242.59285714286
111L_100,111L,111,L,100,-1363.64125,1119.1675
111L_101,111L,111,L,101,-1796.82066666667,539.759333333333
111L_102,111L,111,L,102,-1635.19793103448,373.743448275862
111L_103,111L,111,L,103,-1322.34,1444.86444444444
111L_104,111L,111,L,104,-1520.35304347826,601.130434782609
111L_105,111L,111,L,105,-841.673043478261,1873.84956521739
111L_106,111L,111,L,106,-618.656,1026.742
111L_107,111L,111,L,107,-1654.536,517.732
111L_108,111L,111,L,108,-1499.31636363636,731.727272727273
111L_109,111L,111,L,109,-1009.19466666667,572.502666666667
111L_110,111L,111,L,110,-1627.746,1236.597
111L_111,111L,111,L,111,-1793.47448275862,649.033793103448
111L_112,111L,111,L,112,-1058.012,1417.876
111R_001,111R,111,R,1,1341.656,1296.428
111R_002,111R,111,R,2,1304.15,719.55
111R_003,111R,111,R,3,1447.03,1288.09333333333
111R_004,111R,111,R,4,1194.39741935484,317.123870967742
111R_005,111R,111,R,5,1098.76,1725.66333333333
111R_006,111R,111,R,6,1395.51076923077,953.790769230769
111R_007,111R,111,R,7,1375.59,871.36
111R_008,111R,111,R,8,875.51,1844.73
111R_009,111R,111,R,9,1192.02888888889,684.822222222222
111R_010,111R,111,R,10,1047.56133333333,718.954666666667
111R_011,111R,111,R,11,762.992,1900.096
111R_012,111R,111,R,12,898.728,1585.76
111R_013,111R,111,R,13,652.26,1112.47
111R_014,111R,111,R,14,1071.15818181818,2145.91454545455
111R_015,111R,111,R,15,1682.782,1137.474
111R_016,111R,111,R,16,888.408888888889,1355.56444444444
111R_017,111R,111,R,17,1068.14285714286,1988.88571428571
111R_018,111R,111,R,18,523.668,2112.63
111R_019,111R,111,R,19,1818.518,749.912
111R_020,111R,111,R,20,828.875555555555,2177.12444444444
111R_021,111R,111,R,21,1652.42,710.62
111R_022,111R,111,R,22,1643.49,808.85
111R_023,111R,111,R,23,1250.57,884.117142857143
111R_024,111R,111,R,24,712.709230769231,529.272307692308
111R_025,111R,111,R,25,1119.59666666667,2029.28333333333
111R_026,111R,111,R,26,1341.656,857.072
