stimulus,subject,rep,intensity
IP1,288,1,6.0
IP1,288,2,4.0
IP1,290,1,5.0
IP1,290,2,3.0
IP1,292,1,6.0
IP1,292,2,6.0
IP1,297,1,5.0
IP1,297,2,5.0
IP1,298,1,6.0
IP1,298,2,6.0
IP1,299,1,6.0
IP1,299,2,6.0
IP1,301,1,5.0
IP1,301,2,5.0
IP1,302,1,7.0
IP1,302,2,7.0
IP1,307,1,5.0
IP1,307,2,5.0
IP1,308,1,5.0
IP1,308,2,6.0
IP1,309,1,5.0
IP1,309,2,6.0
IP1,310,1,7.0
IP1,310,2,6.0
IP1,311,1,6.0
IP1,311,2,6.0
IP1,313,1,6.0
IP1,313,2,7.0
IP1,315,1,6.0
IP1,315,2,6.0
IP1,317,1,5.0
IP1,317,2,6.0
IP1,318,1,6.0
IP1,318,2,6.0
IP1,319,1,5.0
IP1,319,2,5.0
IP1,320,1,6.0
IP1,320,2,7.0
IP1,321,1,5.0
IP1,321,2,5.0
IP1,323,1,5.0
IP1,323,2,5.0
IP1,324,1,7.0
IP1,324,2,7.0
IP1,325,1,5.0
IP1,325,2,5.0
IP1,326,1,7.0
IP1,326,2,6.0
IP1,328,1,5.0
IP1,328,2,4.0
IP1,329,1,5.0
IP1,329,2,5.0
IP1,330,1,4.0
IP1,330,2,6.0
IP1,331,1,6.0
IP1,331,2,5.0
IP1,332,1,6.0
IP1,332,2,6.0
IP1,333,1,6.0
IP1,333,2,5.0
IP1,334,1,5.0
IP1,334,2,5.0
IP1,335,1,6.0
IP1,335,2,7.0
IP1,336,1,6.0
IP1,336,2,5.0
IP1,337,1,5.0
IP1,337,2,7.0
IP1,338,1,6.0
IP1,338,2,5.0
IP1,341,1,4.0
IP1,341,2,5.0
IP1,342,1,5.0
IP1,342,2,6.0
IP1,343,1,6.0
IP1,343,2,6.0
IP1,344,1,5.0
IP1,344,2,6.0
IP1,345,1,7.0
IP1,345,2,6.0
IP1,346,1,6.0
IP1,346,2,6.0
IP1,347,1,6.0
IP1,347,2,6.0
IP1,348,1,5.0
IP1,348,2,5.0
IP1,349,1,5.0
IP1,349,2,5.0
IP1,350,1,5.0
IP1,350,2,5.0
IP1,351,1,7.0
IP1,351,2,7.0
IP1,352,1,6.0
IP1,352,2,5.0
IP1,354,1,7.0
IP1,354,2,6.0
IP1,356,1,6.0
IP1,356,2,6.0
IP1,357,1,5.0
IP1,357,2,5.0
IP1,359,1,6.0
IP1,359,2,6.0
IP1,360,1,7.0
IP1,360,2,6.0
IP1,363,1,7.0
IP1,363,2,7.0
IP1,364,1,6.0
IP1,364,2,6.0
IP1,365,1,6.0
IP1,365,2,5.0
IP1,366,1,5.0
IP1,366,2,6.0
IP1,369,1,6.0
IP1,369,2,6.0
IP1,371,1,6.0
IP1,371,2,6.0
IP1,373,1,6.0
IP1,373,2,6.0
IP1,374,1,6.0
IP1,374,2,7.0
IP1,376,1,5.0
IP1,376,2,7.0
IP1,377,1,5.0
IP1,377,2,6.0
IP1,379,1,6.0
IP1,379,2,6.0
IP1,380,1,5.0
IP1,380,2,5.0
IP1,381,1,5.0
