stimulus,subject,rep,descriptor,value
D2,52,1,incense,0
D2,52,1,sweaty,0
D2,52,1,light,3
D2,52,1,heavy,0
D2,52,1,cool,2
D2,52,1,warm,4
D2,52,1,fruity other,0
D2,52,1,vanilla,5
D2,52,1,musty moldy,0
D2,52,1,rose,0
D2,52,1,violets,1
D2,52,1,lavender,0
D2,52,2,sweet,4
D2,52,2,fragrant,5
D2,52,2,perfumery,5
D2,52,2,floral,5
D2,52,2,cologne,0
D2,52,2,aromatic,5
D2,52,2,musky,0
D2,52,2,incense,0
D2,52,2,sweaty,0
D2,52,2,light,0
D2,52,2,heavy,0
D2,52,2,cool,0
D2,52,2,warm,3
D2,52,2,fruity other,0
D2,52,2,vanilla,2
D2,52,2,musty moldy,0
D2,52,2,rose,1
D2,52,2,violets,1
D2,52,2,lavender,1
D2,53,1,sweet,2
D2,53,1,fragrant,1
D2,53,1,perfumery,0
D2,53,1,floral,2
D2,53,1,cologne,0
D2,53,1,aromatic,1
D2,53,1,musky,1
D2,53,1,incense,0
D2,53,1,sweaty,0
D2,53,1,light,0
D2,53,1,heavy,0
D2,53,1,cool,0
D2,53,1,warm,0
D2,53,1,fruity other,0
D2,53,1,vanilla,0
D2,53,1,musty moldy,0
D2,53,1,rose,0
D2,53,1,violets,0
D2,53,1,lavender,0
D2,53,2,sweet,0
D2,53,2,fragrant,0
D2,53,2,perfumery,0
D2,53,2,floral,0
D2,53,2,cologne,2
D2,53,2,aromatic,0
D2,53,2,musky,2
D2,53,2,incense,0
D2,53,2,sweaty,0
D2,53,2,light,0
D2,53,2,heavy,0
D2,53,2,cool,0
D2,53,2,warm,0
D2,53,2,fruity other,0
D2,53,2,vanilla,0
D2,53,2,musty moldy,0
D2,53,2,rose,0
D2,53,2,violets,0
D2,53,2,lavender,0
D2,55,1,sweet,4
D2,55,1,fragrant,0
D2,55,1,perfumery,1
D2,55,1,floral,0
D2,55,1,cologne,0
D2,55,1,aromatic,0
D2,55,1,musky,0
D2,55,1,incense,0
D2,55,1,sweaty,0
D2,55,1,light,0
D2,55,1,heavy,0
D2,55,1,cool,0
D2,55,1,warm,0
D2,55,1,fruity other,0
D2,55,1,vanilla,0
D2,55,1,musty moldy,0
D2,55,1,rose,0
D2,55,1,violets,0
D2,55,1,lavender,1
D2,55,2,sweet,5
D2,55,2,fragrant,0
D2,55,2,perfumery,0
D2,55,2,floral,4
D2,55,2,cologne,0
D2,55,2,aromatic,0
D2,55,2,musky,0
D2,55,2,incense,0
D2,55,2,sweaty,0
D2,55,2,light,0
D2,55,2,heavy,0
D2,55,2,cool,0
D2,55,2,warm,5
D2,55,2,fruity other,0
D2,55,2,vanilla,5
D2,55,2,musty moldy,0
D2,55,2,rose,0
D2,55,2,violets,0
D2,55,2,lavender,2
D2,56,1,sweet,0
D2,56,1,fragrant,0
D2,56,1,perfumery,0
D2,56,1,floral,0
D2,56,1,cologne,0
D2,56,1,aromatic,0
D2,56,1,musky,0
D2,56,1,incense,0
D2,56,1,sweaty,0
D2,56,1,light,0
D2,56,1,heavy,0
D2,56,1,cool,0
D2,56,1,warm,0
D2,56,1,fruity other,0
D2,56,1,vanilla,0
D2,56,1,musty moldy,0
D2,56,1,rose,0
D2,56,1,violets,0
D2,56,1,lavender,0
D2,56,2,sweet,0
D2,56,2,fragrant,0
D2,56,2,perfumery,5
D2,56,2,floral,0
D2,56,2,cologne,5
D2,56,2,aromatic,0
D2,56,2,musky,5
D2,56,2,incense,0
D2,56,2,sweaty,0
D2,56,2,light,0
D2,56,2,heavy,0
D2,56,2,cool,0
D2,56,2,warm,0
D2,56,2,fruity other,0
D2,56,2,vanilla,3
D2,56,2,musty moldy,0
D2,56,2,rose,0
D2,56,2,violets,0
D2,56,2,lavender,0
D2,61,1,sweet,3
D2,61,1,fragrant,3
D2,61,1,perfumery,2
D2,61,1,floral,4
D2,61,1,cologne,0
D2,61,1,aromatic,2
D2,61,1,musky,0
D2,61,1,incense,0
D2,61,1,sweaty,0
D2,61,1,light,4
D2,61,1,heavy,0
D2,61,1,cool,5
D2,61,1,warm,0
D2,61,1,fruity other,0
D2,61,1,vanilla,5
D2,61,1,musty moldy,0
D2,61,1,rose,0
D2,61,1,violets,0
D2,61,1,lavender,0
D2,61,2,sweet,5
D2,61,2,fragrant,0
D2,61,2,perfumery,4
D2,61,2,floral,5
D2,61,2,cologne,0
D2,61,2,aromatic,3
D2,61,2,musky,0
D2,61,2,incense,0
D2,61,2,sweaty,0
D2,61,2,light,0
D2,61,2,heavy,0
D2,61,2,cool,3
D2,61,2,warm,0
D2,61,2,fruity other,0
D2,61,2,vanilla,3
D2,61,2,musty moldy,0
D2,61,2,rose,0
D2,61,2,violets,0
D2,61,2,lavender,0
D2,66,1,sweet,1
D2,66,1,fragrant,0
D2,66,1,perfumery,0
D2,66,1,floral,0
