CID,MolecularWeight,IsomericSMILES,IUPACName,name
31246,114.19,CCCC(=O)CCC,heptan-4-one,4-heptanone
2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
996,94.11,C1=CC=C(C=C1)O,phenol,phenol
11583,100.16,CCCCC(=O)C,hexan-2-one,2-hexanone
444294,152.23,C[C@]12CC[C@H](C1(C)C)CC2=O,"(1S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",(-)-camphor
335,108.14,CC1=CC=CC=C1O,2-methylphenol,o-cresol
7802,114.19,CCCCC(=O)CC,heptan-3-one,3-heptanone
1549018,164.24,CC/C=C\CC1=C(CCC1=O)C,3-methyl-2-[(Z)-pent-2-enyl]cyclopent-2-en-1-one,cis-jasmone
342,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
11516,128.21,CCCCC(=O)CCC,octan-4-one,4-octanone
6987,152.23,CC1=CC(=O)C(CC1)C(C)C,3-methyl-6-propan-2-ylcyclohex-2-en-1-one,piperitone
2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
10405,142.24,CCCCC(=O)CCCC,nonan-5-one,5-nonanone
442495,152.23,C[C@@H]1CCC(=C(C)C)C(=O)C1,(5R)-5-methyl-2-propan-2-ylidenecyclohexan-1-one,(+)-pulegone
6997,122.16,CCC1=CC=CC=C1O,2-ethylphenol,2-ethylphenol
8051,114.19,CCCCCC(=O)C,heptan-2-one,2-heptanone
62378,166.26,CCCCCC1=C(CCC1=O)C,3-methyl-2-pentylcyclopent-2-en-1-one,dihydrojasmone
12101,122.16,CCC1=CC(=CC=C1)O,3-ethylphenol,3-ethylphenol
246728,128.21,CCCCCC(=O)CC,octan-3-one,3-octanone
7967,98.14,C1CCC(=O)CC1,cyclohexanone,cyclohexanone
31242,122.16,CCC1=CC=C(C=C1)O,4-ethylphenol,4-ethylphenol
8093,128.21,CCCCCCC(=O)C,octan-2-one,2-octanone
12338,88.15,CCCCOC,1-methoxybutane,1-methoxybutane
460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
12203,156.26,CCCCCCC(=O)CCC,decan-4-one,4-decanone
8114,102.17,CCCOCCC,1-propoxypropane,dipropyl ether
7144,138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
13187,142.24,CCCCCCCC(=O)C,nonan-2-one,2-nonanone
2758,154.25,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",eucalyptol
3314,164.20,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
13576,156.26,CCCCCCCC(=O)CC,decan-3-one,3-decanone
