CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
67801-36-9,".Eta.-1H-Indol-1-yl-.alpha.,.alpha.,.epsilon.-trimethyl-1H-indole-1-heptanol",Animal like,Jasmin,Floral
68039-73-6,"[1,1'-Bicyclopentyl]-2-yl 2-butenoate",Fruity,Plum,Peach
71048-82-3,"[1.alpha.(E),2.beta.]-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",Floral,Rose,Apple
80858-47-5,[2-(Cyclohexyloxy)ethyl]benzene,Floral,Green,Hyacinth
68555-28-2,"[2,2-Bis(3-methylbutoxy)ethyl]benzene",Floral,Herbal,Green
67634-02-0,"[2,2-Bis[(3,7-dimethyl-2,6-octadienyl)oxy]ethyl]benzene",Floral,Rose,Green
67634-04-2,"[2,2-Bis[(3,7-dimethyloct-6-enyl)oxy]ethyl]benzene",Floral,Rose,Balsamic
68039-47-4,[2-Isopropoxyethyl]benzene,Green,Floral,Hyacinth
1958027-44-5,"1-Nonen-3-ol, 8-methoxy-4,8-dimethyl-",Woody,Floral,Sandalwood
54464-57-2,"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",Woody,Floral,Amber
68155-67-9,"1-(1,2,3,4,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one",Woody,Floral,Amber
68155-66-8,"1-(1,2,3,5,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one",Woody,Floral,Amber
941-98-0,1-(1-Naphthyl)ethanone,Floral,Neroli,Sweet
70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woody,Amber,Dry
35087-49-1,"1-(2,2-Dimethyl-6-methylenecyclohexyl)but-2-en-1-one",Fruity,Floral,Tobacco
68039-35-0,"1-(2,3,4,7,8,8a-Hexahydro-3,6,8,8-tetramethyl-1H-3a,7-methanoazulen-5-yl)ethan-1-",Woody,Cedarwood,Amber
"",one,,,
70266-48-7,"1-(2,4,4-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one",Fruity,Plum,Rose
33673-71-1,"1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",Fruity,Plum,Rose
69929-17-5,"1-(2,4-Dimethyl-3-cyclohexenyl)-2,2-dimethylpropan-1-one",Green,Herbal,Grapefruit
7779-30-8,"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)pent-1-en-3-one",Floral,Violet,oily
23696-85-7,"1-(2,6,6-Trimethylcyclohexa-1,3-dienyl)-2-buten-1-one",Floral,Rose,Plum
1646-26-0,1-(2-Benzofuranyl)ethanone,Powdery,Floral,Hay
139504-68-0,1-(2-tert.-Butyl cyclohexyloxy)-2-butanol,Woody,Amber,Sweet
42370-07-0,"1-(3,3-Dimethylbicyclo[2.2.1]hept-2-yl)ethane-1-one",Herbal,Minty,Camphoraceous
