CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
"",acid-isomerized,,,
166432-53-7,"3-Cyclopentene-1-butanal, alpha,2,2,3-tetramethyl-.gamma.-methylene",Woody,Sandalwood,Dry
10519-33-2,3-Decen-2-one,Green,Oily,Fruity
68083-57-8,3-Dodecenal,Citrus,Mandarin,Orange
13360-65-1,"3-Ethyl-2,5-dimethylpyrazine",Food Like,Nutty,Green
13925-07-0,"3-Ethyl-2,6-dimethylpyrazine",Food Like,Peanut,Nutty
21835-01-8,3-Ethyl-2-hydroxy-2-cyclopenten-1-one,Gourmand,Coffee,Caramel
54491-17-7,3-Ethylhexahydro-2(3H)-benzofuranone,Tobacco like,Hay,Warm
620-17-7,3-Ethylphenol,Food Like,Coffee,Phenolic
536-78-7,3-Ethylpyridine,Green,Leathery,Tobacco
106-35-4,3-Heptanone,Fruity,Green,Oily
589-38-8,3-Hexanone,Fruity,Sweet,Grape
86460-54-0,"3-Hexanone, 2-methyl-, oxime",Green,Fruity,Apple
851768-51-9,"3-Hexanone, 5-mercapto-5-methyl-",Fruity,Grape,Cassis
544-12-7,3-Hexen-1-ol (isomer unspecified),Green,Fresh,Floral
4440-65-7,3-Hexenal,Green,Fruity,Floral
888744-18-1,"3-Hexene, 1-(2-buten-1-yloxy)-, (3Z)-",Green,Fresh,Floral
292605-05-1,"3-Hexene, 1-[(2-methyl-2-propenyl)oxy]- (3Z)-",Green,Fresh,Floral
10094-41-4,3-Hexenyl 2-methylbutanoate,Fruity,Apple,Green
68133-76-6,3-Hexenyl 2-oxopropionate,Green,Oily,Melon
42436-07-7,3-Hexenyl phenylacetate,Green,Floral,Honey
18436-37-8,3-Hexyldihydrofuran-2(3H)-one,Fruity,Floral,Coconut
67633-97-0,3-Mercapto-2-pentanone,Sulfurous,Onion,Vegetable
34300-94-2,3-Mercapto-3-methyl-1-butanol,Food Like,Roasted,Sweet
75832-79-0,3-Mercapto-4-methyl-2-pentanone,Fruity,Blackcurrant,Berry
51755-83-0,3-Mercaptohexanol,Fruity,Tropical-Fruit,Citrus
136954-20-6,3-Mercaptohexyl acetate,Fruity,Tropical-Fruit,Floral
3209-13-0,3-Methoxy-5-cresol,Woody,Mossy,Hay
541-91-3,3-Methyl-1-cyclopentadecanone,Musk like,Powdery,Animal Like
1128-08-1,3-Methyl-2-(n-pentanyl)-2-cyclopenten-1-one,Floral,Jasmin,Myrrh
68922-13-4,3-Methyl-2-(pentyloxy)cyclopent-2-en-1-one,Floral,Jasmin,Green
113486-29-6,"3-Methyl-2,4-nonedione",Fruity,Caramel,Burnt
556-82-1,3-Methyl-2-buten-1-ol,Green,Fruity,Lavender
107-86-8,3-Methyl-2-butenal,Aldehydic,Fruity,Nutty
1191-16-8,3-Methyl-2-butenyl acetate,Fruity,Pear,Green
5205-11-8,3-Methyl-2-butenyl benzoate,Floral,Fruity,Green
68555-58-8,3-Methyl-2-butenyl salicylate,Floral,Herbal,Green
1193-18-6,3-Methyl-2-cyclohexen-1-one,Gourmand,Nutty,Sweet
13074-63-0,3-Methyl-2-pentylcyclopentan-1-one,Floral,Fruity,Jasmin
5205-07-2,3-Methyl-3-butenyl acetate,Fruity,Pear,Apple
67801-29-0,"3-Methyl-4-(2,4,6-trimethyl-3-cyclohexen-1-yl)-3-buten-2-one",Herbal,Fresh,Celery
65113-95-3,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-3-en-2-one",Woody,Floral,Violet
67801-20-1,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-4-en-2-ol",Woody,Sandalwood,Milky
63314-79-4,3-Methyl-5-cyclopentadecen-1-one,Musk like,Floral,Powdery
93893-89-1,3-Methyl-5-phenylpent-2-enenitrile,Citrus,Rose,Cinnamon
54089-83-7,3-Methyl-5-phenylpentanenitrile,Citrus,Floral,Waxy
55066-48-3,3-Methyl-5-phenylpentanol,Floral,Rose,Green
3720-16-9,3-Methyl-5-propyl-2-cyclohexen-1-one,Herbal,Spicy,Celery
3842-03-3,3-Methylbutanal diethyl acetal,Fruity,Oily,Peach
19329-89-6,3-Methylbutyl 2-hydroxypropionate,Fruity,Creamy,Nutty
10482-55-0,3-Methylbutyl 2-methyl-2-butenoate,Floral,Chamomile,Fruity
27625-35-0,3-Methylbutyl 2-methylbutanoate,Fruity,Berry,Citrus
2050-01-3,3-Methylbutyl 2-methylpropanoate,Fruity,Sweet,Apricot
2050-09-1,3-Methylbutyl valerate,Fruity,Green,Apple
590-86-3,3-Methylbutyraldehyde,Aldehydic,Chocolate,Peach
541-47-9,3-Methylcrotonic acid,Green,Phenolic,Dairy
82356-51-2,3-Methylcyclopentadecenone,Powdery,Warm,Musk Like
765-70-8,"3-Methylcyclopentane-1,2-dione",Gourmand,Licorice,Caramel
85351-07-1,3-Methyldodecanonitrile,Citrus,Orange,Clean
105-43-1,3-Methylpentanoic acid,Acidic,Sharp,Cheesy
53082-58-9,3-Methylpentyl 2-methylisocrotonate,Woody,Floral,Celery
624-51-1,3-Nonanol,Green,Herbal,Oily
925-78-0,3-Nonanone,Fruity,Floral,Sweet
14309-57-0,3-Nonen-2-one,Fruity,Berry,Licorice
589-98-0,3-Octanol,Earthy,Mushroom,Woody
106-68-3,3-Octanone,Herbal,Fruity,Mushroom
1669-44-9,3-Octen-2-one,Earthy,Mushroom,Sweet
4864-61-3,3-Octyl acetate,Fruity,Bergamot,Woody
40785-62-4,3-Oxabicyclo[10.3.0]pentadec-6-ene,Musk like,Earthy,Powdery
68611-23-4,"3-Pentanone, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, reaction products with 2-propyn-1-",Animal like,Amber,Leathery
"",ol,,,
122-97-4,3-Phenyl-1-propanol,Floral,Balsamic,Hyacinth
7306-12-9,3-Phenyl-3-buten-1-yl acetate,Anisic,Floral,Balsamic
16251-77-7,3-Phenylbutanal,Green,Pungent,Foliage
104-53-0,3-Phenylpropionaldehyde,Green,Melon,Aldehydic
501-52-0,3-Phenylpropionic acid,Floral,Sweet,Spicy
122-72-5,3-Phenylpropyl acetate,Spicy,Balsamic,Cinnamon
122-68-9,3-Phenylpropyl cinnamate,Balsamic,Spicy,Fruity
103-58-2,3-Phenylpropyl isobutyrate,Fruity,Sweet,Balsamic
39067-39-5,3-Propylbicyclo[2.2.1]hept-5-ene-2-carboxaldehyde,Green,Aldehydic,Floral
17369-59-4,3-Propylidenephthalide,Herbal,Celery,Sweet
31846-06-7,3-tert-Butylcyclohexyl acetate,Fruity,Apple,Woody
23267-57-4,"4-(1,2-Epoxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one",Floral,Violet,Powdery
66072-32-0,"4-(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)-cyclohexanol",Woody,Sandalwood,Balsamic
14576-08-0,4-(1-Methoxy-1-methylethyl)-1-methylcyclohexene,Floral,Neroli,Bergamot
67801-38-1,"4-(2,4,6-Trimethyl-3-cyclohexen-1-yl)-3-buten-2-one",Floral,Violet,Woody
65405-84-7,"4-(2,6,6-Trimethyl-2-cyclohexen)-2-methylbutanal",Woody,Orris,Leathery
60241-53-4,"4-(2,6,6-Trimethylcyclohexyl)-3-methylbutan-2-ol",Woody,Violet,Cedarwood
13215-88-8,"4-(2-Butenylidene)-3,5,5-trimethylcyclohex-2-en-1-one",Tobacco like,Warm,Plum
55418-52-5,"4-(3,4-Methylenedioxyphenyl)-2-butanone",Fruity,Sweet,Raspberry
2057-49-0,4-(3-Phenylpropyl)pyridine,Spicy,Fresh,Green
38462-23-6,"4-(4,8-Dimethylnona-3,7-dienyl)pyridine",Marine,Fresh,Clean
67634-03-1,4-(Isopropyl)-.beta.-methylcyclohexanethanol,Floral,Rose,Fresh
63449-95-6,4-(Isopropyl)cyclohexyl propionate,Herbal,Green,Fruity
23550-40-5,4-(Methylthio)-4-methyl-2-pentanone,Fruity,Blackcurrant,Green
5471-51-2,4-(p-Hydroxyphenyl)-2-butanone,Fruity,Powdery,Raspberry
104-20-1,4-(p-Methoxyphenyl)-2-butanone,Fruity,Raspberry,Cherry
934534-30-2,"4,7-Decadienal",Citrus,Aldehydic,Tangerine
1338815-87-4,"4,7-Methano-1H-indene-5-carboxaldehyde, octahydro-6-methyl-",Floral,Muguet,Green
129520-41-8,"4,7-Methano-3aH-indene-3a-carboxylic acid, octahydro-, ethyl ester",Fruity,Citrus,Floral
1958027-35-4,"4,8-Decadienal, (4Z,8Z)-",Aldehydic,Mandarin,Oily
1882830-62-7,"4,8-Undecadienal, (4Z,8Z)-",Aldehydic,Coriander,Oily
1882830-61-6,"4,8-Undecadienenitrile, (4Z,8Z)-",Aldehydic,Oily,Citrus
1801275-28-4,"4,9-Dodecadienal, (4Z,9Z)-",Aldehydic,Mandarin,Oily
1882830-66-1,"4,9-Dodecadienenitrile, (4Z,9Z)-",Aldehydic,Waxy,Mandarin
58096-46-1,"4,4,8-Trimethyltricyclo[6.3.1.02,5]dodecan-1-yl formate",Woody,Spicy,Peppery
18096-62-3,"4,4a,5,9b-Tetrahydroindeno[1,2-d]-1,3-dioxine",Floral,Earthy,Leathery
51519-65-4,"4,4a,6,7,8,8a-Hexahydro-1,4-methanonaphthalen-5(1H)-one",Herbal,Lavender,Pine
494-90-6,"4,5,6,7-Tetrahydro-3,6-dimethylbenzofuran",Smoky,Nutty,Earthy
76788-46-0,"4,5-Dimethyl-2-ethyl-3-thiazoline",Sulfurous,nutty,Vegetable
53498-32-1,"4,5-Dimethyl-2-isobutylthiazole",Floral,Green,Geranium
28664-35-9,"4,5-Dimethyl-3-hydroxy-2,5-dihydrofuran-2-one",Gourmand,Caramel,Sweet
675-09-2,"4,6-Dimethyl-2H-pyran-2-one",Gourmand,Caramel,Anisic
36635-35-5,"4,6-Dimethylcyclohex-3-ene-1-carbaldehyde",Green,Grassy,Citrus
74499-58-4,"4,7,7-Trimethyl-2-(3-methyl-2-butenyl)bicyclo[4.1.0]heptan-3-one",Floral,Muguet,Green
6784-08-3,"4,7,7-Trimethyl-6-thiabicyclo[3.2.1]oct-3-ene",Fruity,Citrus,Grapefruit
68398-18-5,"4,7,7-Trimethyl-6-thiabicyclo[3.2.1]octane",Sulfurous,grapefruit,blackcurrant
2550-11-0,"4,7-Dimethyloct-6-en-3-one",Citrus,Grapefruit,Fresh
79771-15-6,"4,7-Methano-1H-inden-5-ol, 3a,4,5,6,7,7a-hexahydrodimethyl-",Aromatic,Fresh,Camphoraceous
26912-64-1,"4,7-Methano-1H-indene, 3a,4,5,6,7,7a-hexahydro- 5(or 6)-(2-propenyloxy)-",Floral,Anisic,Fruity
1339119-15-1,"4,7-Methano-1H-indene-5-acetaldehyde, octahydro-",Floral,Muguet,Green
727414-17-7,"4,7-Methano-1H-indenecarboxaldehyde, 3a,4,5,6,7,7a-hexahydro-, reaction product",Woody,Sandalwood,Oily
"","with Me Et ketone, acid-isomerized, reduced",,,
67845-50-5,"4,8-Dimethyl-3-7-nonadien-2-ol",Floral,Rose,Lemon
71077-31-1,"4,8-Dimethyl-4,9-decadienal",Floral,Cyclamen,Fresh
40596-76-7,"4,8-Dimethyl-7-nonen-2-ol",Citrus,Lemon,Grapefruit
4166-20-5,"4-Acetoxy-2,5-dimethyl-3(2H)furanone",Gourmand,Caramel,Sweet
72207-94-4,4-Acetoxy-3-ethoxybenzaldehyde,Powdery,Vanilla,Creamy
18871-14-2,4-Acetoxy-3-pentyltetrahydropyran,Floral,Jasmin,Tea
13171-00-1,"4-Acetyl-6-t-butyl-1,1-dimethylindan",Musk like,Powdery,Clean
57371-42-3,4-Allyl-2-methoxyphenyl benzyl ether,Spicy,Clove,Floral
501-92-8,4-Allylphenol,Herbal,Thyme,Spicy
562-74-3,4-Carvomenthenol,Herbal,Earthy,Woody
83926-73-2,4-Cyclohexyl-2-methyl-2-butanol,Floral,Coriander,Citrus
35720-57-1,4-Cyclopentadecen-1-one,Musk like,Powdery,Soft
14595-54-1,"4-Cyclopentadecen-1-one, (Z)-",Musk like,Powdery,Soft
90411-73-7,"4-Ethyl-6-(2,6,6-trimethylyclohex-2-en-1-yl)hex-2-ene-1,4-diol, cyclized",Herbal,Fresh,Citrus
4748-78-1,4-Ethylbenzaldehyde,Anisic,Almond,Cherry
2785-89-9,4-Ethylguaiacol,Spicy,Phenolic,Woody
1373821-23-8,"4H-1,3-Benzodioxin, hexahydro-4-methyl-2-(phenylmethyl)-",Floral,Green,Rose
211299-54-6,"4H-4a,9-Methanoazuleno[5,6-d]-1,3-dioxole, octahydro-2,2,5,8,8,9a-hexamethyl-,",Woody,Amber,Warm
"","(4aR,5R,7aS,9R)-",,,
10250-45-0,"4-Heptanol, 2,6-dimethyl-,acetate",Herbal,Galbanum,Bell Pepper
123-19-3,4-Heptanone,Fruity,Fermented,Green
6728-31-0,4-Heptenal,Green,Fatty,Creamy
18492-65-4,4-Heptenal diethyl acetal,Green,Oily,Cucumber
928-91-6,"4-Hexen-1-ol, (4Z)-",Green,Herbal,Vegetable
58461-27-1,"4-Hexen-1-ol, 5-methyl-2-(1-methylethenyl)-",Floral,Waxy,Mimosa
498-16-8,"4-Hexen-1-ol, 5-methyl-2-(1-methylethenyl)-, (R)-",Herbal,Warm,Rose
97384-47-9,"4-Hexenenitrile, 2-ethenyl-2,5-dimethyl-",Citrus,Fresh,Green
823178-41-2,"4H-Indeno[4,5-D]-1,3-dioxole, 3a,5,6,7,8,8b-hexahydro-2,2,6,6,7,8,8-heptamethyl-",Amber,Woody,Dry
3658-77-3,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",Gourmand,Caramel,Strawberry
498-02-2,4'-Hydroxy-3'-methoxyacetophenone,Balsamic,Sweet,Vanilla
39212-23-2,4-Hydroxy-3-methyloctanoic acid lactone,Tobacco like,Woody,Lovage
591-12-8,4-Hydroxy-3-pentenoic acid lactone,Herbal,Sweet,Anisic
123-08-0,4-Hydroxybenzaldehyde,Woody,Sweet,Almond
96-48-0,4-Hydroxybutanoic acid lactone,Fruity,Chocolate,Peach
831-97-0,4-Isopropyl-.alpha.-methylcinnamaldehyde,Floral,Green,Spicy
14374-92-6,4-Isopropyl-1-methyl-2-propenylbenzene,Green,Carrot,Galbanum
6379-73-3,4-Isopropyl-2-methoxy-1-methylbenzene,Herbal,Spicy,Green
3583-00-4,"4-Isopropyl-5,5-dimethyl-1,3-dioxane",Herbal,Green,Camphoraceous
4621-04-9,4-Isopropylcyclohexanol,Animal like,Floral,Rose
94087-83-9,4-Methoxy-2-methyl-2-butanethiol,Fruity,Sulfurous,Mango
5462-06-6,4-Methoxy-alpha-methylbenzenepropanal,Anisic,Sweet,Herbal
2403-58-9,4-Methoxybenzaldehyde diethyl acetal,Floral,Hawthorn,Powdery
100-09-4,4-Methoxybenzoic acid,Animal like,Pungent,Leathery
57094-40-3,4-Methyl-1-oxaspiro[5.5]undecan-4-ol,Minty,Camphoraceous,Fresh
68228-06-8,4-Methyl-1-oxaspiro[5.5]undecene,Herbal,Camphoraceous,Lavender
67634-23-5,"4-Methyl-2-(1-phenylethyl)-1,3-dioxolane",Green,Hay,Dry
108-10-1,4-Methyl-2-pentanone,Green,Herbal,Fruity
26643-91-4,4-Methyl-2-phenyl-2-pentenal,Gourmand,Cocoa,Nutty
81782-77-6,4-Methyl-3-decen-5-ol,Green,Floral,Fruity
141-79-7,4-Methyl-3-penten-2-one,Green,Earthy,Vegetable
7403-42-1,4-Methyl-4-phenyl-2-pentanone,Woody,Vetiver,Rooty
137-00-8,4-Methyl-5-thiazoleethanol,Gourmand,Milky,Creamy
1759-28-0,4-Methyl-5-vinylthiazole,Gourmand,Nutty,Musty
122760-85-4,"4-Methyl-8-methylenetricyclo[3.3.1.(3,7)]decan-2-yl acetate",Woody,Amber,Vetiver
122-00-9,4'-Methylacetophenone,Floral,Soft,Heliotrope
2216-45-7,4-Methylbenzyl acetate,Floral,Hyacinth,Green
45019-28-1,4-Methylnonanoic acid,Acidic,Animal Like,Dry
54947-74-9,4-Methyloctanoic acid,Acidic,Animal Like,Dry
646-07-1,4-Methylpentanoic acid,Acidic,Gourmand,Pungent
224031-71-4,"4-Penten-1-one, 1-spiro[4.5]dec-6-en-7-yl-",Green,Galbanum,Pineapple
224031-70-3,"4-Penten-1-one, 1-spiro[4.5]dec-7-en-7-yl-",Green,Galbanum,Pineapple
20962-70-3,"4-Pentenoic acid, 2-acetyl-4-methyl-, ethyl ester",Fruity,Floral,Green
2344-70-9,4-Phenyl-2-butanol,Floral,Peony,Mimosa
17488-65-2,4-Phenyl-3-buten-2-ol,Balsamic,Floral,Fruity
16587-71-6,4-t-Amylcyclohexanone,Woody,Orris,Camphoraceous
2040-10-0,"4'-tert-Butyl-2',6'-dimethylacetophenone",Woody,Powdery,Warm
98-52-2,4-tert-Butylcyclohexanol,Woody,Camphoraceous,Floral
32210-23-4,4-tert-Butylcyclohexyl acetate,Fruity,Apple,Woody
546-79-2,4-Thujanol,Herbal,Minty,Eucalyptus
30168-23-1,4-Tricyclodecylidene butanal,Floral,Muguet,Aldehydic
72881-27-7,5- and 6-Decenoic acid,Gourmand,Sweet,Milky
65113-99-7,"5-(2,2,3-Trimethyl-3-cyclopentenyl)-3-methylpentan-2-ol",Woody,Sandalwood,Amber
70851-61-5,5-(cis-3-Hexenyl)dihydro-5-methyl-2(3H)furanone,Gourmand,Milky,Coconut
67633-92-5,"5-(Diethoxymethyl)-3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-indene",Anisic,Fruity,Herbal
68259-31-4,5(Or 6)-Methyl-7(or 8)-(1-methylethyl)bicyclo[2.2.2]oct-5-ene-2-carbaldehyde,Green,Watery,Leafy
85700-02-3,"5,8-Methano-2H-1-benzopyran, 6-ethylideneoctahydro-, (4aα,5β,6E,8β,8aα)-",Fruity,Rhubarb,Woody
34413-35-9,"5,6,7,8-Tetrahydroquinoxaline",Food Like,Roasted,Corn
358331-95-0,"5,6,7-Trimethylocta-2,5-dien-4-one",Fruity,Apple,Sweet
36267-71-7,"5,7-Dihydro-2-methylthieno(3,4-d)pyrimidine",Food Like,Popcorn,Nutty
943723-15-7,"5,8-Methano-2H-1-benzopyran, 6(or 7)-ethylideneoctahydro-, [4aR,5S,8S,8aS(or",Fruity,Rhubarb,Floral
"","4aR,5R,8S,8aR)]-rel-",,,
85633-08-5,"5,8-Methano-2H-1-benzopyran, 6-ethylideneoctahydro-,",Fruity,Rhubarb,Woody
"","(4aalpha,5beta,6Z,8beta,8aalpha)-",,,
85700-01-2,"5,8-Methano-2H-1-benzopyran, 6-ethylideneoctahydro-,",Fruity,Rhubarb,Woody
"","(4aalpha,5beta,7E,8beta,8aalpha)-",,,
85633-07-4,"5,8-Methano-2H-1-benzopyran, 6-ethylideneoctahydro-,",Fruity,Rhubarb,Woody
"","(4aalpha,5beta,7Z,8beta,8aalpha)-",,,
69486-14-2,"5,8-Methano-2H-1-benzopyran-2-one, 6- ethylideneoctahydro-",Fruity,Floral,Hay
762-26-5,"5,9-Dimethyl-4,8-decadienal",Aldehydic,Marine,Floral
91482-37-0,"5,9-Undecadien-2-ol,6,10-dimethyl-,acetate",Citrus,Fruity,Marine
15323-35-0,"5-Acetyl-1,1,2,3,3,6-hexamethylindan",Musk like,Amber,Powdery
68140-48-7,"5-Acetyl-3-isopropyl-1,1,2,6-tetramethylindane",Musk like,Fruity,Sweet
68188-98-7,5-Butyl-5-ethyldihydrofuran-2(3H)-one,Fruity,Oily,Peach
67770-79-0,5-Butyl-5-ethyltetrahydro-2H-pyran-2-one,Herbal,Warm,Animal Like
37609-25-9,5-Cyclohexadecen-1-one,Musk like,Floral,Powdery
259854-71-2,"5-Cyclotetradecen-1-one, 3-methyl-, (5Z)-",Musk like,Warm,Powdery
259854-70-1,"5-Cyclotetradecen-1-one, 3-methyl-,(5E)-",Musk like,Warm,Powdery
17369-60-7,"5-Ethyl-2,3,4,5-tetramethylcyclohexen-1-one",Gourmand,Caramel,Honey
104-90-5,5-Ethyl-2-methylpyridine,Food Like,Nutty,Potato
698-10-2,5-Ethyl-3-hydroxy-4-methyl-2(5H)-furanone,Gourmand,Popcorn,Butterscotch
73347-77-0,5-Ethylidenebicyclo[2.2.1]hept-2-yl propionate,Floral,Jasmin,Light
23747-48-0,"5H-5-Methyl-6,7-dihydrocyclopenta(b)pyrazine",Earthy,Sweet,Nutty
109-49-9,5-Hexen-2-one,Floral,Green,Fresh
27593-23-3,"5-Hydroxy-2,4-decadienoic acid delta-lactone",Tobacco like,Hay,Coconut
10413-18-0,5-Hydroxy-4-methylhexanoic acid delta-lactone,Minty,Green,Fruity
25524-95-2,5-Hydroxy-7-decenoic acid delta-lactone,Fruity,Jasmin,Apricot
13679-86-2,5-Isopropenyl-2-methyl-2-vinyltetrahydrofuran,Green,Herbal,Minty
139539-66-5,"5-Methyl-1-(2,2,3-trimethyl-3-cyclopenten-1-yl)-6-oxabicyclo[3.2.1]octane",Fruity,Blackcurrant,Green
17162-29-7,5-Methyl-2-(1-methylethyl)cyclohexyl lactate,Minty,Herbal,Fresh
81925-81-7,5-Methyl-2-hepten-4-one,Food Like,Nutty,Roasted
21834-92-4,5-Methyl-2-phenyl-2-hexenal,Gourmand,Nutty,Roasted
13679-70-4,5-Methyl-2-thiophenecarboxaldehyde,Fruity,Sweet,Almond
38285-49-3,5-Methyl-3-butyltetrahydropyran-4-yl acetate,Floral,Jasmin,Green
541-85-5,5-Methyl-3-heptanone,Herbal,Lavender,Fruity
22457-23-4,5-Methyl-3-heptanone oxime,Green,Leafy,Pungent
4927-36-0,5-Methyl-5-phenyl-3-hexanone,Floral,Rose,Woody
80480-24-6,"5-Methyl-5-propyl-2-(1-methylbutyl)-1,3-dioxan",Green,Plastic,Floral
620-02-0,5-Methylfurfural,Gourmand,Sweet,Caramel
13708-12-8,5-Methylquinoxaline,Gourmand,Nutty,Roasted
2277-20-5,"6-Nonenal, (6E)-",Aldehydic,Cucumber,Woody
80639-54-9,"6-Nonenenitrile, (Z)- (9CI)",Green,Oily,Cucumber
68959-28-4,"6-(3Z)-3-hexen-1-yltetrahydro-2H-Pyran-2-one,",Fruity,Peach,Jasmin
502-69-2,"6,10,14-Trimethyl-2-pentadecanone",Floral,Herbal,Jasmin
3796-70-1,"6,10-Dimethyl-5,9-undecadien-2-one",Floral,Green,Pear
689-67-8,"6,10-Dimethylundeca-5,9-dien-2-one",Floral,Rose,Sweet
62406-73-9,"6,10-Dioxaspiro[4.5]decane, 8,8-dimethyl-7-(1-methylethyl)-",Woody,Floral,Fruity
67674-46-8,"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",Citrus,Grapefruit,Green
33885-51-7,"6,6-Dimethylbicyclo[3.1.1]hept-2-ene-2-propionaldehyde",Marine,Fresh,Herbal
33704-61-9,"6,7-Dihydro-1,1,2,3,3-pentamethyl-4(5H)-indanone",Amber,Woody,Aromatic
70214-77-6,"6,8-Dimethylnonan-2-ol",Floral,Green,Fruity
21145-77-7,"6-Acetyl-1,1,2,4,4,7-hexamethyltetraline",Musk like,Woody,Powdery
24237-00-1,"6-Butyl-2,4-dimethyldihydropyrane",Floral,Geranium,Green
26330-65-4,6-Ethyl-3-methyloct-6-en-1-ol,Floral,Muguet,Green
93939-86-7,"6-Ethylideneoctahydro-5,8-methano-2H-benzo-1-pyran",Fruity,Green,Berry
34131-98-1,6-Isopropyl-2(1H)-octahydronaphthalenone,Citrus,Grapefruit,Vetiver
135-79-5,6-Isopropylquinoline,Green,Woody,Earthy
62439-41-2,"6-Methoxy-2,6-dimethylheptan-1-al",Marine,Ozonic,Fruity
79-70-9,6-Methyl-.beta.-ionone,Floral,Violet,Powdery
1604-28-0,"6-Methyl-3,5-heptadien-2-one",Spicy,Cinnamon,Fruity
110-93-0,6-Methyl-5-hepten-2-one,Herbal,Green,Lavender
91-62-3,6-Methylquinoline,Animal like,Leathery,Tobacco
5949-05-3,"6-Octenal, 3,7-dimethyl-, (3S)-",Citrus,Lemongrass,Citronella
65442-31-1,6-sec-Butylquinoline,Herbal,Leathery,Smoky
21661-97-2,"7-Decenal, (7Z)-",Aldehydic,Green,Clean
899810-84-5,"7-Nonenal, 6,8-dimethyl-",Aldehydic,Green,Floral
2550-59-6,7-Cyclohexadecen-1-one,Musk like,Balsamic,Powdery
68311-05-7,7-Isopropyl-5-methylbicyclo[2.2.2]oct-5-ene-2-carbonitrile,Green,Woody,Ozonic
53767-86-5,"7-Methoxy-3,7-dimethyloct-1-ene",Floral,Sweet,Citrus
28940-11-6,"7-Methyl-2H-benzo-1,5-dioxepin-3(4H)-one",Marine,Watery,Fresh
55050-40-3,7-Methyl-3-methyleneoct-6-enal,Citrus,Lemon,Verbena
53219-21-9,"7-Octen-2-ol, 2-methyl-6-methylene-, dihydro deriv.",Citrus,Fresh,Floral
207228-93-1,"7-Propyl-2H-1,5-benzodioxepin-3(4H)-one",Aldehydic,Marine,Ozonic
67634-06-4,8-(sec-Butyl)quinoline,Woody,Leathery,Green
57566-26-4,"8aH-2, 4a-Methanonaphthalen-8a-ol, octahydro-1,1,5,5-tetramethyl-(2S,4aR,8aS)-",Earthy,Patchouli,Vetiver
88644-30-8,"8aH-2,4a-Methanonaphthalen-8a-ol, octahydro-1,1,5,5-tetramethyl-",Earthy,Patchouli,Vetiver
84681-92-5,"8-Ethyl-1,5-dimethylbicyclo[3.2.1]octan-8-ol",Woody,Patchouli,Dry
338735-71-0,"8H-Indeno(4,5-B)furan,2,3,3a,4,5,5a,6,7,8a,9-decahydro-2,6,6,7,8,8-hexamethyl Mixture",Woody,Amber,Dry
"",of isomers,,,
67845-30-1,8-Isopropyl-6-methylbicyclo[2.2.2]oct-5-ene-2-carbaldehyde,Green,Fresh,Spicy
39770-04-2,8-Nonenal,Green,Aldehydic,Floral
58296-81-4,8-Undecenal,Aldehydic,Floral,Waxy
542-46-1,9-Cycloheptadecen-1-one,Musk like,Animal Like,Soft
13019-22-2,9-Decen-1-ol,Floral,Aldehydic,Rose
35194-30-0,9-Decen-2-one,Fruity,Green,Pineapple
39770-05-3,9-Decenal,Aldehydic,Green,Rose
14436-32-9,9-Decenoic acid,Green,Fruity,Oily
50816-18-7,9-Decenyl acetate,Floral,Rose,Sweet
68480-06-8,9-Decenyl propionate,Floral,Rose,Fruity
143-14-6,9-Undecenal,Aldehydic,Green,Clean
131379-26-5,"9-Undecenenitrile, (E)-",Floral,Citrus,Aldehydic
362467-67-2,"a2H-1,5-Benzodioxepin-3(4H)-one,7-7-(3-methylbutyl)-",Marine,Fresh,Citrus
8021-27-0,Abies alba needle oil,Herbal,Pine,Woody
8021-28-1,Abies sachalinensis oil,Woody,Fresh,Resinous
105-57-7,Acetal,Fruity,Kiwi,Citrus
75-07-0,Acetaldehyde,Fruity,Apple,Aldehydic
3390-12-3,Acetaldehyde cyclic propylene glycol acetal,Green,Fruity,Floral
5405-58-3,Acetaldehyde dihexyl acetal,Green,Herbal,Floral
28069-74-1,Acetaldehyde ethyl cis-3-hexenyl acetal,Green,Vegetable,Radish
54484-73-0,Acetaldehyde ethyl hexyl acetal,Floral,Green,Muguet
40910-49-4,Acetaldehyde ethyl linalyl acetal,Floral,Tropical-Fruit,Herbal
2556-10-7,Acetaldehyde ethyl phenylethyl acetal,Green,Fresh,Floral
72927-85-6,"Acetaldehyde, [(3a,4,5,6,7,7a-hexahydro-4,7-methano-1H-inden-6-yl)oxy]-",Fruity,Green,Aldehydic
122-71-4,"Acetaldehyde, diphenethyl acetal",Green,Floral,Rose
100-06-1,Acetanisole,Powdery,Soft,Mimosa
236391-76-7,"Acetic acid, (1-oxopropoxy)-, 1-(3,3-dimethylcyclohexyl)ethyl ester",Musk like,Warm,Floral
