Log(air/mucus partition coefficient),Chemical Abstracts Service (CAS) registry number
−7.191,121-33-5
−5.9962,694-85-9
−5.7353,2459-09-8
−5.7213,124-07-2
−5.693,112-05-0
−5.4656,111-14-8
−5.0868,142-62-1
−4.9669,123-11-5
−4.7082,89-78-1
−4.6035,536-59-4
−4.3132,141-97-9
−4.2567,79-77-6
−4.19,4748-78-1
−4.1736,104-53-0
−4.1292,111-70-6
−4.1198,7787-20-4
−3.927,290-37-9
−3.8021,111-27-3
−3.7991,14667-55-1
−3.7373,98-86-2
−3.5808,93-58-3
−3.5713,2244-16-8
−3.5397,693-54-9
−3.5226,71-23-8
−3.4474,71-36-3
−3.4382,108-94-1
−3.4368,470-82-6
−3.4357,75-65-0
−3.3604,1731-84-6
−3.3451,76-22-2
−3.3121,470-67-7
−3.2654,100-52-7
−3.0122,930-68-7
−2.9731,111-13-7
−2.9464,111-11-5
−2.912,622-45-7
−2.912,4630-82-4
−2.8866,122-79-2
−2.7922,124-13-0
−2.7761,110-43-0
−2.766,111-71-7
−2.6752,106-73-0
−2.6639,106-70-7
−2.6601,591-78-6
−2.5508,66-25-1
−2.489,624-24-8
−2.4702,107-87-9
−2.4038,123-92-2
−2.4002,100-66-3
−2.3317,123-72-8
−2.3218,105-54-4
−2.2855,99-87-6
−2.2616,623-42-7
−2.2243,99-85-4
−2.1519,554-12-1
−2.1164,5989-27-5
−1.6498,108-88-3
−1.3141,80-56-8
−0.9878,695-12-5
−0.8582,99-86-5
−0.8005,696-29-7
−0.7389,110-82-7
−0.4943,111-65-9
−0.3753,142-82-5
−0.1829,124-18-5
0.0532,110-54-3
