essential_oil,smiles
Cassis bud absolute,CC(C)=C1CCC(=CC1)C
Cassis bud absolute,CC(C)=CC/C=C(/C)C=C
Cassis bud absolute,CC(C)=CC\C=C(/C)C=C
Cassis bud absolute,CC(=C)C1CCC(=CC1)C
Cassis bud absolute,CC(C)=CCCC(=C)C=C
Cassis bud absolute,CC1=CCC2CC1C2(C)C
Cassis bud absolute,CC1(C)C2CCC(=C)C1C2
Cedar leaf oil,CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
Cedar leaf oil,CC1(C)C2CCC(C)(C2)C1=O
Cedar leaf oil,CC(C)[C@@]12C[C@H]1[C@H](C)C(=O)C2
Cedar leaf oil,CC1=CCC2CC1C2(C)C
Cedar leaf oil,CC(=C)[C@H]1CCC(=CC1)C
Cedar leaf oil,CC(C)=CCCC(=C)C=C
Cedar leaf oil,CC1(C)C2CCC1(C)C(=O)C2
Cedar leaf oil,CC(=O)OC1CC2CCC1(C)C2(C)C
Cedar leaf oil,CC1(C)C2CCC(C2)C1=C
Cedar leaf oil,CC(C)C1(O)CCC(=CC1)C
Cedar leaf oil,CC(C)C1=CCC(=CC1)C
Cedar leaf oil,CC1=CCC2C(C1)C2(C)C
Cedar leaf oil,CC(C)=CCCC(C)(O)C=C
Cedar leaf oil,CC(C)=C1CCC(=CC1)C
Cedar leaf oil,CC(C)c1ccc(C)cc1O
Cedar leaf oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cedar leaf oil,CC1(C)C2CCC(=C)C1C2
"Cedar leaf oil, China",CC1(C)C2CCC(C)(C2)C1=O
"Cedar leaf oil, China",CC(C)[C@@]12C[C@H]1[C@H](C)C(=O)C2
"Cedar leaf oil, China",CC(=O)OC1CC2CCC1(C)C2(C)C
"Cedar leaf oil, China",CC1=CCC2CC1C2(C)C
"Cedar leaf oil, China",CC1(C)C2CCC(C2)C1=C
"Cedar leaf oil, China",CC(C)c1ccc(C)cc1
"Cedar leaf oil, China",CC(C)C1(O)CCC(=CC1)C
"Cedar leaf oil, China",CC(C)[C@@]12C[C@@H]1[C@@H](C)C(=O)C2
"Cedar leaf oil, China",CC(=C)[C@H]1CCC(=CC1)C
"Cedar leaf oil, China",CC(=O)OC(C)(C)C1CCC(=CC1)C
"Cedar leaf oil, China",CC1(C)C2CCC(=C)C1C2
"Cedar leaf oil, China",CC(C)=CCCC(=C)C=C
Cedarwood oil acetylated,CC1CCC2C(C)(C)C3CC12CC(=C3C)C(C)=O
Cedarwood oil acetylated,C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O
Cedarwood oil terpenes,C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
Cedarwood oil terpenes,CC1CCC2C(C)(C)C3CC12CCC3=C
Cedarwood oil terpenes,CC1=CCC2CC1C2(C)C
Cedarwood oil terpenes,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Cedarwood oil, Atlas",C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
"Cedarwood oil, Atlas",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Cedarwood oil, Atlas",CC1(C)CCCC2(C)C3CCC(C13)C2=C
"Cedarwood oil, Atlas",CC1=CCC2CC1C2(C)C
"Cedarwood oil, Chinese",C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
"Cedarwood oil, Chinese",C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
"Cedarwood oil, Chinese",CC1CCC2C(C)(C)C3CC12CCC3=C
"Cedarwood oil, Chinese",CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
"Cedarwood oil, oxidised",C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
"Cedarwood oil, oxidised",CC1CCC2C(C)(C)C3CC12CCC3=C
"Cedarwood oil, oxidised",CC1=CCC2CC1C2(C)C
"Cedarwood oil, oxidised",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Cedarwood oil, Texas",C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
"Cedarwood oil, Texas",C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
"Cedarwood oil, Texas",CC1CCC2C(C)(C)C3CC12CCC3=C
"Cedarwood oil, Texas",CC1=CCC2CC1C2(C)C
"Cedarwood oil, Texas",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Cedarwood oil, Virginian",C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
"Cedarwood oil, Virginian",C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
"Cedarwood oil, Virginian",CC1CCC2C(C)(C)C3CC12CCC3=C
"Cedarwood oil, Virginian",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Cedarwood oil, Virginian",CC1=CCC2CC1C2(C)C
Celery seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Celery seed oil,CC1(C)C2CCC(=C)C1C2
Celery seed oil,CC(C)=CCCC(=C)C=C
Celery seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Celery seed oil,CC(=C)[C@H]1CC=C(C)C(=O)C1
Celery seed oil,CC1=CCC2CC1C2(C)C
Celery seed oil,CC(C)=CCCC(C)(O)C=C
Celery seed oleoresin,CC(=C)[C@@H]1CCC(=CC1)C
Celery seed oleoresin,CC1(C)C2CCC(=C)C1C2
Celery seed oleoresin,CC(C)=CCCC(=C)C=C
Celery seed oleoresin,CC(=C)[C@H]1CC=C(C)C(=O)C1
"Chamomile flower oil, blue",CC(C)=CCC\C(C)=C\CCC(=C)C=C
"Chamomile flower oil, blue",CC(C)=CCC\C(C)=C\C\C=C(/C)C=C
"Chamomile flower oil, blue",CC(C)=CC\C=C(/C)C=C
"Chamomile flower oil, blue",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Chamomile flower oil, blue",CC(C)=CC/C=C(/C)C=C
"Chamomile flower oil, blue",CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
"Chamomile flower oil, blue",CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
"Chamomile flower oil, Roman",CC1=CCC2CC1C2(C)C
"Chamomile flower oil, Roman",CC(C)COC(=O)C(C)=C
"Chamomile flower oil, Roman",CCC(C)COC(=O)C(C)=C
"Chamomile flower oil, Roman",CC(C)CCOC(=O)C(C)=C
"Chamomile flower oil, Roman",CC1(C)C2CCC(C2)C1=C
"Chamomile flower oil, Roman",CC1(C)C2CCC(=C)C1C2
"Chamomile flower oil, Roman",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Chamomile flower oil, Roman",CC(=C)C1CCC(=CC1)C
"Chamomile flower, Roman, extract",CC1=CCC2CC1C2(C)C
"Chamomile flower, Roman, extract",CC(C)COC(=O)C(C)=C
"Chamomile flower, Roman, extract",CCC(C)COC(=O)C(C)=C
"Chamomile flower, Roman, extract",CC(C)CCOC(=O)C(C)=C
"Chamomile flower, Roman, extract",CC1(C)C2CCC(C2)C1=C
"Chamomile flower, Roman, extract",CC1(C)C2CCC(=C)C1C2
"Chamomile flower, Roman, extract",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Chamomile flower, Roman, extract",CC(=C)C1CCC(=CC1)C
"Chamomile oil, Moroccan",CC1=CCC2CC1C2(C)C
"Chamomile oil, Moroccan",CC(C)=CCC\C(C)=C/1CCC(=CC1)C
"Chamomile oil, Moroccan",CC(=O)OC1CC2CCC1(C)C2(C)C
"Chamomile oil, Moroccan",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Chamomile oil, Moroccan",CC1(C)C2CCC1(C)C(O)C2
"Chamomile oil, Moroccan",CC(C)=CCCC(=C)C=C
"Chamomile oil, Moroccan",CC(=C)[C@H]1CCC(=CC1)C
"Chamomile oil, Moroccan",CC1(C)C2CCC(C2)C1=C
"Chamomile oil, Moroccan",CC(C)=CCCC(C)(O)C=C
"Chamomile oil, Moroccan",CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
"Chamomile oil, Moroccan",CC(C)=C1CCC(=CC1)C
"Chamomile oil, Moroccan",CCCCCC(O)C=C
Champaca absolute,CC(=O)/C=C/C1C(=CCCC1(C)C)C
Champaca absolute,CC(=O)/C=C/C1=C(C)CCCC1(C)C
Champaca absolute,CC(C)=CCCC(C)(O)C=C
Champaca absolute,OCCc1ccccc1
Champaca absolute,CC(C)(O)C1CCC(C)(O1)C=C
Champaca absolute,CC(=O)CCC1=C(C)CCCC1(C)C
Champaca absolute,[nH]1ccc2ccccc12
Cinnamon bark extract,O=C/C=C/c1ccccc1
Cinnamon bark extract,CC(=O)OC\C=C\c1ccccc1
Cinnamon bark extract,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cinnamon bark extract,CC(C)=CCCC(C)(O)C=C
Cinnamon bark extract,COc1cc(CC=C)ccc1O
Cinnamon bark extract,CC1=CCC2CC1C2(C)C
Cinnamon bark extract,O=C1Oc2ccccc2C=C1
Cinnamon bark extract,CC(=C)C1CCC(=CC1)C
Cinnamon bark extract,CC1(C)C2CCC(=C)C1C2
Cinnamon bark extract,CC1(C)C2CCC(C2)C1=C
Cinnamon bark extract,OC\C=C/c1ccccc1
Cinnamon bark oil,O=C/C=C/c1ccccc1
Cinnamon bark oil,CC(=O)OC\C=C\c1ccccc1
Cinnamon bark oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cinnamon bark oil,CC(C)=CCCC(C)(O)C=C
Cinnamon bark oil,CC(C)c1ccc(C)cc1
Cinnamon bark oil,COc1cc(CC=C)ccc1O
Cinnamon bark oil,O=C1Oc2ccccc2C=C1
Cinnamon bark oil,CC1=CCC2CC1C2(C)C
Cinnamon bark oil,CC(=C)C1CCC(=CC1)C
Cinnamon bark oil,CC1(C)C2CCC(C2)C1=C
Cinnamon bark oil,C=CCc1ccc2OCOc2c1
Cinnamon bark oil,CC1(C)C2CCC(=C)C1C2
Cinnamon bark oil,CC(C)=CC/C=C(/C)C=C
Cinnamon bark oil,CC(C)=C1CCC(=CC1)C
"Cinnamon bark oil, Laos",O=C/C=C/c1ccccc1
"Cinnamon bark oil, Laos",O=C1Oc2ccccc2C=C1
"Cinnamon bark oil, Laos",OC\C=C/c1ccccc1
Cinnamon leaf oil,COc1cc(CC=C)ccc1O
Cinnamon leaf oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cinnamon leaf oil,COc1cc(CC=C)ccc1OC(C)=O
Cinnamon leaf oil,CC(C)=CCCC(C)(O)C=C
Cinnamon leaf oil,CC(=O)OC\C=C\c1ccccc1
Cinnamon leaf oil,O=C/C=C/c1ccccc1
Cinnamon leaf oil,C=CCc1ccc2OCOc2c1
Cinnamon leaf oil,CC1=CCC2CC1C2(C)C
Cinnamon leaf oil,CC(=C)[C@H]1CCC(=CC1)C
Cinnamon leaf oil,CC1(C)C2CCC(=C)C1C2
Cinnamon leaf oil,CC1(C)C2CCC(C2)C1=C
Cinnamon leaf oil,CC1=CCC2C(C1)C2(C)C
Cinnamon leaf oil,COc1cc(\C=C\C)ccc1O
Cinnamon leaf oil,CC(C)=C1CCC(=CC1)C
Cistus oil,CC1=CCC2CC1C2(C)C
Cistus oil,CC(=O)OC1CC2CCC1(C)C2(C)C
Cistus oil,CC(C)c1ccc(C)cc1
Cistus oil,CC1=CC[C@@H](CC1)C(C)(C)O
Cistus oil,CC(=O)c1ccccc1
Cistus oil,CC(C)C1(O)CCC(=CC1)C
Cistus oil,CC1(C)C2CCC(C2)C1=C
Cistus oil,CC(C)=CC\C=C(/C)C=C
Cistus oil,CC(=C)C1CCC(=CC1)C
Cistus oil,CC(C)=CCCC(C)(O)C=C
Cistus oil,CC(C)=CCCC(=C)C=C
Cistus oil,COc1cc(CC=C)ccc1O
Cistus oil,CC1(C)C2CCC(=C)C1C2
Cistus oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cistus oil,CC(C)c1ccc(C)c(O)c1
Cistus oil,CC(C)=CC/C=C(/C)C=C
Cistus oil,CC(C)c1ccc(C)cc1O
Cistus oil,CC1=CCC2C(C1)C2(C)C
Citron oil,CC(=C)[C@@H]1CCC(=CC1)C
Citron oil,CC1(C)C2CCC(=C)C1C2
Citron oil,CC(C)C1=CCC(=CC1)C
Citron oil,CC(C)=CCC\C(C)=C\C=O
Citron oil,CC(C)=CCC\C(C)=C/C=O
Citron oil,CC(C)=CCCC(=C)C=C
Citron oil,CC1=CCC2CC1C2(C)C
Citron oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Citron oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Citron oil,CC(C)=C1CCC(=CC1)C
Citron oil,CC(C)=CCCC(C)(O)C=C
Citron oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Citron oil,C[C@H](CCC=C(C)C)CC=O
Citron oil,CC(=O)OC\C=C(C)/CCC=C(C)C
Citron oil,CC(C)=CC\C=C(/C)C1CCC(=CC1)C
"Citronella oil, Ceylon type",CC(C)=CCC\C(C)=C\CO
"Citronella oil, Ceylon type",CC(=C)[C@H]1CCC(=CC1)C
"Citronella oil, Ceylon type",COc1ccc(\C=C\C)cc1OC
"Citronella oil, Ceylon type",CC1(C)C2CCC(C2)C1=C
"Citronella oil, Ceylon type",C[C@@H](CCO)CCC=C(C)C
"Citronella oil, Ceylon type",CC1(C)C2CCC1(C)C(O)C2
"Citronella oil, Ceylon type",C[C@H](CCC=C(C)C)CC=O
"Citronella oil, Ceylon type",CC(=O)OC/C=C(C)/CCC=C(C)C
"Citronella oil, Ceylon type",CC1=CCC2CC1C2(C)C
"Citronella oil, Ceylon type",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Citronella oil, Ceylon type",CC(C)=CC/C=C(/C)C=C
"Citronella oil, Ceylon type",CC(C)C1(O)CCC(=CC1)C
"Citronella oil, Ceylon type",CC1=CC[C@@H](CC1)C(C)(C)O
"Citronella oil, Ceylon type",COc1ccc(CC=C)cc1OC
"Citronella oil, Ceylon type",CC(C)=CC\C=C(/C)C=C
"Citronella oil, Ceylon type",CC(C)=CCCC(=C)C=C
"Citronella oil, Ceylon type",CC(C)=C1CCC(=CC1)C
"Citronella oil, Ceylon type",CC(C)=CCCC(C)(O)C=C
"Citronella oil, Ceylon type",CC(C)=CCC\C(C)=C/CO
"Citronella oil, Ceylon type",COc1ccc(CC=C)cc1OC
"Citronella oil, Ceylon type",CC(C)=CCC\C(C)=C\C=O
"Citronella oil, Ceylon type",CC(C)=CCC\C(C)=C/C=O
"Citronella oil, Ceylon type",COc1cc(CC=C)ccc1O
"Citronella oil, Ceylon type",CC1(C)C2CCC(=C)C1C2
"Citronella oil, Ceylon type",CC(=O)OC\C=C(C)/CCC=C(C)C
"Citronella oil, Java type",C[C@H](CCC=C(C)C)CC=O
"Citronella oil, Java type",CC(C)=CCC\C(C)=C\CO
"Citronella oil, Java type",C[C@@H](CCO)CCC=C(C)C
"Citronella oil, Java type",CC(=O)OC/C=C(C)/CCC=C(C)C
"Citronella oil, Java type",CC(=C)[C@H]1CCC(=CC1)C
"Citronella oil, Java type",CC(CCOC(C)=O)CCC=C(C)C
"Citronella oil, Java type",COc1cc(CC=C)ccc1O
"Citronella oil, Java type",CC(C)=CCCC(C)(O)C=C
"Citronella oil, Java type",CC(C)=CCC\C(C)=C\C=O
"Citronella oil, Java type",COc1ccc(\C=C\C)cc1OC
"Citronella oil, Java type",CC(C)=CCC\C(C)=C/C=O
"Citronella oil, Java type",CC(C)=CCC\C(C)=C/CO
"Citronella oil, Java type",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
"Citronella oil, Java type",CC(C)=CCCC(=C)C=C
"Citronella oil, Java type",CC1=CCC2CC1C2(C)C
"Citronella oil, Java type",COc1ccc(CC=C)cc1OC
"Citronella oil, Java type",CC(C)=C1CCC(=CC1)C
"Citronella oil, reduced",C[C@@H](CCO)CCC=C(C)C
"Citronella oil, reduced",CC(C)=CCC\C(C)=C\CO
"Citronella oil, reduced",CC(=C)C1CCC(=CC1)C
"Citronella oil, reduced",CC(=O)OC/C=C(C)/CCC=C(C)C
"Citronella oil, reduced",CC(CCOC(C)=O)CCC=C(C)C
"Citronella oil, reduced",CC(C)=CCCC(C)(O)C=C
"Citronella oil, reduced",COc1cc(CC=C)ccc1O
"Citronella oil, reduced",COc1ccc(\C=C\C)cc1OC
"Citronella oil, reduced",C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Citrus hystrix extract,CC1(C)C2CCC(=C)C1C2
Citrus hystrix extract,CC(=C)[C@@H]1CCC(=CC1)C
Citrus hystrix extract,C[C@H](CCC=C(C)C)CC=O
Citrus hystrix extract,CC(C)C1(O)CCC(=CC1)C
Citrus hystrix extract,CC1=CC[C@@H](CC1)C(C)(C)O
Citrus hystrix extract,C[C@@H](CCO)CCC=C(C)C
Citrus hystrix extract,CC(C)C1=CCC(=CC1)C
Citrus hystrix extract,CC1=CCC2CC1C2(C)C
Citrus hystrix extract,CC(C)=CCCC(C)(O)C=C
Citrus hystrix extract,CC(C)=C1CCC(=CC1)C
Citrus hystrix extract,CC1=CCC2C(C1)C2(C)C
Citrus hystrix extract,CC(C)=CCCC(=C)C=C
Citrus hystrix extract,CC(C)=CCC\C(C)=C\CO
Citrus hystrix extract,CC(=O)OC/C=C(C)/CCC=C(C)C
Citrus hystrix extract,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Citrus hystrix extract,CC1(C)C2CCC(C2)C1=C
Citrus junos oil,CC(=C)[C@@H]1CCC(=CC1)C
Citrus junos oil,CC(C)C1=CCC(=CC1)C
Citrus junos oil,CC1=CCC2CC1C2(C)C
Citrus junos oil,CC(C)=CCCC(C)(O)C=C
Citrus junos oil,CC1(C)C2CCC(=C)C1C2
Citrus junos oil,CC(C)=CCCC(=C)C=C
Citrus junos oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Citrus terpenes,CC(=C)[C@@H]1CCC(=CC1)C
Citrus terpenes,CC(C)C1=CCC(=CC1)C
Citrus terpenes,CC1(C)C2CCC(=C)C1C2
Citrus terpenes,CC(C)=CCCC(=C)C=C
Citrus terpenes,CC1=CCC2CC1C2(C)C
Citrus terpenes,CC1=CCC2C(C1)C2(C)C
Clary sage oil,CC(C)=CCCC(C)(OC(C)=O)C=C
Clary sage oil,CC(C)=CCCC(C)(O)C=C
Clary sage oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clary sage oil,CC1=CC[C@@H](CC1)C(C)(C)O
Clary sage oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Clary sage oil,CC(C)=CCC\C(C)=C\CO
Clary sage oil,CC(C)=CCCC(=C)C=C
Clary sage oil,CC(=O)OC\C=C(C)/CCC=C(C)C
Clary sage oil,CC(C)=CC\C=C(/C)C=C
Clary sage oil,CC(C)=CC/C=C(/C)C=C
Clary sage oil,CC(=C)[C@H]1CCC(=CC1)C
Clary sage oil,CC(C)=CCC\C(C)=C/CO
Clary sage oil,CC(C)=CCC\C(C)=C\COC=O
Clary sage oil,CC(C)=C1CCC(=CC1)C
Clary sage oil,CC1=CCC2CC1C2(C)C
Clary sage oil,CC1(C)C2CCC(=C)C1C2
Clary sage oil,CC1(C)C2CCC(C2)C1=C
Clove bud extract,COc1cc(CC=C)ccc1O
Clove bud extract,COc1cc(CC=C)ccc1OC(C)=O
Clove bud extract,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clove bud extract,Oc1ccc(CC=C)cc1
Clove bud extract,COc1ccc(CC=C)cc1OC
Clove bud extract,CC(C)=CCCC(C)(O)C=C
Clove bud oil,COc1cc(CC=C)ccc1O
Clove bud oil,COc1cc(CC=C)ccc1OC(C)=O
Clove bud oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clove bud oil,Oc1ccc(CC=C)cc1
Clove bud oil,COc1ccc(CC=C)cc1OC
Clove bud oil,CC(C)=CCCC(C)(O)C=C
Clove leaf oil,COc1cc(CC=C)ccc1O
Clove leaf oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clove leaf oil,Oc1ccc(CC=C)cc1
Clove leaf oil,COc1ccc(CC=C)cc1OC
Clove leaf oil,COc1cc(\C=C\C)ccc1O
Clove leaf oil,CC(C)=CCCC(C)(O)C=C
Clove leaf oil terpenes,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clove leaf oil terpenes,CC(C)=CCC\C(C)=C\C\C=C(/C)C=C
Clove stem oil,COc1cc(CC=C)ccc1O
Clove stem oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Clove stem oil,COc1cc(CC=C)ccc1OC(C)=O
Clove stem oil,Oc1ccc(CC=C)cc1
Coconut absolute,CCCCCCCC(=O)OCC
Coconut absolute,CCCCCCCCCC(=O)OCC
"Cognac oil, green",CCCCCCCC(=O)OCC
"Cognac oil, green",CCCCCCCCCC(=O)OCC
"Cognac oil, green",CCCCCC(=O)OCC
"Cognac oil, white, rectified",CCCCCCCC(=O)OCC
"Cognac oil, white, rectified",CCCCCCCCCC(=O)OCC
"Cognac oil, white, rectified",CCCCCC(=O)OCC
Copaiba oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Copaiba oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Copaiba oil,CC1(C)CC2C1CCC3(C)OC3CCC2=C
Coriander herb oil,CC(C)=CCCC(C)(O)C=C
Coriander herb oil,CCCCCCC\C=C\C=O
Coriander herb oil,CCCCCCCCCC=O
Coriander herb oil,CCCCCCCCCCO
Coriander herb oil,CCCCCCCCC\C=C\C=O
Coriander herb oil,CCCCCCCCC
Coriander herb oil,CC(C)C1=CCC(=CC1)C
Coriander herb oil,CC1=CCC2CC1C2(C)C
Coriander herb oil,CC(C)c1ccc(C)cc1
Coriander herb oil,CCCCCCCCCCCC=O
Coriander herb oil,CCCCCCCCCCC=O
Coriander herb oil,CC1(C)C2CCC1(C)C(=O)C2
Coriander herb oil,CC(C)=CCC\C(C)=C\CO
Coriander herb oil,CC(=C)C1CCC(=CC1)C
Coriander herb oil,CC(C)=CCCC(C)=O
Coriander herb oil,CCCCCCCCCCCO
Coriander herb oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Coriander herb oil,CCC/C=C/CO
Coriander herb oil,CC1(C)C2CCC(C2)C1=C
Coriander herb oil,CCCCCCCCCCCCO
Coriander herb oil,CC1(C)C2CCC(=C)C1C2
Coriander herb oil,CC(C)=C1CCC(=CC1)C
Coriander seed oil,CC(C)=CCCC(C)(O)C=C
Coriander seed oil,CC1=CCC2CC1C2(C)C
Coriander seed oil,CC1(C)C2CCC1(C)C(=O)C2
Coriander seed oil,CC(C)C1=CCC(=CC1)C
Coriander seed oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Coriander seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Coriander seed oil,CC(C)c1ccc(C)cc1
Coriander seed oil,CC(C)=CCC\C(C)=C\CO
Coriander seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Coriander seed oil,CC1(C)C2CCC(C2)C1=C
Coriander seed oil,CC(C)=CCCC(=C)C=C
Coriander seed oil,CC1(C)C2CCC(=C)C1C2
Coriander seed oil,CC(C)=C1CCC(=CC1)C
Coriander seed oil,CC(C)=CCC\C(C)=C/CO
Coriander seed oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Coriander seed oil,CC(C)=CC/C=C(/C)C=C
Coriander seed oil,CC(C)=CC\C=C(/C)C=C
Cubeb oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cubeb oil,CC1=CC[C@@H](CC1)C(C)(C)O
Cubeb oil,CC1=CCC2CC1C2(C)C
Cubeb oil,CC(C)=CCC\C(C)=C\CCC(C)(O)C=C
Cubeb oil,CC(C)=CCCC(=C)[C@@H]1CCC(=CC1)C
Cubeb oil,CC(C)=CCCC(=C)C=C
Cubeb oil,CC(=C)[C@@H]1CCC(=CC1)C
Cubeb oil,CC1(C)C2CCC(=C)C1C2
Cubeb oil,CC(C)=CCCC(C)(O)C=C
Cubeb oil,CC(C)=C1CCC(=CC1)C
Cubeb oil,CC(C)=CC\C=C(/C)C=C
Cumin seed oil,CC1(C)C2CCC(=C)C1C2
Cumin seed oil,CC(C)c1ccc(C=O)cc1
Cumin seed oil,CC(C)C1=CCC(=CC1)C
Cumin seed oil,CC(C)c1ccc(C)cc1
Cumin seed oil,CC(C)[C@H]1CC=C(C)C=C1
Cumin seed oil,CC1=CCC2CC1C2(C)C
Cumin seed oil,CC(C)=CCCC(=C)C=C
Cumin seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Cumin seed oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cumin seed oil,CC(C)=C1CCC(=CC1)C
Cypress oil,CC1=CCC2CC1C2(C)C
Cypress oil,CC1=CCC2C(C1)C2(C)C
Cypress oil,CC(=O)OC(C)(C)C1CCC(=CC1)C
Cypress oil,CC(C)=CCCC(=C)C=C
Cypress oil,CC(=C)[C@H]1CCC(=CC1)C
Cypress oil,CC(C)=C1CCC(=CC1)C
Cypress oil,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
Cypress oil,CC1(C)C2CCC(=C)C1C2
Cypress oil,CC(C)C1(O)CCC(=CC1)C
Cypress oil,CC(C)=CCCC(C)(O)C=C
Cypress oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cypress oil,CC1(C)C2CCC(C2)C1=C
Cypress oil,C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C
Cypress oil,CC1CCC2C(C)(C)C3CC12CCC3=C
Cypress oil,CC(C)=CC/C=C(/C)C=C
Cypress oil,CC(C)=CC\C=C(/C)C=C
Cypriol oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cypriol oil,CC1(C)C2CCC(=C)C1C2
Cypriol oil,CC1=CCC2CC1C2(C)C
Davana oil,CCOC(=O)\C=C\c1ccccc1
Davana oil,CC(=O)OC/C=C(C)/CCC=C(C)C
Davana oil,CC(C)=CCCC(C)(O)C=C
Davana oil,COC(=O)\C=C\c1ccccc1
Davana oil,CC(=C)[C@H]1CCC(=CC1)C
Davana oil,CC1=CCC2CC1C2(C)C
Dill seed oil,CC(=C)[C@@H]1CCC(=CC1)C
Dill seed oil,CC(=C)[C@H]1CC=C(C)C(=O)C1
Dill seed oil,CC(C)=CCCC(=C)C=C
Dill seed oil,CC1=CCC2CC1C2(C)C
Dill seed oil,CC1(C)C2CCC(=C)C1C2
Dill weed oil,CC(=C)[C@@H]1CC=C(C)C(=O)C1
Dill weed oil,CC(=C)[C@H]1CCC(=CC1)C
Dill weed oil,CC(C)[C@H]1CC=C(C)C=C1
Dill weed oil,CC(C)c1ccc(C)cc1
Dill weed oil,CC1=CCC2CC1C2(C)C
Dill weed oil,CC(C)=CCCC(=C)C=C
Dill weed oil,CC1(C)C2CCC(=C)C1C2
Elemi oil,CC(=C)C1CCC(=CC1)C
