Stimulus,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26
C26,-11.023,6.5516,-6.463,5.7967,-14.729,-0.53032,4.2008,-0.051259,14.075,-0.8478,-5.3297,-1.4366,-1.8602,0.020805,7.9915,-0.11194,-2.5877,-2.6867,0.7135,-1.8278,0.75136,-0.79517,-0.80056,-1.5041,-1.1526,-0.10667
C27,10.77,7.7781,-1.5066,-6.8896,0.56452,-13.073,6.1215,3.4763,-9.6858,-6.2805,-6.7923,6.1502,-1.1301,-4.5416,-0.29271,-1.138,-1.5188,2.5612,-3.705,-2.5511,2.4908,1.1799,1.8587,-0.38085,-0.20896,0.45986
C28,2.7868,-3.6451,-8.2114,-2.716,-15.863,30.636,9.8558,14.071,-4.0235,0.46343,1.86,1.4383,1.0316,-4.0048,-2.3943,1.8705,1.8272,3.1537,2.1283,-0.30316,0.1955,0.51425,0.2593,-0.59457,0.032308,-0.050281
C29,17.929,12.428,-5.9656,-1.4079,1.1938,4.3993,-2.3278,-1.3995,0.67608,2.3573,6.0584,2.1012,-4.6549,4.4062,5.779,4.9824,-0.89132,-1.281,-4.0477,0.63263,-1.5663,0.78243,-0.40324,-0.1853,0.61343,-0.035408
C30,21.578,6.6853,-11.974,-19.753,4.1299,-3.6158,10.644,-7.2393,-9.9296,10.556,-8.9143,-2.4493,-1.4619,3.9044,-2.7387,-0.83007,-0.32279,1.3236,1.713,1.116,-0.26369,-0.85809,-0.29091,1.5073,-0.57737,-0.46238
C31,37.549,10.945,-5.8964,-19.902,14.365,5.3408,-8.7115,16.975,7.1759,-3.2977,1.4409,-2.9096,0.81559,6.5623,-3.566,1.9305,-3.9912,-0.65837,-0.47603,1.2699,1.0883,0.79059,0.2297,-0.58936,-0.33152,0.16645
C32,64.476,-39.617,-6.4935,-15.833,8.9095,0.78495,5.4852,-13.514,8.6012,-5.6595,-0.028799,2.9248,4.3113,-3.1463,2.1675,0.64759,1.3001,0.26498,1.2041,1.1593,-0.19356,-0.80446,0.10415,-0.96725,0.14979,0.11317
C33,33.682,0.65906,2.3304,12.126,-7.3267,-17.486,-3.7013,16.284,4.5448,7.8165,-2.8935,2.1184,11.29,-1.7784,-2.5095,-0.65323,0.94025,1.5721,-1.6097,1.1666,-0.89784,-1.2475,-1.6037,-0.60724,0.27011,-0.093447
C34,18.104,-14.979,-19.03,9.5343,6.5752,-5.6803,5.1884,7.0393,-4.1855,-0.2552,-4.5114,-11.54,-6.7034,-4.3038,1.8051,0.48291,0.36792,-1.4283,-2.0208,-1.1863,-2.5011,2.0615,-0.67006,0.13747,0.41269,-0.080877
C35,58.879,-0.61785,8.6788,-0.40883,-27.713,-10.493,-0.10521,-5.1883,-1.5742,0.38492,13.077,-1.5555,-7.2207,-1.9267,-2.9344,0.53881,-2.4045,0.96843,-0.22425,0.96116,0.74562,-0.40648,0.19465,0.8608,-0.1615,-0.051789
C36,49.168,-22.915,23.288,26.655,6.674,9.9371,-12.154,2.5038,-5.0104,3.0642,-5.9302,1.7871,-4.2129,5.1765,-0.13062,-1.071,-1.3046,-0.23329,1.5271,-2.1592,0.658,-0.37129,0.275,0.84351,-0.22215,0.09533
C37,55.17,37.065,26.634,4.3471,11.009,3.883,12.427,-2.4659,1.3491,-4.9701,-0.14544,-1.0422,2.0105,-2.2925,3.5901,-0.93366,5.0496,-1.7965,1.2025,0.62599,-0.31856,0.13409,0.071912,0.64536,0.11125,-0.030565
C7-C40,-27.312,1.1209,-3.9293,20.52,-5.2155,-0.95596,2.4127,-7.467,-6.1228,-10.986,-5.2887,-3.8792,4.0274,1.0311,-2.8702,5.1546,-2.5634,-1.3401,1.4352,5.2385,0.89722,0.82625,-0.58666,0.35374,-0.12567,0.23749
Formic acid,-582.87,-37.638,-34.486,-104.14,-42.687,18.382,33.102,-9.4358,-11.114,8.7396,7.5373,-14.073,10.178,20.934,-12.398,19.206,5.1653,29.723,5.4936,6.2054,3.481,-2.9429,-2.8051,-1.7291,1.3592,2.3553
Geraniol,-9.7892,40.172,98.954,-98.603,-38.411,36.038,-5.1149,-8.8162,-39.123,42.613,-13.607,21.369,34.566,2.6742,-5.9307,-13.353,-14.831,-5.6955,6.284,1.1369,0.44948,10.584,-3.8824,4.3075,-2.0628,0.56179
Citronellol,-109.04,48.531,82.21,-81.784,-58.753,18.081,-2.2083,26.921,-19.42,20.251,14.051,15.337,-9.0745,-8.8452,2.8588,-9.8449,0.15463,-2.6162,-6.4491,2.9204,-1.2448,-8.6242,-5.0594,-2.1617,0.93189,-1.2135
Farnesol,-244.34,6.2531,10.603,-25.215,-33.045,27.159,5.2751,-8.3054,-30.57,-20.038,7.3575,-15.736,-19.1,10.09,-0.82451,-11.85,-8.8249,-10.066,-2.9314,1.6792,16.284,-2.1979,3.1481,-5.715,-1.8579,-5.7507
Menthol,-254.46,88.618,41.707,-7.4595,-42.193,13.493,-4.2165,18.435,-35.396,-26.194,16.535,-4.387,-12.066,5.7476,15.586,-2.9161,-2.8657,-16.991,-5.6643,-0.54642,-9.1137,-1.049,0.19399,-1.8688,-1.2188,4.112
Geosmin,-344.9,-25.161,-31.171,27.775,-17.035,38.148,23.624,3.8339,-9.07,-8.0427,7.0979,-0.014198,-4.0973,-1.0162,-17.047,4.4316,-1.9331,-4.1694,-14.753,-1.1824,-10.205,-5.5166,10.3,3.7073,1.8346,-0.53041
