Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
C7-C40,HsOr20,Pentane,-4.4
C7-C40,HsOr209,Pentane,5.4
C7-C40,HsOr210,Pentane,-8.6
C7-C40,HsOr212,Pentane,-10.4
C7-C40,HsOr224,Pentane,-8.4
C7-C40,HsOr236,Pentane,-0.2
C7-C40,HsOr259-L2,Pentane,7.0
C7-C40,HsOr271,Pentane,-8.4
C7-C40,HsOr32,Pentane,-15.8
C7-C40,HsOr35,Pentane,-13.0
C7-C40,HsOr36,Pentane,13.666666666666666
C7-C40,HsOr37,Pentane,11.8
C7-C40,HsOr378,Pentane,5.2
C7-C40,HsOr4,Pentane,-7.4
C7-C40,HsOr55,Pentane,-5.25
C7-C40,HsOr59,Pentane,-0.8333333333333334
C7-C40,NoUAS,Pentane,0.2
 C12,HsOr161,No-UAS,-2.0
 C12,HsOr170,No-UAS,4.0
 C12,HsOr174,No-UAS,2.8
 C12,HsOr175,No-UAS,-1.0
 C12,HsOr177,No-UAS,6.4
 C12,HsOr182,No-UAS,-0.19999999999999996
 C12,HsOr183,No-UAS,5.0
 C12,HsOr188,No-UAS,0.6
 C12,HsOr190,No-UAS,18.8
 C12,HsOr20,No-UAS,4.0
 C12,HsOr209,No-UAS,-0.6000000000000001
 C12,HsOr210,No-UAS,7.2
 C12,HsOr212,No-UAS,-8.4
 C12,HsOr224,No-UAS,-0.6000000000000001
 C12,HsOr236,No-UAS,1.4
 C12,HsOr259-L2,No-UAS,2.0
 C12,HsOr271,No-UAS,-8.8
 C12,HsOr32,No-UAS,-9.0
 C12,HsOr35,No-UAS,-1.2000000000000002
 C12,HsOr36,No-UAS,17.5
 C12,HsOr37,No-UAS,-3.4000000000000004
 C12,HsOr378,No-UAS,8.2
 C12,HsOr4,No-UAS,-12.8
 C12,HsOr55,No-UAS,0.75
 C12,HsOr59,No-UAS,1.5
 C12,NoUAS,No-UAS,0.0
C10,HsOr161,No-UAS,5.8
C10,HsOr170,No-UAS,3.4
C10,HsOr174,No-UAS,10.4
C10,HsOr175,No-UAS,1.4000000000000004
C10,HsOr177,No-UAS,-2.0
C10,HsOr182,No-UAS,6.8
C10,HsOr183,No-UAS,6.8
C10,HsOr188,No-UAS,1.5999999999999996
C10,HsOr190,No-UAS,11.8
C10,HsOr20,No-UAS,4.2
C10,HsOr209,No-UAS,9.6
C10,HsOr210,No-UAS,10.6
C10,HsOr212,No-UAS,1.0
C10,HsOr224,No-UAS,-0.40000000000000036
C10,HsOr236,No-UAS,11.0
C10,HsOr259-L2,No-UAS,5.2
C10,HsOr271,No-UAS,3.6
C10,HsOr32,No-UAS,-1.7999999999999998
C10,HsOr35,No-UAS,-7.6
C10,HsOr36,No-UAS,13.833333333333332
C10,HsOr37,No-UAS,0.5999999999999996
C10,HsOr378,No-UAS,7.6
C10,HsOr4,No-UAS,-7.199999999999999
C10,HsOr55,No-UAS,-1.5
C10,HsOr59,No-UAS,3.5
C10,NoUAS,No-UAS,0.0
C11,HsOr161,No-UAS,4.0
C11,HsOr170,No-UAS,5.2
C11,HsOr174,No-UAS,-2.0
C11,HsOr175,No-UAS,1.6000000000000005
C11,HsOr177,No-UAS,6.6000000000000005
C11,HsOr182,No-UAS,7.0
C11,HsOr183,No-UAS,13.2
C11,HsOr188,No-UAS,9.600000000000001
C11,HsOr190,No-UAS,11.2
C11,HsOr20,No-UAS,4.6000000000000005
C11,HsOr209,No-UAS,11.600000000000001
C11,HsOr210,No-UAS,2.0
C11,HsOr212,No-UAS,3.8000000000000003
C11,HsOr224,No-UAS,6.6000000000000005
C11,HsOr236,No-UAS,5.6000000000000005
C11,HsOr259-L2,No-UAS,5.0
C11,HsOr271,No-UAS,3.2
C11,HsOr32,No-UAS,2.4000000000000004
C11,HsOr35,No-UAS,9.4
C11,HsOr36,No-UAS,14.066666666666666
C11,HsOr37,No-UAS,6.800000000000001
C11,HsOr378,No-UAS,12.0
C11,HsOr4,No-UAS,-0.5999999999999996
C11,HsOr55,No-UAS,-2.0999999999999996
C11,HsOr59,No-UAS,10.233333333333334
C11,NoUAS,No-UAS,0.0
C13,HsOr161,No-UAS,-3.8000000000000003
C13,HsOr170,No-UAS,-0.20000000000000018
C13,HsOr174,No-UAS,-1.4000000000000001
C13,HsOr175,No-UAS,-5.6
C13,HsOr177,No-UAS,-4.2
C13,HsOr182,No-UAS,0.3999999999999999
C13,HsOr183,No-UAS,0.19999999999999973
C13,HsOr188,No-UAS,-4.4
C13,HsOr190,No-UAS,3.3999999999999995
C13,HsOr20,No-UAS,2.0
C13,HsOr209,No-UAS,-0.6000000000000001
C13,HsOr210,No-UAS,1.2000000000000002
C13,HsOr212,No-UAS,-11.0
C13,HsOr224,No-UAS,-9.4
C13,HsOr236,No-UAS,-14.2
C13,HsOr259-L2,No-UAS,-8.0
C13,HsOr271,No-UAS,-3.0
C13,HsOr32,No-UAS,-16.6
C13,HsOr35,No-UAS,-12.399999999999999
C13,HsOr36,No-UAS,5.633333333333334
C13,HsOr37,No-UAS,-11.399999999999999
C13,HsOr378,No-UAS,-5.2
C13,HsOr4,No-UAS,-12.8
C13,HsOr55,No-UAS,-11.2
C13,HsOr59,No-UAS,-6.533333333333333
C13,NoUAS,No-UAS,0.0
C14,HsOr161,No-UAS,-2.8
C14,HsOr170,No-UAS,-3.8
C14,HsOr174,No-UAS,3.0
C14,HsOr175,No-UAS,-6.4
C14,HsOr177,No-UAS,1.4000000000000004
C14,HsOr182,No-UAS,-4.4
C14,HsOr183,No-UAS,2.8
C14,HsOr188,No-UAS,-5.0
C14,HsOr190,No-UAS,-4.0
C14,HsOr20,No-UAS,1.5999999999999996
C14,HsOr209,No-UAS,1.0
C14,HsOr210,No-UAS,3.0
C14,HsOr212,No-UAS,-0.6000000000000001
C14,HsOr224,No-UAS,-7.8
C14,HsOr236,No-UAS,-4.0
C14,HsOr259-L2,No-UAS,-9.8
C14,HsOr271,No-UAS,-14.4
C14,HsOr32,No-UAS,-12.2
C14,HsOr35,No-UAS,-8.6
C14,HsOr36,No-UAS,4.5
C14,HsOr37,No-UAS,-10.8
C14,HsOr378,No-UAS,-1.2
C14,HsOr4,No-UAS,-19.6
C14,HsOr55,No-UAS,-10.75
C14,HsOr59,No-UAS,1.666666666666667
C14,NoUAS,No-UAS,0.0
C15,HsOr161,No-UAS,-14.8
C15,HsOr170,No-UAS,-22.2
C15,HsOr174,No-UAS,-10.6
C15,HsOr175,No-UAS,-21.4
C15,HsOr177,No-UAS,-11.4
C15,HsOr182,No-UAS,-8.399999999999999
C15,HsOr183,No-UAS,-9.399999999999999
C15,HsOr188,No-UAS,-16.0
C15,HsOr190,No-UAS,-4.8
C15,HsOr20,No-UAS,-8.6
C15,HsOr209,No-UAS,-18.4
C15,HsOr210,No-UAS,-8.2
C15,HsOr212,No-UAS,-11.6
C15,HsOr224,No-UAS,-18.6
C15,HsOr236,No-UAS,-16.4
C15,HsOr259-L2,No-UAS,-17.4
C15,HsOr271,No-UAS,-19.4
C15,HsOr32,No-UAS,-14.6
C15,HsOr35,No-UAS,-28.2
C15,HsOr36,No-UAS,-2.4333333333333336
C15,HsOr37,No-UAS,-12.6
C15,HsOr378,No-UAS,-14.4
C15,HsOr4,No-UAS,-22.2
C15,HsOr55,No-UAS,-17.1
C15,HsOr59,No-UAS,-18.266666666666666
C15,NoUAS,No-UAS,0.0
C16,HsOr161,No-UAS,7.3999999999999995
C16,HsOr170,No-UAS,-0.8000000000000007
C16,HsOr174,No-UAS,10.0
C16,HsOr175,No-UAS,3.1999999999999993
C16,HsOr177,No-UAS,7.6
C16,HsOr182,No-UAS,10.2
C16,HsOr183,No-UAS,19.0
C16,HsOr188,No-UAS,14.0
C16,HsOr190,No-UAS,18.4
C16,HsOr20,No-UAS,11.2
C16,HsOr209,No-UAS,10.8
C16,HsOr210,No-UAS,16.6
C16,HsOr212,No-UAS,1.5999999999999996
C16,HsOr224,No-UAS,0.7999999999999998
C16,HsOr236,No-UAS,10.6
C16,HsOr259-L2,No-UAS,7.8
C16,HsOr271,No-UAS,7.199999999999999
C16,HsOr32,No-UAS,0.0
C16,HsOr35,No-UAS,-3.5999999999999996
C16,HsOr36,No-UAS,10.933333333333334
C16,HsOr37,No-UAS,3.1999999999999993
C16,HsOr378,No-UAS,11.2
C16,HsOr4,No-UAS,7.0
C16,HsOr55,No-UAS,0.09999999999999964
C16,HsOr59,No-UAS,10.266666666666666
C16,NoUAS,No-UAS,0.0
C17,HsOr161,No-UAS,-3.1999999999999997
C17,HsOr170,No-UAS,-0.6000000000000001
C17,HsOr174,No-UAS,2.6
C17,HsOr175,No-UAS,-5.2
C17,HsOr177,No-UAS,0.19999999999999996
C17,HsOr182,No-UAS,6.0
C17,HsOr183,No-UAS,9.6
C17,HsOr188,No-UAS,-2.8
C17,HsOr190,No-UAS,0.9999999999999999
C17,HsOr20,No-UAS,2.4
C17,HsOr209,No-UAS,-1.0
C17,HsOr210,No-UAS,0.7999999999999999
C17,HsOr212,No-UAS,-1.0
C17,HsOr224,No-UAS,-5.2
C17,HsOr236,No-UAS,3.0
C17,HsOr259-L2,No-UAS,-2.2
C17,HsOr271,No-UAS,-4.4
C17,HsOr32,No-UAS,-13.4
C17,HsOr35,No-UAS,-19.599999999999998
C17,HsOr36,No-UAS,3.4333333333333336
C17,HsOr37,No-UAS,4.3999999999999995
C17,HsOr378,No-UAS,-1.0
C17,HsOr4,No-UAS,-4.4
C17,HsOr55,No-UAS,-3.4
C17,HsOr59,No-UAS,1.4333333333333331
C17,NoUAS,No-UAS,0.0
C18,HsOr161,No-UAS,-3.5999999999999996
C18,HsOr170,No-UAS,-7.0
C18,HsOr174,No-UAS,1.0
C18,HsOr175,No-UAS,-3.4
C18,HsOr177,No-UAS,-6.0
C18,HsOr182,No-UAS,1.0
C18,HsOr183,No-UAS,-2.4
C18,HsOr188,No-UAS,-5.4
C18,HsOr190,No-UAS,5.8
C18,HsOr20,No-UAS,5.6000000000000005
C18,HsOr209,No-UAS,0.40000000000000036
C18,HsOr210,No-UAS,-1.1999999999999997
C18,HsOr212,No-UAS,4.4
C18,HsOr224,No-UAS,5.2
C18,HsOr236,No-UAS,0.0
C18,HsOr259-L2,No-UAS,-5.6
C18,HsOr271,No-UAS,-16.2
C18,HsOr32,No-UAS,-9.6
C18,HsOr35,No-UAS,-10.2
C18,HsOr36,No-UAS,-2.4666666666666663
C18,HsOr37,No-UAS,-5.8
C18,HsOr378,No-UAS,-4.8
C18,HsOr4,No-UAS,-7.8
C18,HsOr55,No-UAS,-9.8
C18,HsOr59,No-UAS,-0.2999999999999998
C18,NoUAS,No-UAS,0.0
C19,HsOr161,No-UAS,1.4000000000000004
C19,HsOr170,No-UAS,-7.4
C19,HsOr174,No-UAS,-6.0
C19,HsOr175,No-UAS,-15.8
C19,HsOr177,No-UAS,-4.0
C19,HsOr182,No-UAS,2.8
C19,HsOr183,No-UAS,1.7999999999999998
C19,HsOr188,No-UAS,3.8
C19,HsOr190,No-UAS,5.6
C19,HsOr20,No-UAS,-3.0
C19,HsOr209,No-UAS,-7.4
C19,HsOr210,No-UAS,-5.8
C19,HsOr212,No-UAS,-4.6
C19,HsOr224,No-UAS,-5.6
C19,HsOr236,No-UAS,-0.6000000000000001
C19,HsOr259-L2,No-UAS,3.2
C19,HsOr271,No-UAS,-7.6
C19,HsOr32,No-UAS,-6.4
C19,HsOr35,No-UAS,-8.2
C19,HsOr36,No-UAS,0.16666666666666696
C19,HsOr37,No-UAS,-4.8
C19,HsOr378,No-UAS,1.4000000000000004
C19,HsOr4,No-UAS,-1.2000000000000002
C19,HsOr55,No-UAS,-7.5
C19,HsOr59,No-UAS,-3.3333333333333335
C19,NoUAS,No-UAS,0.0
C20,HsOr161,No-UAS,-2.8
C20,HsOr170,No-UAS,1.6000000000000005
C20,HsOr174,No-UAS,3.2
C20,HsOr175,No-UAS,-12.399999999999999
C20,HsOr177,No-UAS,5.6000000000000005
C20,HsOr182,No-UAS,-2.1999999999999997
C20,HsOr183,No-UAS,3.6000000000000005
C20,HsOr188,No-UAS,30.400000000000002
C20,HsOr190,No-UAS,9.2
C20,HsOr20,No-UAS,-2.1999999999999997
C20,HsOr209,No-UAS,-7.6
C20,HsOr210,No-UAS,0.40000000000000036
C20,HsOr212,No-UAS,1.0
C20,HsOr224,No-UAS,-11.600000000000001
C20,HsOr236,No-UAS,-4.8
C20,HsOr259-L2,No-UAS,12.2
C20,HsOr271,No-UAS,-4.6
C20,HsOr32,No-UAS,-2.8
C20,HsOr35,No-UAS,-12.8
C20,HsOr36,No-UAS,11.366666666666667
C20,HsOr37,No-UAS,12.0
C20,HsOr378,No-UAS,4.4
C20,HsOr4,No-UAS,12.399999999999999
C20,HsOr55,No-UAS,-11.05
C20,HsOr59,No-UAS,-5.966666666666667
C20,NoUAS,No-UAS,0.0
C21,HsOr161,No-UAS,2.6
C21,HsOr170,No-UAS,8.6
C21,HsOr174,No-UAS,1.0
C21,HsOr175,No-UAS,-0.3999999999999999
C21,HsOr177,No-UAS,12.8
C21,HsOr182,No-UAS,4.4
C21,HsOr183,No-UAS,-2.5999999999999996
C21,HsOr188,No-UAS,18.6
C21,HsOr190,No-UAS,14.4
C21,HsOr20,No-UAS,3.5999999999999996
C21,HsOr209,No-UAS,-0.19999999999999996
C21,HsOr210,No-UAS,3.0
C21,HsOr212,No-UAS,-1.2
C21,HsOr224,No-UAS,-18.0
C21,HsOr236,No-UAS,3.0
C21,HsOr259-L2,No-UAS,-6.0
C21,HsOr271,No-UAS,13.0
C21,HsOr32,No-UAS,-4.0
C21,HsOr35,No-UAS,-10.799999999999999
C21,HsOr36,No-UAS,11.633333333333335
C21,HsOr37,No-UAS,0.20000000000000007
C21,HsOr378,No-UAS,11.4
C21,HsOr4,No-UAS,8.8
C21,HsOr55,No-UAS,-4.7
C21,HsOr59,No-UAS,-3.033333333333333
C21,NoUAS,No-UAS,0.0
C22,HsOr161,No-UAS,-1.3999999999999995
C22,HsOr170,No-UAS,-2.8
C22,HsOr174,No-UAS,-4.8
C22,HsOr175,No-UAS,-1.0
C22,HsOr177,No-UAS,8.2
C22,HsOr182,No-UAS,-5.2
C22,HsOr183,No-UAS,-4.199999999999999
C22,HsOr188,No-UAS,21.2
C22,HsOr190,No-UAS,6.3999999999999995
C22,HsOr20,No-UAS,-7.0
C22,HsOr209,No-UAS,-4.199999999999999
C22,HsOr210,No-UAS,1.0
C22,HsOr212,No-UAS,-6.2
C22,HsOr224,No-UAS,-17.4
C22,HsOr236,No-UAS,-2.8
C22,HsOr259-L2,No-UAS,-6.0
C22,HsOr271,No-UAS,-13.0
C22,HsOr32,No-UAS,-8.4
C22,HsOr35,No-UAS,-12.2
C22,HsOr36,No-UAS,12.2
C22,HsOr37,No-UAS,13.0
C22,HsOr378,No-UAS,0.6000000000000005
C22,HsOr4,No-UAS,-5.0
C22,HsOr55,No-UAS,-9.55
C22,HsOr59,No-UAS,-1.4666666666666668
C22,NoUAS,No-UAS,0.0
C23,HsOr161,No-UAS,2.4000000000000004
C23,HsOr170,No-UAS,6.2
C23,HsOr174,No-UAS,9.2
C23,HsOr175,No-UAS,0.0
C23,HsOr177,No-UAS,15.0
C23,HsOr182,No-UAS,8.0
C23,HsOr183,No-UAS,-3.1999999999999997
C23,HsOr188,No-UAS,15.6
C23,HsOr190,No-UAS,13.6
C23,HsOr20,No-UAS,-7.8
C23,HsOr209,No-UAS,-1.4000000000000001
C23,HsOr210,No-UAS,8.799999999999999
C23,HsOr212,No-UAS,4.2
C23,HsOr224,No-UAS,-3.0
C23,HsOr236,No-UAS,-2.4
C23,HsOr259-L2,No-UAS,4.0
C23,HsOr271,No-UAS,-4.3999999999999995
C23,HsOr32,No-UAS,-9.200000000000001
C23,HsOr35,No-UAS,-7.8
C23,HsOr36,No-UAS,7.033333333333333
C23,HsOr37,No-UAS,13.399999999999999
C23,HsOr378,No-UAS,2.8000000000000003
C23,HsOr4,No-UAS,4.6000000000000005
C23,HsOr55,No-UAS,-3.55
C23,HsOr59,No-UAS,-3.8
C23,NoUAS,No-UAS,0.0
C24,HsOr161,No-UAS,11.2
C24,HsOr170,No-UAS,10.6
C24,HsOr174,No-UAS,20.4
C24,HsOr175,No-UAS,15.2
C24,HsOr177,No-UAS,23.0
C24,HsOr182,No-UAS,25.799999999999997
C24,HsOr183,No-UAS,19.0
C24,HsOr188,No-UAS,2.1999999999999993
C24,HsOr190,No-UAS,24.0
C24,HsOr20,No-UAS,19.2
C24,HsOr209,No-UAS,12.0
C24,HsOr210,No-UAS,12.2
C24,HsOr212,No-UAS,41.0
C24,HsOr224,No-UAS,8.399999999999999
C24,HsOr236,No-UAS,17.2
C24,HsOr259-L2,No-UAS,8.0
C24,HsOr271,No-UAS,14.2
C24,HsOr32,No-UAS,5.199999999999999
C24,HsOr35,No-UAS,5.199999999999999
C24,HsOr36,No-UAS,24.433333333333334
C24,HsOr37,No-UAS,21.6
C24,HsOr378,No-UAS,16.6
C24,HsOr4,No-UAS,10.6
C24,HsOr55,No-UAS,6.85
C24,HsOr59,No-UAS,8.766666666666666
C24,NoUAS,No-UAS,0.0
C25,HsOr161,No-UAS,1.2000000000000002
C25,HsOr170,No-UAS,0.20000000000000018
C25,HsOr174,No-UAS,6.0
C25,HsOr175,No-UAS,-0.5999999999999996
C25,HsOr177,No-UAS,12.2
C25,HsOr182,No-UAS,9.4
C25,HsOr183,No-UAS,9.8
C25,HsOr188,No-UAS,17.2
C25,HsOr190,No-UAS,20.2
C25,HsOr20,No-UAS,7.6000000000000005
C25,HsOr209,No-UAS,-0.5999999999999996
C25,HsOr210,No-UAS,8.4
C25,HsOr212,No-UAS,20.2
C25,HsOr224,No-UAS,-8.600000000000001
C25,HsOr236,No-UAS,0.20000000000000018
C25,HsOr259-L2,No-UAS,4.4
C25,HsOr271,No-UAS,1.4000000000000001
C25,HsOr32,No-UAS,-4.2
C25,HsOr35,No-UAS,-6.3999999999999995
C25,HsOr36,No-UAS,13.866666666666667
C25,HsOr37,No-UAS,25.0
C25,HsOr378,No-UAS,10.8
C25,HsOr4,No-UAS,8.0
C25,HsOr55,No-UAS,-6.3
C25,HsOr59,No-UAS,-3.466666666666667
C25,NoUAS,No-UAS,0.0
C26,HsOr161,No-UAS,-12.0
C26,HsOr170,No-UAS,-2.5999999999999996
C26,HsOr174,No-UAS,-10.2
C26,HsOr175,No-UAS,-10.2
C26,HsOr177,No-UAS,-1.5999999999999996
C26,HsOr182,No-UAS,-7.199999999999999
C26,HsOr183,No-UAS,-6.6
C26,HsOr188,No-UAS,2.8000000000000007
C26,HsOr190,No-UAS,2.200000000000001
C26,HsOr20,No-UAS,-9.6
C26,HsOr209,No-UAS,-9.8
C26,HsOr210,No-UAS,-6.8
C26,HsOr212,No-UAS,-6.3999999999999995
C26,HsOr224,No-UAS,-21.6
C26,HsOr236,No-UAS,-18.8
C26,HsOr259-L2,No-UAS,-14.6
C26,HsOr271,No-UAS,-21.0
C26,HsOr32,No-UAS,-25.799999999999997
C26,HsOr35,No-UAS,-24.4
C26,HsOr36,No-UAS,3.2333333333333343
C26,HsOr37,No-UAS,0.0
C26,HsOr378,No-UAS,-14.8
C26,HsOr4,No-UAS,-20.799999999999997
C26,HsOr55,No-UAS,-20.35
C26,HsOr59,No-UAS,-15.266666666666666
C26,NoUAS,No-UAS,0.0
C27,HsOr161,No-UAS,2.2
C27,HsOr170,No-UAS,21.6
C27,HsOr174,No-UAS,6.2
C27,HsOr175,No-UAS,5.2
C27,HsOr177,No-UAS,7.6
C27,HsOr182,No-UAS,21.400000000000002
C27,HsOr183,No-UAS,-3.8
C27,HsOr188,No-UAS,17.0
C27,HsOr190,No-UAS,18.2
C27,HsOr20,No-UAS,7.3999999999999995
C27,HsOr209,No-UAS,-2.4000000000000004
C27,HsOr210,No-UAS,14.4
C27,HsOr212,No-UAS,14.8
C27,HsOr224,No-UAS,-7.6000000000000005
C27,HsOr236,No-UAS,1.2000000000000002
C27,HsOr259-L2,No-UAS,7.6
C27,HsOr271,No-UAS,7.6
C27,HsOr32,No-UAS,-5.0
C27,HsOr35,No-UAS,6.0
C27,HsOr36,No-UAS,10.133333333333335
C27,HsOr37,No-UAS,5.8
C27,HsOr378,No-UAS,5.0
C27,HsOr4,No-UAS,9.8
C27,HsOr55,No-UAS,0.55
C27,HsOr59,No-UAS,-2.2
C27,NoUAS,No-UAS,0.0
C28,HsOr161,No-UAS,5.199999999999999
C28,HsOr170,No-UAS,13.2
C28,HsOr174,No-UAS,15.0
C28,HsOr175,No-UAS,8.4
C28,HsOr177,No-UAS,17.2
C28,HsOr182,No-UAS,13.6
C28,HsOr183,No-UAS,19.0
C28,HsOr188,No-UAS,16.0
C28,HsOr190,No-UAS,29.6
C28,HsOr20,No-UAS,10.6
C28,HsOr209,No-UAS,22.0
C28,HsOr210,No-UAS,26.799999999999997
C28,HsOr212,No-UAS,11.6
C28,HsOr224,No-UAS,3.3999999999999995
C28,HsOr236,No-UAS,3.5999999999999996
C28,HsOr259-L2,No-UAS,7.0
C28,HsOr271,No-UAS,8.6
C28,HsOr32,No-UAS,5.6
C28,HsOr35,No-UAS,9.8
C28,HsOr36,No-UAS,49.4333333333333
C28,HsOr37,No-UAS,23.4
C28,HsOr378,No-UAS,12.8
C28,HsOr4,No-UAS,6.8
C28,HsOr55,No-UAS,0.34999999999999964
C28,HsOr59,No-UAS,1.4333333333333327
C28,NoUAS,No-UAS,0.0
C29,HsOr161,No-UAS,-2.4
C29,HsOr170,No-UAS,10.6
C29,HsOr174,No-UAS,-0.3999999999999999
C29,HsOr175,No-UAS,-8.2
C29,HsOr177,No-UAS,13.799999999999999
C29,HsOr182,No-UAS,12.200000000000001
C29,HsOr183,No-UAS,4.800000000000001
C29,HsOr188,No-UAS,24.799999999999997
C29,HsOr190,No-UAS,17.2
C29,HsOr20,No-UAS,-2.2
C29,HsOr209,No-UAS,3.6
C29,HsOr210,No-UAS,9.0
C29,HsOr212,No-UAS,14.4
C29,HsOr224,No-UAS,-3.4000000000000004
C29,HsOr236,No-UAS,1.9999999999999996
C29,HsOr259-L2,No-UAS,2.4
C29,HsOr271,No-UAS,2.8000000000000003
C29,HsOr32,No-UAS,-2.2
C29,HsOr35,No-UAS,-5.0
C29,HsOr36,No-UAS,9.9
C29,HsOr37,No-UAS,10.8
C29,HsOr378,No-UAS,5.800000000000001
C29,HsOr4,No-UAS,3.6
C29,HsOr55,No-UAS,-5.6
C29,HsOr59,No-UAS,-6.433333333333334
C29,NoUAS,No-UAS,0.0
C30,HsOr161,No-UAS,-3.0
C30,HsOr170,No-UAS,8.4
C30,HsOr174,No-UAS,4.6
C30,HsOr175,No-UAS,-4.4
C30,HsOr177,No-UAS,18.6
C30,HsOr182,No-UAS,11.2
C30,HsOr183,No-UAS,-5.8
C30,HsOr188,No-UAS,21.0
C30,HsOr190,No-UAS,9.6
C30,HsOr20,No-UAS,2.8
C30,HsOr209,No-UAS,0.0
C30,HsOr210,No-UAS,19.0
C30,HsOr212,No-UAS,22.8
C30,HsOr224,No-UAS,-11.8
C30,HsOr236,No-UAS,-2.2
C30,HsOr259-L2,No-UAS,2.6
C30,HsOr271,No-UAS,6.8
C30,HsOr32,No-UAS,-3.8
C30,HsOr35,No-UAS,21.4
C30,HsOr36,No-UAS,8.666666666666666
C30,HsOr37,No-UAS,8.6
C30,HsOr378,No-UAS,7.4
C30,HsOr4,No-UAS,8.8
C30,HsOr55,No-UAS,-5.25
C30,HsOr59,No-UAS,-2.0
C30,NoUAS,No-UAS,0.0
C31,HsOr161,No-UAS,2.4
C31,HsOr170,No-UAS,14.0
C31,HsOr174,No-UAS,11.0
C31,HsOr175,No-UAS,-6.2
C31,HsOr177,No-UAS,12.4
C31,HsOr182,No-UAS,19.8
C31,HsOr183,No-UAS,10.600000000000001
C31,HsOr188,No-UAS,32.6
C31,HsOr190,No-UAS,21.2
C31,HsOr20,No-UAS,14.600000000000001
C31,HsOr209,No-UAS,8.6
C31,HsOr210,No-UAS,39.0
C31,HsOr212,No-UAS,31.0
C31,HsOr224,No-UAS,6.0
C31,HsOr236,No-UAS,8.200000000000001
C31,HsOr259-L2,No-UAS,5.2
C31,HsOr271,No-UAS,21.2
C31,HsOr32,No-UAS,-5.6000000000000005
C31,HsOr35,No-UAS,0.0
C31,HsOr36,No-UAS,12.8
C31,HsOr37,No-UAS,15.0
C31,HsOr378,No-UAS,13.0
C31,HsOr4,No-UAS,21.2
C31,HsOr55,No-UAS,0.050000000000000044
C31,HsOr59,No-UAS,-1.3666666666666665
C31,NoUAS,No-UAS,0.0
C32,HsOr161,No-UAS,-8.2
C32,HsOr170,No-UAS,9.399999999999999
C32,HsOr174,No-UAS,-0.7999999999999998
C32,HsOr175,No-UAS,-2.2
C32,HsOr177,No-UAS,16.2
C32,HsOr182,No-UAS,9.599999999999998
C32,HsOr183,No-UAS,-3.5999999999999996
C32,HsOr188,No-UAS,12.599999999999998
C32,HsOr190,No-UAS,30.599999999999998
C32,HsOr20,No-UAS,8.8
C32,HsOr209,No-UAS,6.8
C32,HsOr210,No-UAS,33.400000000000006
C32,HsOr212,No-UAS,16.4
C32,HsOr224,No-UAS,-31.0
C32,HsOr236,No-UAS,39.6
C32,HsOr259-L2,No-UAS,-2.8
C32,HsOr271,No-UAS,3.6000000000000005
C32,HsOr32,No-UAS,-14.8
C32,HsOr35,No-UAS,16.4
C32,HsOr36,No-UAS,5.866666666666666
C32,HsOr37,No-UAS,8.0
C32,HsOr378,No-UAS,5.3999999999999995
C32,HsOr4,No-UAS,13.2
C32,HsOr55,No-UAS,-11.8
C32,HsOr59,No-UAS,9.2
C32,NoUAS,No-UAS,0.0
C33,HsOr161,No-UAS,-2.8000000000000003
C33,HsOr170,No-UAS,27.2
C33,HsOr174,No-UAS,-11.8
C33,HsOr175,No-UAS,3.6000000000000005
C33,HsOr177,No-UAS,6.2
C33,HsOr182,No-UAS,9.2
C33,HsOr183,No-UAS,-10.2
C33,HsOr188,No-UAS,22.2
C33,HsOr190,No-UAS,6.8
C33,HsOr20,No-UAS,20.6
C33,HsOr209,No-UAS,-4.8
C33,HsOr210,No-UAS,10.600000000000001
C33,HsOr212,No-UAS,12.8
C33,HsOr224,No-UAS,-7.0
C33,HsOr236,No-UAS,8.8
C33,HsOr259-L2,No-UAS,-1.2000000000000002
C33,HsOr271,No-UAS,3.8
C33,HsOr32,No-UAS,-9.8
C33,HsOr35,No-UAS,-12.600000000000001
C33,HsOr36,No-UAS,16.96666666666667
C33,HsOr37,No-UAS,8.2
C33,HsOr378,No-UAS,0.20000000000000018
C33,HsOr4,No-UAS,7.8
C33,HsOr55,No-UAS,-11.95
C33,HsOr59,No-UAS,2.3
C33,NoUAS,No-UAS,0.0
C34,HsOr161,No-UAS,-4.8
C34,HsOr170,No-UAS,15.599999999999998
C34,HsOr174,No-UAS,5.6000000000000005
C34,HsOr175,No-UAS,-7.8
C34,HsOr177,No-UAS,3.8
C34,HsOr182,No-UAS,6.6000000000000005
C34,HsOr183,No-UAS,-2.8
C34,HsOr188,No-UAS,30.0
C34,HsOr190,No-UAS,11.399999999999999
C34,HsOr20,No-UAS,8.399999999999999
C34,HsOr209,No-UAS,5.4
C34,HsOr210,No-UAS,13.399999999999999
C34,HsOr212,No-UAS,0.0
C34,HsOr224,No-UAS,-24.8
C34,HsOr236,No-UAS,16.0
C34,HsOr259-L2,No-UAS,2.2
C34,HsOr271,No-UAS,9.2
C34,HsOr32,No-UAS,-11.0
C34,HsOr35,No-UAS,4.2
C34,HsOr36,No-UAS,17.7
C34,HsOr37,No-UAS,8.799999999999999
C34,HsOr378,No-UAS,0.5999999999999999
C34,HsOr4,No-UAS,2.8
C34,HsOr55,No-UAS,-13.55
