Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
C15,HsOr259-L2,Pentane,-4.8
C15,HsOr271,Pentane,-6.8
C15,HsOr32,Pentane,-2.0
C15,HsOr35,Pentane,-15.6
C15,HsOr36,Pentane,10.166666666666666
C15,HsOr37,Pentane,0.0
C15,HsOr378,Pentane,-1.8
C15,HsOr4,Pentane,-9.6
C15,HsOr55,Pentane,-4.5
C15,HsOr59,Pentane,-5.666666666666667
C15,NoUAS,Pentane,12.6
C16,HsOr161,Pentane,-1.2
C16,HsOr170,Pentane,-9.4
C16,HsOr174,Pentane,1.4
C16,HsOr175,Pentane,-5.4
C16,HsOr177,Pentane,-1.0
C16,HsOr182,Pentane,1.6
C16,HsOr183,Pentane,10.4
C16,HsOr188,Pentane,5.4
C16,HsOr190,Pentane,9.8
C16,HsOr20,Pentane,2.6
C16,HsOr209,Pentane,2.2
C16,HsOr210,Pentane,8.0
C16,HsOr212,Pentane,-7.0
C16,HsOr224,Pentane,-7.8
C16,HsOr236,Pentane,2.0
C16,HsOr259-L2,Pentane,-0.8
C16,HsOr271,Pentane,-1.4
C16,HsOr32,Pentane,-8.6
C16,HsOr35,Pentane,-12.2
C16,HsOr36,Pentane,2.3333333333333335
C16,HsOr37,Pentane,-5.4
C16,HsOr378,Pentane,2.6
C16,HsOr4,Pentane,-1.6
C16,HsOr55,Pentane,-8.5
C16,HsOr59,Pentane,1.6666666666666667
C16,NoUAS,Pentane,-8.6
C17,HsOr161,Pentane,-2.8
C17,HsOr170,Pentane,-0.2
C17,HsOr174,Pentane,3.0
C17,HsOr175,Pentane,-4.8
C17,HsOr177,Pentane,0.6
C17,HsOr182,Pentane,6.4
C17,HsOr183,Pentane,10.0
C17,HsOr188,Pentane,-2.4
C17,HsOr190,Pentane,1.4
C17,HsOr20,Pentane,2.8
C17,HsOr209,Pentane,-0.6
C17,HsOr210,Pentane,1.2
C17,HsOr212,Pentane,-0.6
C17,HsOr224,Pentane,-4.8
C17,HsOr236,Pentane,3.4
C17,HsOr259-L2,Pentane,-1.8
C17,HsOr271,Pentane,-4.0
C17,HsOr32,Pentane,-13.0
C17,HsOr35,Pentane,-19.2
C17,HsOr36,Pentane,3.8333333333333335
C17,HsOr37,Pentane,4.8
C17,HsOr378,Pentane,-0.6
C17,HsOr4,Pentane,-4.0
C17,HsOr55,Pentane,-3.0
C17,HsOr59,Pentane,1.8333333333333333
C17,NoUAS,Pentane,0.4
C18,HsOr161,Pentane,-0.8
C18,HsOr170,Pentane,-4.2
C18,HsOr174,Pentane,3.8
C18,HsOr175,Pentane,-0.6
C18,HsOr177,Pentane,-3.2
C18,HsOr182,Pentane,3.8
C18,HsOr183,Pentane,0.4
C18,HsOr188,Pentane,-2.6
C18,HsOr190,Pentane,8.6
C18,HsOr20,Pentane,8.4
C18,HsOr209,Pentane,3.2
C18,HsOr210,Pentane,1.6
C18,HsOr212,Pentane,7.2
C18,HsOr224,Pentane,8.0
C18,HsOr236,Pentane,2.8
C18,HsOr259-L2,Pentane,-2.8
C18,HsOr271,Pentane,-13.4
C18,HsOr32,Pentane,-6.8
C18,HsOr35,Pentane,-7.4
C18,HsOr36,Pentane,0.3333333333333333
C18,HsOr37,Pentane,-3.0
C18,HsOr378,Pentane,-2.0
C18,HsOr4,Pentane,-5.0
C18,HsOr55,Pentane,-7.0
C18,HsOr59,Pentane,2.5
C18,NoUAS,Pentane,2.8
C19,HsOr161,Pentane,5.4
C19,HsOr170,Pentane,-3.4
C19,HsOr174,Pentane,-2.0
C19,HsOr175,Pentane,-11.8
C19,HsOr177,Pentane,0.0
C19,HsOr182,Pentane,6.8
C19,HsOr183,Pentane,5.8
C19,HsOr188,Pentane,7.8
C19,HsOr190,Pentane,9.6
C19,HsOr20,Pentane,1.0
C19,HsOr209,Pentane,-3.4
C19,HsOr210,Pentane,-1.8
C19,HsOr212,Pentane,-0.6
C19,HsOr224,Pentane,-1.6
C19,HsOr236,Pentane,3.4
C19,HsOr259-L2,Pentane,7.2
C19,HsOr271,Pentane,-3.6
C19,HsOr32,Pentane,-2.4
C19,HsOr35,Pentane,-4.2
C19,HsOr36,Pentane,4.166666666666667
C19,HsOr37,Pentane,-0.8
C19,HsOr378,Pentane,5.4
C19,HsOr4,Pentane,2.8
C19,HsOr55,Pentane,-3.5
C19,HsOr59,Pentane,0.6666666666666666
C19,NoUAS,Pentane,4.0
C20,HsOr161,Pentane,0.0
C20,HsOr170,Pentane,4.4
C20,HsOr174,Pentane,6.0
C20,HsOr175,Pentane,-9.6
C20,HsOr177,Pentane,8.4
C20,HsOr182,Pentane,0.6
C20,HsOr183,Pentane,6.4
C20,HsOr188,Pentane,33.2
C20,HsOr190,Pentane,12.0
C20,HsOr20,Pentane,0.6
C20,HsOr209,Pentane,-4.8
C20,HsOr210,Pentane,3.2
C20,HsOr212,Pentane,3.8
C20,HsOr224,Pentane,-8.8
C20,HsOr236,Pentane,-2.0
C20,HsOr259-L2,Pentane,15.0
C20,HsOr271,Pentane,-1.8
C20,HsOr32,Pentane,0.0
C20,HsOr35,Pentane,-10.0
C20,HsOr36,Pentane,14.166666666666666
C20,HsOr37,Pentane,14.8
C20,HsOr378,Pentane,7.2
C20,HsOr4,Pentane,15.2
C20,HsOr55,Pentane,-8.25
C20,HsOr59,Pentane,-3.1666666666666665
C20,NoUAS,Pentane,2.8
C21,HsOr161,Pentane,1.8
C21,HsOr170,Pentane,7.8
C21,HsOr174,Pentane,0.2
C21,HsOr175,Pentane,-1.2
C21,HsOr177,Pentane,12.0
C21,HsOr182,Pentane,3.6
C21,HsOr183,Pentane,-3.4
C21,HsOr188,Pentane,17.8
C21,HsOr190,Pentane,13.6
C21,HsOr20,Pentane,2.8
C21,HsOr209,Pentane,-1.0
C21,HsOr210,Pentane,2.2
C21,HsOr212,Pentane,-2.0
C21,HsOr224,Pentane,-18.8
C21,HsOr236,Pentane,2.2
C21,HsOr259-L2,Pentane,-6.8
C21,HsOr271,Pentane,12.2
C21,HsOr32,Pentane,-4.8
C21,HsOr35,Pentane,-11.6
C21,HsOr36,Pentane,10.833333333333334
C21,HsOr37,Pentane,-0.6
C21,HsOr378,Pentane,10.6
C21,HsOr4,Pentane,8.0
C21,HsOr55,Pentane,-5.5
C21,HsOr59,Pentane,-3.8333333333333335
C21,NoUAS,Pentane,-0.8
C22,HsOr161,Pentane,4.4
C22,HsOr170,Pentane,3.0
C22,HsOr174,Pentane,1.0
C22,HsOr175,Pentane,4.8
C22,HsOr177,Pentane,14.0
C22,HsOr182,Pentane,0.6
C22,HsOr183,Pentane,1.6
C22,HsOr188,Pentane,27.0
C22,HsOr190,Pentane,12.2
C22,HsOr20,Pentane,-1.2
C22,HsOr209,Pentane,1.6
C22,HsOr210,Pentane,6.8
C22,HsOr212,Pentane,-0.4
C22,HsOr224,Pentane,-11.6
C22,HsOr236,Pentane,3.0
C22,HsOr259-L2,Pentane,-0.2
C22,HsOr271,Pentane,-7.2
C22,HsOr32,Pentane,-2.6
C22,HsOr35,Pentane,-6.4
C22,HsOr36,Pentane,18.0
C22,HsOr37,Pentane,18.8
C22,HsOr378,Pentane,6.4
C22,HsOr4,Pentane,0.8
C22,HsOr55,Pentane,-3.75
C22,HsOr59,Pentane,4.333333333333333
C22,NoUAS,Pentane,5.8
C23,HsOr161,Pentane,2.2
C23,HsOr170,Pentane,6.0
C23,HsOr174,Pentane,9.0
C23,HsOr175,Pentane,-0.2
C23,HsOr177,Pentane,14.8
C23,HsOr182,Pentane,7.8
C23,HsOr183,Pentane,-3.4
C23,HsOr188,Pentane,15.4
C23,HsOr190,Pentane,13.4
C23,HsOr20,Pentane,-8.0
C23,HsOr209,Pentane,-1.6
C23,HsOr210,Pentane,8.6
C23,HsOr212,Pentane,4.0
C23,HsOr224,Pentane,-3.2
C23,HsOr236,Pentane,-2.6
C23,HsOr259-L2,Pentane,3.8
C23,HsOr271,Pentane,-4.6
C23,HsOr32,Pentane,-9.4
C23,HsOr35,Pentane,-8.0
C23,HsOr36,Pentane,6.833333333333333
C23,HsOr37,Pentane,13.2
C23,HsOr378,Pentane,2.6
C23,HsOr4,Pentane,4.4
C23,HsOr55,Pentane,-3.75
C23,HsOr59,Pentane,-4.0
C23,NoUAS,Pentane,-0.2
C24,HsOr161,Pentane,-2.4
C24,HsOr170,Pentane,-3.0
C24,HsOr174,Pentane,6.8
C24,HsOr175,Pentane,1.6
C24,HsOr177,Pentane,9.4
C24,HsOr182,Pentane,12.2
C24,HsOr183,Pentane,5.4
C24,HsOr188,Pentane,-11.4
C24,HsOr190,Pentane,10.4
C24,HsOr20,Pentane,5.6
C24,HsOr209,Pentane,-1.6
C24,HsOr210,Pentane,-1.4
C24,HsOr212,Pentane,27.4
C24,HsOr224,Pentane,-5.2
C24,HsOr236,Pentane,3.6
C24,HsOr259-L2,Pentane,-5.6
