Stimulus,Subject,Normalization,Ave EAG Response
2-M-Pyrazine,HsOr224,Paraffin,181.5
2-M-Pyrazine,HsOr236,Paraffin,148.66666666666666
2-M-Pyrazine,HsOr259-L2,Paraffin,240.0
2-M-Pyrazine,HsOr271,Paraffin,179.66666666666666
2-M-Pyrazine,HsOr32,Paraffin,162.1666667
2-M-Pyrazine,HsOr35,Paraffin,180.5
2-M-Pyrazine,HsOr36,Paraffin,150.5
2-M-Pyrazine,HsOr37,Paraffin,146.66666666666666
2-M-Pyrazine,HsOr378,Paraffin,157.5
2-M-Pyrazine,HsOr4,Paraffin,159.16666666666666
2-M-Pyrazine,HsOr55,Paraffin,224.43
2-M-Pyrazine,HsOr59,Paraffin,189.66666666666666
2-M-Pyrazine,NoUAS,Paraffin,217.5
2-nonanone,HsOr161,Paraffin,157.5
2-nonanone,HsOr170,Paraffin,139.0
2-nonanone,HsOr174,Paraffin,167.33333333333334
2-nonanone,HsOr175,Paraffin,155.16666666666666
2-nonanone,HsOr177,Paraffin,199.2
2-nonanone,HsOr182,Paraffin,172.4
2-nonanone,HsOr183,Paraffin,145.16666666666666
2-nonanone,HsOr188,Paraffin,154.0
2-nonanone,HsOr190,Paraffin,154.66666666666666
2-nonanone,HsOr20,Paraffin,175.625
2-nonanone,HsOr209,Paraffin,169.4
2-nonanone,HsOr210,Paraffin,168.4
2-nonanone,HsOr212,Paraffin,179.4
2-nonanone,HsOr224,Paraffin,174.5
2-nonanone,HsOr236,Paraffin,142.83333333333334
2-nonanone,HsOr259-L2,Paraffin,197.6
2-nonanone,HsOr271,Paraffin,139.0
2-nonanone,HsOr32,Paraffin,166.8333333
2-nonanone,HsOr35,Paraffin,149.0
2-nonanone,HsOr36,Paraffin,199.0
2-nonanone,HsOr37,Paraffin,191.0
2-nonanone,HsOr378,Paraffin,166.16666666666666
2-nonanone,HsOr4,Paraffin,140.33333333333334
2-nonanone,HsOr55,Paraffin,177.43
2-nonanone,HsOr59,Paraffin,196.83333333333334
2-nonanone,NoUAS,Paraffin,190.67
3M1B,HsOr161,Paraffin,187.33333333333334
3M1B,HsOr170,Paraffin,209.83333333333334
3M1B,HsOr174,Paraffin,213.66666666666666
3M1B,HsOr175,Paraffin,180.0
3M1B,HsOr177,Paraffin,123.6
3M1B,HsOr182,Paraffin,162.2
3M1B,HsOr183,Paraffin,168.5
3M1B,HsOr188,Paraffin,227.8
3M1B,HsOr190,Paraffin,158.83333333333334
3M1B,HsOr20,Paraffin,326.5
3M1B,HsOr209,Paraffin,107.8
3M1B,HsOr210,Paraffin,164.2
3M1B,HsOr212,Paraffin,138.4
3M1B,HsOr224,Paraffin,219.33333333333334
3M1B,HsOr236,Paraffin,143.16666666666666
3M1B,HsOr259-L2,Paraffin,212.2
3M1B,HsOr271,Paraffin,182.5
3M1B,HsOr32,Paraffin,182.3333333
3M1B,HsOr35,Paraffin,182.5
3M1B,HsOr36,Paraffin,120.0
3M1B,HsOr37,Paraffin,162.0
3M1B,HsOr378,Paraffin,139.33333333333334
3M1B,HsOr4,Paraffin,156.0
3M1B,HsOr55,Paraffin,330.14
3M1B,HsOr59,Paraffin,162.66666666666666
3M1B,NoUAS,Paraffin,388.17
4M3H,HsOr161,Paraffin,168.16666666666666
4M3H,HsOr170,Paraffin,228.66666666666666
4M3H,HsOr174,Paraffin,215.66666666666666
4M3H,HsOr175,Paraffin,211.16666666666666
4M3H,HsOr177,Paraffin,199.2
4M3H,HsOr182,Paraffin,170.4
4M3H,HsOr183,Paraffin,150.83333333333334
4M3H,HsOr188,Paraffin,243.0
4M3H,HsOr190,Paraffin,201.83333333333334
4M3H,HsOr20,Paraffin,290.25
4M3H,HsOr209,Paraffin,190.8
4M3H,HsOr210,Paraffin,184.2
4M3H,HsOr212,Paraffin,219.0
4M3H,HsOr224,Paraffin,281.6666666666667
