smiles,regression_Or2a,regression_Or7a,regression_Or9a,regression_Or10a,regression_Or19a,regression_Or22a,regression_Or23a,regression_Or33b,regression_Or35a,regression_Or43a,regression_Or43b,regression_Or47a,regression_Or47b,regression_Or49b,regression_Or59b,regression_Or65a,regression_Or67a,regression_Or67c,regression_Or82a,regression_Or85a,regression_Or85b,regression_Or85f,regression_Or88a,regression_Or98a
CCCCCCCC(O)=O,-10,-24,-5,-15,-55,-4,-7,-38,-21,-26,8,4,-58,-9,3,-19,-20,-4,-23,-19,55,0,-25,-17
CCCCCCCCC(O)=O,-10,-27,-9,-12,-48,3,-13,-27,-25,-36,4,-5,-51,-8,5,-24,-15,-1,-23,-13,30,-2,-29,-20
CCCCC/C=C\C\C=C/CCCCCCCC(O)=O,-15,119,0,-10,-59,-1,-4,-36,21,-35,32,21,-67,-9,7,-10,-12,-10,-23,-12,45,0,-35,-17
CC(C)C(O)=O,-10,-9,16,15,-22,30,-12,-34,-16,-26,8,13,-66,-4,28,-16,-12,7,-5,-21,22,7,-30,-2
CC(C)CC(O)=O,-4,-21,20,10,-8,37,-13,-35,-12,-33,7,10,-62,-2,26,-15,35,9,8,-13,7,7,-29,-7
CC(=O)C(O)=O,-5,38,19,9,-30,31,-10,-37,-12,-22,7,15,-67,-7,18,-10,-6,5,-24,-23,10,3,-23,-11
CCCCC(CC)C(O)=O,-5,-16,1,-9,-51,15,-11,-40,-25,-46,43,20,-63,-9,19,-15,-15,2,-22,-15,86,9,-38,-8
CC(O)C(O)=O,-6,-19,3,20,-33,32,-12,-28,-8,-20,4,13,-68,-4,14,-16,-8,15,-21,-25,2,3,-29,1
CSCCCO,0,12,93,-9,-38,34,-11,-32,171,-17,35,199,-73,-9,29,-20,40,40,14,11,33,35,-24,16
CSC,-8,-25,16,-30,-56,9,-13,-31,-19,-40,9,-3,-55,-18,62,-24,-10,-4,-14,-22,19,14,-32,-23
CC(C)=C1CCC(=CC1)C,-14,-11,-4,-21,22,15,-12,-15,-10,-27,10,7,-53,-6,10,-22,23,9,-21,-20,23,-2,-20,69
CC1=CCC2CC1C2(C)C,-10,3,-4,-16,-8,29,-12,-12,11,-15,2,17,-55,-12,-2,-17,-4,8,-19,-15,35,11,-24,18
CC1(C)C2CCC(=C)C1C2,-5,-28,-9,-26,11,6,-13,-15,-14,-11,7,-5,-45,-7,-6,-24,-17,0,-18,-11,21,-6,-24,-15
CC1=CCC2[C@H](C1)C2(C)C,-9,-13,-2,-26,94,7,-14,-20,-21,-12,5,4,-49,-14,-6,-21,-9,5,-21,-6,3,-3,-22,-19
CC(=C)C1CCC(=CC1)C,-5,-13,0,-19,63,30,-13,-17,34,-27,4,24,-52,-3,-7,-21,-9,5,-14,-11,34,-6,-24,18
C\C1=C/CC(C)(C)\C=C\CC(=C/CC1)/C,-9,-7,-5,-23,-36,5,-12,-26,-14,-32,3,5,-47,-2,-3,-20,-10,4,-24,-18,6,-11,-20,-14
CC(C)=CCCC(=C)C=C,-6,-8,-4,-23,-8,15,-13,-21,-17,-26,5,-3,-48,-11,-7,-19,26,6,-23,-11,8,-5,-19,8
C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1,-6,-13,0,-20,-8,4,-14,-11,-3,-46,6,4,-53,-15,10,-19,-17,2,-17,-13,21,-2,-26,-16
CC(C)c1ccc(C)cc1,-10,-18,-5,-22,-9,14,-15,-22,-8,-29,0,11,-49,-5,-3,-26,-13,2,-28,-15,4,-3,-21,-21
CC(=O)OC\C=C(/C)CCC=C(C)C,-6,-16,-8,-22,-20,-3,-5,-25,-20,-31,8,-3,-48,-12,35,-25,-4,-9,225,-15,-15,-9,-25,69
CC1=CCC(CC1)C(C)(C)O,-6,-12,4,-24,56,59,-13,-15,1,-20,4,11,-55,-11,-10,-14,8,12,-13,-26,38,-9,-19,-1
CC(C)=CCC\C(C)=C\CO,-9,-16,-4,-20,-27,24,-15,-10,-8,-37,4,0,-54,-10,-1,-20,38,17,13,-18,28,-6,-19,77
CC(C)=CCC\C(C)=C/CO,0,-7,-1,-26,-7,33,-12,-12,-7,-28,7,-1,-54,-1,-10,-13,3,7,-15,-16,29,-2,-19,53
CC(C)=CCCC(C)(O)C=C,9,14,3,-28,96,48,-6,4,9,-27,-1,19,-61,-16,-10,-16,73,1,-4,-30,38,-3,-28,128
CC(CCO)CCC=C(C)C,-5,4,3,-24,-11,21,-15,-17,-6,-34,5,-2,-53,-13,-4,-19,-5,13,-11,-6,28,-12,-19,38
CC(C)(O)C1CCC(C)(O1)C=C,22,-31,76,-13,62,21,-1,-8,-22,-3,12,24,-56,-20,16,-15,24,16,11,-5,20,37,-22,24
CC=O,13,148,92,11,-10,67,2,-14,-13,-17,6,54,-85,-9,60,-5,1,41,-6,21,24,17,-21,6
CCC=O,10,-33,3,-15,-81,32,-14,-22,-23,-52,13,11,-87,-16,10,-25,-6,9,-31,1,39,1,-35,-1
CCCC=O,35,37,3,-16,-67,49,-15,-25,48,-32,49,19,-73,-15,7,-22,51,15,-9,-9,40,11,-29,14
CCCCC=O,14,154,21,-8,-49,65,-14,-22,65,-34,10,27,-69,-16,9,-17,34,14,-6,-16,41,19,-28,15
CCCCCC=O,11,160,31,14,-58,135,4,-35,168,-25,42,45,-68,-12,15,-5,18,9,-8,6,211,36,-35,17
O=Cc1occc1,3,159,90,20,-51,25,9,3,159,-38,32,5,-66,-12,48,-19,171,30,23,-16,48,52,-38,21
C=CC=O,6,14,0,-21,-41,28,-15,-19,-26,-28,9,7,-63,-11,17,-16,10,-1,-21,5,23,-5,-22,10
CC(C)=O,-7,-27,26,-14,-54,34,-16,-35,-9,-37,9,2,-53,-11,128,-25,16,-11,-20,-19,15,11,-35,-13
CCC(C)=O,0,-8,91,-7,-45,80,-6,-18,-4,-29,23,15,-62,-5,142,-20,56,15,1,-13,26,34,-40,-8
CCCC(C)=O,22,-15,127,5,-30,144,4,-15,95,-9,73,73,-78,-5,58,-6,59,54,16,-22,102,45,-45,-1
CCCCCC(C)=O,31,-19,103,3,102,107,16,-25,102,21,69,208,-57,13,23,17,159,30,16,19,177,33,-7,177
CC(C)=CCCC(C)=O,38,-41,55,-6,40,81,19,-36,-29,-14,44,39,-41,-13,-2,31,223,10,45,-21,244,27,-41,220
CC(=O)C(C)=O,-5,-4,57,8,6,44,6,-14,-4,-10,67,24,-40,-2,95,-10,73,36,4,26,58,7,-15,22
OCCc1ccccc1,-6,-14,14,-30,-15,42,-11,4,103,7,4,8,-67,37,0,-24,225,61,9,-11,7,1,-22,-20
OCc1ccccc1,-12,-12,27,-19,-38,36,-14,9,27,31,-2,7,-68,103,12,-21,105,20,7,-18,6,18,-25,-11
COC(=O)c1ccccc1O,-3,-23,10,244,-28,-6,-10,-32,-15,-1,10,-7,-41,40,-6,-31,24,-8,-21,-12,-21,-2,-33,-4
COC(=O)c1ccccc1,-7,-44,40,251,-41,39,-15,-37,-31,-24,30,37,-51,11,-4,-20,197,4,15,-10,16,39,-35,214
CCOC(=O)c1ccccc1,-7,-37,26,254,-35,45,-15,-28,-33,-47,4,26,-58,-14,-7,-24,187,-10,-20,-28,1,14,-31,261
CC(=O)OCCc1ccccc1,3,-30,15,-26,-22,36,-13,-25,-30,-33,0,23,-62,-1,32,-1,174,-5,3,-22,15,0,-30,12
O=Cc1ccccc1,-3,183,54,109,-44,28,-14,-30,66,15,10,21,-65,93,4,-28,189,0,-26,-7,24,42,-29,18
O=CCc1ccccc1,2,26,11,50,-59,40,-8,-18,-34,-27,6,26,-64,71,5,-15,142,11,-7,-4,26,13,-26,15
CC(=O)c1ccccc1,-11,-7,59,240,-24,28,-15,-41,-7,16,8,37,-53,71,3,-6,173,29,-32,-39,9,77,-38,17
CCOC(=O)C=Cc1ccccc1,-12,-23,-5,-21,-50,8,-10,-22,-27,-40,0,-2,-48,-5,-4,-16,64,-7,-17,-21,22,-18,-22,-5
Cc1ccccc1O,-19,-44,33,-31,-45,5,-17,-41,-29,56,33,-12,-74,242,-9,-36,46,-4,-30,-28,14,24,-40,-33
CCc1ccc(OC)c(O)c1,-9,-27,11,-12,-39,3,-18,-28,-20,-26,1,-3,-52,-10,4,-26,-7,25,-23,-20,26,7,-27,-11
COc1cc(CC=C)ccc1O,-4,-27,7,50,-45,3,-8,-31,-24,-35,8,-1,-51,-14,19,-25,-4,-9,-17,-18,21,5,-29,38
CO,2,5,22,-9,-45,51,-12,10,21,-23,12,12,-68,1,16,-15,-8,14,-13,0,4,-1,-34,-7
CCO,-4,16,18,-2,-41,51,-3,11,17,-28,11,8,-69,-7,11,-16,-7,20,0,3,14,-5,-38,-9
CCCO,25,163,49,-18,-19,54,-4,2,38,-34,31,15,-65,-7,10,-23,5,42,1,-14,34,15,-32,-21
CCCCO,37,178,100,-19,20,116,32,14,182,-22,71,23,-72,18,42,-20,54,66,22,-12,31,21,-26,-19
CCCCCO,27,149,157,-3,55,175,64,17,171,56,107,61,-78,36,53,-17,137,120,39,33,156,49,-18,63
CCCCCCO,32,79,99,-4,117,59,42,-24,220,112,71,57,-82,23,33,-11,162,103,42,123,170,57,-10,146
CCCCCCCCO,-7,-35,17,-32,63,49,-8,-22,205,-34,26,6,-79,-14,-9,-22,33,5,19,-10,43,3,-46,12
CCCC(C)O,30,61,224,3,45,109,32,20,145,75,166,76,-80,24,37,-10,22,92,44,31,131,51,-21,69
CC(C)CCO,22,140,94,-20,49,100,24,8,205,33,47,23,-80,12,23,-19,56,75,42,-29,11,34,-22,2
CC(C)=CCO,28,179,56,-19,29,97,16,16,159,9,51,18,-72,27,24,-14,204,89,26,-3,12,30,-19,182
CCC(O)C=C,26,107,206,-21,35,54,20,19,20,37,101,38,-82,24,37,-19,-3,103,29,6,8,33,-32,-18
CCCCCC(O)C=C,19,-8,51,-20,120,117,10,-42,124,79,42,89,-77,7,13,-2,153,18,18,26,167,24,-42,185
CCCC/C=C/O,27,163,107,-22,50,83,32,-4,206,11,87,30,-80,33,18,-14,98,136,0,54,241,56,-34,202
OCC(O)CO,-6,-19,5,-22,-50,0,-16,-10,-21,-39,3,1,-48,-8,-6,-21,-13,-7,-20,-13,-14,-5,-18,-14
CC(O)C(C)O,-2,-32,244,-19,-48,46,-13,11,-13,-32,108,1,-58,-13,8,-24,2,29,8,-1,3,2,-26,-4
COC(C)=O,-3,-23,21,-5,-42,50,-7,-10,-23,-33,20,24,-68,-13,267,-21,-4,1,-1,-24,16,5,-12,-8
