CID,Dorsal Response
4,None
190,None
239,None
240,*
261,***
264,*
326,None
454,**
460,*
527,***
586,None
700,None
750,None
978,None
994,None
1032,None
1183,None
1254,None
1344,*
1738,None
2537,None
2758,None
3314,None
4133,None
4657,None
4837,None
5144,None
5603,None
5610,None
5879,None
5970,None
6115,None
6184,***
6209,None
6306,None
6341,None
6363,***
6569,***
6584,***
6616,*
6657,None
6669,None
7047,None
7144,None
7150,None
7284,***
7408,None
7410,*
7417,None
7460,**
7463,None
7468,None
7500,*
7504,None
7508,*
7650,None
7658,None
7674,**
7705,None
7731,***
7758,**
7762,***
7770,**
7795,None
7824,***
7894,**
7895,***
7947,***
7965,*
7983,*
7984,None
7991,*
8007,**
8051,***
8060,*
8063,***
8093,*
8094,*
8102,***
8127,None
8130,***
8148,None
8164,*
8314,**
8365,None
8369,None
8438,None
8467,None
8471,*
8657,None
8785,None
8857,*
8892,None
8908,None
9532,None
10106,***
10315,None
10430,None
10885,***
10890,***
10976,None
11124,***
11487,None
11503,None
11552,***
11583,***
11723,None
11902,None
12180,***
12206,***
12246,***
12348,***
12355,***
12377,None
12756,None
13187,*
15422,None
16259,None
16324,***
17355,None
17525,None
19707,None
20739,None
24915,None
25125,None
27457,None
27458,None
27866,None
27867,None
31244,None
31247,***
31268,None
31272,***
31276,***
31289,None
42745,None
61030,None
61167,None
61184,***
62240,*
62321,None
62334,None
62433,None
62592,None
62725,**
64805,None
64832,None
65046,None
65340,None
67652,None
74866,None
74896,None
75427,None
75605,None
77743,None
78867,None
80865,*
85755,None
90776,None
90978,None
95392,None
102484,None
103826,None
108242,None
108630,None
122307,None
137858,None
166527,None
235414,None
440917,None
441302,None
443157,None
520098,None
570574,None
638011,None
638088,None
853433,None
1201521,**
1549018,*
3021997,None
5281163,***
5321950,***
5352162,None
5352438,None
5352461,None
5355254,None
5355293,None
5355856,None
5365976,None
5367745,***
5488196,None
6364545,None
6999788,None
10313079,None
11830289,None
15461361,None
24758199,None
