smiles,binary_classification_response
CC[C@@H](C(=O)O)c1ccccc1,0
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,0
CC[C@H](C(=O)O)c1ccccc1,0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0
C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,0
CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2,0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,1
C=C(C)[C@@H]1CC=C(C)C(=O)C1,0
C=C(C)[C@H]1CC=C(C)CC1,0
CC(C)=CCC[C@H](C)CCO,0
C=C(C)[C@H]1CC=C(C)C(=O)C1,0
CCCCCCCCCCO,1
CCCCCCCO,1
CCCCCCO,0
CCCCCCCCCO,1
CCCCCCCCO,1
O=C1Cc2ccccc2O1,0
CCC1(O)C2(C)CCC(C2)C1(C)C,0
CCCCCC(C)=O,0
CCCCC(C)=O,0
CCCCCCCC(C)=O,0
CCCCCCC(C)=O,0
CCCC(C)=O,0
CCCC(=O)C(C)=O,0
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
CCCCC(=O)CC,0
CCCCC(S)C(C)CO,0
CCCCCC(S)C(C)CO,0
CCC(S)C(C)CO,0
CC(CO)CS,0
CCCCCC(=O)C(C)C(C)=O,0
CCCCCC(=O)CC,0
CCC(=O)C(=O)CC,0
O=C1CCOc2ccccc21,0
O=c1cc(O)c2ccccc2o1,0
CC(=O)c1ccccc1,0
C=CCc1ccccc1,0
C=CCOC(=O)CCCCCC,0
CCCCCOC(=O)CCCCC,0
C[C@@]12C=CC[C@H]1[C@@H]1CC[C@H]3CC(=O)CC[C@]3(C)[C@H]1CC2,0
c1ccccc1,0
O=C(c1ccccc1)c1ccccc1,0
CC(=O)OCc1ccccc1,0
CC=CC(=O)C1=C(C)CCCC1(C)C,0
CCCC(=O)O,0
CCCCOC(=O)C(C)OC(=O)CCC,0
CCCCOC=O,0
CC(C)=CCC/C(C)=C/C=O,1
c1coc(CSSCc2ccco2)c1,0
O=c1ccc2ccccc2o1,1
CCCCCCCCCC=O,0
CCCCCCCCCC(=O)O,0
CCCCCC1=C(C)CCC1=O,0
CSSC,0
CCOC(=O)C(C)C,0
CCOc1cc(C=O)ccc1O,1
C=CCc1ccc(O)c(OC)c1,0
C=CCc1ccc(OC(C)=O)c(OC)c1,1
C=CCc1ccc(OC)c(OC)c1,1
CSSCc1ccco1,0
CCC1CCC(=O)O1,0
CC(C)=CCC/C(C)=C/CO,0
CC(=O)OC/C=C(\C)CCC=C(C)C,1
CC(C=O)Cc1ccc2c(c1)OCO2,1
CCCCCCC=O,0
CCCCCCC(=O)O,0
CCCCCC=O,0
CCCCCC(=O)O,0
CCCCCCOC(C)=O,0
CC(C)CN,0
C=CC(C)(O)CCC=C(C)C,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0
COC(=O)c1ccccc1O,0
CCCCCCCCC=O,0
CCCCCCCCCS,0
CCCCCCCCC(=O)O,0
CCCCCCCC=O,0
CCCCCCCCS,0
CCCCCCCC(=O)O,0
CCCCCCCCOC(=O)CCCCCCC,0
CCCCC(=O)O,0
CCCCCO,0
CC(=O)Oc1ccccc1,0
CC(=O)OCC=C(C)C,0
CCC=O,0
CCC(=O)O,0
c1cnccn1,0
c1ccc2ncccc2c1,1
CC(=O)OC(C)(C)C1CC=C(C)CC1,0
