smiles,binary_classification_response
CCCCCCCCCC(=O)O,0
CCCCCCCC1CCCC(=O)O1,0
CCCC1CCCC(=O)O1,0
CCCCCC1CCCC(=O)O1,0
O=C1CCCCCCCCCCCCCCCC1,0
CCCCCC1=C(C)CCC1=O,1
CSSC,0
CSC,0
CCCCCCC/C=C/C=C/C=O,0
CCCC/C=C/C=C/C=O,0
CC/C=C\CC/C=C\C=O,0
CC/C=C\CC/C=C/C=O,0
C=CCc1ccc(OC)cc1,1
CC=O,0
CCO,0
CCC[C@@H](O)CC(=O)OCC,0
CCOC(=O)/C=C/c1ccccc1,0
CCOC(=O)C(C)CC,0
CCOC(=O)Cc1ccccc1,1
CCOC(=O)CC(C)C,0
CCOC(=O)CCSC,0
CCOC(=O)CCC(C)C,0
CCOC(C)=O,0
CCOC(=O)c1ccccc1,0
CCCC(=O)OCC,0
CCOC(=O)C1CCCCC1,1
CCCCCCCCCC(=O)OCC,0
CCCCCC(=O)OCC,1
CCOC(=O)C(C)C,0
CCCCCCCC(=O)OCC,0
CCCCC(=O)OCC,0
CCOc1cc(C=O)ccc1O,0
O=C1CCCCCCCCCCCC(=O)OCCO1,0
C=CCc1ccc(OC(C)=O)c(OC)c1,0
C=CCc1ccc(OC)c(OC)c1,0
C=C/C(C)=C/C/C=C(\C)CCC=C(C)C,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,0
CC12CCC(C1)C(C)(C)C2=O,0
SCc1ccco1,0
CC1=C(O)C(=O)C(C)O1,0
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0
CCC1CCC(=O)O1,0
CCCCCCC1CCC(=O)O1,0
CCCCCCCCC1CCC(=O)O1,0
CCCCC1CCC(=O)O1,0
CCCCCCCC1CCC(=O)O1,0
O=C1CCCCCC/C=C\CCCCCCC1,0
COc1ccccc1O,0
O=C1/C=C/CCCCCCCCCCCCO1,0
CC(C=O)Cc1ccc2c(c1)OCO2,1
CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1,0
CCCCCCC(=O)O,0
CCCCCC=O,0
CCCCCC(=O)O,0
CCCCCCOC(C)=O,0
CC(CC=O)CCCC(C)(C)O,1
CC(=O)OCCC(C)C,0
CC(C)CN,0
C/C=C/c1ccc(O)c(OC)c1,0
O=C1CCCCCCCCCCCCCCC1,0
CC(C)CC(=O)O,0
C=CC(C)(O)CCC=C(C)C,0
CC(C)(O)CCCC1=CCC(C=O)CC1,0
Cc1occc(=O)c1O,0
CC1CCC(C(C)C)C(=O)C1,0
CSCCC=O,0
CSCCCO,0
COC(=O)/C=C/c1ccccc1,0
CCC(C)C(=O)OC,0
COC(=O)C(C)C,0
COC(=O)c1ccccc1,0
CCCC(=O)OC,0
COC(=O)c1ccccc1O,0
CC1CCCCCCCCCCCCC(=O)C1,0
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,0
Cc1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,1
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],1
C=CC(=C)CCC=C(C)C,0
CC(C)=CCC/C(C)=C\CO,1
C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,1
CC(=O)OCC=C(C)CCC=C(C)C,0
CCCCCCCCCS,1
CCCCCCCCC(=O)O,0
CCCCCCCC(=O)O,0
CCCCCCCCOC(=O)CCCCCCC,0
O=C1CCCCCCCCCCCCCCO1,0
O=C1CCCCCCCCCCCO1,0
COc1ccc(C=O)cc1,0
Cc1ccc(O)cc1,0
C=C(C)c1ccc(C)cc1,0
C=CC(=O)CC,0
CCCCC(=O)O,0
CCCCCO,0
CC(=O)Oc1ccccc1,0
CC(=O)OCC=C(C)C,0
CCC=O,0
CCC(=O)O,0
CCCSSCCC,0
c1cnccn1,0
C1CCNC1,0
c1ccc2ncccc2c1,1
CC(=O)CCc1ccc(O)cc1,0
CC(C)=CC1CC(C)CCO1,0
CC1=C(O)C(=O)OC1C,0
C1CCCCCCCSCCCCCC1,0
SCc1cccs1,0
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0
C/C=C/c1ccc(OC)cc1,1
CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,0
CN(C)C,0
COc1cc(C=O)ccc1O,0
