Stimulus,CID
4,4
11,11
176,176
177,177
180,180
222,222
241,241
261,261
263,263
264,264
284,284
313,313
335,335
342,342
356,356
379,379
402,402
454,454
527,527
674,674
702,702
712,712
798,798
878,878
887,887
957,957
996,996
1031,1031
1032,1032
1049,1049
1068,1068
1119,1119
1127,1127
1140,1140
1254,1254
2758,2758
2879,2879
3301,3301
3776,3776
4763,4763
5943,5943
6054,6054
6184,6184
6212,6212
6276,6276
6325,6325
6329,6329
6341,6341
6342,6342
6343,6343
6348,6348
6354,6354
6363,6363
6364,6364
6378,6378
6385,6385
6386,6386
6387,6387
6389,6389
6403,6403
6405,6405
6416,6416
6492,6492
6544,6544
6549,6549
6556,6556
6557,6557
6558,6558
6560,6560
6561,6561
6562,6562
6564,6564
6567,6567
6568,6568
6569,6569
6575,6575
6584,6584
6589,6589
6590,6590
6654,6654
6658,6658
6736,6736
7237,7237
7247,7247
7276,7276
7282,7282
7294,7294
7296,7296
7351,7351
7353,7353
7358,7358
7406,7406
7407,7407
7410,7410
7461,7461
7462,7462
7463,7463
7500,7500
7501,7501
7525,7525
7635,7635
7668,7668
7705,7705
7720,7720
7728,7728
7734,7734
7745,7745
7749,7749
7758,7758
7770,7770
7803,7803
7809,7809
7819,7819
7834,7834
7844,7844
7845,7845
7847,7847
7848,7848
7852,7852
7855,7855
7892,7892
7895,7895
7904,7904
7907,7907
7909,7909
7912,7912
7914,7914
7915,7915
7929,7929
7947,7947
7957,7957
7962,7962
7964,7964
7967,7967
7975,7975
7981,7981
7983,7983
7991,7991
7997,7997
8003,8003
8004,8004
8007,8007
8012,8012
8021,8021
8025,8025
8029,8029
8034,8034
8038,8038
8051,8051
8054,8054
8058,8058
8063,8063
8067,8067
8073,8073
8076,8076
8077,8077
8078,8078
8083,8083
8095,8095
8103,8103
8106,8106
8121,8121
8125,8125
8129,8129
8130,8130
8133,8133
8141,8141
8148,8148
8159,8159
8160,8160
8164,8164
8167,8167
8174,8174
8175,8175
8182,8182
8205,8205
8252,8252
8255,8255
8471,8471
8657,8657
8723,8723
8821,8821
8846,8846
8857,8857
8858,8858
8864,8864
8892,8892
8900,8900
8902,8902
8908,8908
8909,8909
8914,8914
9609,9609
10263,10263
10430,10430
10558,10558
10560,10560
10864,10864
10885,10885
10895,10895
10907,10907
10908,10908
10925,10925
10957,10957
11039,11039
11124,11124
11251,11251
11260,11260
11262,11262
11507,11507
11512,11512
11513,11513
11519,11519
11529,11529
11542,11542
11552,11552
11582,11582
11583,11583
11594,11594
11597,11597
11610,11610
11614,11614
11617,11617
11903,11903
12044,12044
12048,12048
12100,12100
12160,12160
12180,12180
12206,12206
12232,12232
12257,12257
12348,12348
12370,12370
12508,12508
12571,12571
12586,12586
13187,13187
14109,14109
14115,14115
14257,14257
14896,14896
15600,15600
16607,16607
19041,19041
22311,22311
22386,22386
24874,24874
26049,26049
27756,27756
31256,31256
31260,31260
31261,31261
31272,31272
31275,31275
31289,31289
31373,31373
32898,32898
61184,61184
67328,67328
95102,95102
439250,439250
440917,440917
447466,447466
521158,521158
637566,637566
12379457,12379457
21951529,21951529
