CID,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates
6564,0.602,0.369,0.63,0.0,0.17,2.836,0.7761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
6567,1.853,0.446,0.7,0.2,1.19,2.915,0.7309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
6568,-0.13380666666666663,0.217,0.36000000000000004,0.33,0.56,2.338,0.7309,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.6666666666666666,2
6569,0.027774999999999994,0.166,0.7,0.0,0.51,2.287,0.6879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
6575,-0.59106,0.524,0.37,0.08,0.03,2.997,2.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6584,-0.23045,0.142,0.64,0.0,0.45,1.911,0.6057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
6589,0.37675,0.0,0.0,0.0,0.0,2.495,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
6590,2.82391,0.2,0.6,0.61,0.45,2.693,0.7466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
6654,0.233865,0.446,0.14,0.0,0.12,4.308,1.2574,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1
6658,0.67778,0.245,0.51,0.0,0.44,2.88,0.8445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
6736,5.25181,1.2,1.06,0.44,0.22,6.114,1.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7237,0.75861,0.638,0.54,0.0,0.16,3.8890000000000002,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
7247,0.92082,0.677,0.56,0.0,0.19,4.441,1.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7276,1.2,0.792,0.9,0.0,0.46,4.27,0.9483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7282,-0.94939,0.0,0.0,0.0,0.0,2.581,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7294,2.45593,0.254,0.66,0.0,0.42,2.36,0.7036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7296,-0.23045,0.225,0.1,0.0,0.0,2.907,0.8454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7351,1.12494,0.0,0.5,0.0,0.47,3.885,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7353,1.65758,0.01,0.53,0.0,0.47,4.068,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7358,1.155,0.231,0.39,0.37,0.48,3.523,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7406,1.3799066666666668,0.602,0.49,0.0,0.16,4.084,1.1391,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,1.0,2
7407,1.284,0.85,0.64,0.0,0.21,4.656,1.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7410,0.523,0.818,1.01,0.0,0.48,4.501,1.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7461,-0.992,0.497,0.32,0.0,0.2,4.815,1.323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
7462,-0.152,0.526,0.25,0.0,0.15,4.715,1.323,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
7463,-0.121,0.607,0.49,0.0,0.19,4.59,1.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
7500,0.5765166666666667,0.613,0.51,0.0,0.15,3.778,0.9982000000000001,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.3333333333333333,2
7501,1.3784649999999998,0.849,0.65,0.0,0.16,3.856,0.9552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1
7525,1.096,0.42,0.38,0.0,0.82,3.76,1.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7635,1.0,0.03,0.57,0.0,0.47,5.025,1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7668,0.97511,0.604,0.5,0.0,0.15,4.23,1.1391,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1
7705,1.3501933333333334,0.6,0.51,0.0,0.15,4.73,1.28,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,1.0,2
7720,1.125,0.209,0.39,0.37,0.48,4.433,1.2945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7728,2.222,0.639,0.71,0.0,0.57,4.467,1.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7734,3.40894,0.645,0.5,0.0,0.18,4.732,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7745,1.62,0.211,0.39,0.31,0.56,3.471,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7749,2.1549,0.087,0.58,0.0,0.45,2.807,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7758,1.0248950000000001,0.044,0.57,0.0,0.47,3.054,1.0284,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1
