sub ID,recording,cell,odor series,region
170613_bulb_bank1_18_3_B,170613_bulb_bank1,18,3,B
170613_bulb_bank1_19_3_B,170613_bulb_bank1,19,3,B
170613_bulb_bank1_20_3_B,170613_bulb_bank1,20,3,B
170613_bulb_bank1_0_4_B,170613_bulb_bank1,0,4,B
170613_bulb_bank1_1_4_B,170613_bulb_bank1,1,4,B
170613_bulb_bank1_2_4_B,170613_bulb_bank1,2,4,B
170613_bulb_bank1_3_4_B,170613_bulb_bank1,3,4,B
170613_bulb_bank1_4_4_B,170613_bulb_bank1,4,4,B
170613_bulb_bank1_5_4_B,170613_bulb_bank1,5,4,B
170613_bulb_bank1_6_4_B,170613_bulb_bank1,6,4,B
170613_bulb_bank1_7_4_B,170613_bulb_bank1,7,4,B
170613_bulb_bank1_8_4_B,170613_bulb_bank1,8,4,B
170613_bulb_bank1_9_4_B,170613_bulb_bank1,9,4,B
170613_bulb_bank1_10_4_B,170613_bulb_bank1,10,4,B
170613_bulb_bank1_11_4_B,170613_bulb_bank1,11,4,B
170613_bulb_bank1_12_4_B,170613_bulb_bank1,12,4,B
170613_bulb_bank1_13_4_B,170613_bulb_bank1,13,4,B
170613_bulb_bank1_14_4_B,170613_bulb_bank1,14,4,B
170613_bulb_bank1_15_4_B,170613_bulb_bank1,15,4,B
170613_bulb_bank1_16_4_B,170613_bulb_bank1,16,4,B
170613_bulb_bank1_17_4_B,170613_bulb_bank1,17,4,B
170613_bulb_bank1_18_4_B,170613_bulb_bank1,18,4,B
170613_bulb_bank1_19_4_B,170613_bulb_bank1,19,4,B
170613_bulb_bank1_20_4_B,170613_bulb_bank1,20,4,B
170613_bulb_bank1_0_5_B,170613_bulb_bank1,0,5,B
170613_bulb_bank1_1_5_B,170613_bulb_bank1,1,5,B
170613_bulb_bank1_2_5_B,170613_bulb_bank1,2,5,B
170613_bulb_bank1_3_5_B,170613_bulb_bank1,3,5,B
170613_bulb_bank1_4_5_B,170613_bulb_bank1,4,5,B
170613_bulb_bank1_5_5_B,170613_bulb_bank1,5,5,B
170613_bulb_bank1_6_5_B,170613_bulb_bank1,6,5,B
170613_bulb_bank1_7_5_B,170613_bulb_bank1,7,5,B
170613_bulb_bank1_8_5_B,170613_bulb_bank1,8,5,B
170613_bulb_bank1_9_5_B,170613_bulb_bank1,9,5,B
170613_bulb_bank1_10_5_B,170613_bulb_bank1,10,5,B
170613_bulb_bank1_11_5_B,170613_bulb_bank1,11,5,B
170613_bulb_bank1_12_5_B,170613_bulb_bank1,12,5,B
170613_bulb_bank1_13_5_B,170613_bulb_bank1,13,5,B
170613_bulb_bank1_14_5_B,170613_bulb_bank1,14,5,B
170613_bulb_bank1_15_5_B,170613_bulb_bank1,15,5,B
170613_bulb_bank1_16_5_B,170613_bulb_bank1,16,5,B
170613_bulb_bank1_17_5_B,170613_bulb_bank1,17,5,B
170613_bulb_bank1_18_5_B,170613_bulb_bank1,18,5,B
170613_bulb_bank1_19_5_B,170613_bulb_bank1,19,5,B
170613_bulb_bank1_20_5_B,170613_bulb_bank1,20,5,B
170613_bulb_bank1_0_6_B,170613_bulb_bank1,0,6,B
