Stimulus,Odor Percepts,Odor Modifiers,Flavor Percepts,Flavor Modifiers
4,ammonia,slight,fishy,
40,,,sweet,
47,,,fruity,
49,,,fruity,
51,,,odorless,
58,,,creamy;brown;savory;sweet;lactonic;caramel,
70,,,fruity,
72,,,balsamic;can;phenolic;sweet;low;used,mild
73,,,sweet,
107,,,rose;balsamic;musk;cinnamon;fatty;sweet,
119,,,savory;meaty,
125,,,nutty;coconut;fruity;almond;sweet;bitter,
126,,,woody;nutty;almond;sweet;roasted;balsam,
135,,,nutty;phenolic,
176,vinegar;pungent;sour,,vinegar;pungent;fruity;acid;sour,sharp
177,fruity;pleasant;pungent,suffocating,floral;pungent;green;ethereal;ether;whiskey;fruity;apple;aldehydic,
178,odorless;mousy,,mousy,
179,yogurt;woody;bland;buttery,,creamy;green;fatty;sweet;buttery;dairy;pepper;milky,
180,characteristic;fruity,,pungent;ethereal;solvent;apple;pear,
188,,,sweet,
191,,,sweet,
196,odorless,,odorless,
197,,,sweet,
206,,,sweet,
222,pungent;repellent;characteristic;irritating;dry;urine;cloying,suffocating;sharp,ammonia,
224,,,sweet,
228,,,sweet,
229,,,sweet,
238,,,sweet,
239,,,sweet;odorless,
240,volatile;characteristic;oil;almond;bitter,,sugar;almond;malt;sweet;roasted;burnt;cherry;pepper;bitter,strong;sharp
243,pleasant;benzaldehyde;odorless,slight;faint,urine;balsam;pungent;sour,faint
244,aromatic,faint,bread;rose;walnut;balsamic;floral;flowery;phenolic;moss;grapefruit;sweet;roasted;boiled;berry;cherry,
247,,,savory;bland;umami,
261,characteristic;aldehydic;pungent,,creamy;meaty;cocoa;chocolate;malt;spicy;floral;citrus;banana;woody;musty;earthy;fatty;wine;apple;vegetable;bread;pungent;green;nutty;herbal;fruity;pear,
262,odorless,,creamy;onion;fruity;buttery,
263,amyl;rancid;characteristic;sweet;banana;alcohol;fusel,strong;harsh,vanilla;oil;fruity;sweet;balsam;medicinal;fusel,
264,rancid;unpleasant;obnoxious,penetrating,cheese;rancid;fruity;sweaty;buttery;acetic;sour,sharp
274,,,sweet,
280,odorless;pungent,,odorless,
284,pungent,penetrating,savory;vinegar;pungent;formyl,
294,odorless,,sweet,
309,,,nutty;musty,mild
311,odorless,,odorless,
313,pungent;irritating,,,
323,vanilla;bittersweet;pleasant;beany;hay;fragrant,,hay;mown;tonka;green;sweet;new;bitter,
325,,,woody;cumin;leather;herbal;spicy;caraway,strong
326,,,cumin;green;herbal;oil;spicy;acid,sharp
332,,,clove;spicy;curry;peanut;smoky,
335,sweet;tarry;phenolic,,phenolic;medicinal;musty,
