Stimulus,CID
4,4
40,40
47,47
49,49
51,51
58,58
70,70
72,72
73,73
107,107
119,119
125,125
126,126
135,135
176,176
177,177
178,178
179,179
180,180
188,188
191,191
196,196
197,197
206,206
222,222
224,224
228,228
229,229
238,238
239,239
240,240
243,243
244,244
247,247
261,261
262,262
263,263
264,264
274,274
280,280
284,284
294,294
309,309
311,311
313,313
323,323
325,325
326,326
332,332
335,335
338,338
342,342
356,356
370,370
379,379
389,389
402,402
453,453
454,454
460,460
473,473
474,474
508,508
527,527
602,602
604,604
612,612
620,620
621,621
622,622
650,650
653,653
660,660
670,670
674,674
679,679
702,702
704,704
743,743
750,750
753,753
768,768
784,784
785,785
791,791
798,798
802,802
827,827
840,840
841,841
871,871
872,872
875,875
876,876
878,878
880,880
887,887
927,927
931,931
932,932
936,936
948,948
957,957
962,962
964,964
971,971
984,984
985,985
990,990
994,994
996,996
997,997
998,998
999,999
1001,1001
1004,1004
1008,1008
1009,1009
1030,1030
1031,1031
1032,1032
1048,1048
1049,1049
1060,1060
1068,1068
1101,1101
1103,1103
1110,1110
1115,1115
1119,1119
1123,1123
1127,1127
1130,1130
1136,1136
1140,1140
1143,1143
1145,1145
1146,1146
1182,1182
1183,1183
1213,1213
1254,1254
1467,1467
1491,1491
1548,1548
1549,1549
1601,1601
1603,1603
1736,1736
1737,1737
1813,1813
1889,1889
1907,1907
1912,1912
1913,1913
1914,1914
1983,1983
2024,2024
2027,2027
2028,2028
2080,2080
2108,2108
2153,2153
2164,2164
2180,2180
2194,2194
2206,2206
2214,2214
2230,2230
2236,2236
2242,2242
2251,2251
2265,2265
2294,2294
2331,2331
2345,2345
2346,2346
2353,2353
2481,2481
2483,2483
2519,2519
2537,2537
2576,2576
2682,2682
2707,2707
2719,2719
2725,2725
2757,2757
2758,2758
2764,2764
2879,2879
2955,2955
2969,2969
2972,2972
2998,2998
3026,3026
3033,3033
3055,3055
3100,3100
3102,3102
3104,3104
3108,3108
3182,3182
3229,3229
3242,3242
3314,3314
3325,3325
3368,3368
3371,3371
3426,3426
3429,3429
3473,3473
3476,3476
3485,3485
3495,3495
3516,3516
3559,3559
3594,3594
3611,3611
3776,3776
3778,3778
3828,3828
3871,3871
3872,3872
3879,3879
3893,3893
