CID,Flavor Profile: ,FEMA Flavor Profile: ,Taste: ,Odor: 
660,"coconut, tobacco, coumarin, herbal, creamy, sweet, cinnamon, almond, tonka",Dairy,"sweet then bitter
burning","herbal
odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp.
coconut odor
hay-like"
670,minty,"Mint, Cool","sweet, cooling taste",characteristic odor
674,,,,... ammonia or fish-like odor ...
679,"fatty, mushroom, cheesy, garlic, bitter, oily",Garlic,slightly bitter taste with sweet after-taste,"slightly sulfurous odor
distinctive garlic or oyster-like odor"
702,"alcoholic, ethereal, medical, sweet, strong",,burning,"mild, rather pleasant
like wine or whiskey
weak, ethereal, vinous odor"
704,sweet-like,,,
743,odorless,,,
750,"oily, odorless, sweet, fatty, waxy",,sweet,odorless
753,"odorless, sweet",,"sweet, warm taste","mild odor
odorless"
768,bitter,,"bitter, burning taste","characteristic sweetish, like almond
... bitter, almond-like odor."
784,bitter,,"slightly acid
bitter","odorless, or having an odor resembling that of ozone
... slightly sharp odor ..."
785,,,a slightly bitter taste in aqueous solutions,odorless
791,"odorless, sweet",Nuts,bitter,
798,"burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal","Burnt, Mothball",,"almost floral odor when highly purified, otherwise exhibits characteristic odor of feces
unpleasant odor in high concentration but pleasant in dilute solution.
light jasmine odor"
802,"sour, odorless, mild",,,
827,sweet,,,
840,sweet,,,
841,sweet,,,
871,sweet,,,
872,sweet,,,
875,"caramellic, very mild",,pleasant acidulous taste,
876,"acidic, sulfurous, mild",Savory,sulfurous,faint
878,"sulfur, garlic, gasoline, decomposing cabbage","Cabbage, Garlic, Pungent, Sulfur",unpleasant cabbage taste,"odor of rotten cabbage
sulfidy
powerful, unpleasant odor
disagreeable odor like garlic
pungent, decayed cabbage."
880,"brown, ethereal, acidic, sweet, rum",Savory,,pungent
887,alcoholic,,,"alcoholic odor
pungent odor when crude
characteristic pungent odor"
927,sweet-like,,,
931,"dry, pungent, tarry, tar",,,"aromatic odor
odor of mothballs
characteritic odor (plates)"
932,bitter,Can help to reduce the bitter character of certain flavor formulations,,
936,odorless,,bitter taste,odorless
948,odorless,,slightly sweetish,"slightly sweetish
weak, pleasant odor"
957,"burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green","Bitter Almond, Burnt Matches, Fat, Floral","oily, sweet, slightly herbaceous taste","fresh orange rose odor
penetrating aromatic odor"
962,odorless,,tasteless,odorless
964,"sour, cabbage, radish",Savory,,
971,,,,odorless.
984,cardboard,,,
985,"fatty, slightly waxy",,,
990,sweet-like,,,
994,odorless,,bitter,slight
996,"phenol, plastic, rubber, phenolic",,"sharp, burning taste
when in very weak solution it has a sweetish taste.","distinct aromatic, somewhat sickening sweet and acrid odor, discernable at 0.5 to 5 ppm
sweet, tarry odor
somewhat sickeningly sweet and acrid"
997,"almond, acidic, green, sweet, honey, weedy, phenolic",,,
998,"hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter","Berry, Geranium, Honey, Nut, Pungent",,
999,"honeysuckle, sour, waxy, floral, sweet, honey, civet, flower","Caramel, Floral, Flower, Honey",,"floral odor
has a sweet honey-like odor when diluted
the odor of the concentrated solution is suffocating and unpleasant."
1001,"ammoniacal, fishy",,,fishy odor
1004,bland,,acid taste,odorless
1008,sweet-like,,,
1009,sweet-like,,,
1030,"alcoholic, very slight, odorless",,practically tasteless,practically odorless
1031,"alcoholic, fermented, alcohol, musty, fusel, pungent, peanut","Alcohol, Candy, Pungent","characteristic ripe, fruity flavor
taste detection: 7.50x10+3 ppm, purity of sample not specified
burning taste","similar to ethanol
odor perception threshold: <
0.07-100 mg/cu-m
odor recognition threshold: 0.32-150 mg/cu m"
1032,"cheesy, soy, acidic, vinegar, rancid, pungent","Fat, Fruit, Pungent, Silage, Soy",sour & mildly cheese-like,"slightly pungent disagreeable, rancid odor"
1048,bitter,,,
1049,"sour, putrid, fishy, rancid, sickening, amine",,amine taste,"sharp, nauseating
burnt, sickening
nauseating fish-like odor."
1060,"acetic, sour, sharp, caramellic",,,
1068,"sulfur, sulfurous, cabbage, onion, gasoline, vegetable, sulfury, sweet corn, tomato, radish, wild, green","Cabbage, Organic, Sulfur, Wet Earth",characteristic flavor,"unpleasant odor of wild radish, cabbage-like"
1101,sweet,,about as sweet as sucrose,
1103,,,,
1110,"sour, odorless",Alters several flavor and/or taste characteristics,"very acid taste
tart taste
pure aq soln are slightly bitter & taste build up is slow",odorless
