Stimulus,CID
240,240
273,273
379,379
454,454
798,798
957,957
962,962
1001,1001
1032,1032
1045,1045
1102,1102
1103,1103
1146,1146
1183,1183
1639,1639
2537,2537
2758,2758
3314,3314
6054,6054
6115,6115
6549,6549
6654,6654
6736,6736
7047,7047
7242,7242
7283,7283
7415,7415
7762,7762
7794,7794
7894,7894
8051,8051
8102,8102
8103,8103
8106,8106
8127,8127
8129,8129
8130,8130
8143,8143
8144,8144
8314,8314
10947,10947
11723,11723
12291,12291
12348,12348
13563,13563
16224,16224
16724,16724
26334,26334
26447,26447
27866,27866
31252,31252
31268,31268
33944,33944
62725,62725
70103,70103
82229,82229
155529,155529
165675,165675
206245,206245
263626,263626
439250,439250
439570,439570
440917,440917
443159,443159
637566,637566
638011,638011
5281167,5281167
5281168,5281168
5281516,5281516
5281517,5281517
5282108,5282108
5315941,5315941
5365703,5365703
16213045,16213045
