SMILES,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
CCC(C)C(=O)O,0.31,1,4.62,11.99,6,14,21.17,67.79,23.88,58.86,10,5,0.0,0,0.0,0,28,4.36682
CCC(C)C(=O)O,0.0,0,3.03,5.93,5,11,19.93,62.36,25.17,63.24,6,4,0.0,0,17.53,13,22,5.40434
CC1CCCCCCCCCCCCC(=O)C1,0.0,0,4.43,8.19,6,11,16.68,81.12,27.26,65.73,4,3,4.59,3,1.0,1,19,4.35121
CC1CCCCCCCCCCCCC(=O)C1,0.0,0,4.97,28.08,3,10,25.69,80.71,26.14,67.27,4,3,1.79,3,3.18,8,31,6.003369999999999
CC1CCCCCCCCCCCCC(=O)C1,0.0,0,2.76,6.63,3,6,24.26,53.83,16.87,76.04,5,5,2.14,2,0.53,3,32,6.16714
CC1CCCCCCCCCCCCC(=O)C1,0.0,0,2.85,6.22,2,9,22.46,72.1,28.44,74.33,9,5,1.05,2,0.15,1,32,5.23578
CC1CCCCCCCCCCCCC(=O)C1,2.97,2,3.12,8.2,3,9,26.16,68.09,25.31,83.28,5,4,1.65,2,0.72,2,31,6.90417
CC1CCCCCCCCCCCCC(=O)C1,0.0,0,1.12,2.93,3,8,26.99,77.8,23.2,73.9,6,5,1.75,3,6.12,8,33,6.50734
CC1CCCCCCCCCCCCC(=O)C1,2.75,1,1.09,6.04,2,6,21.05,75.05,28.96,85.95,3,3,10.67,9,4.45,9,26,4.88331
CC1CCCCCCCCCCCCC(=O)C1,0.19,1,3.87,11.63,5,12,24.86,74.47,22.32,66.42,7,6,1.28,5,9.16,12,24,5.90899
CCN(C)C,7.59,2,2.51,14.6,5,8,19.09,90.63,21.91,58.21,14,11,1.41,3,0.18,1,16,6.49984
CCN(C)C,5.22,1,3.16,11.5,3,10,21.83,76.14,24.81,63.16,1,1,1.69,4,0.0,0,14,4.11699
CCN(C)C,4.88,1,4.58,10.16,5,11,23.28,69.13,23.68,71.24,7,5,1.16,4,0.19,1,19,5.42952
CCN(C)C,4.35,1,5.22,11.43,4,9,26.17,75.83,18.44,62.68,3,2,0.64,3,2.32,1,22,5.341559999999999
CCN(C)C,0.0,0,1.59,6.26,3,8,12.62,54.65,30.1,81.9,9,5,2.63,10,0.29,1,17,4.44725
CN1CCCCC1,3.74,2,2.73,9.99,5,12,22.41,77.09,25.4,72.48,8,5,3.04,7,0.83,2,26,6.34049
CN1CCCCC1,2.28,1,1.47,8.35,6,13,13.24,55.97,34.02,86.11,9,4,8.41,6,0.0,0,12,3.9577699999999996
CN1CCCCC1,2.37,1,3.39,10.01,5,12,25.01,72.87,21.57,73.13,5,5,2.43,6,1.78,4,23,5.440980000000001
CN1CCCCC1,0.0,0,2.26,4.68,4,10,21.38,65.28,25.47,70.15,5,3,10.5,4,1.44,2,12,3.5082
CN1CCCCC1,1.94,0,1.62,6.84,6,11,23.3,62.73,27.7,85.2,7,5,4.69,8,0.0,0,32,5.93093
CN1CCCCC1,4.8,1,2.74,9.54,3,11,23.82,92.78,21.35,59.75,8,7,3.69,7,7.52,8,23,5.57262
CN1CCCCC1,0.0,0,2.09,7.7,2,7,22.51,68.18,26.78,89.85,7,6,1.31,2,1.52,5,17,4.554930000000001
CN1CCCCC1,7.85,1,2.88,11.12,3,9,22.45,73.55,29.27,76.69,8,7,8.1,3,0.97,3,23,5.06569
CCCCCOC(=O)C,0.78,1,0.2,8.57,1,10,17.56,58.06,23.78,72.63,5,5,0.0,0,20.96,27,31,7.977539999999999
CCCCCOC(=O)C,33.45,4,2.75,12.72,4,9,18.95,79.14,27.06,72.45,9,5,0.0,0,0.0,0,13,4.49109
CCCCCOC(=O)C,0.0,0,0.7,6.68,2,6,20.65,67.14,23.88,71.35,5,4,0.0,0,0.5,3,33,6.991810000000001
CCCCCOC(=O)C,0.72,1,0.58,4.36,2,7,16.41,53.87,30.21,97.03,10,9,4.97,10,28.79,26,27,5.94589
CCCCCOC(=O)C,0.0,0,0.47,8.41,1,13,19.31,57.66,30.0,86.04,14,11,0.0,0,0.15,1,21,6.18237
CCCCN(C)C,2.16,1,3.59,7.21,4,9,27.22,66.68,20.21,73.03,2,2,10.06,10,2.59,5,24,6.02321
CCCCN(C)C,10.96,2,3.64,6.27,4,9,29.4,76.55,15.32,53.57,3,2,0.75,3,2.09,2,21,4.52878
CCCCN(C)C,15.44,6,7.88,13.69,6,12,19.78,74.42,30.89,77.61,3,2,0.0,0,4.26,5,12,4.00328
CCCCN(C)C,7.87,3,3.67,11.51,5,14,27.26,75.08,17.44,66.07,5,4,3.28,3,1.35,2,27,5.9679
CCCCN(C)C,6.59,4,3.46,11.91,6,16,19.79,76.91,25.46,67.22,7,7,0.81,3,12.33,10,18,7.570119999999999
CCCCCCCCN(C)C,0.0,0,1.92,5.55,6,15,20.39,62.99,18.19,64.36,12,9,2.23,9,6.16,8,25,7.50219
CCCCCCCCN(C)C,0.0,0,2.17,4.69,4,9,22.2,48.27,22.0,73.5,9,5,6.52,5,0.0,0,16,3.78534
CCCCCCCCN(C)C,0.0,0,0.37,4.02,1,6,16.75,47.63,34.71,101.9,6,3,2.4,8,0.0,0,27,5.4145
CCCCCCCCN(C)C,0.0,0,1.65,4.04,3,8,8.59,51.88,42.03,96.91,7,3,0.47,2,0.0,0,16,3.53386
CCCCCCCCN(C)C,0.0,0,2.27,10.81,5,11,15.39,61.16,25.16,62.34,10,6,1.44,6,0.0,0,32,7.275
CCCCCCCCN(C)C,0.0,0,1.18,7.08,3,8,17.41,74.33,32.03,81.13,3,2,0.0,0,6.97,9,30,6.13532
CCCCCCCCN(C)C,0.0,0,1.34,5.68,3,8,24.46,70.05,21.84,58.45,7,6,0.49,2,6.59,9,28,5.51565
CC1=CC[C@@H](CC1=O)C(=C)C,2.25,1,4.18,8.32,3,6,30.59,71.03,14.87,62.34,3,3,0.79,3,0.0,0,31,5.80924
CC1=CC[C@@H](CC1=O)C(=C)C,0.0,0,1.47,3.9,2,6,17.28,53.47,31.08,84.64,5,4,0.54,2,0.0,0,25,7.00293
CC1=CC[C@@H](CC1=O)C(=C)C,0.19,1,2.2,8.03,4,11,21.27,63.11,19.36,72.36,9,7,1.5,3,0.0,0,26,6.201890000000001
CC1=CC[C@@H](CC1=O)C(=C)C,0.19,1,2.91,5.51,5,8,22.61,46.69,22.61,86.53,6,6,0.66,2,0.0,0,12,3.0041700000000002
CC1=CC[C@@H](CC1=O)C(=C)C,0.16,1,4.51,10.72,6,13,29.82,81.63,17.17,62.67,10,10,1.2,4,5.57,7,43,5.87064
CCC1=NC=C(N=C1C)C,0.0,0,1.95,6.1,3,10,14.91,66.62,22.7,60.22,6,4,0.63,2,15.02,15,14,6.37657
CCC1=NC=C(N=C1C)C,0.0,0,3.15,6.81,5,10,26.02,70.39,22.08,76.3,8,5,0.0,0,6.09,7,12,5.37293
CCC1=NC=C(N=C1C)C,0.0,0,1.29,1.99,3,4,10.9,23.26,39.92,142.7,5,3,0.0,0,0.0,0,5,1.80794
CCC1=NC=C(N=C1C)C,0.0,0,2.41,7.91,5,15,16.22,58.28,26.07,80.7,10,8,0.72,3,10.35,13,18,6.10519
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,0.0,0,1.07,1.8,3,6,18.17,53.83,27.77,87.3,3,3,5.16,2,12.92,12,23,5.49284
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,17.95,2,2.24,8.42,5,14,26.03,93.4,25.78,56.09,5,4,0.34,1,5.06,4,16,4.433730000000001
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,0.0,0,2.15,8.46,3,9,18.2,58.31,28.81,76.75,6,5,2.44,7,10.51,9,23,5.33526
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,0.0,0,0.31,4.44,1,7,16.14,70.89,32.95,66.15,7,5,2.78,8,3.28,3,19,3.76904
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,0.0,0,1.38,4.54,2,5,20.85,55.87,27.34,71.02,5,4,3.9,11,0.0,0,29,4.1275900000000005
CC1CCOC(C1)C=C(C)C,0.0,0,1.9,3.22,2,5,20.41,58.92,27.76,82.98,7,7,1.16,4,3.69,6,43,7.036580000000001
CC1CCOC(C1)C=C(C)C,0.0,0,1.7,4.94,4,9,23.47,57.77,24.62,90.99,5,4,0.0,0,4.14,11,41,5.94816
CC1CCOC(C1)C=C(C)C,0.0,0,0.63,3.47,2,6,22.97,68.9,26.99,73.15,6,5,2.71,5,8.96,11,24,5.66184
CC1CCOC(C1)C=C(C)C,0.0,0,3.0,4.7,5,9,20.4,64.89,24.15,71.84,7,6,0.0,0,10.87,14,34,6.75552
CC1CCOC(C1)C=C(C)C,0.0,0,0.6,1.53,2,5,13.04,32.71,37.76,108.28,7,7,1.45,5,0.28,1,6,2.70191
CC1=CN=C(C=N1)C,0.0,0,2.9,5.03,4,6,24.12,45.11,26.18,105.67,2,0,0.6,2,0.0,0,13,2.96874
CC1=CN=C(C=N1)C,0.0,0,2.47,5.69,5,11,23.53,62.54,24.19,86.91,7,5,2.38,7,0.59,1,23,5.40263
CC1=CN=C(C=N1)C,1.47,1,2.03,6.49,4,9,22.25,67.61,26.39,74.83,6,3,1.14,4,0.0,0,18,4.35619
CC1=CN=C(C=N1)C,2.16,1,8.69,12.71,6,12,33.31,90.18,16.07,55.13,9,5,14.59,3,0.21,1,13,5.55724
CC1=CN=C(C=N1)C,6.47,1,4.23,8.23,4,12,31.36,60.77,20.75,63.43,5,2,12.49,8,0.0,0,16,3.39825
C1CCNC1,0.0,0,1.47,3.38,2,4,13.36,36.62,36.07,106.45,5,5,2.1,6,1.47,1,12,3.5785699999999996
C1CCNC1,0.68,2,3.5,9.1,4,8,16.95,57.07,30.9,93.89,5,3,2.08,4,2.47,7,23,6.02656
C1CCNC1,0.0,0,5.6,8.4,5,9,21.99,57.65,23.76,81.08,10,8,0.0,0,3.39,5,28,5.61675
C1CCNC1,0.0,0,2.51,6.52,4,9,19.39,67.93,24.95,83.12,8,7,1.93,2,5.23,6,12,3.44898
C1CCNC1,2.69,1,4.31,13.08,6,14,25.98,104.34,27.43,59.13,9,6,0.66,2,4.81,2,14,3.28959
C1CCNC1,0.0,0,4.81,11.1,3,13,25.45,69.95,29.06,78.24,9,7,5.85,12,2.49,5,15,4.076890000000001
C1CCNC1,19.04,3,5.37,11.62,5,11,81.22,81.22,25.35,70.32,8,6,0.31,1,0.97,1,11,3.49549
C1CCNC1,0.0,0,0.69,6.26,1,7,12.05,39.23,34.45,82.64,12,12,0.31,1,1.03,2,8,3.9967
C1CCNC1,0.0,0,1.75,8.05,1,8,17.6,68.23,27.76,81.7,11,9,0.0,0,0.82,3,27,5.14438
C1CCNC1,0.6,1,1.19,13.41,1,13,12.08,80.79,36.65,67.87,8,5,0.94,1,2.97,1,19,4.316730000000001
C1CCN(CC1)CCN,1.65,1,5.47,10.17,7,12,25.87,70.93,19.05,75.64,3,3,0.25,1,6.22,7,24,6.752560000000001
C1CCN(CC1)CCN,7.09,1,6.37,12.63,5,13,26.82,85.88,15.89,46.48,4,2,8.66,8,4.8,8,18,5.92508
C1CCN(CC1)CCN,4.15,3,5.02,11.23,5,10,27.34,65.55,25.55,89.7,4,3,5.63,3,0.0,0,23,4.5057
C1CCN(CC1)CCN,0.0,0,2.53,7.41,3,9,16.99,63.85,22.24,75.27,7,6,1.66,6,2.4,3,21,6.94468
C1CCN(CC1)CCN,3.16,2,5.23,16.16,4,11,34.16,89.92,17.34,60.91,6,4,2.77,8,0.0,0,17,3.8631699999999998
CC(C)CC1=NC=CS1,0.0,0,1.18,2.05,3,5,11.98,44.07,25.91,85.74,2,0,9.22,16,8.85,8,37,5.36491
CC(C)CC1=NC=CS1,0.0,0,1.93,3.99,4,9,8.49,43.76,29.6,86.94,6,5,3.91,10,2.19,4,42,7.072710000000001
CC(C)CC1=NC=CS1,0.0,0,2.36,3.85,6,12,18.2,56.0,32.21,90.58,11,10,3.77,11,5.15,7,28,6.98601
CC(C)CC1=NC=CS1,0.0,0,2.03,4.06,3,8,14.31,49.49,30.78,95.1,7,5,0.0,0,0.74,2,22,5.45024
CC(C)CC1=NC=CS1,0.0,0,1.21,5.09,4,12,17.9,50.11,26.33,81.28,11,10,1.06,4,0.18,1,25,6.10795
CC1=NCCC1,0.0,0,0.0,1.52,0,3,14.04,50.08,29.59,96.27,11,11,0.85,3,18.73,13,20,6.5483400000000005
CC1=NCCC1,0.85,1,3.0,8.96,3,8,22.03,74.83,20.85,66.98,5,4,1.88,5,5.2,8,26,6.6493899999999995
CC1=NCCC1,0.0,0,3.78,8.81,6,12,22.17,58.5,28.58,94.91,12,10,1.87,7,2.17,2,33,7.61872
CC1=NCCC1,0.0,0,1.07,5.2,2,7,21.76,59.87,24.99,82.84,5,5,8.47,5,6.95,10,26,6.67502
CC1=NCCC1,0.0,0,0.0,3.8,0,3,4.14,12.87,44.23,137.89,5,4,4.12,2,0.0,0,10,2.73801
CC1=NCCC1,0.0,0,3.0,12.42,3,12,24.05,79.78,22.92,65.85,8,4,0.0,0,2.03,3,15,3.98808
CC1=NCCC1,0.19,1,1.13,10.2,2,13,25.42,70.58,30.48,81.55,7,4,5.81,2,0.97,2,12,2.83252
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,0.0,0,1.65,3.76,5,10,21.09,43.39,27.8,101.41,12,12,3.02,5,0.0,0,16,4.64789
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,0.66,3,2.34,7.2,6,17,15.54,56.09,23.65,80.13,13,13,0.28,1,6.25,12,37,8.7816
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,0.0,0,1.38,2.63,3,6,14.1,59.6,42.45,98.41,6,6,0.97,3,1.1,1,17,3.5252
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,0.0,0,1.34,3.94,3,8,14.02,33.69,34.31,111.83,8,8,4.83,5,0.0,0,19,5.1801699999999995
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,0.0,0,1.84,5.19,4,11,19.91,53.78,28.04,84.35,12,9,8.35,5,0.75,2,19,5.29521
CCCC1CCS1,0.4,2,1.87,4.1,2,5,14.77,44.68,25.28,85.32,4,4,0.44,2,26.42,21,25,5.6045
CCCC1CCS1,0.0,0,1.34,5.35,2,6,10.57,58.16,38.55,89.33,8,8,0.78,2,42.09,25,15,4.84926
CCCC1CCS1,2.72,1,1.25,4.2,4,11,17.86,57.87,33.93,97.45,16,12,1.2,5,5.35,10,13,6.06351
CCCC1CCS1,0.0,0,1.4,3.44,1,7,18.64,51.59,25.76,81.19,9,6,0.0,0,15.45,18,42,7.68052
CCCC1CCS1,1.2,1,0.6,9.1,2,13,17.46,58.94,21.94,81.9,15,12,0.56,2,8.4,8,24,6.05604
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,0.0,0,0.0,5.82,0,6,9.78,59.32,47.46,97.08,6,4,3.48,6,0.0,0,11,2.69739
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,0.0,0,1.1,3.2,1,7,9.55,59.24,42.15,84.81,4,3,0.0,0,20.47,12,14,4.24329
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,0.0,0,1.09,3.0,2,8,10.8,43.64,39.05,107.99,11,10,2.88,4,1.46,3,18,4.8556
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,0.0,0,0.81,0.81,2,2,10.57,26.39,39.48,135.28,4,4,0.38,1,1.38,2,9,2.50541
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,0.0,0,0.5,2.39,1,4,3.93,30.31,40.64,115.7,4,4,0.56,1,0.63,1,8,2.5842099999999997
CC(C)C1=NCCS1,0.0,0,0.5,2.03,2,6,19.77,47.43,23.08,86.58,7,4,0.0,0,17.43,17,33,5.83177
CC(C)C1=NCCS1,0.0,0,1.1,2.7,2,6,17.34,41.38,21.94,76.82,7,7,2.59,2,4.55,8,14,4.31094
CC(C)C1=NCCS1,0.0,0,0.91,3.28,1,7,15.31,45.93,28.81,86.23,8,7,0.28,1,1.25,3,30,6.020580000000001
CC(C)C1=NCCS1,0.0,0,0.82,2.94,1,6,19.18,63.45,24.44,72.42,4,4,0.0,0,12.7,11,26,5.886909999999999
CC(C)C1=NCCS1,0.0,0,2.24,5.7,4,11,16.27,44.15,36.1,106.74,12,10,0.0,0,0.0,0,14,4.84387
CC1C(SC(=N1)C)C,0.0,0,1.57,5.67,4,8,19.82,67.82,23.7,75.85,7,6,1.47,5,4.85,5,24,5.88616
CC1C(SC(=N1)C)C,0.0,0,0.44,3.75,1,7,15.05,43.98,25.43,91.63,9,8,0.63,2,0.0,0,13,5.89809
CC1C(SC(=N1)C)C,0.0,0,1.38,2.58,2,5,19.93,47.61,26.59,91.81,6,5,0.0,0,9.04,5,23,6.1337
CC1C(SC(=N1)C)C,0.0,0,2.25,6.59,4,10,14.31,60.39,31.36,81.53,6,6,0.72,3,0.0,0,18,3.98976
CC1C(SC(=N1)C)C,0.0,0,1.21,5.56,2,7,10.94,49.51,38.56,86.52,5,4,6.78,3,0.0,0,12,3.7161199999999996
CC1=CC[C@H](CC1)C(=C)C,11.0,2,2.22,8.09,5,7,28.03,88.26,21.16,49.91,6,3,8.68,5,0.6,2,26,3.77717
CC1=CC[C@H](CC1)C(=C)C,0.0,0,4.68,8.63,3,7,26.71,64.5,24.45,71.25,3,3,2.16,7,2.46,4,30,4.85835
CC1=CC[C@H](CC1)C(=C)C,4.13,1,4.27,11.9,4,8,15.08,65.6,30.73,66.83,3,3,2.82,8,2.21,5,24,4.45182
CC1=CC[C@H](CC1)C(=C)C,0.99,1,3.87,11.88,3,7,28.15,75.71,18.44,65.65,7,6,0.94,2,2.86,4,33,6.3152099999999995
CC1=CC[C@H](CC1)C(=C)C,0.0,0,2.82,7.47,3,10,21.71,59.61,24.54,82.74,7,7,0.84,3,10.94,13,42,8.08071
CC1=CC[C@H](CC1=O)C(=C)C,2.6,3,3.4,11.2,7,13,24.78,81.9,21.04,70.48,7,6,9.01,7,4.78,4,25,5.13912
CC1=CC[C@H](CC1=O)C(=C)C,0.9,1,1.48,3.57,2,5,20.16,60.64,25.29,62.86,5,5,1.09,4,5.62,6,13,3.75297
CC1=CC[C@H](CC1=O)C(=C)C,0.0,0,3.19,6.05,6,12,22.49,52.43,25.05,81.94,15,13,3.31,4,0.37,1,31,7.61009
CC1=CC[C@H](CC1=O)C(=C)C,0.15,1,5.04,13.12,10,16,25.71,62.82,22.68,79.13,13,11,12.6,7,2.7,4,31,6.18767
CC1=CC[C@H](CC1=O)C(=C)C,0.0,0,2.0,3.9,4,7,22.51,59.91,27.78,88.65,6,4,1.5,5,0.16,1,32,5.70052
CC1=CC[C@@H](CC1)C(=C)C,0.0,0,0.41,2.65,1,4,23.19,46.44,17.41,73.6,5,3,10.66,4,0.0,0,33,5.15894
CC1=CC[C@@H](CC1)C(=C)C,0.0,0,3.21,4.82,5,9,28.47,47.34,20.56,97.62,8,7,11.1,3,0.47,1,37,5.26863
CC1=CC[C@@H](CC1)C(=C)C,0.0,0,0.96,5.07,2,6,17.06,53.98,28.5,88.83,4,4,1.12,3,0.15,1,29,5.90411
CC1=CC[C@@H](CC1)C(=C)C,0.0,0,1.53,6.5,3,10,15.24,56.8,32.5,75.85,6,5,0.0,0,1.51,4,34,6.07485
CC1=CC[C@@H](CC1)C(=C)C,3.32,2,2.96,5.76,5,9,21.08,69.82,24.99,63.18,4,3,12.5,4,1.55,3,20,5.54681
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,0.0,0,1.73,8.46,3,14,23.06,70.14,24.51,72.77,15,14,6.81,10,9.26,11,23,6.52693
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,0.8,2,1.56,14.44,1,11,18.95,80.09,30.54,59.6,5,4,3.49,7,1.75,1,20,3.45434
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,0.16,1,3.38,9.22,5,9,16.26,62.81,25.0,53.7,7,7,7.35,3,5.59,6,18,4.55484
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,0.0,0,2.69,12.35,4,14,23.29,87.46,22.18,47.17,10,10,1.69,2,0.0,0,15,4.78635
C[C@H]1CC[C@@H](C(=O)C1)C(C)C,0.81,1,2.82,9.95,5,13,17.85,64.49,24.69,78.1,11,10,1.41,4,0.0,0,18,4.66195
CC(=CCC/C(=C/CO)/C)C,0.0,0,2.03,5.12,3,6,24.2,43.34,22.71,87.91,7,7,0.65,2,1.41,2,32,5.206230000000001
CC(=CCC/C(=C/CO)/C)C,3.81,1,5.02,8.56,5,8,27.47,60.37,21.21,85.58,4,2,8.81,4,2.21,5,15,3.59078
CC(=CCC/C(=C/CO)/C)C,4.12,3,3.9,9.1,4,9,25.44,69.44,18.6,88.82,6,5,0.63,2,0.78,1,32,6.72905
CC(=CCC/C(=C/CO)/C)C,0.19,1,0.0,7.62,0,2,0.6,47.65,58.05,120.55,2,1,0.41,2,0.0,0,9,1.7792
CC(=CCC/C(=C/CO)/C)C,9.45,5,5.54,12.48,5,12,28.4,76.26,15.88,65.63,6,5,4.69,2,0.0,0,15,3.68848
CC(=CCC/C(=C/C=O)/C)C,0.38,2,0.62,3.6,1,5,16.65,54.54,36.28,99.03,4,4,0.31,1,3.47,7,25,4.82428
CC(=CCC/C(=C/C=O)/C)C,0.0,0,0.28,2.22,1,5,17.2,44.75,23.7,76.68,6,5,0.0,0,4.04,10,26,5.243469999999999
CC(=CCC/C(=C/C=O)/C)C,0.0,0,5.0,8.54,6,10,28.66,71.16,17.56,72.25,10,10,0.0,0,28.79,20,43,9.17765
CC(=CCC/C(=C/C=O)/C)C,0.19,1,3.9,4.76,4,6,28.1,87.81,16.14,58.57,7,7,0.52,2,8.82,5,12,4.11222
CC(=CCC/C(=C/C=O)/C)C,0.0,0,2.56,7.36,3,8,21.71,59.66,25.55,79.62,8,5,0.75,2,2.34,2,32,5.47906
CC/C=C\CCO,0.8,2,3.36,13.15,7,17,26.45,72.96,20.54,68.06,14,7,6.37,3,3.0,4,45,5.90183
CC/C=C\CCO,0.0,0,1.81,5.49,3,7,20.03,48.85,26.94,91.64,6,5,0.47,2,9.4,7,25,5.39688
CC/C=C\CCO,0.0,0,1.81,5.26,4,8,17.41,43.39,26.87,81.01,9,9,8.21,4,0.22,1,16,4.34189
CC/C=C\CCO,0.32,2,2.14,6.05,3,9,15.6,59.98,33.8,92.28,10,10,1.62,3,24.93,19,25,6.914569999999999
CC/C=C\CCO,1.65,1,2.21,9.65,3,12,16.63,61.3,29.58,79.08,6,6,0.0,0,9.6,11,23,6.00164
CCC/C=C/C=O,0.0,0,0.2,3.59,1,6,9.19,45.49,33.26,95.18,10,10,1.12,4,13.08,16,27,7.76235
CCC/C=C/C=O,7.6,4,1.13,14.09,1,12,23.39,82.46,25.15,70.57,9,8,5.28,6,0.0,0,12,4.63229
CCC/C=C/C=O,0.0,0,1.38,14.1,2,14,28.77,79.2,23.34,70.07,12,11,7.24,6,0.0,0,20,5.59037
CCC/C=C/C=O,0.0,0,0.0,6.22,0,5,16.92,52.06,35.07,98.8,5,5,1.33,4,0.0,0,12,3.3321699999999996
CCC/C=C/C=O,0.0,0,0.0,11.32,0,8,8.23,46.89,39.85,98.88,8,6,3.85,4,0.15,1,10,3.53951
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,0.0,0,4.16,11.06,9,14,27.18,75.22,23.26,73.19,10,5,8.7,5,3.38,4,16,4.6304099999999995
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,13.5,1,6.94,14.2,3,11,16.98,73.37,30.32,63.09,3,1,10.51,7,0.0,0,17,3.41289
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,0.0,0,9.11,17.77,6,13,34.19,79.55,13.24,50.6,9,7,11.85,8,0.0,0,15,4.62628
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,8.47,1,2.87,16.14,4,14,27.87,95.95,19.5,49.86,11,9,0.28,1,0.0,0,12,4.64289
CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,13.28,3,3.87,13.55,6,14,22.46,85.64,21.22,65.31,8,3,1.54,5,0.0,0,11,3.01472
CC(=CCC/C(=C/CCC(=C)C=C)/C)C,0.19,1,1.32,4.72,2,11,12.66,58.94,18.48,68.58,2,2,3.41,4,2.37,5,23,5.13247
CC(=CCC/C(=C/CCC(=C)C=C)/C)C,0.0,0,3.25,6.53,4,11,25.27,62.41,22.65,69.63,5,3,5.41,3,7.81,11,19,4.8760699999999995
CC(=CCC/C(=C/CCC(=C)C=C)/C)C,0.0,0,2.28,3.54,5,7,18.78,80.67,19.91,56.23,9,3,9.88,2,0.0,0,26,5.42734
CC(=CCC/C(=C/CCC(=C)C=C)/C)C,0.0,0,1.15,3.93,2,6,24.53,62.06,25.45,77.59,3,1,0.5,2,1.97,4,51,8.29755
CC(=CCC/C(=C/CCC(=C)C=C)/C)C,2.5,2,4.88,7.98,4,14,30.01,75.27,14.85,59.76,5,1,2.78,3,1.15,4,26,4.75948
CC1=CCCC(C1/C=C/C(=O)C)(C)C,0.0,0,2.78,6.97,4,10,26.49,76.02,21.19,62.75,7,6,0.22,1,13.43,9,20,4.5904300000000005
CC1=CCCC(C1/C=C/C(=O)C)(C)C,0.0,0,3.45,8.07,3,11,28.07,88.59,22.21,60.5,6,6,0.25,1,3.28,4,38,6.929310000000001
CC1=CCCC(C1/C=C/C(=O)C)(C)C,0.0,0,3.06,6.6,5,11,19.91,65.38,24.97,75.67,7,5,0.22,1,12.26,9,33,6.24453
CC1=CCCC(C1/C=C/C(=O)C)(C)C,5.88,2,4.73,14.52,4,20,25.04,84.79,17.85,50.95,13,9,1.75,3,1.15,2,23,6.578060000000001
CC1=CCCC(C1/C=C/C(=O)C)(C)C,0.0,0,3.47,9.04,8,14,23.17,60.95,24.35,77.07,7,7,1.25,5,3.12,3,29,5.67658
C1CCC/C=C\CCCCCCCC(=O)CCC1,6.5,2,5.53,13.95,7,14,27.57,80.78,18.98,70.59,10,8,0.53,2,3.3,3,36,6.85902
C1CCC/C=C\CCCCCCCC(=O)CCC1,0.0,0,0.68,8.93,1,8,17.27,71.64,22.01,55.9,4,1,0.37,1,1.06,1,16,3.43221
C1CCC/C=C\CCCCCCCC(=O)CCC1,0.0,0,2.06,9.18,4,9,24.58,74.47,26.1,67.04,7,6,0.0,0,2.16,6,22,5.5075400000000005
C1CCC/C=C\CCCCCCCC(=O)CCC1,0.0,0,1.98,8.96,3,9,11.28,56.48,37.45,91.21,7,7,2.06,3,2.37,1,22,3.99534
C1CCC/C=C\CCCCCCCC(=O)CCC1,0.0,0,1.07,13.53,2,7,9.63,71.41,44.91,71.66,5,4,0.27,1,0.0,0,16,3.4954199999999997
C1CCC/C=C\CCCCCCCC(=O)CCC1,0.0,0,1.06,7.19,3,14,18.33,62.6,25.55,80.9,15,13,1.2,3,0.59,3,33,7.8989899999999995
C1CCCCOC(=O)CCCCC/C=C\CCC1,10.81,1,7.63,13.48,9,18,29.37,94.05,17.79,29.37,14,7,0.0,0,1.57,4,17,5.18635
C1CCCCOC(=O)CCCCC/C=C\CCC1,0.0,0,5.58,9.93,8,12,24.25,61.24,21.19,61.62,7,7,14.38,3,1.32,1,31,6.21122
C1CCCCOC(=O)CCCCC/C=C\CCC1,0.0,0,0.91,10.64,1,14,15.08,64.41,30.15,80.81,18,13,1.06,2,1.23,2,16,5.53789
C1CCCCOC(=O)CCCCC/C=C\CCC1,0.0,0,3.37,9.61,5,13,23.44,62.29,22.71,86.94,10,9,7.68,3,3.29,4,28,6.38317
