behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
+CVN,0,0,1.47,3.9,2,6,17.28,53.47,31.08,84.64,5,4,0.54,2,0.00,0,25,7.00293
+CVN,0.19,1,2.20,8.03,4,11,21.27,63.11,19.36,72.36,9,7,1.50,3,0.00,0,26,6.20189
+CVN,0.19,1,2.91,5.51,5,8,22.61,46.69,22.61,86.53,6,6,0.66,2,0.00,0,12,3.00417
+CVN,0.16,1,4.51,10.72,6,13,29.82,81.63,17.17,62.67,10,10,1.20,4,5.57,7,43,5.87064
+FCH,0,0,0.91,4.83,2,10,25.11,51.88,18.80,86.87,11,10,1.34,3,0.00,0,9,3.98274
+FCH,0,0,1.06,5.07,2,6,16.41,51.66,32.60,82.57,8,7,0.21,1,1.96,5,25,5.11512
+FCH,0,0,1.66,1.66,3,3,22.92,51.24,19.79,69.93,5,5,0.00,0,5.09,6,31,5.05223
+FCH,0,0,1.53,4.94,3,9,18.81,48.87,24.93,75.39,11,10,0.34,1,1.12,1,26,6.22352
+FCH,0.46,1,1.46,5.56,3,9,19.50,48.34,26.93,95.17,6,5,6.83,8,0.00,0,31,7.67311
+LIM,0,0,0.41,2.65,1,4,23.19,46.44,17.41,73.60,5,3,10.66,4,0.00,0,33,5.15894
+LIM,0,0,3.21,4.82,5,9,28.47,47.34,20.56,97.62,8,7,11.10,3,0.47,1,37,5.26863
+LIM,0,0,0.96,5.07,2,6,17.06,53.98,28.50,88.83,4,4,1.12,3,0.15,1,29,5.90411
+LIM,0,0,1.53,6.5,3,10,15.24,56.80,32.50,75.85,6,5,0.00,0,1.51,4,34,6.07485
+LIM,3.32,2,2.96,5.76,5,9,21.08,69.82,24.99,63.18,4,3,12.50,4,1.55,3,20,5.54681
+MNT,0,0,1.73,8.46,3,14,23.06,70.14,24.51,72.77,15,14,6.81,10,9.26,11,23,6.52693
+MNT,0.8,2,1.56,14.44,1,11,18.95,80.09,30.54,59.60,5,4,3.49,7,1.75,1,20,3.45434
+MNT,0.16,1,3.38,9.22,5,9,16.26,62.81,25.00,53.70,7,7,7.35,3,5.59,6,18,4.55484
+MNT,0,0,2.69,12.35,4,14,23.29,87.46,22.18,47.17,10,10,1.69,2,0.00,0,15,4.78635
+MNT,0.81,1,2.82,9.95,5,13,17.85,64.49,24.69,78.10,11,10,1.41,4,0.00,0,18,4.66195
2HO,1.22,1,1.01,4.99,3,9,12.97,43.33,37.59,98.07,11,11,1.03,4,14.07,10,19,6.2121
2HO,0.82,1,1.73,7.62,6,15,16.16,61.04,29.31,78.30,18,14,0.00,0,2.08,5,16,6.95211
2HO,0,0,1.62,6.66,4,12,15.97,53.11,32.71,91.94,12,9,1.68,3,0.00,0,24,6.8661
2HO,0,0,1.47,10.37,5,18,16.62,54.67,28.28,83.96,18,15,4.58,7,6.07,7,24,7.68544
2HO,0,0,1.03,3.67,3,10,16.67,59.39,30.76,83.96,7,6,1.36,6,8.63,12,18,6.60109
2MB,0,0,1.52,5.84,4,12,24.24,70.85,26.68,71.33,8,6,1.73,7,3.70,3,19,5.92375
2MB,0,0,0.50,2.89,1,6,13.75,56.16,37.75,92.58,6,6,0.00,0,3.31,3,13,4.35151
2MB,0,0,1.93,6.56,5,14,17.97,63.29,23.11,75.71,5,4,4.75,5,1.22,3,10,4.30522
2MB,0,0,0.00,2.63,0,6,11.03,63.16,24.90,65.82,4,2,2.84,5,7.98,3,8,3.28471
2MB,0,0,0.34,3.89,1,7,16.40,55.84,35.25,91.92,9,7,0.47,2,0.00,0,6,4.38989
2PE,3.28,1,4.89,8.93,8,12,26.44,61.51,20.61,80.11,6,6,1.84,3,0.55,2,19,4.57305
2PE,0,0,5.98,8.42,5,11,21.14,61.81,28.84,87.43,8,8,0.00,0,3.79,7,26,4.40768
2PE,0.19,1,1.90,3.95,2,5,10.93,37.68,40.93,93.67,5,2,1.63,2,0.00,0,14,2.98622
2PE,0,0,7.70,15.9,4,13,23.76,75.08,24.33,71.71,7,3,0.69,2,0.00,0,33,6.51318
2PE,5.34,2,3.40,9.1,6,16,21.54,71.38,23.70,70.22,7,7,2.09,2,0.35,1,34,8.6072
2PE,0,0,3.32,6.43,5,9,21.62,53.80,19.05,95.14,7,7,9.00,3,9.12,16,20,4.47584
2PE,0,0,2.76,13.85,5,10,26.73,73.15,23.51,81.95,11,9,1.12,3,1.85,4,28,5.66785
2PT,0.4,2,1.87,4.1,2,5,14.77,44.68,25.28,85.32,4,4,0.44,2,26.42,21,25,5.6045
2PT,0,0,1.34,5.35,2,6,10.57,58.16,38.55,89.33,8,8,0.78,2,42.09,25,15,4.84926
2PT,2.72,1,1.25,4.2,4,11,17.86,57.87,33.93,97.45,16,12,1.20,5,5.35,10,13,6.06351
2PT,0,0,1.40,3.44,1,7,18.64,51.59,25.76,81.19,9,6,0.00,0,15.45,18,42,7.68052
2PT,1.2,1,0.60,9.1,2,13,17.46,58.94,21.94,81.90,15,12,0.56,2,8.40,8,24,6.05604
AAC,0.78,1,0.20,8.57,1,10,17.56,58.06,23.78,72.63,5,5,0.00,0,20.96,27,31,7.97754
AAC,33.45,4,2.75,12.72,4,9,18.95,79.14,27.06,72.45,9,5,0.00,0,0.00,0,13,4.49109
AAC,0,0,0.70,6.68,2,6,20.65,67.14,23.88,71.35,5,4,0.00,0,0.50,3,33,6.99181
AAC,0.72,1,0.58,4.36,2,7,16.41,53.87,30.21,97.03,10,9,4.97,10,28.79,26,27,5.94589
AAC,0,0,0.47,8.41,1,13,19.31,57.66,30.00,86.04,14,11,0.00,0,0.15,1,21,6.18237
AEP,1.65,1,5.47,10.17,7,12,25.87,70.93,19.05,75.64,3,3,0.25,1,6.22,7,24,6.75256
AEP,7.09,1,6.37,12.63,5,13,26.82,85.88,15.89,46.48,4,2,8.66,8,4.80,8,18,5.92508
AEP,4.15,3,5.02,11.23,5,10,27.34,65.55,25.55,89.70,4,3,5.63,3,0.00,0,23,4.5057
AEP,0,0,2.53,7.41,3,9,16.99,63.85,22.24,75.27,7,6,1.66,6,2.40,3,21,6.94468
AEP,3.16,2,5.23,16.16,4,11,34.16,89.92,17.34,60.91,6,4,2.77,8,0.00,0,17,3.86317
AMB,10.81,1,7.63,13.48,9,18,29.37,94.05,17.79,29.37,14,7,0.00,0,1.57,4,17,5.18635
AMB,0,0,5.58,9.93,8,12,24.25,61.24,21.19,61.62,7,7,14.38,3,1.32,1,31,6.21122
AMB,0,0,0.91,10.64,1,14,15.08,64.41,30.15,80.81,18,13,1.06,2,1.23,2,16,5.53789
