behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
HPO,0,0,0.72,1.85,2,6,14.41,48.54,29.59,90.67,13,12,9.91,3,1.35,3,31,6.06902
HXA,0,0,1.38,4.75,3,10,20.80,81.20,26.53,53.10,6,3,0.00,0,8.16,4,28,1.63379
HXA,0,0,0.83,2.15,2,4,17.69,38.65,27.41,98.56,6,4,3.55,5,2.65,1,27,4.16469
HXA,0,0,0.25,3.6,1,10,12.50,50.88,33.42,88.24,5,4,3.44,6,5.38,1,19,5.82603
HXA,0.75,1,2.51,4.59,3,9,26.97,62.07,20.64,77.70,5,5,3.22,2,1.09,1,27,6.24666
HXA,0,0,2.14,3.79,3,8,18.22,58.26,30.37,85.61,10,6,2.90,2,7.44,7,37,6.86187
HXO,0.22,1,0.19,1.65,1,4,5.77,26.52,45.78,133.24,6,6,1.07,4,0.00,0,12,3.68857
HXO,0.19,1,0.60,6.2,2,9,6.34,52.14,36.49,85.32,10,8,2.22,4,1.09,6,29,5.62284
HXO,0,0,1.27,2.02,2,4,14.03,41.03,20.72,62.08,3,3,4.66,8,0.00,0,9,3.67825
HXO,0.19,1,0.00,4.69,0,3,11.98,55.74,33.18,99.50,4,3,4.53,8,0.47,1,24,3.11329
HXO,0,0,2.44,6.02,5,12,20.28,52.00,26.34,91.04,8,7,2.94,5,0.98,4,31,5.78427
HXT,0,0,2.41,3.91,4,6,12.88,54.91,35.32,86.35,8,8,0.93,4,22.08,17,31,8.36402
HXT,0,0,0.60,3.89,1,5,19.20,61.52,29.97,90.46,8,7,0.00,0,9.01,9,20,6.01475
HXT,2.63,1,3.13,6.78,3,7,20.64,60.70,26.14,76.77,7,5,0.44,2,21.43,13,30,5.9687
HXT,0,0,0.22,3.03,1,4,21.84,54.99,22.12,66.61,5,2,2.71,5,16.37,13,25,4.46844
HXT,1.59,1,0.00,1.15,0,2,17.71,55.96,31.45,80.59,5,5,4.46,7,12.13,10,21,4.51615
IAA,2.53,1,1.25,4.88,4,9,13.87,46.38,29.68,86.56,13,10,0.50,2,1.22,11,17,6.37093
IAA,0,0,1.54,3.86,4,11,17.87,49.79,26.01,83.98,12,9,0.63,3,0.00,0,39,8.69524
IAA,0,0,1.01,1.75,4,7,22.43,51.29,27.53,85.06,5,4,0.41,2,0.18,1,16,4.94966
IAA,0,0,0.22,3.85,1,6,9.02,37.96,48.55,120.52,6,5,0.56,1,0.85,1,7,3.03703
IAA,0,0,1.86,4.39,6,14,19.22,50.67,22.48,80.88,7,5,0.87,3,0.53,2,30,6.88417
IBT,0,0,1.18,2.05,3,5,11.98,44.07,25.91,85.74,2,0,9.22,16,8.85,8,37,5.36491
IBT,0,0,1.93,3.99,4,9,8.49,43.76,29.60,86.94,6,5,3.91,10,2.19,4,42,7.07271
IBT,0,0,2.36,3.85,6,12,18.20,56.00,32.21,90.58,11,10,3.77,11,5.15,7,28,6.98601
IBT,0,0,2.03,4.06,3,8,14.31,49.49,30.78,95.10,7,5,0.00,0,0.74,2,22,5.45024
IBT,0,0,1.21,5.09,4,12,17.90,50.11,26.33,81.28,11,10,1.06,4,0.18,1,25,6.10795
IND,0.19,1,4.85,11.8,6,13,24.79,69.02,22.87,78.19,8,6,1.07,3,5.92,10,38,7.64352
IND,0,0,9.19,13.87,9,12,29.97,56.68,16.35,83.02,10,7,2.47,3,0.00,0,44,5.60652
IND,0,0,6.32,10.68,6,11,34.07,74.67,19.33,69.59,9,9,0.25,1,5.71,8,20,4.54847
IND,0,0,18.11,27.02,9,17,33.67,88.98,21.20,63.34,4,3,2.82,4,0.32,1,28,6.19075
IND,5.34,4,4.73,18.44,4,11,20.40,88.09,26.44,69.23,6,3,2.59,3,0.69,2,18,3.79995
ION,0,0,2.78,6.97,4,10,26.49,76.02,21.19,62.75,7,6,0.22,1,13.43,9,20,4.59043
ION,0,0,3.45,8.07,3,11,28.07,88.59,22.21,60.50,6,6,0.25,1,3.28,4,38,6.92931
ION,0,0,3.06,6.6,5,11,19.91,65.38,24.97,75.67,7,5,0.22,1,12.26,9,33,6.24453
ION,5.88,2,4.73,14.52,4,20,25.04,84.79,17.85,50.95,13,9,1.75,3,1.15,2,23,6.57806
ION,0,0,3.47,9.04,8,14,23.17,60.95,24.35,77.07,7,7,1.25,5,3.12,3,29,5.67658
IPT,0,0,0.50,2.03,2,6,19.77,47.43,23.08,86.58,7,4,0.00,0,17.43,17,33,5.83177
IPT,0,0,1.10,2.7,2,6,17.34,41.38,21.94,76.82,7,7,2.59,2,4.55,8,14,4.31094
IPT,0,0,0.91,3.28,1,7,15.31,45.93,28.81,86.23,8,7,0.28,1,1.25,3,30,6.02058
IPT,0,0,0.82,2.94,1,6,19.18,63.45,24.44,72.42,4,4,0.00,0,12.70,11,26,5.88691
IPT,0,0,2.24,5.7,4,11,16.27,44.15,36.10,106.74,12,10,0.00,0,0.00,0,14,4.84387
LIN,0,0,2.05,5.58,3,7,22.34,56.32,25.73,93.38,8,7,0.34,1,4.15,5,29,4.79209
LIN,0.12,1,2.30,5.64,6,12,20.80,55.78,20.36,78.13,8,6,2.53,4,5.52,11,37,7.26174
LIN,0,0,1.44,5.32,3,8,8.33,51.32,43.12,96.48,8,5,2.70,5,11.68,5,15,3.66799
LIN,0,0,1.77,6.07,3,11,23.17,56.10,21.11,85.09,15,13,0.00,0,1.53,3,17,5.23797
LIN,0,0,1.60,5.78,3,8,13.85,51.76,38.18,103.62,7,7,4.12,7,1.94,5,16,4.34638
M1P,0,0,0.00,1.52,0,3,14.04,50.08,29.59,96.27,11,11,0.85,3,18.73,13,20,6.54834
M1P,0.85,1,3.00,8.96,3,8,22.03,74.83,20.85,66.98,5,4,1.88,5,5.20,8,26,6.64939
M1P,0,0,3.78,8.81,6,12,22.17,58.50,28.58,94.91,12,10,1.87,7,2.17,2,33,7.61872
M1P,0,0,1.07,5.2,2,7,21.76,59.87,24.99,82.84,5,5,8.47,5,6.95,10,26,6.67502
M1P,0,0,0.00,3.8,0,3,4.14,12.87,44.23,137.89,5,4,4.12,2,0.00,0,10,2.73801
M1P,0,0,3.00,12.42,3,12,24.05,79.78,22.92,65.85,8,4,0.00,0,2.03,3,15,3.98808
M1P,0.19,1,1.13,10.2,2,13,25.42,70.58,30.48,81.55,7,4,5.81,2,0.97,2,12,2.83252
MBA,0,0,2.12,6.05,3,7,25.13,62.81,17.88,79.24,5,3,0.00,0,2.96,5,28,4.36743
MBA,0,0,0.58,5.69,3,12,22.65,69.88,22.34,66.92,18,14,0.00,0,0.00,0,24,6.02248
MBA,0,0,1.47,5.85,4,10,19.94,60.50,27.03,87.47,5,3,0.00,0,21.12,20,25,5.59622
MBA,0.31,1,4.62,11.99,6,14,21.17,67.79,23.88,58.86,10,5,0.00,0,0.00,0,28,4.36682
MBA,0,0,3.03,5.93,5,11,19.93,62.36,25.17,63.24,6,4,0.00,0,17.53,13,22,5.40434
MEN,0,0,0.00,5.82,0,6,9.78,59.32,47.46,97.08,6,4,3.48,6,0.00,0,11,2.69739
MEN,0,0,1.10,3.2,1,7,9.55,59.24,42.15,84.81,4,3,0.00,0,20.47,12,14,4.24329
MEN,0,0,1.09,3,2,8,10.80,43.64,39.05,107.99,11,10,2.88,4,1.46,3,18,4.8556
MEN,0,0,0.81,0.81,2,2,10.57,26.39,39.48,135.28,4,4,0.38,1,1.38,2,9,2.50541
MEN,0,0,0.50,2.39,1,4,3.93,30.31,40.64,115.70,4,4,0.56,1,0.63,1,8,2.58421
MUS,0,0,4.43,8.19,6,11,16.68,81.12,27.26,65.73,4,3,4.59,3,1.00,1,19,4.35121
MUS,0,0,4.97,28.08,3,10,25.69,80.71,26.14,67.27,4,3,1.79,3,3.18,8,31,6.00337
MUS,0,0,2.76,6.63,3,6,24.26,53.83,16.87,76.04,5,5,2.14,2,0.53,3,32,6.16714
MUS,0,0,2.85,6.22,2,9,22.46,72.10,28.44,74.33,9,5,1.05,2,0.15,1,32,5.23578
MUS,2.97,2,3.12,8.2,3,9,26.16,68.09,25.31,83.28,5,4,1.65,2,0.72,2,31,6.90417
MUS,0,0,1.12,2.93,3,8,26.99,77.80,23.20,73.90,6,5,1.75,3,6.12,8,33,6.50734
MUS,2.75,1,1.09,6.04,2,6,21.05,75.05,28.96,85.95,3,3,10.67,9,4.45,9,26,4.88331
MUS,0.19,1,3.87,11.63,5,12,24.86,74.47,22.32,66.42,7,6,1.28,5,9.16,12,24,5.90899
NMP,3.74,2,2.73,9.99,5,12,22.41,77.09,25.40,72.48,8,5,3.04,7,0.83,2,26,6.34049
NMP,2.28,1,1.47,8.35,6,13,13.24,55.97,34.02,86.11,9,4,8.41,6,0.00,0,12,3.95777
NMP,2.37,1,3.39,10.01,5,12,25.01,72.87,21.57,73.13,5,5,2.43,6,1.78,4,23,5.44098
NMP,0,0,2.26,4.68,4,10,21.38,65.28,25.47,70.15,5,3,10.50,4,1.44,2,12,3.5082
NMP,1.94,0,1.62,6.84,6,11,23.30,62.73,27.70,85.20,7,5,4.69,8,0.00,0,32,5.93093
NMP,4.8,1,2.74,9.54,3,11,23.82,92.78,21.35,59.75,8,7,3.69,7,7.52,8,23,5.57262
NMP,0,0,2.09,7.7,2,7,22.51,68.18,26.78,89.85,7,6,1.31,2,1.52,5,17,4.55493
NMP,7.85,1,2.88,11.12,3,9,22.45,73.55,29.27,76.69,8,7,8.10,3,0.97,3,23,5.06569
OCA,0,0,2.11,6.08,4,8,27.91,70.90,15.85,59.53,5,4,2.27,6,3.79,5,40,6.31343
OCA,0.91,1,2.00,9.61,3,10,23.65,69.57,23.42,66.87,9,8,19.50,6,0.00,0,26,5.19065
OCA,0,0,1.38,8.08,3,14,25.70,79.97,19.55,61.40,12,7,0.88,3,1.59,1,21,5.80202
OCA,1.62,2,6.50,14.15,7,14,24.71,69.99,23.78,84.85,7,7,0.00,0,0.68,3,16,4.86558
OCA,0,0,1.88,6.63,2,10,14.32,53.12,30.53,93.61,11,9,2.94,1,22.08,18,26,6.91544
OCN,0,0,3.15,18.8,3,17,13.66,52.43,36.31,92.69,6,5,2.59,5,1.42,5,9,3.36444
OCN,0.22,1,1.79,10.36,3,8,24.14,50.76,23.09,93.45,4,3,0.80,3,4.36,8,23,5.59608
OCN,0,0,3.97,5.23,4,7,19.92,67.10,28.27,71.87,6,5,3.91,6,5.69,9,36,6.99586
OCN,0,0,0.87,4.66,2,7,10.12,34.22,37.85,108.30,7,7,0.84,3,10.97,8,21,4.98579
OCN,0,0,2.03,6.7,5,10,14.29,53.08,33.90,88.38,7,5,2.22,6,5.03,8,27,5.88271
OCO,2.49,2,2.07,9.27,4,9,18.31,63.44,27.49,75.91,7,7,1.84,8,0.68,2,24,4.94074
OCO,0.37,2,3.85,7.77,5,8,20.72,61.84,24.18,78.90,8,7,1.10,5,0.00,0,40,7.31137
OCO,0,0,1.47,4.78,3,10,15.86,44.61,33.54,97.07,12,11,0.44,2,0.15,1,22,5.62365
OCO,3.33,5,4.23,11.56,6,13,24.26,83.02,23.51,66.59,9,8,10.41,9,9.29,11,28,7.0431
OCO,0.4,2,3.87,11.32,6,14,25.30,86.16,27.02,60.26,5,4,1.31,3,1.94,2,36,6.71014
OCT,1.75,1,2.41,7.32,5,8,19.42,56.94,28.94,87.65,6,5,1.18,4,2.89,5,13,3.704
OCT,0,0,2.80,8.1,3,7,23.55,70.02,18.86,71.67,7,3,1.81,7,0.25,1,12,3.86543
OCT,4.5,1,4.00,9.7,4,12,19.53,69.65,32.18,71.62,7,4,0.00,0,0.00,0,13,3.93882
OCT,14.59,2,2.77,9.27,2,10,18.32,82.22,27.17,74.00,3,0,12.81,4,0.15,1,14,4.00563
OCT,0,0,4.40,10.12,4,13,38.07,78.80,15.06,71.91,3,2,2.45,7,2.63,8,17,4.50556
OTT,0.9,1,3.10,6.61,3,9,13.84,32.43,23.62,76.09,9,7,12.52,8,0.00,0,13,3.35997
OTT,16.77,6,4.25,15.15,8,18,31.74,87.74,15.17,47.80,10,5,0.87,3,9.38,10,31,7.2462
OTT,3,1,2.69,9.66,3,8,21.43,62.29,25.34,83.96,9,8,0.72,3,3.81,11,35,6.83333
OTT,0,0,1.44,7.7,1,7,13.95,77.00,36.53,78.94,8,5,0.65,2,0.22,1,20,3.86698
OTT,12,5,2.75,15.3,2,11,21.96,78.30,23.31,50.71,2,1,1.56,2,6.35,4,29,3.19212
PEA,0,0,2.13,5.87,4,8,16.18,54.44,32.04,87.28,7,4,7.15,4,0.40,2,15,4.37993
PEA,2.94,2,2.10,5.76,4,11,21.33,55.40,22.59,73.00,4,1,7.67,3,5.43,15,32,7.08126
PEA,0,0,1.41,5.53,4,8,20.02,71.21,24.43,66.49,5,2,0.41,2,6.39,13,13,4.40494
PEA,0,0,2.51,4.85,2,6,20.64,53.55,26.71,88.56,6,2,0.97,3,0.00,0,19,4.06782
PEA,5.85,2,3.81,8.43,5,10,17.38,55.40,20.69,64.95,6,4,0.81,3,0.39,2,16,5.10699
PEA,0,0,1.77,3.88,4,7,23.01,57.01,21.65,73.12,4,3,0.00,0,0.31,2,32,5.64425
PEA,0,0,2.34,3.73,3,5,22.96,62.58,22.06,69.17,6,5,0.00,0,0.97,4,18,4.73971
PEA,0.25,1,2.22,6.77,5,15,17.82,69.80,19.74,60.26,8,5,0.00,0,2.34,1,23,5.56079
PIN,0,0,1.70,7.02,4,10,22.65,72.01,21.27,55.46,10,3,4.25,4,0.00,0,44,6.4676
PIN,0,0,2.19,7.72,4,13,13.39,46.66,31.16,99.84,13,11,8.10,4,1.12,2,35,7.67031
PIN,0,0,1.80,3.66,4,7,15.23,43.30,28.17,83.23,5,5,0.50,1,0.00,0,37,7.19606
PIN,0,0,2.69,6.77,5,10,16.36,29.06,36.23,65.84,9,6,14.56,3,0.31,1,36,4.79283
PIN,0,0,1.59,6.72,3,8,11.98,43.96,42.00,95.86,8,6,3.79,6,0.00,0,18,3.43131
PPA,42.48,8,4.10,10.15,5,13,28.47,103.59,16.38,41.16,3,3,14.79,4,0.00,0,28,5.07372
PPA,0.25,1,8.64,16.58,7,19,35.11,91.62,9.50,41.82,1,1,9.57,3,9.57,5,13,4.03107
PPA,4.66,2,6.00,18.87,4,12,29.10,86.08,16.69,58.25,4,0,0.38,1,0.00,0,39,6.10011
PPA,2.28,1,1.53,6.53,3,9,21.07,62.57,24.16,74.57,9,6,2.44,2,7.02,9,31,8.90294
PPA,23.37,5,2.51,13.95,4,11,NA,NA,NA,NA,6,3,0.00,0,2.03,4,24,6.12818
PPA,0.56,1,5.35,7.75,9,14,34.82,81.31,12.68,53.54,7,7,10.49,4,7.33,6,26,5.96235
PUT,8.65,1,6.51,14.69,6,12,24.49,82.58,18.17,57.28,7,7,2.19,5,11.58,17,15,4.54947
PUT,0,0,2.72,8.52,3,7,24.54,83.54,22.32,48.09,6,5,0.88,3,0.38,2,23,3.70735
PUT,0,0,4.56,12.57,4,11,28.72,70.55,19.27,71.72,10,7,0.00,0,6.01,7,11,4.59059
PUT,25.04,3,6.62,15.58,4,11,29.15,102.69,22.04,51.60,7,6,0.53,2,0.00,0,12,3.0401
PUT,0,0,6.06,9.21,7,12,25.11,69.90,26.72,82.12,6,4,0.00,0,6.90,10,25,5.31131
PYR,0,0,1.47,3.38,2,4,13.36,36.62,36.07,106.45,5,5,2.10,6,1.47,1,12,3.57857
PYR,0.68,2,3.50,9.1,4,8,16.95,57.07,30.90,93.89,5,3,2.08,4,2.47,7,23,6.02656
PYR,0,0,5.60,8.4,5,9,21.99,57.65,23.76,81.08,10,8,0.00,0,3.39,5,28,5.61675
PYR,0,0,2.51,6.52,4,9,19.39,67.93,24.95,83.12,8,7,1.93,2,5.23,6,12,3.44898
PYR,2.69,1,4.31,13.08,6,14,25.98,104.34,27.43,59.13,9,6,0.66,2,4.81,2,14,3.28959
PYR,0,0,4.81,11.1,3,13,25.45,69.95,29.06,78.24,9,7,5.85,12,2.49,5,15,4.07689
PYR,19.04,3,5.37,11.62,5,11,81.22,81.22,25.35,70.32,8,6,0.31,1,0.97,1,11,3.49549
PYR,0,0,0.69,6.26,1,7,12.05,39.23,34.45,82.64,12,12,0.31,1,1.03,2,8,3.9967
PYR,0,0,1.75,8.05,1,8,17.60,68.23,27.76,81.70,11,9,0.00,0,0.82,3,27,5.14438
PYR,0.6,1,1.19,13.41,1,13,12.08,80.79,36.65,67.87,8,5,0.94,1,2.97,1,19,4.31673
QUI,0,0,1.78,3.72,2,6,24.68,65.02,24.53,89.61,5,5,3.06,8,0.75,1,31,6.67929
QUI,0,0,2.00,4.72,3,8,15.10,52.61,29.91,90.55,4,4,0.00,0,2.50,3,38,7.07859
QUI,0,0,2.63,6.55,3,9,21.59,57.10,27.79,97.44,6,4,0.22,1,15.42,21,27,7.28801
QUI,0,0,2.91,6.83,2,6,14.67,48.64,37.60,111.34,7,5,0.37,1,0.31,1,20,4.04974
QUI,1.06,2,1.65,6.48,2,8,14.64,54.18,33.13,94.01,7,5,3.47,6,1.94,4,24,5.01972
ROX,0,0,1.90,3.22,2,5,20.41,58.92,27.76,82.98,7,7,1.16,4,3.69,6,43,7.03658
ROX,0,0,1.70,4.94,4,9,23.47,57.77,24.62,90.99,5,4,0.00,0,4.14,11,41,5.94816
ROX,0,0,0.63,3.47,2,6,22.97,68.90,26.99,73.15,6,5,2.71,5,8.96,11,24,5.66184
ROX,0,0,3.00,4.7,5,9,20.40,64.89,24.15,71.84,7,6,0.00,0,10.87,14,34,6.75552
ROX,0,0,0.60,1.53,2,5,13.04,32.71,37.76,108.28,7,7,1.45,5,0.28,1,6,2.70191
SKA,0,0,2.12,7.06,3,9,16.13,44.80,29.60,90.87,10,10,2.40,4,0.00,0,23,4.76551
SKA,0,0,3.55,7.24,4,9,22.96,54.09,24.99,90.33,9,6,2.37,4,0.00,0,22,4.39612
SKA,0,0,1.93,3.77,1,4,10.59,40.31,33.51,108.99,5,5,3.19,3,0.50,1,14,3.43468
SKA,0,0,2.10,6.86,4,11,10.82,51.84,33.10,90.20,8,8,2.03,4,0.00,0,21,4.90035
SKA,0,0,4.05,9.4,2,8,18.37,90.29,36.85,80.87,6,3,2.78,4,0.25,1,16,3.12399
SPD,0,0,2.91,6.35,6,12,25.32,62.33,22.38,69.34,10,8,0.00,0,14.55,23,27,6.66512
SPD,0,0,3.92,7.22,3,9,27.18,66.40,14.60,66.10,10,4,12.53,2,16.24,9,25,3.79845
SPD,0,0,3.16,12.9,5,12,24.26,77.75,24.35,69.79,13,9,0.29,1,9.67,11,26,5.51129
SPD,0,0,2.50,20.66,5,16,18.59,76.01,29.76,50.07,6,5,1.12,3,3.10,5,24,5.83469
SPD,9.4,3,0.50,10.85,2,12,23.84,78.90,26.15,71.40,5,2,1.90,5,0.00,0,19,4.34832
SPN,0,0,3.00,3.38,5,6,24.20,69.24,20.67,73.59,5,4,13.40,7,8.42,15,21,5.95727
SPN,0,0,3.54,4.19,6,8,21.42,52.40,29.16,98.76,8,5,0.50,3,0.75,1,24,4.94286
SPN,0,0,5.08,8.69,10,16,37.40,96.02,9.91,40.67,8,7,0.00,0,1.75,3,24,5.60195
SPN,0,0,2.30,5.62,3,9,22.69,60.95,19.63,81.63,8,4,0.47,1,0.00,0,33,6.10233
SPN,0,0,3.58,6.86,6,13,23.69,60.43,21.82,92.29,7,4,2.91,3,1.47,2,25,4.38192
SPN,0.22,1,6.11,15.3,7,10,26.40,78.38,19.10,57.38,4,1,0.72,2,8.48,12,38,5.75982
SPN,2.19,3,2.82,8.79,5,14,31.70,81.55,19.27,59.23,8,4,0.00,0,8.29,13,32,5.82552
T2H,0,0,0.20,3.59,1,6,9.19,45.49,33.26,95.18,10,10,1.12,4,13.08,16,27,7.76235
T2H,7.6,4,1.13,14.09,1,12,23.39,82.46,25.15,70.57,9,8,5.28,6,0.00,0,12,4.63229
T2H,0,0,1.38,14.1,2,14,28.77,79.20,23.34,70.07,12,11,7.24,6,0.00,0,20,5.59037
T2H,0,0,0.00,6.22,0,5,16.92,52.06,35.07,98.80,5,5,1.33,4,0.00,0,12,3.33217
T2H,0,0,0.00,11.32,0,8,8.23,46.89,39.85,98.88,8,6,3.85,4,0.15,1,10,3.53951
TMA,8.41,3,6.05,8.8,8,13,NA,NA,NA,NA,5,1,0.00,0,3.59,6,25,4.4979
TMA,2.9,2,3.41,8.62,2,7,26.51,73.74,21.06,68.39,5,2,8.19,2,0.00,0,17,3.60053
TMA,2.74,4,6.39,10.4,7,13,28.95,85.95,19.68,65.33,8,2,4.28,1,0.00,0,41,6.34632
TMA,0,0,5.27,10.87,8,18,29.02,75.98,13.43,60.73,7,5,0.00,0,0.66,3,19,4.87628
TMA,3.25,1,4.79,13.82,7,13,25.60,80.57,22.00,63.24,11,8,2.75,3,2.56,4,16,5.6023
TMA,0,0,4.83,9.17,5,10,28.18,70.54,15.73,56.14,7,2,1.59,3,0.00,0,14,3.13065
TMT,0,0,1.57,5.67,4,8,19.82,67.82,23.70,75.85,7,6,1.47,5,4.85,5,24,5.88616
TMT,0,0,0.44,3.75,1,7,15.05,43.98,25.43,91.63,9,8,0.63,2,0.00,0,13,5.89809
TMT,0,0,1.38,2.58,2,5,19.93,47.61,26.59,91.81,6,5,0.00,0,9.04,5,23,6.1337
TMT,0,0,2.25,6.59,4,10,14.31,60.39,31.36,81.53,6,6,0.72,3,0.00,0,18,3.98976
TMT,0,0,1.21,5.56,2,7,10.94,49.51,38.56,86.52,5,4,6.78,3,0.00,0,12,3.71612
TOL,2.75,1,2.70,5.64,4,7,31.64,67.54,15.95,64.86,6,5,3.64,8,1.10,1,20,5.45649
TOL,0,0,0.69,2.99,2,9,18.49,48.49,25.96,86.55,4,4,0.00,0,8.03,6,33,6.48638
TOL,0,0,1.47,9.51,3,14,20.06,68.92,32.62,79.19,13,11,0.00,0,12.27,15,23,7.12429
TOL,12.32,2,2.90,11.34,5,13,26.32,76.82,22.19,70.61,10,9,0.00,0,0.47,1,26,7.10198
TOL,4.47,2,2.35,10.8,2,13,22.01,90.45,27.12,56.97,6,4,3.27,6,0.15,1,25,5.76509
VAN,0,0,2.27,4.78,4,8,22.64,80.64,26.64,57.51,5,2,1.15,5,5.40,7,32,5.83407
VAN,0,0,4.28,7.18,3,10,24.97,68.34,18.99,75.42,8,1,0.96,4,4.37,7,37,6.43853
VAN,3.44,2,6.40,10.85,6,10,29.88,63.41,17.35,65.14,4,2,11.53,4,9.75,15,30,4.98233
VAN,5.7,1,3.64,17.21,6,15,24.14,95.13,23.40,50.34,5,2,1.31,4,6.10,9,26,4.93772
VAN,1.09,1,4.04,7.16,3,7,23.35,55.32,22.36,84.69,4,2,5.72,2,9.08,10,24,5.16945
