"Mixture.Number","Mixture.Cids","Experiment"
"9","7799 7363 61138 8025 443158 264 12020 527 263 1032 84682 10448 7895 7284 11173 8103 637566 638011 24915 31266","Exp4,5"
"10","7799 1068 6590 31244 7150 61138 7793 443158 22386 5284503 637566 10890 8842","Exp4,5"
"11","7799 1068 6590 31244 176 180 7150 61138 8025 6561 443158 22386 62336 527 9609 1032 6569 84682 6276 10448 8857 7895 11173 5284503 5318042 8103 637566 638011 637776 10890","Exp4,5"
"12","1068 6590 31244 1031 176 180 3776 7363 7150 7793 12020 6584 1032 6569 8857 637566 10430","Exp4,5"
"13","7799 1031 176 180 14286 8025 6561 7793 264 11552 12020 22386 263 6584 84682 8063 5284503 5318042 8103 3314 10430","Exp4,5"
"14","7799 6590 31244 1031 180 3776 7363 7150 14286 61138 19310 443158 264 12020 22386 62336 527 263 6584 1032 84682 6276 7895 7284 5284503 638011 637776 24915 31266","Exp4,5"
"15","1031 7363 14286 19310 12020 263 1032 6569 8063 6276 7895 7284 3314 10430","Exp4,5"
"16","31244 7150 8025 11552 22386 6584 6569 6276 10448 7895 7284 261 5284503 638011 637776 8842 10430","Exp4,5"
"17","7799 1068 6590 1031 7150 61138 8025 19310 6561 7793 11552 12020 263 6276 10448 7895 261 5284503 5318042 638011 637776 8842 10430","Exp4,5"
"18","6590 31244 176 180 7363 7150 61138 8025 19310 6561 443158 11552 12020 62336 263 9609 1032 6276 10448 7895 7284 8103 638011 637776 24915 3314","Exp4,5"
"19","7799 6590 31244 1031 180 3776 7363 61138 8025 19310 6561 443158 264 22386 62336 527 263 6584 6569 10448 8857 7284 11173 261 5318042 8103 638011 637776 31266 3314","Exp4,5"
"20","7799 1068 6590 31244 176 180 3776 7150 14286 61138 19310 6561 443158 11552 527 9609 1032 6569 10448 8857 7895 7284 11173 261 637566 637776 10890 31266 3314 8842","Exp4,5"
"21","1068 1031 176 180 7363 61138 19310 443158 22386 62336 9609 6584 1032 6569 84682 8063 6276 5284503 8103 637566 638011 31266 3314 10430","Exp4,5"
"22","31244 176 3776 6561 264 9609 6584 84682 6276 11173 261 8103 637566 637776 24915 8842","Exp4,5"
"23","6590 31244 3776 7150 61138 19310 7793 22386 62336 527 9609 6584 1032 8857 7895 5284503 8103 637566 8842","Exp4,5"
"24","6590 180 6561 22386 527 263 6569 10448 8857 637776","Exp4,5"
"25","7799 176 7363 19310 6561 264 12020 62336 84682 8857 7895 7284 5318042 638011 24915 31266","Exp4,5"
"26","6590 31244 7363 61138 19310 6561 264 1032 6569 84682 10448 261 5284503 5318042","Exp4,5"
"27","6590 31244 176 180 61138 8025 19310 7793 443158 12020 527 263 1032 6569 84682 8063 7895 11173 261 5284503 5318042 637566 638011 637776 10890 31266 3314 8842 10430","Exp4,5"
"28","1031 176 7363 7150 8025 6561 7793 11552 527 6584 1032 10448 7895 7284 11173 5284503 637566 638011 10890 8842","Exp4,5"
"29","6590 31244 3776 7150 6561 7793 443158 264 12020 527 263 9609 8063 6276 8857 7895 7284 261 5318042 8103 638011 24915 31266 3314 10430","Exp4,5"
"30","7799 1031 176 3776 7793 22386 9609 8063 7895 11173 5318042 638011 31266 10430","Exp4,5"
"31","6590 31244 1031 180 7363 61138 264 22386 527 263 10448 7284 5318042 8103 637776 10890 31266 3314","Exp4,5"
"32","7799 180 3776 7363 61138 8025 19310 6561 7793 264 12020 22386 527 263 6584 8063 8857 7895 7284 5284503 8103 638011 10890 24915 31266 3314 8842","Exp4,5"
"33","1068 6590 1031 3776 7150 14286 19310 12020 8063 6276 8857 7284 5318042 8103 637566 638011 10890 3314 8842","Exp4,5"
"34","6590 7150 14286 61138 7793 443158 11552 22386 263 9609 84682 8063 8857 31266","Exp4,5"
"35","7799 1068 6590 31244 176 180 7150 61138 8025 6561 443158 22386 62336 527 9609 1032 6569 84682 6276 10448 8857 7895 11173 5284503 5318042 8103 637566 638011 637776 10890","Exp4,5"
"36","180 7363 1032 5284503 8103 637776 10890 24915 3314 10430","Exp4,5"
"37","31244 3776 61138 19310 7793 12020 263 9609 6569 84682 8857 7284 5318042","Exp4,5"
"38","7799 1068 6590 1031 176 61138 19310 7793 443158 11552 22386 9609 8063 6276 10448 8857 7895 11173 261 5284503 5318042 8103 637566 637776 24915 3314","Exp4,5"
"39","31244 1031 176 3776 443158 11552 22386 527 6584 6569 84682 8063 6276 8857 261 5284503 5318042 8103 638011 637776 31266","Exp4,5"
"40","7799 1031 176 180 14286 8025 6561 7793 264 11552 12020 22386 263 6584 84682 8063 5284503 5318042 8103 3314 10430","Exp4,5"
"41","7799 31244 7150 14286 8025 19310 7793 443158 11552 12020 22386 62336 527 84682 8063 6276 10448 7284 5284503 5318042 8103 637566 638011 24915 31266 10430","Exp4,5"
"42","7799 1068 31244 1031 176 7150 61138 7793 443158 11552 22386 527 263 6584 1032 84682 8063 6276 7284 11173 5318042 8103 637566 638011 637776 3314 8842 10430","Exp4,5"
"43","7799 1068 6590 1031 180 3776 7363 7150 14286 61138 8025 19310 6561 7793 443158 11552 12020 22386 62336 6584 6569 10448 7895 7284 11173 638011 637776 10890 8842 10430","Exp4,5"
"44","7799 1068 6590 31244 180 7150 8025 19310 6561 443158 264 12020 527 263 8063 6276 10448 8857 11173 261 5284503 5318042 637566 638011 637776 10890 24915 10430","Exp4,5"
"45","7799 1068 31244 1031 176 180 7363 14286 61138 8025 19310 7793 443158 264 11552 12020 527 263 1032 8063 8857 7284 11173 8103 637566 638011 24915 3314 10430","Exp4,5"
"46","1031 7363 7150 8025 527 84682 5318042 637566 638011 3314 10430","Exp4,5"
"47","6590 31244 176 180 7150 14286 6561 7793 443158 22386 62336 527 9609 6584 6569 8063 6276 7895 11173 5284503 5318042 637566 637776 31266 10430","Exp4,5"
"48","7363 14286 8025 6561 264 22386 62336 6569 84682 8063 11173 261 8103 637776 10890 24915 31266 3314 10430","Exp4,5"
"49","6561 264 9609 1032 84682 10448 11173 637566 638011 637776 10890","Exp4,5"
"50","7799 6590 1031 176 180 7150 61138 6561 7793 264 12020 22386 62336 9609 6584 1032 84682 10448 7895 7284 11173 5318042 8103 10890 31266 10430","Exp4,5"
"51","7799 6590 31244 3776 7363 7150 14286 61138 8025 19310 6561 7793 12020 22386 62336 527 263 6584 8063 10448 8857 11173 637566 638011 637776 24915 31266 10430","Exp4,5"
"52","1031 7363 7150 8025 527 84682 5318042 637566 638011 3314 10430","Exp4,5"
"53","7799 6590 31244 1031 7150 61138 19310 6561 7793 443158 11552 527 263 6584 1032 84682 10448 7284 5284503 637566 638011 637776 10890 24915 31266 3314 8842 10430","Exp4,5"
"54","180 7363 7150 14286 61138 8025 19310 443158 264 11552 12020 22386 62336 527 9609 6569 84682 8063 6276 10448 7895 11173 261 5318042 8103 637566 638011 10890 24915 10430","Exp4,5"
"55","6590 31244 180 3776 7363 14286 19310 6561 264 9609 6569 6276 8857 7284 5318042 637566 638011 24915 31266 8842 10430","Exp4,5"
"56","7799 1068 31244 1031 176 7150 61138 7793 443158 11552 22386 527 263 6584 1032 84682 8063 6276 7284 11173 5318042 8103 637566 638011 637776 3314 8842 10430","Exp4,5"
"57","1068 7150 14286 6561 7793 11552 22386 263 6569 8063 6276 8857 7284 261 5318042 8103 637566 637776 10430","Exp4,5"
"58","6590 7363 14286 61138 8025 264 12020 22386 263 9609 1032 8063 11173 10890 31266 10430","Exp4,5"
"59","6590 176 6561 264 62336 10448 8857 7284 11173 261 5318042 8103 638011 10890","Exp4,5"
"60","1068 31244 176 180 3776 7363 7150 61138 8025 7793 264 11552 22386 527 9609 6584 6569 84682 8063 6276 10448 7284 11173 261 10890 24915 10430","Exp4,5"
"61","7799 1068 31244 176 180 3776 7363 14286 19310 264 11552 12020 22386 527 263 9609 84682 8063 6276 10448 7284 11173 5318042 8103 638011 637776 10890 31266 8842","Exp4,5"
"62","7799 1068 6590 31244 176 7363 61138 6561 443158 12020 62336 527 6584 10448 8857 7895 11173 261 5284503 8103 31266 3314","Exp4,5"
"63","1068 31244 176 3776 7150 61138 8025 6561 62336 527 263 9609 6569 8063 5318042 3314 8842","Exp4,5"
"64","7799 1068 6590 31244 1031 176 180 3776 7363 14286 61138 8025 443158 12020 62336 527 263 9609 6584 84682 6276 10448 7284 11173 5318042 8103 637566 24915 31266 3314","Exp4,5"
"65","1031 176 3776 14286 19310 6561 7793 12020 263 6276 7284 8103 10890","Exp4,5"
"66","7799 1068 1031 180 3776 7363 8025 19310 6561 264 12020 62336 6584 1032 6276 10448 261 5318042 10890 31266 8842 10430","Exp4,5"
"67","1068 3776 7363 61138 443158 527 1032 84682 7284 637776 3314","Exp4,5"
"68","7799 1068 6590 1031 176 180 7363 7150 14286 61138 6561 12020 9609 6584 84682 6276 10448 8857 7284 11173 261 5284503 8103 637566 637776 10890 3314 8842 10430","Exp4,5"
"69","61138 264 11552 9609 8063 6276 10448 11173 5284503 8103","Exp4,5"
"70","1068 8025 6561 264 22386 263 9609 6584 6569 261 5318042 10890 3314","Exp4,5"
"71","1031 3776 7150 22386 6584 8063 6276 8857 261 8103 31266","Exp4,5"
"72","7799 1068 31244 1031 7793 264 62336 9609 6584 1032 6276 8857 7895 7284 11173 261 5284503 24915 3314 8842","Exp4,5"
"73","31244 1031 176 180 3776 7363 19310 6561 443158 264 11552 12020 62336 9609 1032 6569 84682 8063 6276 7895 7284 11173 261 5284503 5318042 637566 638011 10890 31266","Exp4,5"
"74","6590 176 6561 443158 264 11552 12020 62336 6569 84682 10448 8857 261 5318042 637566 638011 637776 10890","Exp4,5"
"75","1068 31244 61138 527 9609 6569 10448 7895 261 5318042 8103 638011 8842 10430","Exp4,5"
"76","6590 3776 7150 8025 263 9609 8857 261 637776 24915","Exp4,5"
"77","1068 31244 7150 14286 8025 7793 264 22386 261 5318042 31266","Exp4,5"
"78","180 7363 7793 11552 12020 22386 263 84682 6276 7895 7284 261 5284503 5318042 8103 638011 637776 24915 3314","Exp4,5"
"79","1068 1031 61138 7793 10448 7284 637566 637776 31266 3314 8842","Exp4,5"
"80","1068 6590 61138 6561 7793 22386 8857 11173 261 638011 637776","Exp4,5"
"81","6590 176 7363 14286 443158 11552 12020 22386 10448 7284 11173 5284503 5318042 637566 638011 637776 10890 31266 3314","Exp4,5"
"82","1068 31244 180 7363 7150 8025 7793 443158 264 527 9609 6584 1032 84682 6276 10448 8857 7284 11173 5284503 8103 637566 638011 637776 3314 10430","Exp4,5"
"83","6590 176 7150 8025 19310 443158 264 6569 11173 261 8103 637566","Exp4,5"
"84","180 3776 7363 7150 61138 8025 7793 11552 12020 22386 62336 527 6584 84682 8063 6276 10448 638011 637776 10890 24915 31266 8842 10430","Exp4,5"
"85","31244 180 8025 6561 11552 527 263 6584 84682 6276 8857 11173 261 10890 24915 3314 10430","Exp4,5"
"86","1068 6590 31244 1031 3776 7363 7150 8025 19310 6561 443158 264 11552 12020 62336 527 9609 6584 1032 10448 8857 11173 261 8103 638011 10890 31266 3314 10430","Exp4,5"
"87","1068 6590 31244 176 3776 7150 8025 19310 7793 443158 264 12020 22386 1032 6569 84682 8063 6276 10448 8857 11173 5318042 8103 637566 638011 637776 3314 8842 10430","Exp4,5"
"88","1068 3776 7363 61138 8025 19310 22386 62336 84682 8063 6276 10448 7284","Exp4,5"
