Stimulus 1,Stimulus 2,Subject,TrialOrderInSession,Choice,CorrectChoiceOnScreen,IsCorrect,RT_Discrimination,Confidence,RT_Confidence
285,295,M438,1,1,0,0,12.39491957,0.569942197,1.603751519
285,295,M535,1,0,0,1,9.718976304,0.962716763,0.716259269
285,295,M535,1,0,0,1,10.40651733,0.674855491,0.625959186
285,295,M535,1,0,0,1,11.27653311,0.273410405,0.617481565
285,295,M535,1,0,0,1,9.282999834,0.698265896,0.791866564
285,295,M569,1,0,0,1,8.398887398,0.972254335,1.222187614
285,295,M569,1,0,0,1,9.88119449,0.751156069,0.557868797
285,295,M569,1,1,0,0,10.24891321,0.745086705,0.531992759
285,295,M569,1,1,0,0,12.74821155,0.719942197,1.440027368
285,295,M570,1,1,0,0,18.30077028,0.539595376,1.861326835
285,295,M570,1,0,0,1,10.8696119,0.643641618,0.751392522
285,295,M570,1,0,0,1,11.4497373,0.008959538,1.8023101
285,295,M570,1,0,0,1,11.09434149,0.354913295,2.352076822
285,295,M579,1,1,0,0,7.744315973,0.774566474,0.798057096
285,295,M579,1,0,0,1,25.8356631,0.531791908,1.47992541
285,295,M579,1,0,0,1,10.6446835,0.711271676,1.133711159
285,295,M579,1,0,0,1,14.99475997,0.678323699,0.983557517
285,295,W164,1,1,0,0,17.67050725,0.745086705,1.24789014
285,295,W164,1,1,0,0,2.099354689,0.725144509,1.494690481
285,295,W164,1,0,0,1,22.20328047,0.496242775,2.634051679
285,295,W164,1,0,0,1,14.78931349,0.883815029,1.39875425
285,295,W194,16,3,3,1,19.1432136,0.981791908,0.948101036
285,295,W194,19,2,2,1,24.698945,0.967485549,0.777433137
285,295,W226,2,3,3,1,25.33903517,0.615028902,1.73772475
285,295,W226,10,3,3,1,19.06026816,0.514450867,1.821354272
285,295,W242,1,0,0,1,5.587094126,0.862138728,0.837852886
285,295,W242,1,0,0,1,6.694789267,0.988728324,1.39824042
285,295,W242,1,1,0,0,7.096841837,0.988728324,0.882318109
285,295,W242,1,0,0,1,8.400827192,0.99566474,1.442049529
285,295,W260,1,0,0,1,10.73671003,0.634104046,1.28637299
285,295,W260,1,0,0,1,9.408827994,0.493641618,0.609461717
285,295,W260,1,1,0,0,18.86553247,0.152023121,0.934109537
285,295,W260,1,0,0,1,9.038096134,0.62716763,0.942423714
285,295,W260,6,2,2,1,15.75452179,0.372471098,1.615954589
285,295,W260,18,3,1,0,16.26846857,0.368786127,0.816017714
285,295,W333,1,0,0,1,10.73545645,0.746820809,0.879137551
285,295,W333,1,0,0,1,16.93168196,0.507514451,0.775731496
285,295,W333,1,0,0,1,9.898510996,0.012427746,0.825551637
285,295,W333,1,1,0,0,14.09948413,0.032369942,0.642546313
285,295,W335,2,3,3,1,12.62041363,0.988078035,2.485488123
285,295,W335,6,2,1,0,15.35492879,0.947109827,0.872248113
285,295,W335,18,2,2,1,12.65118628,0.021965318,0.957823994
285,295,W354,1,0,0,1,12.19861611,0.99132948,1.903874713
285,295,W354,1,0,0,1,10.82905595,0.981791908,0.981869875
285,295,W354,1,0,0,1,11.91676101,0.989595376,2.259996672
285,295,W354,1,0,0,1,11.3918904,0.895953757,2.187878128
285,295,W390,1,1,1,1,17.52711498,0.830057803,2.041740682
285,295,W390,1,0,0,1,9.204396896,0.911560694,1.086074373
285,295,W390,1,1,0,0,10.08324762,0.47283237,1.302182627
285,295,W390,1,1,0,0,8.822707707,0.972254335,0.788358499
285,295,W390,1,1,0,0,12.5376101,0.360982659,1.063910731
285,295,W429,17,2,3,0,49.16585082,0.496026012,0.729512951
285,295,W438,2,2,2,1,26.61545846,0.701734104,1.036118241
285,295,W438,2,3,2,0,17.62096569,0.921965318,1.235657238
285,295,W438,10,2,2,1,16.20313528,0.745953757,0.945788001
285,295,W438,20,1,1,1,16.81478218,0.962066474,0.905470563
285,295,W450,1,0,0,1,10.64972341,0.985260116,1.115438161
285,295,W450,1,0,0,1,11.24324835,0.685260116,2.163903493
285,295,W450,1,1,0,0,9.487007944,0.98699422,1.363947692
285,295,W450,1,0,0,1,16.71582132,0.311560694,1.978414786
285,295,W458,1,0,0,1,11.09901152,0.615895954,2.28786354
285,295,W458,1,0,0,1,1.378984572,0.217052023,0.723977163
285,295,W458,1,0,0,1,1.632697424,0.726011561,0.921870056
285,295,W458,1,0,0,1,1.5323179,0.30982659,1.319840284
285,295,W475,1,1,0,0,1.782630207,0.866473988,0.787751152
285,295,W475,1,1,0,0,1.180544352,0.699132948,0.627943712
285,295,W475,1,1,0,0,1.186140631,0.651445087,0.545856834
285,295,W475,1,0,0,1,1.382263699,0.844797688,0.624417421
285,295,W490,1,0,0,1,1.204524292,0.856069364,0.707666995
285,295,W490,1,0,0,1,8.868204486,0.792774566,0.744021352
285,295,W490,1,0,0,1,1.270007212,0.870809249,0.741793728
285,295,W490,1,0,0,1,2.190042469,0.243063584,4.07628039
285,295,W490,9,3,3,1,19.18130064,0.992196532,1.609608952
285,295,W490,15,3,3,1,19.9795799,0.678106936,1.207337005
285,295,W491,1,0,0,1,8.773715603,0.849132948,1.448150941
285,295,W491,1,0,0,1,36.42395733,0.838728324,1.777706916
285,295,W491,1,0,0,1,8.521983452,0.321965318,2.100129236
285,295,W491,1,0,0,1,4.577727051,0.915895954,1.044397553
285,295,W493,1,1,0,0,11.68204526,0.732947977,1.43361201
285,295,W493,1,1,0,0,9.086273111,0.856069364,1.003987551
285,295,W493,1,1,0,0,1.911121886,0.745086705,1.146171721
285,295,W493,1,0,0,1,8.883885787,0.499710983,0.970034949
285,295,W494,1,0,0,1,10.64138465,0.961849711,0.79429103
285,295,W494,1,0,0,1,9.606573976,0.901156069,0.711747314
285,295,W494,1,0,0,1,8.286916358,0.889884393,0.910185389
285,295,W494,1,0,0,1,9.710917657,0.804913295,0.915701233
285,295,W495,1,0,0,1,1.376183342,0.483236994,0.892276545
285,295,W495,1,0,0,1,1.084197152,0.673988439,0.841955905
285,295,W495,1,1,0,0,1.288945806,0.855202312,0.773443092
285,295,W495,1,1,0,0,1.604293932,0.679190751,0.762063122
285,295,W509,3,1,1,1,19.12711962,0.936054913,0.805529438
285,295,W509,5,1,1,1,20.0371206,0.819653179,0.725981682
285,295,W509,5,1,1,1,24.00595877,0.930635838,0.83398341
285,295,W509,14,2,2,1,19.86918887,0.778034682,0.70950521
285,295,W523,1,0,0,1,1.298049134,0.816184971,0.814219233
285,295,W523,1,0,0,1,1.762463413,0.75982659,1.261758896
285,295,W523,1,1,0,0,1.162039173,0.721676301,1.077779855
285,295,W523,1,1,0,0,1.478405694,0.452890173,2.068372964
285,295,W545,1,0,0,1,16.91673851,0.791040462,0.687883335
285,295,W545,1,1,0,0,17.78473225,0.148554913,1.063774925
285,295,W545,1,0,0,1,18.31609682,0.721676301,0.779848486
285,295,W545,1,0,0,1,16.18487048,0.736416185,0.95947935
285,295,W666,1,1,0,0,6.280252008,0.938439306,1.57172003
285,295,W666,1,0,0,1,9.682916005,0.993930636,1.68408221
285,295,W666,1,1,0,0,2.108080199,0.325433526,0.914167921
285,295,W666,1,1,0,0,10.50286741,0.784971098,0.907529482
285,295,W676,1,0,0,1,10.43758935,0.412138728,1.413112612
285,295,W676,1,0,0,1,2.254462778,0.925433526,0.708370076
285,295,W676,1,1,0,0,11.50871517,0.08265896,1.441997654
285,295,W676,1,0,0,1,6.946228058,0.929768786,0.872182231
285,295,W695,1,0,0,1,12.31718288,0.758959538,1.267909256
285,295,W695,1,0,0,1,9.446486695,0.528323699,0.949321049
285,295,W695,1,1,0,0,16.92546768,0.793641618,1.061838437
285,295,W695,1,1,0,0,13.51794817,0.373988439,1.294350811
285,295,W704,1,0,0,1,10.53027769,0.911560694,0.939920873
285,295,W704,1,0,0,1,13.71627162,0.938439306,1.257912026
285,295,W704,1,0,0,1,11.49584027,0.876011561,1.845401044
285,295,W704,1,0,0,1,11.80524077,0.770231214,0.829550283
285,295,W705,1,0,0,1,15.00999802,0.291618497,0.956036429
285,295,W705,1,1,0,0,25.03502585,0.933236994,0.881449259
285,295,W705,1,1,0,0,24.62790981,0.839595376,1.987976943
285,295,W705,1,1,0,0,21.66166264,0.823121387,0.974490194
285,295,W707,1,0,0,1,8.88647027,0.538728324,0.635875055
285,295,W707,1,0,0,1,5.0761863,0.449421965,0.591960631
285,295,W707,1,1,0,0,6.332312064,0.625433526,1.669975517
285,295,W707,1,0,0,1,4.634862963,0.474566474,2.26436221
285,295,W709,1,1,0,0,52.57878395,0.174566474,0.832134812
285,295,W709,1,0,0,1,18.45073851,0.910693642,1.66183959
285,295,W709,1,0,0,1,47.84868202,0.816184971,1.444111188
285,295,W709,1,0,0,1,2.212419727,0.836127168,1.865896274
285,295,W725,1,0,0,1,6.46438008,0.784971098,1.362671632
285,295,W725,1,0,0,1,7.688774525,0.970520231,1.598295333
285,295,W725,1,1,0,0,10.37880935,0.003757225,1.500360378
285,295,W725,1,0,0,1,9.507235508,0.990462428,1.009933209
285,295,m431,7,3,2,0,21.90259957,0.309609827,10.09204068
285,295,w194,16,3,3,1,20.57242036,0.947976879,1.093424706
285,295,w194,19,3,3,1,19.68531777,0.975722543,1.123645812
285,295,w226,1,1,1,1,21.98011485,0.725794798,1.934209425
285,295,w226,10,3,3,1,17.89052917,0.849132948,0.949722171
285,295,w260,6,2,2,1,14.43086809,0.839595376,0.634057249
285,295,w260,11,3,3,1,14.98441807,0.813583815,1.245924828
285,295,w335,18,2,2,1,16.97028734,0.983742775,0.785938818
285,295,w390,7,3,3,1,24.04115682,0.067919075,1.369720922
285,295,w390,8,2,1,0,26.23376834,0.405202312,1.181691488
285,295,w390,8,1,1,1,26.88898389,0.837427746,1.374240614
285,295,w429,2,1,1,1,26.55164709,0.886416185,1.869515148
285,295,w429,17,2,2,1,31.98699843,0.913294798,1.028416676
285,295,w429,17,2,2,1,27.38916443,0.837427746,1.919345634
285,295,w484,8,3,3,1,14.88019643,0.477601156,0.987600081
285,295,w484,12,1,2,0,16.92871627,0.504913295,1.31358195
285,295,w484,12,2,2,1,15.30881424,0.99349711,1.367472583
285,295,w484,17,1,2,0,17.88655865,0.899421965,1.019616111
285,295,w490,9,1,3,0,22.47127436,0.983742775,0.825479907
285,295,w490,10,1,1,1,21.81002666,0.868208092,1.090059979
286,286,M101,2,1,1,1,56.47283214,0.330635838,3.28283956
286,286,M101,2,1,1,1,26.20531656,0.634971098,1.466421265
286,286,M438,2,1,1,1,14.26852624,0.651445087,2.181451674
286,286,M438,2,1,1,1,12.1308598,0.53699422,1.817770078
286,286,M535,2,0,1,0,14.15476357,0.821387283,0.911410048
