"Subject","Comparison.number","TrialOrderInSession","Choice","CorrectChoiceOnScreen","IsCorrect","RT_Discrimination","Confidence","RT_Confidence","Mixture.number","Mixture.number.1","Experiment"
"M314",16,16,3,3,1,14.77252333,0.739884393,0.895627342,26,36,"Exp4"
"M314",17,17,2,3,0,14.13489155,0.455491329,0.943921837,27,37,"Exp4"
"M314",18,7,2,2,1,16.07107847,0.634971098,0.643912343,28,38,"Exp4"
"M314",19,8,2,1,0,19.83881665,0.537861272,0.797911127,29,39,"Exp4"
"M314",20,13,2,2,1,13.53725787,0.739884393,0.753660274,30,40,"Exp4"
"M314",1,18,3,3,1,10.63974939,0.715606936,0.955790627,1,11,"Exp4"
"M314",2,15,1,1,1,11.28090055,0.230924855,0.663877398,2,12,"Exp4"
"M314",3,13,3,2,0,9.944560712,0.338439306,1.18230385,3,13,"Exp4"
"M314",4,2,3,3,1,10.71869192,0.619364162,1.380027933,4,14,"Exp4"
"M314",5,6,1,1,1,11.39909497,0.223988439,0.761805288,5,15,"Exp4"
"M314",6,14,2,1,0,9.8221114,0.24566474,0.676107105,6,16,"Exp4"
"M314",7,9,1,1,1,10.63818813,0.426011561,0.95412844,7,17,"Exp4"
"M314",8,5,2,3,0,11.35463201,0.152023121,0.703523134,8,18,"Exp4"
"M314",9,20,2,3,0,11.43039599,0.313294798,0.923654878,9,19,"Exp4"
"M314",10,10,3,3,1,10.74485671,0.687861272,0.838364224,10,20,"Exp4"
"M314",11,11,1,1,1,10.2722163,0.539595376,0.883522074,21,31,"Exp4"
"M314",12,1,3,3,1,20.92268844,0.68699422,2.024374317,22,32,"Exp4"
"M314",13,4,3,3,1,11.35724225,0.243063584,1.079477919,23,33,"Exp4"
"M314",14,16,1,1,1,10.36211463,0.617630058,0.649391529,24,34,"Exp4"
"M314",15,19,2,1,0,11.02885328,0.265606936,0.779897763,25,35,"Exp4"
"M314",16,3,1,2,0,12.52635551,0.355780347,1.062166291,26,36,"Exp4"
"M314",17,12,1,1,1,11.7143498,0.286416185,0.758064833,27,37,"Exp4"
"M314",18,17,2,2,1,10.46863569,0.26300578,0.683990411,28,38,"Exp4"
"M314",19,8,1,1,1,9.180863601,0.328901734,1.134036295,29,39,"Exp4"
"M314",20,7,3,3,1,10.64254693,0.698265896,0.811491709,30,40,"Exp4"
"M411",1,20,3,3,1,20.16149338,0.767630058,1.167482294,1,11,"Exp4"
"M411",2,18,2,2,1,19.64765066,0.800578035,1.396402202,2,12,"Exp4"
"M411",3,1,2,1,0,25.98088806,0.69132948,2.331653472,3,13,"Exp4"
"M411",4,12,1,1,1,19.50298911,0.968786127,1.157648581,4,14,"Exp4"
"M411",5,3,2,1,0,24.79114478,0.886416185,1.406324434,5,15,"Exp4"
"M411",6,9,1,2,0,21.47435221,0.967052023,1.063874233,6,16,"Exp4"
"M411",7,14,1,3,0,22.08357459,0.973121387,0.979923763,7,17,"Exp4"
"M411",8,5,3,1,0,29.41038347,0.884682081,1.014272482,8,18,"Exp4"
"M411",9,13,1,2,0,18.94339414,0.957514451,0.854121855,9,19,"Exp4"
"M411",10,10,2,2,1,20.66268517,0.978323699,0.91239118,10,20,"Exp4"
"M411",11,8,3,3,1,18.31726553,0.950578035,0.912201313,21,31,"Exp4"
"M411",12,6,2,2,1,17.23094387,0.933236994,1.31789628,22,32,"Exp4"
"M411",13,16,3,2,0,16.10179663,0.974855491,0.881699955,23,33,"Exp4"
"M411",14,15,1,1,1,14.23460264,0.954913295,0.8222863,24,34,"Exp4"
"M411",15,7,3,3,1,22.87267146,0.92283237,1.081428326,25,35,"Exp4"
"M411",16,11,2,1,0,20.37483611,0.973988439,0.876196394,26,36,"Exp4"
"M411",17,19,1,1,1,17.97156622,0.900289017,1.492096596,27,37,"Exp4"
"M411",18,4,3,3,1,21.52498497,0.692196532,2.506372927,28,38,"Exp4"
"M411",19,17,2,3,0,19.54572617,0.56734104,1.977894672,29,39,"Exp4"
"M411",20,2,1,1,1,20.29742492,0.959248555,1.931697688,30,40,"Exp4"
"M411",1,15,3,3,1,62.81220756,0.997398844,2.007542487,1,11,"Exp4"
"M411",2,7,2,3,0,17.29914697,0.688728324,0.884076706,2,12,"Exp4"
"M411",3,4,2,1,0,19.06255714,0.878612717,1.044165327,3,13,"Exp4"
"M411",4,12,1,2,0,14.13235829,0.742485549,0.938263475,4,14,"Exp4"
"M411",5,9,3,2,0,15.53235213,0.977456647,1.482412552,5,15,"Exp4"
"M411",6,17,2,1,0,18.60860659,0.78583815,1.146165938,6,16,"Exp4"
"M411",7,14,1,2,0,16.48836384,0.719075145,1.712413074,7,17,"Exp4"
"M411",8,20,3,3,1,19.80255302,0.758092486,1.355872988,8,18,"Exp4"
"M411",9,6,1,1,1,19.49860123,0.743352601,1.670054899,9,19,"Exp4"
"M411",10,3,2,2,1,17.35338933,0.959248555,1.070197128,10,20,"Exp4"
"M411",11,5,2,3,0,22.49895018,0.800578035,1.180099004,21,31,"Exp4"
"M411",12,8,3,3,1,18.77528794,0.756358382,2.137648034,22,32,"Exp4"
"M411",13,11,1,1,1,17.15093868,0.874277457,0.838313764,23,33,"Exp4"
"M411",14,10,1,1,1,26.39249241,0.872543353,0.863834122,24,34,"Exp4"
"M411",15,13,2,1,0,16.53268012,0.77283237,1.443540821,25,35,"Exp4"
"M411",16,19,1,1,1,16.30263341,0.961849711,0.987620195,26,36,"Exp4"
"M411",17,1,1,1,1,18.4820217,0.943641618,1.417905004,27,37,"Exp4"
"M411",18,16,2,2,1,23.20089366,0.840462428,1.051828405,28,38,"Exp4"
"M411",19,18,1,2,0,15.52450517,0.828323699,0.771444858,29,39,"Exp4"
"M411",20,2,1,1,1,18.11085035,0.928901734,1.441587848,30,40,"Exp4"
"M431",1,17,3,3,1,19.50773663,0.827456647,1.176417135,1,11,"Exp4"
"M431",2,16,3,3,1,21.75708471,0.202312139,1.367273954,2,12,"Exp4"
"M431",3,11,2,1,0,22.28189606,0.973988439,1.323570036,3,13,"Exp4"
"M431",4,20,2,2,1,18.75474987,0.898554913,1.105663664,4,14,"Exp4"
"M431",5,15,2,2,1,18.45274378,0.952312139,0.991884493,5,15,"Exp4"
"M431",6,4,2,1,0,20.11252494,0.426011561,1.025862032,6,16,"Exp4"
"M431",7,13,2,1,0,21.8759411,0.774566474,0.785802866,7,17,"Exp4"
"M431",8,2,1,2,0,22.81597068,0.734682081,1.06967585,8,18,"Exp4"
"M431",9,5,1,1,1,23.9833435,0.86734104,0.948319126,9,19,"Exp4"
"M431",10,10,2,1,0,21.11287902,0.820520231,1.019929989,10,20,"Exp4"
"M431",11,14,1,3,0,20.00110926,0.960115607,0.989556918,21,31,"Exp4"
"M431",12,3,3,2,0,23.09265781,0.930635838,1.305750387,22,32,"Exp4"
"M431",13,6,3,2,0,20.19247582,0.225722543,1.094036483,23,33,"Exp4"
"M431",14,1,3,3,1,22.12263875,0.971387283,1.357630535,24,34,"Exp4"
"M431",15,19,1,1,1,20.31949261,0.236127168,0.930854408,25,35,"Exp4"
"M431",16,9,3,3,1,23.19742261,0.249132948,0.920187677,26,36,"Exp4"
"M431",17,7,2,3,0,20.77725717,0.786705202,0.732154052,27,37,"Exp4"
"M431",18,12,1,1,1,21.64786533,0.223988439,1.128182508,28,38,"Exp4"
"M431",19,8,2,1,0,22.54905011,0.989595376,1.323920691,29,39,"Exp4"
"M431",20,18,3,3,1,23.54887051,0.929768786,1.237971919,30,40,"Exp4"
"M431",1,13,2,2,1,13.99235061,0.295086705,0.669977498,1,11,"Exp4"
"M431",2,2,3,2,0,24.76173088,0.491907514,0.880281515,2,12,"Exp4"
"M431",3,14,1,1,1,17.60445818,0.833526012,0.716178758,3,13,"Exp4"
"M431",4,5,2,1,0,20.05079569,0.255202312,0.879949677,4,14,"Exp4"
"M431",5,15,1,2,0,27.66718595,0.242196532,0.90234964,5,15,"Exp4"
"M431",6,3,3,2,0,25.61485465,0.934104046,1.107656407,6,16,"Exp4"
"M431",7,16,2,3,0,17.04877215,0.694797688,1.193614159,7,17,"Exp4"
"M431",8,6,1,1,1,18.58120767,0.783236994,0.618108041,8,18,"Exp4"
"M431",9,1,3,3,1,31.21641695,0.954913295,1.497937982,9,19,"Exp4"
"M431",10,10,1,3,0,22.06305362,0.920231214,1.081502305,10,20,"Exp4"
"M431",11,18,2,2,1,14.3092069,0.383526012,1.081971412,21,31,"Exp4"
"M431",12,19,2,3,0,18.4033443,0.007225434,1.669606318,22,32,"Exp4"
"M431",13,4,2,2,1,23.81951827,0.838728324,0.796180948,23,33,"Exp4"
"M431",14,7,2,2,1,19.01699219,0.476300578,0.795946608,24,34,"Exp4"
"M431",15,17,3,2,0,14.62037147,0.827456647,0.926174456,25,35,"Exp4"
"M431",16,9,3,2,0,19.3640458,0.015028902,1.305888083,26,36,"Exp4"
"M431",17,11,1,3,0,20.6352948,0.593352601,1.103764572,27,37,"Exp4"
"M431",18,8,2,1,0,16.64310456,0.91416185,1.027888557,28,38,"Exp4"
"M431",19,12,2,3,0,11.0847852,0.284682081,0.717666473,29,39,"Exp4"
"M431",20,20,3,1,0,17.78498396,0.739884393,1.457519523,30,40,"Exp4"
"W194",1,16,3,3,1,19.1432136,0.981791908,0.948101036,1,11,"Exp4"
"W194",2,11,2,1,0,16.56443699,0.487572254,2.458564644,2,12,"Exp4"
"W194",3,1,1,2,0,16.26317198,0.864739884,0.76807815,3,13,"Exp4"
"W194",4,3,2,2,1,14.61658526,0.543063584,0.868332759,4,14,"Exp4"
"W194",5,9,3,3,1,14.87081856,0.872543353,0.701820323,5,15,"Exp4"
"W194",6,6,3,1,0,17.24025759,0.913294798,0.879979183,6,16,"Exp4"
"W194",7,17,1,1,1,20.12328019,0.410404624,0.625807039,7,17,"Exp4"
"W194",8,10,2,2,1,23.31090372,0.387861272,0.679458419,8,18,"Exp4"
"W194",9,20,1,1,1,16.97299706,0.617630058,1.107548645,9,19,"Exp4"
"W194",10,19,1,3,0,14.64489375,0.529190751,0.851871253,10,20,"Exp4"
"W194",11,5,2,2,1,21.242979,0.471098266,0.796085159,21,31,"Exp4"
"W194",12,2,1,1,1,17.41730333,0.817919075,1.409976369,22,32,"Exp4"
"W194",13,18,3,1,0,17.044445,0.834393064,0.742350393,23,33,"Exp4"
"W194",14,13,3,3,1,15.02090412,0.891618497,1.669939867,24,34,"Exp4"
"W194",15,14,3,1,0,23.85688219,0.184104046,0.764162796,25,35,"Exp4"
"W194",16,4,3,3,1,18.88245514,0.834393064,1.332218367,26,36,"Exp4"
"W194",17,7,1,2,0,28.87570291,0.093930636,0.930018397,27,37,"Exp4"
"W194",18,12,3,2,0,15.75062198,0.434682081,0.831810411,28,38,"Exp4"
"W194",19,8,1,1,1,28.40123738,0.26300578,1.30810704,29,39,"Exp4"
"W194",20,15,3,3,1,17.58505247,0.424277457,0.803485674,30,40,"Exp4"
"W226",1,2,3,3,1,25.33903517,0.615028902,1.73772475,1,11,"Exp4"
"W226",2,10,3,2,0,22.27519087,0.205780347,1.035438314,2,12,"Exp4"
