Stimulus,Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Dilution2,Dilution3
120,mono-molecule,Exp3,31276,,,32,,100.00%,,
121,mono-molecule,Exp3,7685,,,33,,100.00%,,
122,mono-molecule,Exp3,8130,,,34,,100.00%,,
123,mono-molecule,Exp3,7519,,,35,,100.00%,,
124,mono-molecule,Exp3,637511,,,36,,100.00%,,
125,mono-molecule,Exp3,7966,,,37,,100.00%,,
126,mono-molecule,Exp3,8797,,,38,,100.00%,,
127,mono-molecule,Exp3,22201,,,39,,100.00%,,
128,mono-molecule,Exp3,326,,,40,,100.00%,,
129,mono-molecule,Exp3,31252,,,41,,100.00%,,
130,mono-molecule,Exp3,8129,,,42,,100.00%,,
131,mono-molecule,Exp3,7710,,,43,,100.00%,,
132,mono-molecule,Exp3,3314,,,44,,100.00%,,
133,mono-molecule,Exp3,7762,,,45,,100.00%,,
134,mono-molecule,"Exp4,5",7799,,,1,,100.00%,,
135,mono-molecule,"Exp4,5",1068,,,2,,10.00%,,
136,mono-molecule,"Exp4,5",6590,,,3,,1.00%,,
137,mono-molecule,"Exp4,5",31244,,,4,,100.00%,,
138,mono-molecule,"Exp4,5",1031,,,5,,10.00%,,
139,mono-molecule,"Exp4,5",176,,,6,,10.00%,,
140,mono-molecule,"Exp4,5",180,,,7,,10.00%,,
141,mono-molecule,"Exp4,5",3776,,,8,,100.00%,,
142,mono-molecule,"Exp4,5",7363,,,9,,10.00%,,
143,mono-molecule,"Exp4,5",7150,,,10,,100.00%,,
144,mono-molecule,"Exp4,5",14286,,,11,,100.00%,,
145,mono-molecule,"Exp4,5",61138,,,12,,100.00%,,
146,mono-molecule,"Exp4,5",8025,,,13,,100.00%,,
147,mono-molecule,"Exp4,5",19310,,,14,,100.00%,,
148,mono-molecule,"Exp4,5",6561,,,15,,1.00%,,
149,mono-molecule,"Exp4,5",7793,,,16,,100.00%,,
150,mono-molecule,"Exp4,5",443158,,,17,,100.00%,,
151,mono-molecule,"Exp4,5",264,,,18,,10.00%,,
