CID,ImagePath
439570,images\K10_L-carvone.csv
440917,images\X1_(R)-(+)-limonene.csv
442478,images\F9_(+)-menthofuran.csv
442495,images\K18_(R)-(+)-pulegone.csv
518810,images\E15_3-mercaptohexyl_acetate.csv
518937,images\F7_furfuryl_methyl_sulfide.csv
520098,images\P6_2-methoxy-3-(1-methylpropyl)pyrazine.csv
520108,images\S2_2-acetylthiazole.csv
526195,images\S14_4-methoxy-2-methyl-2-butanethiol.csv
637511,images\D11_trans-cinnamaldehyde.csv
637523,images\E6_hexyl_tiglate.csv
637566,images\L4_geraniol.csv
637776,images\R38_methyl_isoeugenol.csv
638014,images\K7_beta-ionone.csv
643731,"images\D18_trans-2,cis-6-nonadienal.csv"
853433,images\L10_isoeugenol.csv
1268142,images\T2_nootkatone.csv
3085845,"images\P19_2-acetyl-3,(5_or_6)-dimethylpyrazine.csv"
4409936,images\R37_phenylacetate.csv
5281163,images\E5_ethyl_tiglate.csv
5281167,images\L8_cis-3-hexenol.csv
5283335,images\D9_trans-2-nonenal.csv
5283361,images\D10_trans-2-dodecenal.csv
5319754,images\D14_2-methyl-2-pentenal.csv
5321950,images\D2_trans-2-methyl-2-butenal.csv
5323652,images\E14_methyl_tiglate.csv
5362588,images\K17_5-methyl-2-hepten-4-one.csv
5363229,images\K11_3-octen-2-one.csv
5364578,images\K15_3-hepten-2-one.csv
5365909,images\C9_2-methyl-2-pentenoic_acid.csv
5366074,images\K9_damascenone.csv
5367412,"images\Y1_1,3,5-undecatriene.csv"
5367745,images\E10_isopropyl_tiglate.csv
5460048,images\Z3_triglyceride.csv
6992244,images\L5_champignol.csv
10857465,images\F3_(-)-ambroxide.csv
13479201,images\D17_2-hexyl-2-decenal.csv
15559490,images\L3_(+-)-geosmin.csv
58165301,"images\S13_ethyl-2,5-dihydro-4-methylthiazole.csv"
71311442,images\P3_2-methoxy-3(5_or_6)-isopropylpyrazine.csv
76957121,images\E13_isobornyl_isovalerate.csv
