Stimulus,Subject,DeltaF/F
M33_10882,M33_0_1,0.04641664088680616
M33_10882,M33_0_2,0.1311589251973736
M33_10882,M33_0_3,0.03133974802380851
M33_10882,M33_0_4,-0.05725939753018019
M33_10882,M33_0_5,0.031154378697465828
M33_10882,M33_0_6,-0.042603863430252
M33_10882,M33_100_1,0.019164387833745796
M33_10882,M33_100_5,0.08073237121783078
M33_10882,M33_101_1,0.2178441053833973
M33_10882,M33_101_5,0.07048278203016402
M33_10882,M33_102_5,-0.04980472935894031
M33_10882,M33_103_5,-0.014602878522464724
M33_10882,M33_104_5,-0.0866902191276217
M33_10882,M33_105_5,0.10071658056008832
M33_10882,M33_106_5,0.22851713532252693
M33_10882,M33_107_5,0.03794736730923182
M33_10882,M33_108_5,0.10127631954467019
M33_10882,M33_109_5,0.09600902565014328
M33_10882,M33_10_1,0.06488735879966079
M33_10882,M33_10_2,-0.09120472411398857
M33_10882,M33_10_3,0.014740461605298159
M33_10882,M33_10_4,-0.02475123346485636
M33_10882,M33_10_5,0.08873390946338738
M33_10882,M33_10_6,-0.04519408346284661
M33_10882,M33_110_5,-0.0016485790868969788
M33_10882,M33_111_5,-0.012630662274011687
M33_10882,M33_112_5,0.05242157301554057
M33_10882,M33_113_5,-0.09494709481283405
M33_10882,M33_11_1,0.22192636050445533
M33_10882,M33_11_2,0.08147970619867516
M33_10882,M33_11_3,0.05616112066778726
M33_10882,M33_11_4,0.08181615774265372
M33_10882,M33_11_5,0.033126708801492745
M33_10882,M33_11_6,-0.03095796157930476
M33_10882,M33_12_1,0.04214765241120816
M33_10882,M33_12_2,-0.030272294786779997
M33_10882,M33_12_3,0.03291333563372282
M33_10882,M33_12_4,0.22592474483786415
M33_10882,M33_12_5,-0.02916825933499181
M33_10882,M33_12_6,-0.04794273554338532
M33_10882,M33_13_1,0.35426265597173434
M33_10882,M33_13_2,0.0098877474490045
M33_10882,M33_13_3,-0.029474649669913013
M33_10882,M33_13_4,-0.04002753944249109
M33_10882,M33_13_5,0.11421869168388048
M33_10882,M33_13_6,0.07235802590145751
M33_10882,M33_14_1,0.04654854885848932
M33_10882,M33_14_2,-0.06724167893963721
M33_10882,M33_14_3,-0.040764474836426055
M33_10882,M33_14_4,0.018057143580961183
M33_10882,M33_14_5,0.03640120535268982
M33_10882,M33_14_6,0.019899509265857734
M33_10882,M33_15_1,0.12715697273611898
M33_10882,M33_15_2,0.03190522008704738
M33_10882,M33_15_3,0.11310810895868376
M33_10882,M33_15_4,0.05841285595295003
M33_10882,M33_15_5,0.002286627944456112
M33_10882,M33_15_6,-0.03231485126469561
M33_10882,M33_16_1,0.0611728869941825
M33_10882,M33_16_2,-0.08175250397641502
M33_10882,M33_16_3,0.19066350948100863
M33_10882,M33_16_4,0.0219409920446423
M33_10882,M33_16_5,-0.06295239434576717
M33_10882,M33_16_6,-0.04352486791651718
M33_10882,M33_17_1,0.19419314740140117
M33_10882,M33_17_2,-0.12690514041507908
M33_10882,M33_17_3,0.024680743360799055
M33_10882,M33_17_4,-0.01151207283273096
M33_10882,M33_17_5,-0.02234557476302203
M33_10882,M33_17_6,0.01728563506982714
M33_10882,M33_18_1,-0.003932703169155625
M33_10882,M33_18_2,-0.10665870228461378
M33_10882,M33_18_3,0.07250203134091056
M33_10882,M33_18_4,0.07701038210352708
M33_10882,M33_18_5,-0.02058135143310167
M33_10882,M33_18_6,0.030175654655877456
M33_10882,M33_19_1,0.20874233889302998
M33_10882,M33_19_2,-0.09198640843293487
M33_10882,M33_19_3,-0.020988208126194306
M33_10882,M33_19_4,-0.01935279995242893
M33_10882,M33_19_5,-0.02280331410366016
M33_10882,M33_19_6,0.08895160687832794
M33_10882,M33_1_1,0.08010286580051015
M33_10882,M33_1_2,0.46497533136734104
M33_10882,M33_1_3,0.051740260213293275
M33_10882,M33_1_4,0.10880839263177716
M33_10882,M33_1_5,0.08075064693163216
M33_10882,M33_1_6,-0.05236374276677321
M33_10882,M33_20_1,0.13793098739217594
M33_10882,M33_20_2,0.013289856048262242
M33_10882,M33_20_3,-0.016099480383126166
M33_10882,M33_20_4,-0.004667273809373175
M33_10882,M33_20_5,0.036204965369654625
M33_10882,M33_20_6,-0.026491163447157393
M33_10882,M33_21_1,0.3245377268569918
M33_10882,M33_21_2,0.005137696696458831
M33_10882,M33_21_3,-0.04991592941040816
M33_10882,M33_21_4,0.01951419234087937
M33_10882,M33_21_5,0.0665180786707864
M33_10882,M33_21_6,-0.03632338695162924
M33_10882,M33_22_1,0.1360243969792729
M33_10882,M33_22_2,-0.06152995839904476
M33_10882,M33_22_3,-0.08533020772996001
M33_10882,M33_22_4,-0.014884156106803865
M33_10882,M33_22_5,0.030726543210559353
M33_10882,M33_22_6,-0.04672898229960502
M33_10882,M33_23_1,0.27108340420314825
M33_10882,M33_23_2,0.012842426533803061
M33_10882,M33_23_3,-0.08772237666765592
M33_10882,M33_23_4,-0.04709774900053471
M33_10882,M33_23_5,0.01183839514486662
M33_10882,M33_23_6,-0.051702944145165436
M33_10882,M33_24_1,0.1250047779139864
M33_10882,M33_24_2,-0.027195541856606425
M33_10882,M33_24_3,-0.03296296323926877
M33_10882,M33_24_4,-0.007651417587773023
M33_10882,M33_24_5,0.009495721837674572
M33_10882,M33_24_6,0.05181656088572756
M33_10882,M33_25_1,0.2959527075943877
M33_10882,M33_25_2,-0.03725029743233391
M33_10882,M33_25_3,-0.08763937678718683
M33_10882,M33_25_4,-0.0026675009537621085
M33_10882,M33_25_5,0.05980168331124796
M33_10882,M33_25_6,0.001508400573480705
M33_10882,M33_26_1,0.2959527075943877
M33_10882,M33_26_2,-0.09285796458018279
M33_10882,M33_26_3,-0.04892844412710763
M33_10882,M33_26_4,-0.020756224854962844
M33_10882,M33_26_5,0.018370921505741666
M33_10882,M33_26_6,-0.06113910705368597
M33_10882,M33_27_1,0.15417702242883477
M33_10882,M33_27_2,-0.12753953233748108
M33_10882,M33_27_3,0.10207387478766625
M33_10882,M33_27_4,0.026035009780154134
M33_10882,M33_27_5,0.06999165938949493
M33_10882,M33_27_6,-0.04550143994083942
M33_10882,M33_28_1,0.14298429555511685
M33_10882,M33_28_2,-0.06915272559445472
M33_10882,M33_28_3,0.0380609353890823
M33_10882,M33_28_4,0.17685417416288543
M33_10882,M33_28_5,0.14547322103031013
M33_10882,M33_28_6,0.025368946135057482
M33_10882,M33_29_1,0.08465848034286538
M33_10882,M33_29_2,0.022908257718154124
M33_10882,M33_29_3,-0.0019257386874964328
M33_10882,M33_29_4,0.03867680523435467
M33_10882,M33_29_5,-0.02043905093006798
M33_10882,M33_29_6,-0.011310291624224986
M33_10882,M33_2_1,0.0066688550566466045
M33_10882,M33_2_2,0.04386890047235529
M33_10882,M33_2_3,0.20663237369922804
M33_10882,M33_2_4,-0.03488401350929362
M33_10882,M33_2_5,0.013871450499671525
M33_10882,M33_2_6,0.00039241193181644915
M33_10882,M33_30_1,0.12814434147229803
M33_10882,M33_30_2,0.028447345019213446
M33_10882,M33_30_3,-0.04080975751111627
M33_10882,M33_30_4,0.11349454287561918
M33_10882,M33_30_5,0.004936967165843207
M33_10882,M33_30_6,0.057996571895268766
M33_10882,M33_31_1,0.19001917738080584
M33_10882,M33_31_2,-0.037562379461716845
M33_10882,M33_31_3,0.01875925612986857
M33_10882,M33_31_4,-0.06411928961804332
M33_10882,M33_31_5,0.06175350287634037
M33_10882,M33_31_6,-0.0057889877433089125
M33_10882,M33_32_1,0.20082067811745827
M33_10882,M33_32_2,-0.06708594377304569
M33_10882,M33_32_3,0.04623581227561641
M33_10882,M33_32_4,-0.025274948354844857
M33_10882,M33_32_5,0.22116030312965973
M33_10882,M33_32_6,-0.010016646157513702
M33_10882,M33_33_1,0.07043866561339196
M33_10882,M33_33_2,0.019106241362847276
M33_10882,M33_33_3,0.033179862707691195
M33_10882,M33_33_4,0.007485721822222559
M33_10882,M33_33_5,0.07259195486533905
M33_10882,M33_33_6,0.06137486425858968
M33_10882,M33_34_1,0.4002970578009015
M33_10882,M33_34_2,-0.12029248425269574
M33_10882,M33_34_3,0.36982572139697345
M33_10882,M33_34_4,0.017290199840822584
M33_10882,M33_34_5,0.021883771605774937
M33_10882,M33_34_6,-0.0566142216985907
M33_10882,M33_35_1,0.1481177379528316
M33_10882,M33_35_2,0.022492865124396504
