Stimulus,Subject,DeltaF/F
G_-1,G_1_left_00,-0.0002110133106674356
G_-1,G_1_left_01,-4.642180202843707e-05
G_-1,G_1_left_02,-0.0002664057259964809
G_-1,G_1_left_03,-0.00014428905461921288
G_-1,G_1_left_04,-0.00022201403989678927
G_-1,G_1_left_05,-0.00029191538166332005
G_-1,G_1_left_06,-0.0002661433364948051
G_-1,G_1_left_07,0.0001364021329810654
G_-1,G_1_left_08,-0.0010709110304924659
G_-1,G_1_left_09,0.00017576660155626218
G_-1,G_1_left_10,-0.0002603133873557374
G_-1,G_1_left_11,-0.00033153326581249
G_-1,G_1_left_12,-7.15491876339119e-05
G_-1,G_1_left_13,-8.506231194011159e-05
G_-1,G_1_left_14,-0.0006862366251428833
G_-1,G_1_left_15,-0.00028469981447325476
G_-1,G_1_left_16,-0.0004893698192142117
G_-1,G_1_left_17,0.00027732562391052023
G_-1,G_1_left_18,-0.00038044534635044494
G_-1,G_1_left_19,-0.00042041928373582856
G_-1,G_1_left_20,-4.257506020796052e-05
G_-1,G_1_left_21,7.434089651938406e-05
G_-1,G_1_left_22,-1.9101370971675347e-05
G_-1,G_1_left_23,-8.024689338368579e-05
G_-1,G_1_left_24,-0.00013064078031109662
G_-1,G_1_left_25,-0.00016534384400867017
G_-1,G_1_left_26,-0.00020800311506040883
G_-1,G_1_left_27,-8.942695578949118e-05
G_-1,G_1_left_28,-0.00024012539152282666
G_-1,G_1_left_29,-6.542520175956359e-06
G_-1,G_1_left_30,-8.940602603495452e-05
G_-1,G_1_left_31,-4.785677459437572e-05
G_-1,G_1_left_32,-0.0004315917918297829
G_-1,G_1_left_33,-0.0001478180637215997
G_-1,G_1_left_34,-0.00033356780955595656
G_-1,G_1_left_35,-8.650908300985596e-05
G_-1,G_1_left_36,5.872733446049634e-05
G_-1,G_1_left_37,-0.0005854924215316034
G_-1,G_1_left_38,0.00032721058192321695
G_-1,G_1_left_39,-0.0004336965818082698
G_-1,G_1_left_40,-0.00010574833550581813
G_-1,G_1_left_41,-1.1877586720219756e-05
G_-1,G_1_left_42,-2.383017746946204e-05
G_-1,G_1_left_43,-0.0017312733281767889
G_-1,G_1_left_44,-0.0005128899379903786
G_-1,G_1_left_45,-0.00029046786878624865
G_-1,G_1_left_46,0.0004050391412700309
G_-1,G_1_left_47,0.0002362389083249693
G_-1,G_1_left_48,-0.00016216533463565645
G_-1,G_1_left_49,2.7798306560024464e-05
G_-1,G_1_left_50,-0.00019585138360805776
G_-1,G_1_left_51,2.890316388710088e-05
G_-1,G_1_left_52,-9.598033005721967e-05
G_-1,G_1_left_53,-8.366746635907096e-05
G_-1,G_1_left_54,-0.00022033816772333944
G_-1,G_1_left_55,-3.621711005959645e-05
G_-1,G_1_left_56,6.788080703414152e-05
G_-1,G_1_left_57,-4.7954393728105636e-05
G_-1,G_1_left_58,-0.00016224620259795974
G_-1,G_1_left_59,9.31101701859512e-05
G_-1,G_1_left_60,-8.418280655744558e-06
G_-1,G_1_left_61,6.589609920437865e-05
G_-1,G_1_left_62,-0.00021977917612777358
G_-1,G_1_left_63,-0.00013602597974619665
G_-1,G_1_left_64,-0.00017055337801067248
G_-1,G_1_left_65,0.00011064434163413132
G_-1,G_1_left_66,-0.0002778342822323207
G_-1,G_1_left_67,-5.584008118519926e-05
G_-1,G_1_left_68,-5.361052090096173e-05
G_-1,G_1_left_69,-3.184873248205949e-05
G_-1,G_1_left_70,1.2498882341147249e-06
G_-1,G_1_left_71,-4.123728046912695e-05
G_-1,G_1_left_72,-0.0005480023239987691
G_-1,G_1_left_73,-8.849384163048216e-06
G_-1,G_1_left_74,5.029177242345499e-05
G_-1,G_1_left_75,-0.0001256405289718382
G_-1,G_1_left_76,-9.478438377802892e-05
G_-1,G_1_left_77,-0.0003413602863906584
G_-1,G_1_left_78,-0.00015901821385008364
G_-1,G_1_left_79,-5.0616542477931355e-05
G_-1,G_1_left_80,-0.0003649359791172006
G_-1,G_1_left_81,-4.2456241786939226e-05
G_-1,G_1_left_82,-0.0003218391088142337
G_-1,G_1_left_83,0.00037958001151249616
G_-1,G_1_left_84,-0.00014244939524503644
G_-1,G_1_left_85,-0.0002154671609918564
G_-1,G_1_left_86,-0.00025923418884523297
G_-1,G_1_left_87,-0.00022004514689949152
G_-1,G_1_left_88,-0.00016438867327326948
G_-1,G_1_left_89,3.698790906867175e-05
G_-1,G_1_left_90,-5.730744980683087e-05
G_-1,G_1_left_91,-8.56818304991222e-05
G_-1,G_1_left_92,-0.0002203398812493842
G_-1,G_1_left_93,-0.00034384585402907593
G_-1,G_1_left_94,-0.00020537306112415306
G_-1,G_1_left_95,0.00023693458701426075
G_-1,G_1_left_96,-0.0003056300553882275
G_-1,G_1_left_97,4.198108483090726e-05
G_-1,G_1_left_98,-4.735545620323491e-05
G_-1,G_1_right_00,-0.0005053700125573096
G_-1,G_1_right_01,3.3141593077707116e-05
G_-1,G_1_right_02,0.00010120053192831371
G_-1,G_1_right_03,-3.557360597806624e-05
G_-1,G_1_right_04,-0.0005147383205535232
G_-1,G_1_right_05,-0.0006931625168493462
G_-1,G_1_right_06,0.00032362265915805884
G_-1,G_1_right_07,-0.00044886496556500576
G_-1,G_1_right_08,-9.010611329111958e-05
G_-1,G_1_right_09,-2.456214564651735e-05
G_-1,G_1_right_10,-0.000208216513395965
G_-1,G_1_right_100,0.00010483995838358445
G_-1,G_1_right_101,-2.81674721768009e-05
