CIDs,High or Low Conc.,FOV,cell,delF
1049,l,2,90,-0.048857395911948376
1049,l,2,91,-0.04600339953316777
1049,l,2,92,-0.01223440279219488
1049,l,2,93,0.03995940406921495
1049,l,2,94,0.029680619719617756
1049,l,2,95,0.04246265478968834
1049,l,2,96,-0.05079342160610181
1049,l,2,97,0.0067205668160810195
1049,l,2,98,-0.018363360517207526
1049,l,2,99,-0.09079000596945759
1049,l,2,100,-0.048368698642322315
1049,l,2,101,0.016594483390474965
1049,l,2,102,0.029148522164642685
1049,l,2,103,0.03897849767882175
1049,l,2,104,0.20573715411383767
1049,l,2,105,0.0567711283683873
1049,l,2,106,-0.005945754675873625
1049,l,2,107,0.08590293533120019
1049,l,2,108,-0.02845140850284658
1049,l,2,109,-0.008907711419525911
1049,l,2,110,-0.01909937505736396
1049,l,2,111,0.006213104507445323
1049,l,2,112,-0.039768722611097714
1049,l,2,113,-0.030554175583897034
1049,l,2,114,-0.015123603637407548
1049,h,3,0,0.16061868044020247
1049,h,3,1,-0.04703531281656723
1049,h,3,2,0.009380067133419493
1049,h,3,3,0.1330660105290436
1049,h,3,4,-0.04228982194720352
1049,h,3,5,0.07119264339006068
1049,h,3,6,1.1624706386285208
1049,h,3,7,0.10493110260288516
1049,h,3,8,0.06189837610387142
1049,h,3,9,0.04937038842133889
1049,h,3,10,0.06691500838010554
1049,h,3,11,0.011568244535344097
1049,h,3,12,-0.11664129520119762
1049,h,3,13,-0.11012864325645588
1049,h,3,14,-0.011314472367235809
1049,h,3,15,-0.03145685112354826
1049,h,3,16,-0.020118464141754354
1049,h,3,17,0.25189231660730516
1049,h,3,18,-0.015227108626466715
1049,h,3,19,-0.006285040981902817
1049,h,3,20,0.04692966283944063
1049,h,3,21,-0.05139185270245762
1049,h,3,22,-0.08955592518190085
1049,h,3,23,-0.022905534424505915
1049,h,3,24,-0.04419367994304689
1049,h,3,25,0.07251569860612536
1049,h,3,26,-0.006950443979212734
1049,h,3,27,0.009303521585922025
1049,h,3,28,-0.0024099975204471408
1049,h,3,29,0.06066626109409203
1049,h,3,30,-0.1607124265797612
1049,h,3,31,-0.04823810167542648
1049,h,3,32,-0.08146805565357199
1049,h,3,33,-0.02368912880569274
1049,h,3,34,-0.006346290744486731
1049,h,3,35,0.03535507773180041
1049,h,3,36,-0.05388463480754846
1049,h,3,37,-0.046867693013811926
1049,h,3,38,0.10400494162437465
1049,h,3,39,-0.04260800879569925
1049,h,3,40,-0.030915823654444036
1049,h,3,41,0.24202906372270844
1049,h,3,42,0.008632926071732756
1049,h,3,43,-0.03125388011770664
1049,h,3,44,0.13535981879502365
1049,l,3,0,-0.021666707289654516
1049,l,3,1,0.05931338457330282
1049,l,3,2,-0.045967564953335815
1049,l,3,3,-0.005032391198000853
1049,l,3,4,-0.04396437056863948
1049,l,3,5,-0.049573454838711166
1049,l,3,6,-0.02682196390227738
1049,l,3,7,0.04982999648146055
1049,l,3,8,-0.04291921552480327
1049,l,3,9,-0.05827761335072554
1049,l,3,10,0.04744217386297353
1049,l,3,11,-0.005017861384418188
1049,l,3,12,-0.0530782161749117
1049,l,3,13,-0.07086013697176514
1049,l,3,14,-0.16568740288854877
1049,l,3,15,-0.04339168150254088
1049,l,3,16,-0.08152024420048486
1049,l,3,17,0.2297405214469367
1049,l,3,18,-0.11485180969502985
1049,l,3,19,-0.01661813896137111
1049,l,3,20,-0.08675446721000057
1049,l,3,21,-0.08197149599624055
1049,l,3,22,0.07597295100613106
1049,l,3,23,0.3484684015789868
1049,l,3,24,0.03923213869109344
1049,l,3,25,-0.03262637596879625
1049,l,3,26,0.06918218514451478
1049,l,3,27,-0.07884239026994339
1049,l,3,28,-0.044379697926192015
1049,l,3,29,-0.03711321353604884
1049,l,3,30,0.012118086970183286
1049,l,3,31,-0.01317899978540616
1049,l,3,32,0.007264775646256383
1049,l,3,33,-0.06295639470131577
1049,l,3,34,0.1048797440805727
1049,l,3,35,0.017407969862519825
1049,l,3,36,0.056438926565777925
1049,l,3,37,-0.06299535542701058
1049,l,3,38,-0.04701425646016768
1049,l,3,39,0.002654196718667868
1049,l,3,40,-0.03005739750704235
1049,l,3,41,0.0059291249077639
1049,l,3,42,-0.05121447522937372
1049,l,3,43,-0.08970445554523893
1049,l,3,44,0.04499042963875172
1049,l,3,45,0.14344978730371485
1049,l,3,46,0.05006284277299836
1049,l,3,47,-0.06170940859371878
1049,l,3,48,-0.08024367795334783
1049,l,3,49,0.200284001246377
1049,l,3,50,0.2808401565850777
1049,l,3,51,-0.08509210977575271
1049,l,3,52,0.07984627356784728
1049,l,3,53,0.11911644218940574
1049,l,3,54,0.18570743682740487
1049,l,3,55,0.0016394527417339054
1049,l,3,56,-0.038673322833534564
1049,l,3,57,-0.02134958362341177
1049,l,3,58,-0.08307074906305112
1049,l,3,59,0.026654350303878943
1049,l,3,60,0.036893285438803956
1049,l,3,61,-0.15290569189098432
1049,l,3,62,0.0737087619322901
1049,l,3,63,-0.0946611286713284
1049,l,3,64,-0.02679067682693286
1049,l,3,65,-0.08210739884135322
1049,l,3,66,-0.03533224545529081
1049,l,3,67,0.15329851784979123
1049,l,3,68,-0.00412895571416928
1049,l,3,69,0.15259426774234264
1049,l,3,70,-0.005889133510624373
1049,l,3,71,-0.055858944189579984
1049,l,3,72,-0.03522416088702316
1049,l,3,73,0.05407586998947181
1049,l,3,74,-0.1135585861815237
1049,l,3,75,-0.11795121960681554
1049,l,3,76,0.011763776933217687
1049,l,3,77,0.04097175673874844
1049,l,3,78,-0.024768822592133033
1049,l,3,79,0.044505462158172075
1049,l,3,80,-0.048957416136893826
1049,l,3,81,0.050076980539267534
1049,l,3,82,0.028196532788573023
1049,l,3,83,0.2588043168488005
1049,l,3,84,0.04066612782727259
1049,l,3,85,0.0626796551637414
1049,l,3,86,0.0455089993873786
1049,l,3,87,-0.005492192037715875
1049,l,3,88,0.043104373230437275
1049,l,3,89,-0.03400201899243518
1049,l,3,90,0.11244532003371194
2758,h,1,0,0.2934341871296704
2758,h,1,1,0.2934341871296704
2758,h,1,2,0.048249254466068016
2758,h,1,3,-0.03238107035908968
2758,h,1,4,0.3183289903284659
2758,h,1,5,0.015368959167541671
2758,h,1,6,-0.0005693929484311827
2758,h,1,7,0.015600088800825156
2758,h,1,8,-0.008649995128039788
2758,h,1,9,0.22590473054315838
2758,h,1,10,0.0202045465968835
2758,h,1,11,0.008233784466530857
2758,h,1,12,0.10788376674004714
2758,h,1,13,0.17309956425866177
2758,h,1,14,0.030718825429081914
2758,h,1,15,-0.02386133418444511
2758,h,1,16,0.01731285698534653
2758,h,1,17,0.04032708107928989
2758,h,1,18,0.07275382586231353
2758,h,1,19,0.13023153975390164
2758,h,1,20,-0.022612806611429014
2758,h,1,21,0.04243622980967093
2758,h,1,22,0.22807852833445116
2758,h,1,23,0.11509412471682663
2758,h,1,24,0.10910398406886913
2758,h,1,25,0.08452663483861593
2758,h,1,26,-0.08206434561113736
2758,h,1,27,0.08594759330203765
2758,h,1,28,-0.02457143416805597
2758,h,1,29,-0.04760771068414108
2758,h,1,30,-0.0633623035302584
2758,h,1,31,-0.028140460308055046
2758,h,1,32,-0.09706539628954586
2758,h,1,33,-0.007189103300948269
2758,h,1,34,0.048251837597085144
2758,h,1,35,0.038884096772287886
2758,h,1,36,-0.02032963459975415
2758,h,1,37,0.2644421247533037
2758,h,1,38,0.4221988136648526
2758,h,1,39,0.13105143382281237
2758,h,1,40,-0.046602915877603394
2758,h,1,41,-0.04869599500363119
2758,h,1,42,0.0054082577143002115
2758,h,1,43,-0.045466361852689346
2758,h,1,44,0.024305582872957723
2758,h,1,45,0.07132112325338681
2758,h,1,46,0.043941222798237346
2758,h,1,47,-0.027346598313676185
2758,h,1,48,0.05276839270815658
2758,h,1,49,0.10198217324460986
2758,h,1,50,0.041097492290596144
2758,h,1,51,0.04902483320259619
2758,h,1,52,0.03904244380972963
2758,h,1,53,0.05251366824262926
2758,h,1,54,0.08346054205863111
2758,h,1,55,0.13363442506147438
2758,h,1,56,0.1503890044664069
2758,h,1,57,0.015242065561396312
2758,h,1,58,-0.015456698566284502
2758,h,1,59,-0.0018110410133522804
2758,h,1,60,0.03695211779816421
2758,h,1,61,0.018740263948335865
2758,h,1,62,0.07001636584230844
2758,h,1,63,0.009615351172108834
2758,h,1,64,0.13914236111588255
2758,h,1,65,0.09651436209798508
2758,h,1,66,0.03219837709619173
2758,h,1,67,-0.03464414994416839
2758,h,1,68,0.2171833441460823
2758,h,1,69,0.013070804653200012
2758,h,1,70,0.011791214735686964
2758,h,1,71,0.04748854388936533
2758,h,1,72,0.011729779399534188
2758,h,1,73,-0.03385174244126421
2758,h,1,74,-0.019637627178505455
2758,h,1,75,-0.03059340768593415
2758,h,1,76,0.012033749483938446
2758,h,1,77,0.0018498120620110716
2758,l,1,0,0.18866837051695406
2758,l,1,1,0.08157936963624329
2758,l,1,2,0.2235841748715515
2758,l,1,3,0.05168253583099156
2758,l,1,4,0.12652056103461354
2758,l,1,5,0.02992308833758089
2758,l,1,6,0.009462890640782156
2758,l,1,7,0.013288836982807287
2758,l,1,8,0.13240830774220655
2758,l,1,9,0.05954839211328631
2758,l,1,10,0.09746728477737897
2758,l,1,11,0.11578668036561746
2758,l,1,12,0.015185991257771333
2758,l,1,13,0.07063787574165
2758,l,1,14,0.11033176626379171
2758,l,1,15,-0.03002199733393157
2758,l,1,16,0.06635029900514423
2758,l,1,17,0.006034713462379067
2758,l,1,18,0.030620145895640372
2758,l,1,19,0.14301709817182778
2758,l,1,20,0.0546458493674905
2758,l,1,21,0.1484766285322259
2758,l,1,22,0.0910583776338763
2758,l,1,23,0.02360539931817582
2758,l,1,24,0.01664776336704694
2758,l,1,25,0.10146168213789492
2758,l,1,26,0.02553143118416507
2758,l,1,27,0.02108416814325012
2758,l,1,28,0.011403959727217049
2758,l,1,29,0.13586313039500594
2758,l,1,30,-0.03509398079787022
2758,l,1,31,0.051613417874352176
2758,l,1,32,0.07232980477990422
2758,l,1,33,0.15956665334615075
2758,l,1,34,0.49004644948475456
2758,l,1,35,0.0547156436025887
2758,l,1,36,-0.00571663538795997
2758,l,1,37,0.2892471478493763
2758,l,1,38,0.15138244632875594
2758,l,1,39,-0.008723046334847375
2758,l,1,40,-0.012933348333214334
2758,l,1,41,-0.014422984814185356
2758,l,1,42,0.023202523714041443
2758,l,1,43,0.09288761524689298
2758,l,1,44,0.10225881987511953
2758,l,1,45,0.07497243749096653
2758,l,1,46,0.023001672558781477
2758,l,1,47,0.17592180282574857
2758,l,1,48,0.13626187446902036
2758,l,1,49,0.022504465653228195
2758,l,1,50,0.08401254918209546
2758,l,1,51,0.014423123525872323
2758,l,1,52,0.034501498518676364
2758,h,2,0,0.5739288953170204
2758,h,2,1,0.43622209187585104
2758,h,2,2,0.32467875122638756
2758,h,2,3,0.5462734587075332
2758,h,2,4,0.028170259433067505
2758,h,2,5,0.43306892793145013
2758,h,2,6,0.04363365222203336
2758,h,2,7,0.022905980345910987
2758,h,2,8,0.4062564914564619
2758,h,2,9,0.4062564914564619
2758,h,2,10,0.449638143361881
2758,h,2,11,0.11146091000871838
2758,h,2,12,-0.003154167257596497
2758,h,2,13,0.06089180738824166
2758,h,2,14,0.10269926922229165
2758,h,2,15,0.16288940434658583
2758,h,2,16,0.08705821092377337
2758,h,2,17,0.08878869229981079
2758,h,2,18,0.19795807809369037
2758,h,2,19,0.06077607823517584
2758,h,2,20,0.02973529277601104
2758,h,2,21,0.04401042018381032
2758,h,2,22,0.06352228511632711
2758,h,2,23,0.1857064321585865
2758,h,2,24,0.10532704078205242
2758,h,2,25,0.049157636411898666
2758,h,2,26,0.10289832877488585
2758,h,2,27,0.015292665131867673
2758,h,2,28,-0.004040699310966581
2758,h,2,29,0.05119427749258997
2758,h,2,30,0.05314959930847566
2758,h,2,31,0.12150677925543762
2758,h,2,32,0.08311705466181556
2758,h,2,33,0.08634173771440821
2758,h,2,34,0.007849880968430728
2758,h,2,35,0.09041852079838186
2758,h,2,36,0.020195454282887285
2758,h,2,37,0.08422543946977616
2758,h,2,38,0.14928932240820303
2758,h,2,39,0.08643025026556207
2758,h,2,40,-0.0017863153433324795
2758,h,2,41,-0.03749341135861114
2758,h,2,42,-0.017598661081606574
2758,h,2,43,0.09764540477185966
2758,h,2,44,0.03443803101178996
2758,h,2,45,0.27231868877049076
2758,h,2,46,0.2002377455380883
2758,h,2,47,0.1344660110513264
2758,h,2,48,0.08669043478465338
2758,h,2,49,0.12608417714062856
2758,h,2,50,0.02570866909595015
2758,h,2,51,0.03846927904615685
2758,h,2,52,0.16930565295651567
2758,h,2,53,0.0954498084203103
2758,h,2,54,0.13779859694818197
2758,h,2,55,0.06238774265509215
2758,h,2,56,0.08358160216224643
2758,h,2,57,0.055490123143994374
2758,h,2,58,-0.04673849759563194
2758,h,2,59,0.04351815622365667
2758,h,2,60,0.02743667296102456
2758,h,2,61,-0.03875420330941063
2758,h,2,62,0.059727334599479764
2758,h,2,63,-0.02775480854838459
2758,h,2,64,0.010525251530735386
2758,h,2,65,0.042053261445709415
2758,h,2,66,0.04457776229530691
2758,h,2,67,0.061788228956140924
2758,h,2,68,0.13168741018818186
2758,h,2,69,0.0825999788686579
2758,h,2,70,0.08343231020539392
2758,h,2,71,0.03307964125881984
2758,h,2,72,0.018783363328473888
2758,h,2,73,0.05182619982301378
2758,h,2,74,0.05578173214426571
2758,h,2,75,-0.04010541275511723
2758,h,2,76,0.053248448171092956
2758,h,2,77,0.00952714275353535
2758,h,2,78,0.10978101458401031
2758,h,2,79,0.006848626592404703
2758,h,2,80,0.10549142145016814
2758,h,2,81,0.07950119263594914
2758,h,2,82,0.07628802489909718
2758,h,2,83,0.1256338152967804
2758,h,2,84,0.03744624484462005
2758,h,2,85,0.0421024869412937
2758,h,2,86,0.062413417422835564
2758,h,2,87,0.04753198333084945
2758,h,2,88,0.0738746620427365
2758,h,2,89,0.0738746620427365
2758,h,2,90,-0.015836956453015163
2758,h,2,91,0.23674731665195634
2758,h,2,92,0.003933899769744041
2758,h,2,93,0.03167867846682189
2758,h,2,94,0.04178727177365867
2758,h,2,95,0.08077946755467522
2758,h,2,96,0.023545949654943363
2758,h,2,97,-0.029706009821891404
2758,h,2,98,0.002582480137746599
2758,h,2,99,0.04222675849765766
2758,h,2,100,0.06495546707330362
2758,h,2,101,-0.008278719827820908
2758,h,2,102,0.048764520896037646
2758,h,2,103,0.05706457225691972
2758,h,2,104,0.018400493665242518
2758,h,2,105,-0.007052257580569943
2758,h,2,106,0.0076367680613030784
2758,h,2,107,0.05830081886298341
2758,h,2,108,0.0263122875631871
2758,h,2,109,-0.03780445654825654
2758,h,2,110,0.056614954366498514
2758,h,2,111,0.01223587668327951
2758,h,2,112,0.027297396978256783
2758,h,2,113,0.016863768057650688
2758,h,2,114,0.059823102706938795
2758,h,2,115,0.028898152630787984
2758,h,2,116,0.07048480915423753
2758,h,2,117,0.13014794163147284
2758,h,2,118,0.016236351288278824
2758,h,2,119,0.08621238776248086
2758,h,2,120,0.051313423706528194
2758,h,2,121,0.032005729882393155
2758,h,2,122,0.056624162504274794
2758,h,2,123,0.07105372618697253
2758,l,2,0,0.48776073940060005
2758,l,2,1,0.25861179748288093
2758,l,2,2,0.04706340451783278
