smiles,regression_pred_pKd
CCCCCOC=O,6.316466330282058
CCCCCOC(=O)c1ccco1,6.896786807381343
CCCCCCC(=O)OCCCCC,4.892853802647731
CCCCCOC(=O)CCCCC,5.329774838736133
CCCCCOC(=O)C(C)C,6.329099256733568
CCCCCOC(=O)CC(C)C,6.287193029832839
CCCCCC1OCCOC1=O,6.187912755159201
CCCCCOC(=O)C(C)O,6.293195545744187
CCCCCOC(=O)C(C)CC,6.0943454822882375
CCCCCCCC(=O)OCCCCC,4.859769043694157
CCCCCCCCCCCCCCCC(=O)OCCCCC,4.753578412604193
CCCCCOC(=O)Cc1ccccc1,6.194623938775075
CCCCCOC(=O)CC,5.5800324640541765
CCCCCOC(=O)CCCC,5.15474502503369
CCCCCOC(=O)c1ccccc1O,7.0746753252202
CCCCC/C(=C\c1ccccc1)C(OC)OC,6.243763674757129
CCCCC/C(C=O)=C/c1ccccc1,6.6413165611062634
CCCCCC(/C=C/c1ccccc1)OC(C)=O,6.396629760701049
CCCCC/C(=C\c1ccccc1)CO,5.894130859547408
CCCCC/C(=C/c1ccccc1)COC=O,6.6531622714226675
CCCCC/C(=C/c1ccccc1)COC(=O)CC(C)C,6.508011860910865
C/C=C/c1ccc(OC)cc1,5.099717989282759
C/C=C(/C)C(=O)O,4.744169387091926
CC1=CCC(=O)O1,4.478608071082367
COc1ccc(C=O)cc1,5.255218623057392
COc1ccc(C(=O)O)cc1,6.160802743384074
COc1ccccc1,5.175476109127435
COc1ccc(COC(C)=O)cc1,6.161317601936219
COc1ccc(CO)cc1,5.4551512660232016
CCCC(=O)OCc1ccc(OC)cc1,5.99321036422552
COc1ccc(COC=O)cc1,5.9620515699816075
COc1ccc(COC(=O)C(C)C)cc1,6.1442617425862665
COc1ccc(COC(=O)Cc2ccccc2)cc1,5.5288617548743835
CCC(=O)OCc1ccc(OC)cc1,5.753385833084638
CCCCC/C=C/C/C=C/C/C=C/C/C=C/CCCC(=O)O,6.262409040781696
C=CC(C)(C)C(=O)C=C(C)C,5.196980393645638
O=C1C(O)=C(O)OC1C(O)CO,5.879799552056514
CCOC(OCC)c1ccccc1,6.0028496294894085
COC(OC)c1ccccc1,5.631366337564352
CCOC(OC)c1ccccc1,6.461914829744747
OCC(O)/C(O)=C/c1ccccc1,5.088659132422741
CC1COC(c2ccccc2)O1,5.821765613302487
O=Cc1ccccc1,4.793506167529757
Sc1ccccc1,4.049189120537291
O=Cc1cc2ccccc2o1,5.457992464550248
O=C(O)c1ccccc1,5.752883244308093
O=C(c1ccccc1)C(O)c1ccccc1,5.796112763643402
N#Cc1ccccc1,3.996384186645075
O=C(c1ccccc1)c1ccccc1,5.172157156191657
c1ccc2scnc2c1,4.362007684670636
CC(=O)OCc1ccccc1,5.7059171989687085
CC(=O)CC(=O)OCc1ccccc1,5.319579246889481
OCc1ccccc1,4.564016005762707
O=C(OCc1ccccc1)c1ccccc1,4.65741645950212
CCCCOCc1ccccc1,5.408679318314593
CCCC(=O)OCc1ccccc1,5.576854191831356
O=C(/C=C/c1ccccc1)OCc1ccccc1,4.932892606821823
C/C=C/C(=O)OCc1ccccc1,6.070884017698373
CCCCCCCCCC(=O)OCc1ccccc1,5.248893137654621
CC(C)=C(C)C(=O)OCc1ccccc1,5.471974223720727
c1ccc(CSSCc2ccccc2)cc1,4.418632628002187
CCCCCCCCCCCC(=O)OCc1ccccc1,5.248893137654621
CCOCc1ccccc1,4.946346138325568
O=COCc1ccccc1,5.156228781977743
CCCCCC(=O)OCc1ccccc1,5.729851432427318
CC(C)C(=O)OCc1ccccc1,5.641292183730421
S=C=NCc1ccccc1,4.567460406168911
CC(C)CC(=O)OCc1ccccc1,5.881271726399847
CC(O)C(=O)OCc1ccccc1,5.866720684868338
SCc1ccccc1,4.299424788504036
COCc1ccccc1,4.880928484380757
