smiles,regression_pred_pKd
CCOC(C)OCC,3.3310904560739925
CCCCCOC(C)OCCC(C)C,4.840647912096302
COC(C)OC(C)OCc1ccccc1,5.2439509885917595
CCCCOC(C)OCC,4.45455245737869
CCCCOC(C)OCCC(C)C,4.889240630737992
CCCCOC(C)OC(C)CCC,4.476290124764857
CCCCOC(C)OCCc1ccccc1,6.145963537847744
CC(C)CCOC(C)OCCC(C)C,4.049738117948993
CC(C)COC(C)OCC(C)C,3.2980121358663226
CC(C)OC(C)OC(C)C,2.536064926353121
CCCCCOC(C)OCCCCC,4.2731426960586525
CCCCOC(C)OCCCC,4.3158607278930825
CCCCCCOC(C)OCCCCCC,4.3540829094066735
CC(OCCc1ccccc1)OCCc1ccccc1,5.4546266969418715
CCCOC(C)OCCC,3.4369108281993483
CCOC(C)OCC(C)CC,3.5406008900783585
CCOCCOCCC(C)C,3.9332536089665764
CCCCCOC(C)OCC,4.412073418779015
CC/C=C/CCOC(C)OCC,4.213850242190048
CCCCCCOC(C)OCC,4.485011492476358
CCOC(C)OCC(C)C,3.560394943917366
CCOC(C)OC,3.6533721289615273
CCOC(C)OCCc1ccccc1,5.6899897581347005
CCCOC(C)OCC,3.665820745737183
CCCCCCOC(C)OCCC(C)C,4.897809570322979
CC(C)CCOC(C)OCC(C)C,4.2121772141855685
CCCC(C)OC(C)OCCC(C)C,4.3910011224387215
CCCOC(C)OC(C)CCC,3.855330005248959
CCCOC(C)OCCc1ccccc1,5.551463714389701
CC=O,3.3444339279698867
COc1ccc(C(C)=O)cc1,5.703592678163169
CC(=O)O,4.604989292244872
CC(=O)OCC(COC(C)=O)OC(C)=O,4.246624448497721
CC(=O)C(C)O,3.743675479725858
CC(=O)CO,4.767809239051833
CC(C)=O,3.9547023358210542
CC(=O)COC(C)=O,4.3735853726820855
CC(=O)c1ccccc1,5.226216391466407
COc1cc(C(C)=O)cc(OC)c1O,5.808982215690622
COc1cc(C(C)=O)ccc1O,6.366446479186625
CCC(=O)COC(C)=O,4.453091023782165
CC(=O)OCCCCOC(C)=O,4.942984429664413
CC(=O)OC1(C)CCCC(C)(C)C12CCC(C)O2,5.473460912496762
CC(=O)OC1=C(C)OC(C)C1=O,6.0660748393886665
CC(=O)CCc1ccc(OC(C)=O)cc1,6.268012012821399
CC(=O)Oc1cc(C)ccc1C(C)C,6.624136930566029
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,5.9802299269473025
CC(=O)C1CCCC1=O,6.09317326989697
CC(=O)N1CCC=CS1,5.629437757703311
CC(=O)c1oc(C)cc1C,6.2523783032260765
CC(=O)c1cc(C)oc1C,5.601526568923577
CC(=O)[n+]1cc(C)nc(C)c1,5.651288596275808
CC(=O)c1ncc(C)nc1C,5.034926002573525
CC(=O)c1cnc(C)c(C)n1,4.874997672039119
CC(=O)c1cc(C)sc1C,6.361849025881242
CCc1nccnc1C(C)=O,4.432955249029504
CCc1cnc(C(C)=O)cn1,4.921968529340892
CCc1cncc(C(C)=O)n1,5.306586710690544
CC(=O)CCc1nccs1,5.569555260637134
CC(=O)n1ccc2ccccc21,6.227022636650107
CC(=O)c1ccc(C)o1,5.468162340847436
CC(=O)c1nccnc1C,4.186282008119121
CC(=O)c1ccnc(C)n1,5.031666103012876
CC(=O)Cc1ccc[nH]1,5.741587586039215
CC(=O)c1cnccn1,4.027875801827752
CC(=O)c1ccccn1,4.65179585187631
CC(=O)c1cccnc1,4.2864434866770385
CC(=O)c1ccc[nH]1,5.014279292208403
CC(=O)C1=CCCCN1,4.568153450340398
CC(=O)c1nccs1,4.875199126534912
CC(=O)C1NCCS1,4.811622978920798
CC(=O)C1=NCCS1,5.273800141942401
CC(=O)OCCCCCCSC(C)=O,5.498576051126146
O=C(O)/C=C(\CC(=O)O)C(=O)O,4.572328509661243
O=C(O)CCCCC(=O)O,4.3374274463198565
C/C=C(C)/C=C/C=C(C)C,3.6512582395303412
C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,7.646683102755659
C=CCOC(=O)Cc1ccccc1,6.740656615228139
C=CCOC(C)=O,5.3611913770063335
