smiles,regression_pred_pKd
CCOC(C)OCC,4.496763123000626
CCCCCOC(C)OCCC(C)C,4.904598093626216
COC(C)OC(C)OCc1ccccc1,5.018120070411603
CCCCOC(C)OCC,4.9329164341433245
CCCCOC(C)OCCC(C)C,4.9479921736300065
CCCCOC(C)OC(C)CCC,4.451322546054084
CCCCOC(C)OCCc1ccccc1,5.895483266017758
CC(C)CCOC(C)OCCC(C)C,4.523789712411153
CC(C)COC(C)OCC(C)C,4.274431547931482
CC(C)OC(C)OC(C)C,2.9824472797911477
CCCCCOC(C)OCCCCC,4.555599883068687
CCCCOC(C)OCCCC,4.603497818321278
CCCCCCOC(C)OCCCCCC,4.546462182401878
CC(OCCc1ccccc1)OCCc1ccccc1,5.620940572743951
CCCOC(C)OCCC,4.103926719068611
CCOC(C)OCC(C)CC,4.547547462429911
CCOCCOCCC(C)C,4.5790105864354205
CCCCCOC(C)OCC,4.884748051917549
CC/C=C/CCOC(C)OCC,4.981712047145583
CCCCCCOC(C)OCC,4.869153147541077
CCOC(C)OCC(C)C,4.694725198656506
CCOC(C)OC,4.339486723346658
CCOC(C)OCCc1ccccc1,6.0335149082884145
CCCOC(C)OCC,4.514088354935904
CCCCCCOC(C)OCCC(C)C,4.88461996180084
CC(C)CCOC(C)OCC(C)C,4.782425477753837
CCCC(C)OC(C)OCCC(C)C,4.615038735258287
CCCOC(C)OC(C)CCC,4.172018717749077
CCCOC(C)OCCc1ccccc1,5.6319460240723815
CC=O,3.739848987507859
COc1ccc(C(C)=O)cc1,4.981476782274264
CC(=O)O,5.284561010269323
CC(=O)OCC(COC(C)=O)OC(C)=O,4.890788784873756
CC(=O)C(C)O,4.491467077344835
CC(=O)CO,5.417072492964857
CC(C)=O,4.648901927970726
CC(=O)COC(C)=O,5.0362853299409105
CC(=O)c1ccccc1,5.1728113099786786
COc1cc(C(C)=O)cc(OC)c1O,4.8882557800899855
COc1cc(C(C)=O)ccc1O,5.209132808723505
CCC(=O)COC(C)=O,5.20960357240238
CC(=O)OCCCCOC(C)=O,5.371631509575902
CC(=O)OC1(C)CCCC(C)(C)C12CCC(C)O2,4.828091571406227
CC(=O)OC1=C(C)OC(C)C1=O,5.592711623522527
CC(=O)CCc1ccc(OC(C)=O)cc1,6.474031035456807
CC(=O)Oc1cc(C)ccc1C(C)C,5.416299528129462
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,4.919131619779703
CC(=O)C1CCCC1=O,5.810243850339452
CC(=O)N1CCC=CS1,4.743888597779732
CC(=O)c1oc(C)cc1C,4.825155467538494
CC(=O)c1cc(C)oc1C,4.265003091833052
CC(=O)[n+]1cc(C)nc(C)c1,5.317642106035949
CC(=O)c1ncc(C)nc1C,4.8097903141150615
CC(=O)c1cnc(C)c(C)n1,4.607952212009651
CC(=O)c1cc(C)sc1C,5.153414952897192
CCc1nccnc1C(C)=O,4.711134095392506
CCc1cnc(C(C)=O)cn1,5.202056656694226
CCc1cncc(C(C)=O)n1,5.280885530069587
CC(=O)CCc1nccs1,5.762201157592782
CC(=O)n1ccc2ccccc21,5.47670943147755
CC(=O)c1ccc(C)o1,4.533885211551198
CC(=O)c1nccnc1C,4.2654546291531945
CC(=O)c1ccnc(C)n1,5.115791796510479
CC(=O)Cc1ccc[nH]1,6.403726256887591
CC(=O)c1cnccn1,4.1792393050842565
CC(=O)c1ccccn1,4.7282752445563565
CC(=O)c1cccnc1,4.6043074350656745
CC(=O)c1ccc[nH]1,5.550991855442418
CC(=O)C1=CCCCN1,4.746217580178318
CC(=O)c1nccs1,4.840452504087599
CC(=O)C1NCCS1,4.943594155397154
CC(=O)C1=NCCS1,5.177475725844227
CC(=O)OCCCCCCSC(C)=O,5.6490263358571635
O=C(O)/C=C(\CC(=O)O)C(=O)O,5.125913983645758
O=C(O)CCCCC(=O)O,4.8929523290404555
C/C=C(C)/C=C/C=C(C)C,3.920561855082708
C=CCCC(=O)/C=C/C1C(C)=CCCC1(C)C,6.4569057673514605
C=CCOC(=O)Cc1ccccc1,6.500097329898548
C=CCOC(C)=O,5.823030079677057
C=CCO,4.163182248711374
C=CCOC(=O)CCC,5.569460042892794
C=CCOC(=O)/C=C/c1ccccc1,6.548250867572807
C=CCOC(=O)/C=C/C,5.8214315710200415
C=CCOC(=O)CC1CCCCC1,6.049519646577946
C=CCOC(=O)CCCC1CCCCC1,5.8079164409709145
C=CCOC(=O)CCCCCC1CCCCC1,5.787214867468142
C=CCOC(=O)CCC1CCCCC1,5.843209937449286
C=CCOC(=O)CCCCC1CCCCC1,5.720616537603098
C=CCOCC,4.7278251666769675
C=CCOC(=O)C(CC)CC,5.434153505087188
C=CCOC(=O)c1ccco1,5.7813845403253685
C=CCOC(=O)CCCCCC,5.524532718101199
C=CCOC(=O)CCCCC,5.627132840225334
C=CCN=C=S,3.5174548617383397
C=CCOC(=O)CC(C)C,5.928377086338147
C=CCS,3.991749850152492
C=CCSSC,5.327138726493692
C=CCSC,4.674455996972872
C=CCSSSSC,4.862830425645435
C=CCSSSC,4.813054562268057
C=CCOC(=O)CCCCCCCC,5.3318312284397225
C=CCOC(=O)CCCCCCC,5.411465887081811
C=CCOC(=O)CCCC,5.601706677019238
C=CCOC(=O)COc1ccccc1,6.21970389779691
C=CCSSC=CC,4.980111132048074
C=CCOC(=O)CC,6.007912187968572
C=CCSSCCC,5.016116968750096
C=CCSCCC,4.536706878302172
C=CCSSSCCC,4.965748172190637
C=CCOC(=O)/C=C/C=C/C,5.720035811352051
C=CCSCC=C,3.5953538686219453
C=CCSC(=O)CC,5.788801724482206
C=CCOC(=O)/C(C)=C/C,5.6443939002493755
C=CCCCCCCCCC(=O)OCC=C,5.2935889370716085
C=CCc1cc(OC)c(O)c(OC)c1,5.733356988094852
