Stimulus,Odorant,CID
(+)-Camphor,(+)-Camphor,159055.0
(+)-Dihydrocarveol,(+)-Dihydrocarveol,89755.0
(+)-Dihydrocarvone,(+)-Dihydrocarvone,22227.0
(+)-Pulegone,(+)-Pulegone,442495.0
(-)-Carvone,(-)-Carvone,439570.0
(-)-Dihydrocarveol,(-)-Dihydrocarveol,443163.0
(-)-Dihydrocarveol,(-)-Dihydrocarveol,443163.0
(-)-Perillaaldehyde,(-)-Perillaaldehyde,2724159.0
1-hexanol,1-hexanol,8103.0
2-Bromohexanoic_acid,2-Bromohexanoic acid,12013.0
2-Bromohexanoic_acid,2-Bromohexanoic acid,12013.0
2-Bromooctanoic_acid,2-Bromooctanoic acid,552003.0
2-Bromooctanoic_acid,2-Bromooctanoic acid,552003.0
2-Ethylphenol,2-Ethylphenol,6997.0
2-Phenethyl_acetate,2-Phenethyl acetate,7654.0
2-sec-Butyl-3-methoxypyrazine,2-sec-Butyl-3-methoxypyrazine,520098.0
2_coumaranone,2_coumaranone,68382.0
"3,4-Hexanedione","3,4-Hexanedione",62539.0
3-Octanone,3-Octanone,246728.0
4-Chromanone,4-Chromanone,68110.0
4-Chromanone,4-Chromanone,68110.0
4-Chromanone,4-Chromanone,68110.0
4-Ethylphenol,4-Ethylphenol,31242.0
6-Bromohexanoic_acid,6-Bromohexanoic acid,20210.0
6-Bromohexanoic_acid,6-Bromohexanoic acid,20210.0
Anisaldehyde,Anisaldehyde,31244.0
Axe,Axe (10 uM),
Axe,Axe (10 uM),
Benzaldehyde,Benzaldehyde,240.0
Benzaldehyde,Benzaldehyde,240.0
Benzaldehyde,Benzaldehyde,240.0
Benzophenone,Benzophenone,3102.0
Benzyl_acetate,Benzyl acetate,8785.0
Benzyl_salicylate,Benzyl salicylate,8363.0
Bis(2-methyl-3-furyl)disulphide),Bis(2-methyl-3-furyl)disulphide),526624.0
Butanal,Butanal,261.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Cedryl_acetate,Cedryl acetate,13918856.0
Chanel_No_5,Chanel No 5 (10 uM),
Chanel_No_5,Chanel No 5 (10 uM),
Cinnamyl_alcohol,Cinnamyl alcohol,5315892.0
Cyclobutanecarboxylic_acid,Cyclobutanecarboxylic acid,19494.0
Decanal,Decanal,8175.0
Decanal,Decanal,8175.0
Decanoic_Acid,Decanoic_Acid,2969.0
Decanoic_Acid,Decanoic_Acid,2969.0
