CID,Olfactory Receptor
8158,OR52D1
8158,MOR203-1
8158,MOR260-1
8158,MOR103-15
8158,MOR40-4
8158,MOR22-2
8158,MOR31-2
8158,MOR33-1
8158,MOR32-4
8158,MOR23-1
8158,MOR18-1
8158,MOR30-1
8158,MOR32-11
8158,MOR8-2
8158,MOR5-1
8158,MOR40-1
8158,MOR42-3
8158,MOR37-1
8158,MOR42-2
8158,MOR106-1
8158,MOR256-17
8163,OR1G1
8169,MOR103-15
8174,OR1A1
8174,OR1G1
8174,OR2J2
8174,OR2W1
8174,MOR203-1
8174,MOR261-1
8175,OR1G1
8175,OR52D1
8175,MOR103-15
8175,MOR30-1
8175,MOR37-1
8176,MOR103-15
8180,MOR40-4
8180,MOR23-1
8180,MOR31-4
8180,MOR32-11
8180,MOR42-3
8186,OR1D2
8186,OR1G1
8186,OR4D2
8186,MOR174-9
8186,MOR103-15
8186,MOR40-4
8186,MOR32-11
8186,MOR42-3
8193,OR1G1
8194,MOR103-15
8194,MOR31-4
8294,MOR103-15
8369,OR1G1
8438,MOR258-2
8467,OR1D2
8467,OR2A25
8467,OR3A1
8467,MOR174-9
8467,MOR174-4
8467,MOR244-3
8468,MOR9-1
8468,MOR15-1
8469,OR1D2
8785,OR1A1
8785,OR1D2
8785,OR2W1
8785,MOR203-1
8785,MOR261-1
8785,MOR41-1
8785,MOR223-1
8785,MOR139-1
8785,MOR271-1
8785,MOR272-1
8815,OR2M4
8815,OR52D1
8842,OR1A1
8842,OR1D2
8842,OR2M7
8842,OR2W1
8842,MOR203-1
8842,MOR136-2
8842,MOR125-1
8842,MOR118-1
8878,OR1A1
8892,OR51L1
8892,OR52D1
8892,MOR1-1
8892,MOR31-2
8892,MOR33-1
8908,OR2W1
8914,OR1D2
8914,OR1G1
8914,OR2J2
8914,OR2W1
8914,OR52D1
8914,MOR203-1
8914,MOR40-4
8914,MOR22-2
8914,MOR31-2
8914,MOR33-1
8914,MOR40-1
9256,OR1G1
9256,OR52D1
9261,OR1G1
9309,MOR106-1
9309,MOR256-17
9862,OR1D2
9862,OR52D1
10106,MOR244-3
10430,OR1S2
10430,OR2B11
10430,OR2C1
10430,OR2J2
10430,OR2M2
10430,OR4A4P
10430,OR11H7P
10430,OR52D1
10430,MOR31-2
10886,MOR256-17
10890,OR2AG1
10975,OR1D2
11527,OR1G1
11527,MOR139-3
11583,OR2W1
11583,MOR175-1
11583,MOR271-1
11583,MOR272-1
11614,OR2W1
12348,OR1D2
12348,OR6F1
12348,MOR103-15
12348,MOR256-3
12367,OR1G1
12367,OR52D1
12741,OR52D1
12741,MOR175-1
12756,MOR203-1
