Sr. No,Odorant,PubChem,Receptor,UniProt,GenBank,Organism
392,112-54-9,8194,MOR103-15,O95918,NM_010983,Mus musculus
393,112-54-9,8194,MOR31-4,Q7TRS7,NM_147079,Mus musculus
394,115-95-7,8294,MOR103-15,O95918,NM_010983,Mus musculus
395,118-71-8,8369,OR1G1,P47890,KP290512,Human
396,120-57-0,8438,MOR258-2,Q8VGB1,NM_146852,Mus musculus
397,121-32-4,8467,OR1D2,P34982,KP290685,Human
398,121-32-4,8467,OR2A25,A4D2G3,KP290622,Human
399,121-32-4,8467,OR3A1,P47881,KP290644,Human
400,121-32-4,8467,MOR174-9,Q920P2,NM_054090,Mus musculus
401,121-32-4,8467,MOR174-4,Q920P1,NM_054091,Mus musculus
402,121-32-4,8467,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
403,121-34-6,8468,MOR9-1,E9Q4X7,NM_147082,Mus musculus
404,121-34-6,8468,MOR15-1,K7N609,NM_146727,Mus musculus
405,121-39-1,8469,OR1D2,P34982,KP290685,Human
406,140-11-4,8785,OR1A1,Q9P1Q5,KP290555,Human
407,140-11-4,8785,OR1D2,P34982,KP290685,Human
408,140-11-4,8785,OR2W1,Q9Y3N9,KP290589,Human
409,140-11-4,8785,MOR203-1,Q8VGC6,NM_146865,Mus musculus
410,140-11-4,8785,MOR261-1,Q8VGP6,NM_146988,Mus musculus
411,140-11-4,8785,MOR41-1,E9Q549,NM_146754,Mus musculus
412,140-11-4,8785,MOR223-1,Q8VH10,NM_147108,Mus musculus
413,140-11-4,8785,MOR139-1,Q8VGX5,NM_147071,Mus musculus
414,140-11-4,8785,MOR271-1,Q8VF05,NM_146357,Mus musculus
415,140-11-4,8785,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
416,140-67-0,8815,OR2M4,Q96R27,KP290146,Human
417,140-67-0,8815,OR52D1,Q9H346,NM_001005163,Human
418,106-22-9,8842,OR1A1,Q9P1Q5,KP290555,Human
419,106-22-9,8842,OR1D2,P34982,KP290685,Human
420,106-22-9,8842,OR2M7,Q8NG81,NM_001004691,Human
421,106-22-9,8842,OR2W1,Q9Y3N9,KP290589,Human
422,106-22-9,8842,MOR203-1,Q8VGC6,NM_146865,Mus musculus
423,106-22-9,8842,MOR136-2,Q8VGK9,NM_146950,Mus musculus
424,106-22-9,8842,MOR125-1,Q7TRX1,NM_146711,Mus musculus
425,106-22-9,8842,MOR118-1,Q9Z1V0,AY318614,Mus musculus
426,142-19-8,8878,OR1A1,Q9P1Q5,KP290555,Human
427,142-62-1,8892,OR51L1,Q8NGJ5,KP290559,Human
428,142-62-1,8892,OR52D1,Q9H346,NM_001005163,Human
429,142-62-1,8892,MOR1-1,Q9WVN6,NM_013616,Mus musculus
430,142-62-1,8892,MOR31-2,Q8VH18,NM_020290,Mus musculus
431,142-62-1,8892,MOR33-1,Q8VGX8,NM_147074,Mus musculus
432,142-92-7,8908,OR2W1,Q9Y3N9,KP290589,Human
433,143-08-8,8914,OR1D2,P34982,KP290685,Human
434,143-08-8,8914,OR1G1,P47890,KP290512,Human
435,143-08-8,8914,OR2J2,O76002,NM_030905,Human
436,143-08-8,8914,OR2W1,Q9Y3N9,KP290589,Human
437,143-08-8,8914,OR52D1,Q9H346,NM_001005163,Human
438,143-08-8,8914,MOR203-1,Q8VGC6,NM_146865,Mus musculus
439,143-08-8,8914,MOR40-4,Q99NH4,NM_146748,Mus musculus
440,143-08-8,8914,MOR22-2,Q9WVD7,NM_013621,Mus musculus
441,143-08-8,8914,MOR31-2,Q8VH18,NM_020290,Mus musculus
442,143-08-8,8914,MOR33-1,Q8VGX8,NM_147074,Mus musculus
443,143-08-8,8914,MOR40-1,Q8VGV1,NM_147045,Mus musculus
444,288-47-1,9256,OR1G1,P47890,KP290512,Human
445,288-47-1,9256,OR52D1,Q9H346,NM_001005163,Human
446,290-37-9,9261,OR1G1,P47890,KP290512,Human
447,300-57-2,9309,MOR106-1,E9Q438,NM_020288,Mus musculus
448,300-57-2,9309,MOR256-17,P23275,NM_008762,Mus musculus
449,110-93-0,9862,OR1D2,P34982,KP290685,Human
450,110-93-0,9862,OR52D1,Q9H346,NM_001005163,Human
451,470-67-7,10106,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
452,503-74-2,10430,OR1S2,Q8NGQ3,KP290223,Human
453,503-74-2,10430,OR2B11,Q5JQS5,KP290627,Human
454,503-74-2,10430,OR2C1,O95371,KP290588,Human
455,503-74-2,10430,OR2J2,O76002,NM_030905,Human
456,503-74-2,10430,OR2M2,Q96R28,NM_001004688,Human
457,503-74-2,10430,OR4A4P,Q8NGN8,NG_004331,Human
458,503-74-2,10430,OR11H7P,Q8NGC8,AF399477,Human
459,503-74-2,10430,OR52D1,Q9H346,NM_001005163,Human
460,503-74-2,10430,MOR31-2,Q8VH18,NM_020290,Mus musculus
461,540-07-8,10886,MOR256-17,P23275,NM_008762,Mus musculus
462,540-18-1,10890,OR2AG1,Q9H205,NM_001004489,Human
463,543-39-5,10975,OR1D2,P34982,KP290685,Human
464,589-98-0,11527,OR1G1,P47890,KP290512,Human
465,589-98-0,11527,MOR139-3,Q8VGU7,NM_147041,Mus musculus
466,591-78-6,11583,OR2W1,Q9Y3N9,KP290589,Human
467,591-78-6,11583,MOR175-1,Q9QY00,NM_013728,Mus musculus
468,591-78-6,11583,MOR271-1,Q8VF05,NM_146357,Mus musculus
469,591-78-6,11583,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
470,592-84-7,11614,OR2W1,Q9Y3N9,KP290589,Human
471,628-63-7,12348,OR1D2,P34982,KP290685,Human
472,628-63-7,12348,OR6F1,Q8NGZ6,NM_001005286,Human
473,628-63-7,12348,MOR103-15,O95918,NM_010983,Mus musculus
474,628-63-7,12348,MOR256-3,Q8VGW6,NM_147062,Mus musculus
475,628-99-9,12367,OR1G1,P47890,KP290512,Human
476,628-99-9,12367,OR52D1,Q9H346,NM_001005163,Human
477,693-54-9,12741,OR52D1,Q9H346,NM_001005163,Human
478,693-54-9,12741,MOR175-1,Q9QY00,NM_013728,Mus musculus
479,695-06-7,12756,MOR203-1,Q8VGC6,NM_146865,Mus musculus
480,695-06-7,12756,MOR258-1,Q7TQV4,NM_146853,Mus musculus
481,695-06-7,12756,MOR271-1,Q8VF05,NM_146357,Mus musculus
482,695-06-7,12756,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
483,695-06-7,12756,MOR185-1,Q7TR71,NM_147078,Mus musculus
484,705-86-2,12810,OR1D2,P34982,KP290685,Human
485,706-14-9,12813,OR1D2,P34982,KP290685,Human
486,706-14-9,12813,OR1G1,P47890,KP290512,Human
487,713-95-1,12844,OR1D2,P34982,KP290685,Human
488,821-55-6,13187,OR1A1,Q9P1Q5,KP290555,Human
489,821-55-6,13187,OR1G1,P47890,KP290512,Human
490,821-55-6,13187,OR2W1,Q9Y3N9,KP290589,Human
491,821-55-6,13187,MOR203-1,Q8VGC6,NM_146865,Mus musculus
492,821-55-6,13187,MOR103-15,O95918,NM_010983,Mus musculus
493,1191-16-8,14489,OR2W1,Q9Y3N9,KP290589,Human
494,1191-16-8,14489,MOR203-1,Q8VGC6,NM_146865,Mus musculus
495,1191-16-8,14489,MOR180-1,Q8VGS3,NM_147015,Mus musculus
496,1191-16-8,14489,MOR258-1,Q7TQV4,NM_146853,Mus musculus
497,1191-16-8,14489,MOR139-1,Q8VGX5,NM_147071,Mus musculus
498,1191-16-8,14489,MOR271-1,Q8VF05,NM_146357,Mus musculus
499,1191-16-8,14489,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
500,1191-16-8,14489,MOR250-1,Q8VG96,NM_146835,Mus musculus
501,1195-79-5,14525,MOR105-1,Q7TRW1,NM_146722,Mus musculus
502,1195-79-5,14525,MOR136-2,Q8VGK9,NM_146950,Mus musculus
503,1195-79-5,14525,MOR189-1,Q8VF52,NM_146407,Mus musculus
504,1195-79-5,14525,MOR1-1,Q9WVN6,NM_013616,Mus musculus
505,1195-79-5,14525,MOR139-1,Q8VGX5,NM_147071,Mus musculus
506,1195-79-5,14525,MOR107-1,Q5NCD0,NM_146376,Mus musculus
507,1195-79-5,14525,MOR106-1,E9Q438,NM_020288,Mus musculus
508,1195-79-5,14525,MOR273-1,Q7TS51,NM_146958,Mus musculus
509,1195-79-5,14525,MOR271-1,Q8VF05,NM_146357,Mus musculus
510,1195-79-5,14525,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
511,1455-21-6,15077,OR1A1,Q9P1Q5,KP290555,Human
512,1455-21-6,15077,OR2C1,O95371,KP290588,Human
513,1455-21-6,15077,OR2W1,Q9Y3N9,KP290589,Human
514,1455-21-6,15077,MOR203-1,Q8VGC6,NM_146865,Mus musculus
515,1455-21-6,15077,MOR261-1,Q8VGP6,NM_146988,Mus musculus
516,1455-21-6,15077,MOR260-1,Q8VG49,NM_146780,Mus musculus
517,1455-21-6,15077,MOR268-1,Q8VFZ6,NM_146726,Mus musculus
518,1797-74-6,15717,OR1A1,Q9P1Q5,KP290555,Human
519,1797-74-6,15717,OR2W1,Q9Y3N9,KP290589,Human
520,1797-74-6,15717,OR5K1,Q8NHB7,NM_001004736,Human
521,1797-74-6,15717,OR51L1,Q8NGJ5,KP290559,Human
522,1797-74-6,15717,MOR203-1,Q8VGC6,NM_146865,Mus musculus
523,1797-74-6,15717,MOR236-1,Q9R0K2,NM_021368,Mus musculus
524,1797-74-6,15717,MOR261-1,Q8VGP6,NM_146988,Mus musculus
525,1797-74-6,15717,MOR1-1,Q9WVN6,NM_013616,Mus musculus
526,1797-74-6,15717,MOR2-1,Q9EPN9,NM_147119,Mus musculus
527,1797-74-6,15717,MOR268-1,Q8VFZ6,NM_146726,Mus musculus
528,1797-74-6,15717,MOR223-1,Q8VH10,NM_147108,Mus musculus
529,1797-74-6,15717,MOR139-1,Q8VGX5,NM_147071,Mus musculus
530,1797-74-6,15717,MOR222-1,Q5NC59,NM_146537,Mus musculus
531,1797-74-6,15717,MOR256-17,P23275,NM_008762,Mus musculus
532,1797-74-6,15717,MOR271-1,Q8VF05,NM_146357,Mus musculus
533,1797-74-6,15717,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
534,2244-16-8,16724,OR1A1,Q9P1Q5,KP290555,Human
535,2244-16-8,16724,OR2C1,O95371,KP290588,Human
536,2244-16-8,16724,OR2W1,Q9Y3N9,KP290589,Human
537,2244-16-8,16724,OR5P3,Q8WZ94,NM_153445,Human
538,2244-16-8,16724,OR9G1,Q8NH87,KP290677,Human
539,2244-16-8,16724,MOR105-1,Q7TRW1,NM_146722,Mus musculus
540,2244-16-8,16724,MOR203-1,Q8VGC6,NM_146865,Mus musculus
541,2244-16-8,16724,MOR232-5,Q8VGN4,NM_010990,Mus musculus
542,2244-16-8,16724,MOR136-6,Q8VGK5,NM_146946,Mus musculus
543,2244-16-8,16724,MOR189-1,Q8VF52,NM_146407,Mus musculus
544,2244-16-8,16724,MOR1-1,Q9WVN6,NM_013616,Mus musculus
545,2244-16-8,16724,MOR204-6,Q8VG42,NM_146773,Mus musculus
546,2244-16-8,16724,MOR41-1,E9Q549,NM_146754,Mus musculus
547,2244-16-8,16724,MOR139-1,Q8VGX5,NM_147071,Mus musculus
548,2244-16-8,16724,MOR129-1,Q8VGH1,NM_146911,Mus musculus
549,2244-16-8,16724,MOR106-1,E9Q438,NM_020288,Mus musculus
550,2244-16-8,16724,MOR271-1,Q8VF05,NM_146357,Mus musculus
551,2244-16-8,16724,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
552,2244-16-8,16724,MOR250-1,Q8VG96,NM_146835,Mus musculus
553,2244-16-8,16724,MOR184-1,A0A140T8K4,NM_147002,Mus musculus
554,2550-26-7,17355,OR1D2,P34982,KP290685,Human
555,2550-40-5,17356,OR2M7,Q8NG81,NM_001004691,Human
556,2705-87-5,17617,OR1D2,P34982,KP290685,Human
557,3301-94-8,18698,OR1D2,P34982,KP290685,Human
558,3391-86-4,18827,OR1D2,P34982,KP290685,Human
559,3848-24-6,19707,OR2W1,Q9Y3N9,KP290589,Human
560,3848-24-6,19707,MOR203-1,Q8VGC6,NM_146865,Mus musculus
561,3848-24-6,19707,MOR41-1,E9Q549,NM_146754,Mus musculus
562,3848-24-6,19707,MOR256-17,P23275,NM_008762,Mus musculus
563,3848-24-6,19707,MOR271-1,Q8VF05,NM_146357,Mus musculus
564,123-96-6,20083,OR1G1,P47890,KP290512,Human
565,123-96-6,20083,MOR139-3,Q8VGU7,NM_147041,Mus musculus
566,4437-20-1,20499,OR9G1,Q8NH87,KP290677,Human
567,4748-78-1,20861,MOR103-15,O95918,NM_010983,Mus musculus
568,4819-67-4,20959,OR1D2,P34982,KP290685,Human
569,5435-64-3,21574,MOR103-15,O95918,NM_010983,Mus musculus
570,138-86-3,22311,OR1G1,P47890,KP290512,Human
571,138-86-3,22311,MOR276-1,Q8VGD6,NM_010999,Mus musculus
572,7492-70-8,24114,OR51E1,Q8TCB6,KP290590,Human
573,7756-96-9,24433,OR8B3,Q8NGG8,KP290709,Human
574,7756-96-9,24433,OR10A6,Q8NH74,NM_001004461,Human
575,10486-19-8,25311,OR1G1,P47890,KP290512,Human
576,13019-22-2,25612,OR1D2,P34982,KP290685,Human
577,13019-22-2,25612,OR1G1,P47890,KP290512,Human
578,18479-58-8,29096,OR1D2,P34982,KP290685,Human
579,122-63-4,31219,OR1D2,P34982,KP290685,Human
580,122-79-2,31229,MOR203-1,Q8VGC6,NM_146865,Mus musculus
581,122-79-2,31229,MOR41-1,E9Q549,NM_146754,Mus musculus
582,122-79-2,31229,MOR223-1,Q8VH10,NM_147108,Mus musculus
583,122-79-2,31229,MOR139-1,Q8VGX5,NM_147071,Mus musculus
584,122-79-2,31229,MOR106-1,E9Q438,NM_020288,Mus musculus
585,122-79-2,31229,MOR250-1,Q8VG96,NM_146835,Mus musculus
586,123-11-5,31244,OR2J2,O76002,NM_030905,Human
587,123-11-5,31244,OR52D1,Q9H346,NM_001005163,Human
588,123-66-0,31265,OR52D1,Q9H346,NM_001005163,Human
589,123-92-2,31276,OR1G1,P47890,KP290512,Human
590,123-92-2,31276,OR52D1,Q9H346,NM_001005163,Human
591,124-12-9,31286,MOR103-15,O95918,NM_010983,Mus musculus
592,124-19-6,31289,OR1A1,Q9P1Q5,KP290555,Human
593,124-19-6,31289,OR1A2,Q9Y585,KP290238,Human
594,124-19-6,31289,OR1D2,P34982,KP290685,Human
595,124-19-6,31289,OR1G1,P47890,KP290512,Human
596,124-19-6,31289,OR2W1,Q9Y3N9,KP290589,Human
597,124-19-6,31289,OR52D1,Q9H346,NM_001005163,Human
598,124-19-6,31289,MOR103-15,O95918,NM_010983,Mus musculus
599,124-19-6,31289,MOR33-1,Q8VGX8,NM_147074,Mus musculus
600,124-19-6,31289,MOR30-1,Q8VGZ2,NM_147088,Mus musculus
601,124-19-6,31289,MOR40-1,Q8VGV1,NM_147045,Mus musculus
602,124-19-6,31289,MOR37-1,A0A1L1SVG7,NM_001011857,Mus musculus
603,124-19-6,31289,MOR139-3,Q8VGU7,NM_147041,Mus musculus
604,124-25-4,31291,MOR103-15,O95918,NM_010983,Mus musculus
605,24683-00-9,32594,OR52D1,Q9H346,NM_001005163,Human
606,94-30-4,60979,OR1D2,P34982,KP290685,Human
607,103-60-6,61005,OR1D2,P34982,KP290685,Human
608,104-09-6,61006,MOR103-15,O95918,NM_010983,Mus musculus
609,105-95-3,61014,OR2J2,O76002,NM_030905,Human
610,106-72-9,61016,MOR103-15,O95918,NM_010983,Mus musculus
611,110-39-4,61030,MOR103-15,O95918,NM_010983,Mus musculus
612,110-41-8,61031,MOR103-15,O95918,NM_010983,Mus musculus
613,122-74-7,61052,OR14A2,Q96R54,NM_001355292,Human
614,629-33-4,61177,MOR103-15,O95918,NM_010983,Mus musculus
615,710-04-3,61204,OR1D2,P34982,KP290685,Human
616,925-78-0,61235,OR1G1,P47890,KP290512,Human
617,925-78-0,61235,OR52D1,Q9H346,NM_001005163,Human
618,7492-67-3,61401,OR1D2,P34982,KP290685,Human
619,30390-50-2,61875,OR1A1,Q9P1Q5,KP290555,Human
620,30390-50-2,61875,OR1A2,Q9Y585,KP290238,Human
621,43052-87-5,62002,OR1L3,Q8NH93,KP290182,Human
622,43052-87-5,62002,OR2G2,Q8NGZ5,NM_001001915,Human
623,43052-87-5,62002,OR2T10,Q8NGZ9,NM_001004693,Human
624,43052-87-5,62002,OR2T34,Q8NGX1,NM_001001821,Human
625,43052-87-5,62002,OR5AC2,Q9NZP5,NM_054106,Human
626,55418-52-5,62098,OR1G1,P47890,KP290512,Human
627,93-92-5,62341,OR1D2,P34982,KP290685,Human
628,1128-08-1,62378,OR1A1,Q9P1Q5,KP290555,Human
629,1128-08-1,62378,OR1N2,Q8NGR9,KP290529,Human
630,1128-08-1,62378,OR2W1,Q9Y3N9,KP290589,Human
631,1128-08-1,62378,MOR189-1,Q8VF52,NM_146407,Mus musculus
632,1128-08-1,62378,MOR41-1,E9Q549,NM_146754,Mus musculus
633,1128-08-1,62378,MOR139-1,Q8VGX5,NM_147071,Mus musculus
634,1128-08-1,62378,MOR205-1,B2RVX8,NM_001001808,Mus musculus
635,1128-08-1,62378,MOR273-1,Q7TS51,NM_146958,Mus musculus
636,1128-08-1,62378,MOR271-1,Q8VF05,NM_146357,Mus musculus
637,1128-08-1,62378,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
638,2432-51-1,62444,OR1G1,P47890,KP290512,Human
639,2432-51-1,62444,OR52D1,Q9H346,NM_001005163,Human
640,2785-89-9,62465,MOR174-9,Q920P2,NM_054090,Mus musculus
641,2785-89-9,62465,MOR139-3,Q8VGU7,NM_147041,Mus musculus
642,4437-51-8,62539,OR2W1,Q9Y3N9,KP290589,Human
643,4437-51-8,62539,MOR203-1,Q8VGC6,NM_146865,Mus musculus
644,4437-51-8,62539,MOR41-1,E9Q549,NM_146754,Mus musculus
645,4437-51-8,62539,MOR256-17,P23275,NM_008762,Mus musculus
646,4437-51-8,62539,MOR271-1,Q8VF05,NM_146357,Mus musculus
647,28664-35-9,62835,OR10A6,Q8NH74,NM_001004461,Human
648,39255-32-8,62902,OR1G1,P47890,KP290512,Human
649,39255-32-8,62902,OR5AC2,Q9NZP5,NM_054106,Human
650,1205-17-0,64805,OR1A1,Q9P1Q5,KP290555,Human
651,1205-17-0,64805,OR1A2,Q9Y585,KP290238,Human
652,1205-17-0,64805,OR1D2,P34982,KP290685,Human
653,1205-17-0,64805,OR3A1,P47881,KP290644,Human
654,1205-17-0,64805,OR52D1,Q9H346,NM_001005163,Human
655,5462-06--6,64813,OR3A1,P47881,KP290644,Human
656,18127-01-0,64832,OR3A1,P47881,KP290644,Human
657,18127-01-0,64832,OR7D4,Q8NG98,KP290724,Human
658,6413-10--1,80865,OR2M4,Q96R27,KP290146,Human
659,6413-10--1,80865,OR2T34,Q8NGX1,NM_001001821,Human
660,6413-10--1,80865,OR5AC2,Q9NZP5,NM_054106,Human
661,7787-20-4,82229,MOR189-1,Q8VF52,NM_146407,Mus musculus
662,7787-20-4,82229,MOR107-1,Q5NCD0,NM_146376,Mus musculus
663,7787-20-4,82229,MOR273-1,Q7TS51,NM_146958,Mus musculus
664,16251-77-7,85979,OR1D2,P34982,KP290685,Human
665,16251-77-7,85979,OR3A1,P47881,KP290644,Human
666,125109-85-5,86209,MOR103-15,O95918,NM_010983,Mus musculus
667,18479-57-7,86751,OR1D2,P34982,KP290685,Human
668,31906-04-4,91604,OR1G1,P47890,KP290512,Human
669,31906-04-4,91604,OR2AT4,A6NND4,KP290546,Human
670,31906-04-4,91604,OR10J5,Q8NHC4,NM_001004469,Human
671,31906-04-4,91604,MOR267-13,Q62007,AY318634,Mus musculus
672,31906-04-4,91604,MOR174-9,Q920P2,NM_054090,Mus musculus
673,31906-04-4,91604,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
674,31906-04-4,91604,MOR256-17,P23275,NM_008762,Mus musculus
675,37677-14-8,93199,OR1D2,P34982,KP290685,Human
676,41496-43-9,95594,OR3A1,P47881,KP290644,Human
677,33673-62-0,97707,OR1D2,P34982,KP290685,Human
678,89-43-0,98118,OR1A1,Q9P1Q5,KP290555,Human
679,89-43-0,98118,OR1A2,Q9Y585,KP290238,Human
680,1117-61-9,101977,OR1A1,Q9P1Q5,KP290555,Human
681,1117-61-9,101977,OR1A2,Q9Y585,KP290238,Human
682,1117-61-9,101977,MOR125-1,Q7TRX1,NM_146711,Mus musculus
683,1117-61-9,101977,MOR118-1,Q9Z1V0,AY318614,Mus musculus
684,24851-98-7,102861,OR1G1,P47890,KP290512,Human
685,67634-15-5,105513,OR1G1,P47890,KP290512,Human
686,67634-15-5,105513,OR2T34,Q8NGX1,NM_001001821,Human
687,67634-15-5,105513,OR5B17,Q8NGF7,NM_001005489,Human
688,68039-47-4,106442,OR1D2,P34982,KP290685,Human
689,55066-48-3,108312,OR1D2,P34982,KP290685,Human
690,5988-91-0,110747,OR1D2,P34982,KP290685,Human
691,5988-91-0,110747,MOR103-15,O95918,NM_010983,Mus musculus
692,7370-92-5,110977,OR1D2,P34982,KP290685,Human
693,80-26-2,111037,OR2T10,Q8NGZ9,NM_001004693,Human
694,13074-65-2,114454,OR1D2,P34982,KP290685,Human
695,25634-93-9,117568,OR1D2,P34982,KP290685,Human
696,29414-47-9,122370,MOR180-1,Q8VGS3,NM_147015,Mus musculus
697,29414-47-9,122370,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
698,464-49-3,159055,MOR105-1,Q7TRW1,NM_146722,Mus musculus
699,464-49-3,159055,MOR136-2,Q8VGK9,NM_146950,Mus musculus
700,464-49-3,159055,MOR189-1,Q8VF52,NM_146407,Mus musculus
701,464-49-3,159055,MOR1-1,Q9WVN6,NM_013616,Mus musculus
702,464-49-3,159055,MOR139-1,Q8VGX5,NM_147071,Mus musculus
703,464-49-3,159055,MOR277-1,Q8VGD7,NM_146877,Mus musculus
704,464-49-3,159055,MOR107-1,Q5NCD0,NM_146376,Mus musculus
705,464-49-3,159055,MOR106-1,E9Q438,NM_020288,Mus musculus
706,464-49-3,159055,MOR128-2,Q8VEU7,NM_146292,Mus musculus
707,464-49-3,159055,MOR185-1,Q7TR71,NM_147078,Mus musculus
708,464-49-3,159055,MOR251-1,Q8VGT4,NM_147026,Mus musculus
709,37172-53-5,162249,OR1D2,P34982,KP290685,Human
710,7786-58-5,228769,MOR103-15,O95918,NM_010983,Mus musculus
711,80-54-6,228987,OR1A1,Q9P1Q5,KP290555,Human
712,80-54-6,228987,OR1D2,P34982,KP290685,Human
713,80-54-6,228987,OR1G1,P47890,KP290512,Human
714,80-54-6,228987,OR2W1,Q9Y3N9,KP290589,Human
715,80-54-6,228987,OR3A1,P47881,KP290644,Human
716,80-54-6,228987,MOR175-1,Q9QY00,NM_013728,Mus musculus
717,80-54-6,228987,MOR203-1,Q8VGC6,NM_146865,Mus musculus
718,106-68-3,246728,OR1A1,Q9P1Q5,KP290555,Human
719,106-68-3,246728,OR2W1,Q9Y3N9,KP290589,Human
720,106-68-3,246728,OR52D1,Q9H346,NM_001005163,Human
721,106-68-3,246728,MOR203-1,Q8VGC6,NM_146865,Mus musculus
722,106-68-3,246728,MOR271-1,Q8VF05,NM_146357,Mus musculus
723,106-68-3,246728,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
724,2102-59-2,330573,OR1A1,Q9P1Q5,KP290555,Human
725,2102-59-2,330573,OR1A2,Q9Y585,KP290238,Human
726,6485-40-1,439570,OR1A1,Q9P1Q5,KP290555,Human
727,6485-40-1,439570,OR2J2,O76002,NM_030905,Human
728,6485-40-1,439570,OR2W1,Q9Y3N9,KP290589,Human
729,6485-40-1,439570,OR5K1,Q8NHB7,NM_001004736,Human
730,6485-40-1,439570,OR5P3,Q8WZ94,NM_153445,Human
731,6485-40-1,439570,MOR105-1,Q7TRW1,NM_146722,Mus musculus
732,6485-40-1,439570,MOR203-1,Q8VGC6,NM_146865,Mus musculus
733,6485-40-1,439570,MOR232-5,Q8VGN4,NM_010990,Mus musculus
734,6485-40-1,439570,MOR136-6,Q8VGK5,NM_146946,Mus musculus
735,6485-40-1,439570,MOR189-1,Q8VF52,NM_146407,Mus musculus
736,6485-40-1,439570,MOR1-1,Q9WVN6,NM_013616,Mus musculus
737,6485-40-1,439570,MOR204-6,Q8VG42,NM_146773,Mus musculus
738,6485-40-1,439570,MOR41-1,E9Q549,NM_146754,Mus musculus
739,6485-40-1,439570,MOR139-1,Q8VGX5,NM_147071,Mus musculus
740,6485-40-1,439570,MOR106-1,E9Q438,NM_020288,Mus musculus
741,6485-40-1,439570,MOR271-1,Q8VF05,NM_146357,Mus musculus
742,6485-40-1,439570,MOR184-1,A0A140T8K4,NM_147002,Mus musculus
743,5989-27-5,440917,MOR276-1,Q8VGD6,NM_010999,Mus musculus
744,5949-05--3,443157,OR1D2,P34982,KP290685,Human
745,5948-04--9,443183,OR2W1,Q9Y3N9,KP290589,Human
746,5948-04--9,443183,MOR203-1,Q8VGC6,NM_146865,Mus musculus
747,5948-04--9,443183,MOR136-2,Q8VGK9,NM_146950,Mus musculus
748,5948-04--9,443183,MOR182-1,Q8VGQ3,NM_146995,Mus musculus
749,5948-04--9,443183,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
750,5948-04--9,443183,MOR184-1,A0A140T8K4,NM_147002,Mus musculus
751,464-48-2,444294,MOR105-1,Q7TRW1,NM_146722,Mus musculus
752,464-48-2,444294,MOR136-2,Q8VGK9,NM_146950,Mus musculus
753,464-48-2,444294,MOR189-1,Q8VF52,NM_146407,Mus musculus
754,464-48-2,444294,MOR1-1,Q9WVN6,NM_013616,Mus musculus
755,464-48-2,444294,MOR139-1,Q8VGX5,NM_147071,Mus musculus
756,464-48-2,444294,MOR277-1,Q8VGD7,NM_146877,Mus musculus
757,464-48-2,444294,MOR107-1,Q5NCD0,NM_146376,Mus musculus
758,464-48-2,444294,MOR106-1,E9Q438,NM_020288,Mus musculus
759,464-48-2,444294,MOR128-2,Q8VEU7,NM_146292,Mus musculus
760,140-10-3,444539,OR52D1,Q9H346,NM_001005163,Human
761,2721-22-4,520296,OR1D2,P34982,KP290685,Human
762,4864-61-3,521238,OR1D2,P34982,KP290685,Human
763,21834-92-4,576026,MOR42-3,Q9WU88,NM_020289,Mus musculus
764,14371-10-9,637511,OR5AL1,P0C617,KP290662,Human
765,14371-10-9,637511,OR52D1,Q9H346,NM_001005163,Human
766,4180-23-8,637563,OR1G1,P47890,KP290512,Human
767,4180-23-8,637563,OR52D1,Q9H346,NM_001005163,Human
768,142-83-6,637564,MOR103-15,O95918,NM_010983,Mus musculus
769,106-24-1,637566,OR1A1,Q9P1Q5,KP290555,Human
770,106-24-1,637566,OR1D2,P34982,KP290685,Human
771,106-24-1,637566,OR1G1,P47890,KP290512,Human
772,106-24-1,637566,OR2B11,Q5JQS5,KP290627,Human
773,106-24-1,637566,OR2M7,Q8NG81,NM_001004691,Human
774,106-24-1,637566,OR2W1,Q9Y3N9,KP290589,Human
775,106-24-1,637566,MOR203-1,Q8VGC6,NM_146865,Mus musculus
776,106-24-1,637566,MOR236-1,Q9R0K2,NM_021368,Mus musculus
777,106-24-1,637566,MOR268-1,Q8VFZ6,NM_146726,Mus musculus
778,106-24-1,637566,MOR139-1,Q8VGX5,NM_147071,Mus musculus
779,103-36-6,637758,OR1D2,P34982,KP290685,Human
780,120-58-1,637796,MOR174-9,Q920P2,NM_054090,Mus musculus
781,5392-40-5,638011,OR1A1,Q9P1Q5,KP290555,Human
782,5392-40-5,638011,OR1A2,Q9Y585,KP290238,Human
783,5392-40-5,638011,OR1D2,P34982,KP290685,Human
784,5392-40-5,638011,OR1G1,P47890,KP290512,Human
