Sr. No,Odorant,PubChem,Receptor,UniProt,GenBank,Organism
116,334-48-5,2969,MOR33-1,Q8VGX8,NM_147074,Mus musculus
117,334-48-5,2969,MOR32-4,Q8VG28,NM_146760,Mus musculus
118,334-48-5,2969,MOR30-1,Q8VGZ2,NM_147088,Mus musculus
119,334-48-5,2969,MOR32-11,Q8VF06,NM_146358,Mus musculus
120,334-48-5,2969,MOR25-1,E9Q546,NM_146325,Mus musculus
121,334-48-5,2969,MOR5-1,Q8VH20,NM_147120,Mus musculus
122,334-48-5,2969,MOR40-1,Q8VGV1,NM_147045,Mus musculus
123,334-48-5,2969,MOR42-3,Q9WU88,NM_020289,Mus musculus
124,334-48-5,2969,MOR37-1,A0A1L1SVG7,NM_001011857,Mus musculus
125,334-48-5,2969,MOR42-2,E9PWI5,NM_001011782,Mus musculus
126,334-48-5,2969,MOR256-17,P23275,NM_008762,Mus musculus
127,119-61-9,3102,OR1A1,Q9P1Q5,KP290555,Human
128,119-61-9,3102,OR2W1,Q9Y3N9,KP290589,Human
129,119-61-9,3102,MOR259-1,A0A1L1SQF6,NM_146399,Mus musculus
130,119-61-9,3102,MOR162-1,Q8VG90,NM_146827,Mus musculus
131,119-61-9,3102,MOR269-1,Q8VGJ1,NM_146931,Mus musculus
132,60-29-7,3283,MOR174-9,Q920P2,NM_054090,Mus musculus
133,97-53-0,3314,OR2A25,A4D2G3,KP290622,Human
134,97-53-0,3314,OR2T1,O43869,NM_030904,Human
135,97-53-0,3314,OR10G3,Q8NGC4,NM_001005465,Human
136,97-53-0,3314,OR14A16,Q8NHC5,NM_001001966,Human
137,97-53-0,3314,OR51E2,Q9H255,NM_030774,Human
138,97-53-0,3314,OR52B6,Q8NGF0,NM_001005162,Human
139,97-53-0,3314,MOR174-9,Q920P2,NM_054090,Mus musculus
140,97-53-0,3314,MOR224-5,Q9EQ84,NM_146504,Mus musculus
141,97-53-0,3314,MOR224-9,Q8VEY3,NM_146330,Mus musculus
142,97-53-0,3314,MOR224-7P,Q7TRA9,NM_001011827,Mus musculus
143,97-53-0,3314,MOR139-3,Q8VGU7,NM_147041,Mus musculus
144,143-07-7,3893,MOR31-4,Q7TRS7,NM_147079,Mus musculus
145,143-07-7,3893,MOR42-3,Q9WU88,NM_020289,Mus musculus
146,94-59-7,5144,OR1G1,P47890,KP290512,Human
147,94-59-7,5144,OR52D1,Q9H346,NM_001005163,Human
148,111-20-6,5192,MOR42-1,Q9WU94,NM_146840,Mus musculus
149,111-20-6,5192,MOR42-3,Q9WU88,NM_020289,Mus musculus
150,66-25-1,6184,OR1G1,P47890,KP290512,Human
151,66-25-1,6184,OR2W1,Q9Y3N9,KP290589,Human
152,66-25-1,6184,MOR103-15,O95918,NM_010983,Mus musculus
153,66-25-1,6184,MOR1-1,Q9WVN6,NM_013616,Mus musculus
154,66-25-1,6184,MOR4-1,Q8VG77,NM_146812,Mus musculus
155,66-25-1,6184,MOR271-1,Q8VF05,NM_146357,Mus musculus
156,71-41-0,6276,MOR41-1,E9Q549,NM_146754,Mus musculus
157,71-41-0,6276,MOR106-13P,Q7TRM0,NM_001011738,Mus musculus
158,78-69-3,6548,OR1D2,P34982,KP290685,Human
159,78-70-6,6549,OR1D2,P34982,KP290685,Human
160,78-70-6,6549,OR2B11,Q5JQS5,KP290627,Human
161,78-70-6,6549,OR2J3,O76001,KP290732,Human
162,78-84-2,6561,MOR103-15,O95918,NM_010983,Mus musculus
163,78-93-3,6569,MOR175-1,Q9QY00,NM_013728,Mus musculus
164,79-31-2,6590,OR52D1,Q9H346,NM_001005163,Human
165,89-83-8,6989,OR1G1,P47890,KP290512,Human
166,91-22-5,7047,OR1G1,P47890,KP290512,Human
167,91-22-5,7047,OR2C1,O95371,KP290588,Human
168,91-22-5,7047,OR10G3,Q8NGC4,NM_001005465,Human
169,93-08-3,7122,OR1D2,P34982,KP290685,Human
170,93-15-2,7127,OR2W1,Q9Y3N9,KP290589,Human
171,93-15-2,7127,OR10A6,Q8NH74,NM_001004461,Human
172,93-15-2,7127,OR10G7,Q8NGN6,KP290607,Human
173,93-15-2,7127,OR10H5,Q8NGA6,KP290612,Human
174,93-15-2,7127,OR51L1,Q8NGJ5,KP290559,Human
175,93-15-2,7127,MOR204-34,Q8VEW6,NM_146311,Mus musculus
176,93-15-2,7127,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
177,93-16-3,7128,MOR267-13,Q62007,AY318634,Mus musculus
178,93-16-3,7128,MOR174-9,Q920P2,NM_054090,Mus musculus
179,93-16-3,7128,MOR204-34,Q8VEW6,NM_146311,Mus musculus
180,93-16-3,7128,MOR224-9,Q8VEY3,NM_146330,Mus musculus
181,93-28-7,7136,OR1D5,P58170,NM_014566,Human
182,93-28-7,7136,OR1G1,P47890,KP290512,Human
183,93-28-7,7136,OR2B3,O76000,KP290156,Human
184,93-28-7,7136,OR5AC2,Q9NZP5,NM_054106,Human
185,93-28-7,7136,OR5B17,Q8NGF7,NM_001005489,Human
186,93-28-7,7136,OR7C1,O76099,KP290729,Human
187,93-28-7,7136,OR8D1,Q8WZ84,KP290227,Human
188,93-28-7,7136,OR10AG1,Q8NH19,NM_001005491,Human
189,93-28-7,7136,OR10G7,Q8NGN6,KP290607,Human
190,93-28-7,7136,MOR174-9,Q920P2,NM_054090,Mus musculus
191,93-28-7,7136,MOR224-5,Q9EQ84,NM_146504,Mus musculus
192,93-28-7,7136,MOR224-9,Q8VEY3,NM_146330,Mus musculus
193,93-28-7,7136,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
194,93-51-6,7144,OR13C3,Q8NGS6,NM_001001961,Human
195,93-51-6,7144,OR51D1,Q8NGF3,NM_001004751,Human
196,93-51-6,7144,MOR174-9,Q920P2,NM_054090,Mus musculus
197,93-60-7,7151,OR1D2,P34982,KP290685,Human
198,95-16-9,7222,OR1G1,P47890,KP290512,Human
199,95-16-9,7222,OR52D1,Q9H346,NM_001005163,Human
200,97-62-1,7342,OR1G1,P47890,KP290512,Human
201,97-62-1,7342,MOR273-1,Q7TS51,NM_146958,Mus musculus
202,97-62-1,7342,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
203,98-86-2,7410,OR1E3,Q8WZA6,AF087929,Human
204,98-86-2,7410,OR1G1,P47890,KP290512,Human
205,98-86-2,7410,OR2W1,Q9Y3N9,KP290589,Human
206,98-86-2,7410,OR5P3,Q8WZ94,NM_153445,Human
207,98-86-2,7410,OR52D1,Q9H346,NM_001005163,Human
208,98-86-2,7410,MOR105-1,Q7TRW1,NM_146722,Mus musculus
209,98-86-2,7410,MOR189-1,Q8VF52,NM_146407,Mus musculus
210,98-86-2,7410,MOR207-1,Q8VG36,NM_146767,Mus musculus
211,98-86-2,7410,MOR258-1,Q7TQV4,NM_146853,Mus musculus
212,98-86-2,7410,MOR41-1,E9Q549,NM_146754,Mus musculus
213,98-86-2,7410,MOR171-2,Q60893,AY318055,Mus musculus
214,98-86-2,7410,MOR161-1,Q7TRE4,NM_146883,Mus musculus
215,98-86-2,7410,MOR171-3,Q8VGE3,NM_030553,Mus musculus
216,98-86-2,7410,MOR162-1,Q8VG90,NM_146827,Mus musculus
217,98-86-2,7410,MOR139-1,Q8VGX5,NM_147071,Mus musculus
218,98-86-2,7410,MOR129-1,Q8VGH1,NM_146911,Mus musculus
219,98-86-2,7410,MOR106-1,E9Q438,NM_020288,Mus musculus
220,98-86-2,7410,MOR271-1,Q8VF05,NM_146357,Mus musculus
221,98-86-2,7410,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
222,98-86-2,7410,MOR250-1,Q8VG96,NM_146835,Mus musculus
223,98-86-2,7410,MOR185-1,Q7TR71,NM_147078,Mus musculus
224,98-86-2,7410,MOR170-1,Q8VGD5,NM_146875,Mus musculus
225,100-06-1,7476,OR1D2,P34982,KP290685,Human
226,100-66-3,7519,OR52D1,Q9H346,NM_001005163,Human
227,103-37-7,7650,OR1D2,P34982,KP290685,Human
228,104-21-2,7695,OR1D2,P34982,KP290685,Human
229,104-53-0,7707,OR1D2,P34982,KP290685,Human
230,104-53-0,7707,OR3A1,P47881,KP290644,Human
231,104-67-6,7714,OR1D2,P34982,KP290685,Human
232,104-76-7,7720,OR1G1,P47890,KP290512,Human
233,104-93-8,7731,OR2M4,Q96R27,KP290146,Human
234,105-54-4,7762,OR1G1,P47890,KP290512,Human
235,105-54-4,7762,OR52D1,Q9H346,NM_001005163,Human
236,106-21-8,7792,OR1D2,P34982,KP290685,Human
