CID,Primary Odor,Sub Odor,Strength
4,Ammonia,Fishy,
4,Fishy/Ammonia,Fishy,
4,Fishy/Rancid,Fishy,
4,Food,Fishy,
19,Odorless,,
49,Fragrant/Fruity,Fruity,
49,Lemon,Fruity,
49,Nature,Fruity,
49,Sweet,Fruity,
51,Odorless,,
58,Brown,Brown,
58,Caramel,Caramel,
58,Chemical/Hydrocarbon,Lactonic,
58,Dairy,Creamy,
58,Fragrant,Sweet,
58,Lemon,Sweet,
58,Microbiological,Lactonic,
58,Minty,Sweet,
58,Non-citrusfruity,Sweet,
58,Sweet,Caramel,
58,Sweet,Sweet,
58,Terpenes/Pine/Lemon,Sweet,
70,Fragrant/Fruity,Fruity,
70,Lemon,Fruity,
70,Nature,Fruity,
70,Sweet,Fruity,
72,Balsamic,Balsamic,
72,Medicinal/Phenolic,Phenolic,
72,Other,Mild,
72,Woody,Phenolic,
107,Ambrosial,Musk,
107,Balsamic,Balsamic,
107,Floral,Floral,
107,Floral,Rose,
107,Fragrant,Floral,
107,Fragrant,Rose,
107,Fragrant,Sweet,
107,Lemon,Sweet,
107,Minty,Sweet,
107,Nature,Floral,
107,Non-citrusfruity,Sweet,
107,Popcorn,Fatty,
107,Spices,Cinnamyl,
107,Sweet,Sweet,
107,Terpenes/Pine/Lemon,Sweet,
119,Food,Meaty,
119,Non-vegetarian,Meaty,
119,Salty,Savory,
125,Bitter,Bitter,
125,Dryfruit,Almond,
125,Fragrant,Sweet,
125,Fragrant/Fruity,Fruity,
125,Lemon,Fruity,
125,Lemon,Sweet,
125,Minty,Sweet,
125,Nature,Fruity,
125,Non-citrusfruity,Sweet,
125,Nutty,Almond,
125,Popcorn,Almond,
125,Sweet,Fruity,
125,Sweet,Sweet,
125,Terpenes/Pine/Lemon,Sweet,
126,Balsamic,Balsamic,medium
126,Brown,Brown,medium
126,Buildingmaterials&construction,Metallic,medium
126,Buildingmaterials&construction,Woody,medium
126,Caramel,Honey,medium
126,Dryfruit,Almond,medium
126,Fragrant,Sweet,medium
126,Grassy/Woody,Woody,medium
126,Lemon,Sweet,medium
126,Metallic,Metallic,medium
126,Minty,Sweet,medium
126,Non-citrusfruity,Sweet,medium
126,NoseFeel,Metallic,medium
126,Nutty,Almond,medium
126,Nutty,Nutty,medium
126,Popcorn,Almond,medium
126,Popcorn,Nutty,medium
126,Popcorn,Woody,medium
126,Sweet,Sweet,medium
126,Sweet,Vanilla,medium
126,Terpenes/Pine/Lemon,Sweet,medium
126,Woody,Vanilla,medium
126,Woody,Woody,medium
135,Medicinal/Phenolic,Phenolic,medium
135,Nutty,Nutty,medium
135,Popcorn,Nutty,medium
135,Woody,Phenolic,medium
174,Odorless,,
176,Foul,Pungent,high
176,Lemon,Acid,high
176,Lemon,Sharp,high
176,Lemon,Sour,high
176,NoseFeel,Pungent,high
176,NoseFeel,Sharp,high
176,Pungent,Pungent,high
176,Rancid,Vinegar,high
176,Sharp/Pungent,Acid,high
176,Sharp/Pungent,Pungent,high
176,Sharp/Pungent,Sharp,high
176,Sharp/Pungent,Sour,high
176,Sharp/Pungent,Vinegar,high
176,Sickening,Acid,high
176,Sickening,Pungent,high
176,Sickening,Sharp,high
177,Beverage,Winey,high
177,Chemical/Hydrocarbon,Aldehydic,high
177,Chemical/Hydrocarbon,Ether,high
177,Earthy/Musty/Moldy,Earthy/ Musty,high
177,Earthy/Musty/Moldy,Musty,high
177,Earthy/Musty/Moldy,Musty/Moldy,high
177,Foul,Pungent,high
177,Fragrant/Fruity,Fruity,high
177,Fresh,Fresh,high
177,Lemon,Fruity,high
177,Nature,Fruity,high
177,NoseFeel,Pungent,high
177,Popcorn,Musty,high
177,Pungent,Pungent,high
177,Restaurant,Coffee,high
177,Sharp/Pungent,Musty,high
177,Sharp/Pungent,Pungent,high
177,Sickening,Pungent,high
177,Sweet,Fruity,high
177,Woody,Coffee,high
177,Woody/Resinous,Musty,high
178,Odorless,,
179,Bakery,Buttery,high
179,Caramel,Buttery,high
179,Dairy,Buttery,high
179,Dairy,Creamy,high
179,Dairy,Dairy,high
179,Dairy,Milky,high
179,Fragrant,Sweet,high
179,Lemon,Sweet,high
179,Minty,Sweet,high
179,Non-citrusfruity,Sweet,high
179,Popcorn,Fatty,high
179,Sweet,Sweet,high
179,Terpenes/Pine/Lemon,Sweet,high
180,Chemical/Hydrocarbon,Ether,high
180,Chemical/Hydrocarbon,Solvent,high
180,Fruity,Apple,high
180,Fruity,Pear,high
180,Fuel/GasStation/Solvent,Solvent,high
180,Solvent/Hydrocarbon,Solvent,high
196,Odorless,,
204,Odorless,,
222,Ammonia,Ammonia,very high
222,Chemical/Hydrocarbon,Repellent,very high
222,Fishy/Ammonia,Ammonia,very high
239,Odorless,,
240,Beverage,Maraschino,high
240,Bitter,Bitter,high
240,Burnt,Burnt,high
240,Dryfruit,Almond,high
240,Fragrant,Sweet,high
240,Fragrant/Fruity,Fruity,high
240,Fruity,Cherry,high
240,Lemon,Fruity,high
240,Lemon,Sharp,high
240,Lemon,Sweet,high
240,Minty,Sweet,high
240,Nature,Fruity,high
240,Non-citrusfruity,Cherry,high
240,Non-citrusfruity,Sweet,high
240,NoseFeel,Sharp,high
240,Nutty,Almond,high
240,Nutty,Nutty,high
240,Popcorn,Almond,high
240,Popcorn,Burnt,high
240,Popcorn,Nutty,high
240,Sharp/Pungent,Sharp,high
240,Sickening,Burnt,high
240,Sickening,Sharp,high
240,Softfloral,Powdery,high
240,Sweet,Fruity,high
240,Sweet,Sugar,high
240,Sweet,Sweet,high
240,Terpenes/Pine/Lemon,Sweet,high
241,Aromatic,Aromatic,
241,Chemical/Hydrocarbon,Gasoline,
241,Fragrant,Aromatic,
241,Fuel/GasStation/Solvent,Gasoline,
241,Minty,Aromatic,
241,Non-citrusfruity,Aromatic,
241,Solvent/Hydrocarbon,Gasoline,
241,Woody/Resinous,Aromatic,
243,Balsamic,Balsamic,low
243,Fishy/Ammonia,Urine,low
243,Waste,Urine,low
244,Balsamic,Balsamic,medium
244,Chemical/Hydrocarbon,Sweet Organic Chemical,medium
244,Citrus,Citrus,medium
244,Citrus,Grapefruit,medium
244,Dryfruit,Walnut,medium
244,Floral,Floral,medium
244,Floral,Rose,medium
244,Fragrant,Floral,medium
244,Fragrant,Rose,medium
244,Fragrant,Sweet,medium
244,Fragrant/Fruity,Citrus,medium
244,Fruity,Berry,medium
244,Fruity,Cherry,medium
244,Fruity,Citrus,medium
244,Fruity,Grapefruit,medium
244,Lemon,Citrus,medium
244,Lemon,Sweet,medium
244,Medicinal/Phenolic,Phenolic,medium
244,Minty,Sweet,medium
244,Nature,Floral,medium
244,Non-citrusfruity,Cherry,medium
244,Non-citrusfruity,Sweet,medium
244,Nutty,Walnut,medium
244,Solvent/Hydrocarbon,Chemical,medium
244,Sweet,Sweet,medium
244,Sweet,Sweet Organic Chemical,medium
244,Terpenes/Pine/Lemon,Sweet,medium
244,Woody,Phenolic,medium
247,Bland,Bland,
261,Bakery,Bready,high
261,Bakery,Malty,high
261,Beverage,Malty,high
261,Caramel,Chocolate,high
261,Chemical/Hydrocarbon,Ether,high
261,Chocolate,Chocolate,high
261,Chocolate,Cocoa,high
261,Dairy,Creamy,high
261,Earthy/Musty/Moldy,Earthy/ Musty,high
261,Earthy/Musty/Moldy,Musty,high
261,Earthy/Musty/Moldy,Musty/Moldy,high
261,Food,Cocoa,high
261,Food,Meaty,high
261,Foul,Garbage,high
261,Foul,Pungent,high
261,Fragrant/Fruity,Green,high
261,Fruity,Apple,high
261,Fruity,Pear,high
261,Green,Green,high
261,Non-vegetarian,Meaty,high
261,NoseFeel,Pungent,high
261,Popcorn,Musty,high
261,Pungent,Pungent,high
261,Sharp/Pungent,Musty,high
261,Sharp/Pungent,Pungent,high
261,Sickening,Pungent,high
261,Sweet,Chocolate,high
261,Sweet,Malty,high
261,Sweet,Sweet Garbage,high
261,Terpenes/Pine/Lemon,Sweet Garbage,high
261,Waste,Garbage,high
261,Woody/Resinous,Musty,high
262,Alliaceous,Onion,medium
262,Bakery,Buttery,medium
262,Caramel,Buttery,medium
