Stimulus,Concentration,Ventrality
ethyl tetradecanoate,,0.7994710692352796
2-decanone, 1/8,0.7955718161908142
santalol,,0.7835367632599007
1-pentanol,30 ppm,0.7504314598347281
1-hexanol,,0.716265280508797
3-methyl-2-buten-1-ol,,0.6947460621717927
octane,2231 ppm,0.6914050493012811
3-nonanol,,0.628093334879646
propanal,25ppm,0.6235621464246633
strawberry,,0.6124202077012216
pentadecane-fluka,0.4ppm,0.5589340845857084
menthyl isovalerate,1/24 in mineral oil,0.5500671869410372
valeric acid,,0.5362415566418545
isoeugenol,,0.5248092597089182
methanol,2500ppm,0.511990734229762
nerolidol,,0.509274340663598
ethyl caproate,75 ppm,0.500646534421819
alpha-phellandrene,1/24 in mineral oil,0.4850050896529086
carrot,,0.4709664902099313
monoethyl malonate,1/20 in mineral oil,0.41408901579652324
isoamyl butyrate,,0.3998614883944392
octane,1000ppm,0.37428230309004207
methyl valerate,25,0.37404496362181494
"trans, trans-2,4-hexadien-1-ol",,0.2675655459307018
caproic acid,1/20 in mineral oil,0.13873883631223674
heptane,2500ppm,0.09828520557572118
valeric acid,7.2,0.08078086018356079
mungbeansprout,,0.059485099590241564
lauric acid,1/20 in mineral oil,-0.02774342168511973
myrisitic acid,1/20 in mineral oil,-0.05666065296459666
valeric acid,,-0.11779898470171554
phenyl benzoate,,-0.12893132775945576
butyric acid,,-0.17483269242645202
D-camphor,,-0.18736565311377423
phytol,,-0.2000524874514258
methyl 3-aminobenzoate,1/20 in mineral oil,-0.2103860683752558
diethyl malonate,,-0.24730812999630947
peanutbutter,,-0.35629884244072635
cyclohexylmethanol,,-0.3961196584864318
3-acetyl-1-propanol,20ppm,-0.4576742546117556
benzyl alcohol,,-0.46040352832614734
methyl cinnamate,,-0.5396218702629116
n-pentanol,20ppm,-0.5572259385545512
4-nonanol,,-0.6328789648867044
a-ionone,0.15ppm,-0.7141296248892239
propyl butyrate,,-0.7321323841426474
L-bornyl acetate,,-0.7363295525628583
diethyl oxalate,,-0.7373585065208954
celeriax,,-0.7375522628685669
eucalyptus,,-0.7591150911911132
(-)-limonene,1/4 in mineral oil,-0.7826441578837497
4-methyl-1-pentanol,,-0.822545956576882
2-pentanol,,-0.8527714330761962
8-pentadecanone,,-0.8549933654750066
phenethyl anthranilate,,-0.8576287972033925
2-nonanone,150 ppm,-0.8628876005067505
2-nonanone,75 ppm,-0.8640116296656624
pentadecane,0.4 ppm,-0.8793655474424407
(-)-limonene,1/24 in mineral oil,-0.9030077225448748
spearmint,,-0.9688380850161329
linalool,,-0.983867615250885
ethyl valerate,75 ppm,-0.9867418808866701
ethyl valerate,75 ppm,-0.989671669844122
isobutyric acid,,-1.0160407280533224
2-butoxyethanol acetate,,-1.0254479641970131
lavandulol,,-1.0281991146645015
2_dodecanone,,-1.0354692001157382
propyl acetate,,-1.0487670033853114
delta-valerolactone,,-1.0764032283030596
dipropylamine,,-1.1304977820728621
2-hexanone,25,-1.2249776893990985
longifolene,,-1.2342257501098475
methyl acetate,,-1.2414622708743401
trimethylacetic acid,,-1.2683875695850468
thymol,,-1.298156014236975
alpha-phellandrene,1/4 in mineral oil,-1.3007478014887053
methyl valerate,75,-1.3064818067679829
1-propanol,2500 ppm,-1.3331822968235327
1-octene,1000ppm,-1.3587361884890163
butyl propionate,,-1.3615750531181101
a-ionone,0.05ppm,-1.3630252956332272
menthofuran,,-1.3874277274988385
octylamine,,-1.4059493378723313
menthyl isovalerate,1/4 in mineral oil,-1.4113138833673236
(-)-limonene,,-1.428533727160469
ethyl propionate,75 ppm,-1.4766202864530462
trans-4-octene,1000ppm,-1.506553946268891
p-tolyl phenylacetate,,-1.5107354494051468
butylbenzene,,-1.5570775078376013
cinnamonbark,,-1.626194039987543
abhexone,,-1.6361716951397596
methyl thiosalicylate,1/20 in mineral oil,-1.6637587701379446
isopropyl propionate,,-1.6739695859421495
2-benzylpyridine,,-1.686509381829869
2-octanone,25 ppm,-1.7304565868184223
1-propanol,,-1.747054689682603
3-(5-methyl-2-furyl)butanal,,-1.8065993038137107
1-pentanol,79,-1.8225283468419626
tomato,,-1.8498925812890012
2-pentadecanone,,-1.9320965672342114
ethyl acetate,,-1.9489238988060933
methyl valerate,250,-1.964004681910239
ethyl chrysanthemumate,,-1.9866307977372337
p-anisaldehyde,,-2.0785763209017887
5-nonanol,,-2.094878319662735
2-tridecanone,,-2.128485019517825
diphenyl ether,,-2.261497556510711
heptane,7500ppm,-2.2755812711743024
methyl salicylate,0.03ppm,-2.2796418878830185
acetic acid,,-2.3258156919030872
"2,5-hexanedione",250ppm,-2.3991533779540357
L-menthyl acetate,1/4 in mineral oil,-2.39946111272244
cyclohexanecarboxaldehyde,,-2.409311638453569
dibenzofuran,,-2.4736789525461487
isoamyl acetate,,-2.4741570105591437
butyl acetate,,-2.5387625147033503
"2,6-dimethyl-5-heptenal",,-2.542400501041345
2-butanol,200ppm,-2.6261630871096937
isoamyl tiglate,,-2.659183458615038
pinacol,,-2.6900858465886825
shitakemushroom,,-2.7251775696395644
a-ionone,,-2.8367013294955594
a-ionone,0.5ppm,-2.8528704582411506
"2,3-hexanedione",250ppm,-2.9070812986713284
propionic acid,,-2.9416523818734275
L-menthol,1/24 in mineral oil,-3.035643372756943
propyl propionate,,-3.047055131294348
2-heptanol,62.7 ppm,-3.130533183650031
2-octanone,240 ppm,-3.1524390829675415
2-hexanol,,-3.1594140310438212
methyl salicylate,0.09ppm,-3.2412294832404083
cyclamen aldehyde,,-3.3098649509851326
Toluene,125ppm,-3.3175865733459258
cis-jasmone,,-3.3238223549442205
2-heptanone,,-3.32998716041911
2-heptanol,30 ppm,-3.3426806089739016
hexane,,-3.38164454267614
acetoin,200ppm,-3.388361137170773
2-octanone,250 ppm,-3.3993588018805276
5-hydroxy-4-octanone,,-3.435998024505066
L-menthol,1/4 in mineral oil,-3.491036332799519
methyl anthranilate,1/20 in mineral oil,-3.5339482339300963
1-pentanol,250,-3.575489940551859
ethyl propionate,1/20 in mineral oil,-3.579076648200071
isopropanol,,-3.5878069231173546
methyl isocaproate,,-3.5914836412710436
acetone,2500 ppm,-3.6588482985063875
a-ionone,,-3.663172576361566
2-ethylfuran,,-3.6788443331341014
3-heptanol,,-3.6799890952429415
eucalyptol,1/20 in mineral oil,-3.715805495754447
"3,4-hexanedione",250ppm,-3.723051176004177
methanol,2500ppm,-3.7437997796170026
ethylbenzene,125ppm,-3.803626773295875
1-octyne,1000ppm,-3.8181585649827
2-butanone,200ppm,-3.9046117484860785
L-menthone,1-24 in mineral oil,-3.9902014772112295
benzaldehyde,,-4.008269237632483
alpha-ionone,,-4.01661419532423
L-fenchone,,-4.035223509240448
methyl 3-hydroxybenzoate,1/20 in mineral oil,-4.049780491749278
delta-dodecanalactone,,-4.091035552321188
2-hexanone,250ppm,-4.149147100712778
creosol,,-4.149902329272601
1-butanol,,-4.178045155896037
o-anisaldehyde,,-4.199310301954066
ethyl butyrate,,-4.22129121721892
m-anisaldehyde,,-4.269331969214843
cis-4-octene,1000ppm,-4.27220456746773
ethyl butyrate,75 ppm,-4.3823909875161355
tert-butylbenzene, 1/4,-4.3862554566363485
"1,2,3,4-tetramethylbenzene",95ppm,-4.396972767884751
quinoline,1g/160 in mineral oil,-4.454175492778459
2-octyne,1000ppm,-4.53100940583052
2-octanone,240 ppm,-4.558129370611152
2-acetylcyclopentanone,,-4.575572586555644
isobutanol,,-4.589612899762947
acetone,2500ppm,-4.61079603426598
cinnamaldehyde, 1/8,-4.623338498075707
