Stimulus,CID,Rep,Name,Conditions,SourceFile
8130_1,8130,1,heptanal,578 ppm,heptanal_HC.csv
8141_0,8141,0,nonane,,nonane_expa.csv
8143_0,8143,0,octylamine,,octylamine SG22.csv
8160_0,8160,0,2-butoxyethanol acetate,,2_butEtOHacetate_SG19.csv
8163_0,8163,0,2-undecanone,,2_undecanone_keton2.csv
8174_0,8174,0,1-decanol,,1_decanol_C10Alcs.csv
8175_0,8175,0,decanal,25 ppm,decanal_ald1.csv
8175_1,8175,1,decanal,,decanal_SG3.csv
8182_0,8182,0,dodecane,,dodecane_expa.csv
8184_0,8184,0,1-undecanol,1/4 in mineral oil,1_undecanol_oh4.csv
8194_0,8194,0,dodecanal,,dodecanal_SG20.csv
8205_0,8205,0,lauryl acetate,,laurylacetate_SG6.csv
82229_0,82229,0,fenchone,1/20 in mineral oil,fenchone_polycy.csv
82229_1,82229,1,L-fenchone,,L_fenchone_SG12.csv
8257_0,8257,0,2-methyl-3-buten-2-ol,,2_me_3_buten_2_ol_SG14.csv
82916_0,82916,0,"1,5-cyclooctadiene",715.3ppm,"1,5_cyclooctadiene_expc.csv"
8369_0,8369,0,maltol,,maltol_SG15.csv
853433_0,853433,0,isoeugenol,,isoeugenol_SG26.csv
8615_0,8615,0,phenethyl anthranilate,,pheanthranilate_SG15.csv
8635_0,8635,0,methyl anthranilate,1/20 in mineral oil,methylanthranilate_arg2.csv
8635_1,8635,1,methyl anthranilate,,me_anthranilate_SG8.csv
8658_0,8658,0,o-anisaldehyde,,o_anisaldehyde_aro1.csv
88068_0,88068,0,methyl 3-hydroxybenzoate,1/20 in mineral oil,methyl3_hydroxybenzoate_arg2.csv
8842_0,8842,0,beta-citronellol,,citronellol_C10Alcs.csv
8857_0,8857,0,ethyl acetate,75 ppm,ethylacetate_es3.csv
8857_1,8857,1,ethyl acetate,,ethylacetate_est1.csv
8858_0,8858,0,4-methyl-3-penten-2-one,,mesityloxide_HC.csv
887_0,887,0,methanol,2500ppm,methanol_alc1.csv
887_1,887,1,methanol,10000ppm,methanol_methcon_10000.csv
887_2,887,2,methanol,15000ppm,methanol_methcon_15000.csv
887_3,887,3,methanol,2500ppm,methanol_methcon_2500.csv
887_4,887,4,methanol,5000ppm,methanol_methcon_5000.csv
887_5,887,5,methanol,2500ppm,methanol_salcohols_2500.csv
8892_0,8892,0,caproic acid,,caproicacid_aci1_7.2.csv
8892_1,8892,1,caproic acid,1/20 in mineral oil,caproicacid_acies.csv
8900_0,8900,0,heptane,2500ppm,heptane_2500_expaii.csv
8900_1,8900,1,heptane,250ppm,heptane_250_expaii.csv
8900_2,8900,2,heptane,7500ppm,heptane_7500_expaii.csv
8900_3,8900,3,heptane,800ppm,heptane_800_expaii.csv
8900_4,8900,4,heptane,80ppm,heptane_80_expaii.csv
8900_5,8900,5,heptane,,heptane_expa.csv
