Stimulus,CID,Rep,Name,Conditions,SourceFile
14286_0,14286,0,2-acetylpyridine,,2_acetylpyridine_SG3.csv
14296_0,14296,0,"2,3,5,6-tetramethylpyrazine",,"2,3,5,6_tetramethylpy#89CCE.csv"
15448_0,15448,0,2-undecanol,1/4 in mineral oil,2_undecanol_oh4.csv
1549018_0,1549018,0,cis-jasmone,,cis_jasmone_SG12.csv
1549025_0,1549025,0,neryl acetate,,nerylacetate_cis_trans1.csv
1549026_0,1549026,0,geranyl acetate,,geranylacetate_cis_trans1.csv
15600_0,15600,0,decane,,decane_expa.csv
159055_0,159055,0,(1R)-(+)-camphor,1/20 in mineral oil,camphor_polycy.csv
159055_1,159055,1,D-camphor,,D(+)_camphor_SG1.csv
16029_0,16029,0,4-octyne,1000ppm,4_octyne_expc.csv
16275_0,16275,0,cyclohexanecarboxaldehyde,,cyclohexcarboxaldehyde_HC.csv
16301_0,16301,0,diethyl suberate,,dietsuberate_dies.csv
16666_0,16666,0,L-menthol,1/24 in mineral oil,menthol_mint_1_24.csv
16666_1,16666,1,L-menthol,1/4 in mineral oil,menthol_mint_1_4.csv
17008_0,17008,0,methyl isocaproate,,methylisocaproate_HC.csv
176_0,176,0,acetic acid,,aceticacid_aci1.csv
17769_0,17769,0,2-octyne,1000ppm,2_octyne_expc.csv
1796220_0,1796220,0,longifolene,,longifolene_SG24.csv
179_0,179,0,acetoin,200ppm,acetoin_alcket.csv
180_0,180,0,acetone-simp,,acetone.csv
180_1,180,1,acetone,2500 ppm,acetone_45_min2DG.csv
180_2,180,2,acetone,2500ppm,acetone_ac_tc_15m.csv
18554_0,18554,0,2-ethylfuran,,2_ethylfuran_SG7.csv
19309_0,19309,0,"2,5-dimethyl-4-hydroxy-3-(2H)-furanone",,25dime_4_hydr_3fura_SG13.csv
19460_0,19460,0,"1,7-octadiene",1000ppm,"1,7_octadiene_expc.csv"
19707_0,19707,0,"2,3-hexanedione",250ppm,"2,3_hexanedione_dione.csv"
19878_0,19878,0,4-tert-butylpyridine,,4_tertbutylpyridine_SG8.csv
20083_0,20083,0,2-octanol,,2_octanol_alc3.csv
20748_0,20748,0,methyl cyclohexanecarboxylate,,methylcyclohexanecarboxy_HC.csv
21009_0,21009,0,methyl thiosalicylate,1/20 in mineral oil,methylthiosalicylate_arg2.csv
219794_0,219794,0,5-hydroxy-4-octanone,,5_hydroxy_4_octanone_SG23.csv
22201_0,22201,0,"2,3-dimethylpyrazine",,"2,3_dimethylpyrazine_MePyra.csv"
22217_0,22217,0,4-nonanol,,4_nonanol_OH3.csv
22386_0,22386,0,2-pentanol,,2_pentanol_alc3.csv
22556_0,22556,0,2_dodecanone,,2_dodecanone_SG25.csv
240_0,240,0,benzaldehyde,125ppm,benzaldehyde_arg1.csv
240_1,240,1,benzaldehyde,,benzaldehyde_aro1.csv
240_2,240,2,benzaldehyde,,benzaldehyde_HC.csv
244_0,244,0,benzyl alcohol,,benzylacohol_HC.csv
251531_0,251531,0,phenethyl 2-furoate,,phenethyl_2_furoate_SG7.csv
25612_0,25612,0,9-decen-1-ol,,9_decen_1_ol_C10Alcs.csv
261491_0,261491,0,thujone,,thujone SG24_cistrans2.csv
261_0,261,0,butanal,25ppm,butanal_ald.csv
263_0,263,0,1-butanol,,1_butanol_SG12.csv
263_1,263,1,1-butanol,,n-butanol_OHp1.csv
26447_0,26447,0,L-menthone,,L_menthone_enr_c.csv
26447_1,26447,1,L-menthone,,L_menthone_enr_e.csv
26447_2,26447,2,L-menthone,1-24 in mineral oil,menthone_mint_1_24.csv
26447_3,26447,3,L-menthone,1/4 in mineral oil,menthone_mint_1_4.csv
264_0,264,0,butyric acid,1/20 in mineral oil,butyricacid_Aci+Ket.csv
264_1,264,1,butyric acid,,butyricacid_aci1.csv
26808_0,26808,0,"2,3,5-trimethylpyrazine",,"2,3,5_trimethylpyrazi#89CCF.csv"
2724161_0,2724161,0,(+)-terpinen-4-ol,,terp4ol(+)_ster.csv
2758_0,2758,0,eucalyptol,1/20 in mineral oil,eucalyptol_polycy.csv
2758_1,2758,1,eucalyptol, 1/8,eucalyptol_SG5.csv
2758_2,2758,2,eucalyptol, 1/8,eucalyptol_SG_CH.csv
27867_0,27867,0,L-menthyl acetate,1/4 in mineral oil,menthylacatat_mint_1_4.csv
27867_1,27867,1,L-menthyl acetate,1/24 in mineral oil,menthylacetat_mint_1_24.csv
284_0,284,0,formic acid,,formicacid_simp.csv
31244_0,31244,0,p-anisaldehyde,,p-anisaldehyde_aro1.csv
31246_0,31246,0,4-heptanone,,4_heptanone_keton3.csv
31249_0,31249,0,diethyl succinate,,dietsuccinate_dies.csv
31252_0,31252,0,"2,5-dimethylpyrazine",,"2,5_dimethylpyrazine_MePyra.csv"
31265_0,31265,0,ethyl caproate,75 ppm,ethylcaproate_dies.csv
31265_1,31265,1,ethyl caproate,75 ppm,ethylcaproate_es3.csv
31272_0,31272,0,butyl acetate,,butylacetate_es3.csv
31276_0,31276,0,isoamyl acetate,,isoamylacetate_est1.csv
31283_0,31283,0,ethyl tetradecanoate,,ethyltetradecanoate_SG19.csv
31289_0,31289,0,nonanal,,nonanal_ald1.csv
32045_0,32045,0,6-undecanol,1/4 in mineral oil,6_undecanol_oh4.csv
33094_0,33094,0,methyl benzoate,1/20 in mineral oil,methylo_toluate_arg2.csv
3314_0,3314,0,eugenol,,eugenol_SG26.csv
356_0,356,0,octane,2231 ppm,octane_expa.csv
356_1,356,1,octane,1000ppm,octane_expc.csv
356_2,356,2,octane,2231 ppm,octane_HC.csv
3578033_0,3578033,0,3-(5-methyl-2-furyl)butanal,,3(5_methyl_2_furyl)bu.csv
369312_0,369312,0,perillyl alcohol,,perrilylalcohol_SG16.csv
3776_0,3776,0,isopropanol,,isopropanol_salcohols_2500.csv
379_0,379,0,octanoic acid,,octanoicacid_aci1.csv
3893_0,3893,0,lauric acid,1/20 in mineral oil,lauricacid_SG27.csv
4133_0,4133,0,methyl salicylate,0.9 ppm,mesalicylate_MScon_1in25.csv
4133_1,4133,1,methyl salicylate,2.8 ppm,mesalicylate_MScon_1in8.csv
4133_2,4133,2,methyl salicylate,0.3 ppm,mesalicylate_MScon_1in80.csv
4133_3,4133,3,methyl salicylate,1/20 in mineral oil,methylsalicylate_arg2.csv
4133_4,4133,4,methyl salicylate,0.09ppm,methylsalicylate_MScon1_250.csv
4133_5,4133,5,methyl salicylate,0.03ppm,methylsalicylate_MScon1_750.csv
4133_6,4133,6,methyl salicylate,2.8 ppm,me_salicylate_SG8.csv
439250_0,439250,0,(-)-limonene,,limonene(-)_ster.csv
439250_1,439250,1,(-)-limonene,1/24 in mineral oil,limonene_mint_1_24.csv
439250_2,439250,2,(-)-limonene,1/4 in mineral oil,limonene_mint_1_4.csv
439570_0,439570,0,carvone(-),,carvone(-)_enr_c.csv
439570_1,439570,1,carvone(-),,carvone(-)_enr_e.csv
440917_0,440917,0,(+)-limonene ,,limonene(+)_ster.csv
440967_0,440967,0,(1S)-(-)-beta-pinene,1/20 in mineral oil,beta_pinene_polycy.csv
440967_1,440967,1,beta-pinene,,B_pinene(_)_SG1.csv
442478_0,442478,0,menthofuran,,menthofuran_SG16.csv
454_0,454,0,octanal,,octanal_ald1.csv
460_0,460,0,guaiacol,,guaiacol_aro2.csv
517827_0,517827,0,cyclamen aldehyde,,cyclamenaldehyde_SG8.csv
527_0,527,0,propanal,25ppm,propanal_ald.csv
5280435_0,5280435,0,phytol,,phytol_SG11.csv
5281167_0,5281167,0,cis-3-hexen-1-ol,,cis_3_hexen_1_ol_c6alca.csv
5281515_0,5281515,0,beta-caryophyllene,,beta_caryophyllene_SG23.csv
5282108_0,5282108,0,a-ionone,0.5ppm,a_ionone_a_io_1_24.csv
