"","Participant","Group","Ranking","OdorName","Subsistence"
"1088",34,"Mexican",7,"2-Phenylethanol","Urban"
"1089",1,"Maniq",9,"2-Phenylethanol","Hunter-gatherer"
"1090",8,"Semelai",6,"2-Phenylethanol","Farmer"
"1091",21,"Mexican",7,"2-Phenylethanol","Urban"
"1092",4,"Imbabura Quechua",7,"2-Phenylethanol","Farmer"
"1093",1,"Seri",5,"2-Phenylethanol","Hunter-gatherer"
"1094",15,"Imbabura Quechua",2,"2-Phenylethanol","Farmer"
"1095",6,"Cha'palaa",3,"2-Phenylethanol","Farmer"
"1096",6,"Maniq",9,"2-Phenylethanol","Hunter-gatherer"
"1097",18,"Seri",5,"2-Phenylethanol","Hunter-gatherer"
"1098",12,"Semelai",5,"2-Phenylethanol","Farmer"
"1099",1,"Semelai",6,"2-Phenylethanol","Farmer"
"1100",6,"Semaq Beri",6,"2-Phenylethanol","Hunter-gatherer"
"1101",25,"Thai",2,"2-Phenylethanol","Urban"
"1102",2,"Mexican",2,"2-Phenylethanol","Urban"
"1103",14,"Cha'palaa",3,"2-Phenylethanol","Farmer"
"1104",9,"Mah Meri",1,"2-Phenylethanol","Farmer"
"1105",1,"Cha'palaa",2,"2-Phenylethanol","Farmer"
"1106",2,"Cha'palaa",2,"2-Phenylethanol","Farmer"
"1107",5,"Imbabura Quechua",6,"2-Phenylethanol","Farmer"
"1108",11,"Semaq Beri",6,"2-Phenylethanol","Hunter-gatherer"
"1109",10,"Mah Meri",1,"2-Phenylethanol","Farmer"
"1110",9,"Semaq Beri",5,"2-Phenylethanol","Hunter-gatherer"
"1111",23,"Thai",5,"2-Phenylethanol","Urban"
"1112",12,"Maniq",8,"2-Phenylethanol","Hunter-gatherer"
"1113",10,"Imbabura Quechua",2,"2-Phenylethanol","Farmer"
"1114",21,"Semaq Beri",6,"2-Phenylethanol","Hunter-gatherer"
"1115",24,"Seri",5,"2-Phenylethanol","Hunter-gatherer"
"1116",19,"Semaq Beri",6,"2-Phenylethanol","Hunter-gatherer"
"1117",7,"Thai",3,"2-Phenylethanol","Urban"
"1118",12,"Semaq Beri",8,"2-Phenylethanol","Hunter-gatherer"
"1119",10,"Semaq Beri",8,"2-Phenylethanol","Hunter-gatherer"
"1120",18,"Cha'palaa",6,"2-Phenylethanol","Farmer"
"1121",6,"Mexican",6,"2-Phenylethanol","Urban"
"1122",21,"Semelai",6,"2-Phenylethanol","Farmer"
"1123",19,"Imbabura Quechua",5,"2-Phenylethanol","Farmer"
"1124",18,"Semelai",3,"2-Phenylethanol","Farmer"
"1125",17,"Thai",2,"2-Phenylethanol","Urban"
"1126",2,"Maniq",8,"2-Phenylethanol","Hunter-gatherer"
"1127",18,"Mah Meri",3,"2-Phenylethanol","Farmer"
"1128",11,"Semelai",7,"2-Phenylethanol","Farmer"
"1129",24,"Imbabura Quechua",2,"2-Phenylethanol","Farmer"
"1130",25,"Semelai",8,"2-Phenylethanol","Farmer"
"1131",4,"Seri",5,"2-Phenylethanol","Hunter-gatherer"
"1132",6,"Thai",7,"2-Phenylethanol","Urban"
"1133",25,"Cha'palaa",2,"2-Phenylethanol","Farmer"
"1134",24,"Mah Meri",8,"2-Phenylethanol","Farmer"
"1135",16,"Seri",8,"2-Phenylethanol","Hunter-gatherer"
"1136",32,"Mexican",4,"2-Phenylethanol","Urban"
"1137",23,"Mah Meri",8,"2-Phenylethanol","Farmer"
"1138",11,"Maniq",6,"2-Phenylethanol","Hunter-gatherer"
"1139",11,"Seri",5,"2-Phenylethanol","Hunter-gatherer"
"1140",4,"Semelai",5,"2-Phenylethanol","Farmer"
"1141",35,"Mexican",6,"1-Octen-3-ol","Urban"
"1142",16,"Mah Meri",2,"1-Octen-3-ol","Farmer"
"1143",5,"Maniq",3,"1-Octen-3-ol","Hunter-gatherer"
"1144",7,"Mexican",7,"1-Octen-3-ol","Urban"
"1145",2,"Imbabura Quechua",8,"1-Octen-3-ol","Farmer"
"1146",24,"Semelai",9,"1-Octen-3-ol","Farmer"
"1147",21,"Imbabura Quechua",5,"1-Octen-3-ol","Farmer"
"1148",20,"Mah Meri",5,"1-Octen-3-ol","Farmer"
"1149",19,"Mah Meri",4,"1-Octen-3-ol","Farmer"
"1150",4,"Semelai",7,"1-Octen-3-ol","Farmer"
"1151",18,"Mah Meri",4,"1-Octen-3-ol","Farmer"
"1152",1,"Maniq",2,"1-Octen-3-ol","Hunter-gatherer"
"1153",17,"Thai",4,"1-Octen-3-ol","Urban"
"1154",16,"Semaq Beri",6,"1-Octen-3-ol","Hunter-gatherer"
"1155",13,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1156",25,"Semelai",1,"1-Octen-3-ol","Farmer"
"1157",31,"Mexican",6,"1-Octen-3-ol","Urban"
"1158",14,"Semelai",2,"1-Octen-3-ol","Farmer"
"1159",15,"Thai",5,"1-Octen-3-ol","Urban"
"1160",24,"Thai",6,"1-Octen-3-ol","Urban"
"1161",19,"Cha'palaa",4,"1-Octen-3-ol","Farmer"
"1162",32,"Mexican",6,"1-Octen-3-ol","Urban"
"1163",13,"Semelai",3,"1-Octen-3-ol","Farmer"
"1164",30,"Mexican",7,"1-Octen-3-ol","Urban"
"1165",22,"Cha'palaa",4,"1-Octen-3-ol","Farmer"
"1166",5,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1167",12,"Semelai",1,"1-Octen-3-ol","Farmer"
"1168",10,"Imbabura Quechua",3,"1-Octen-3-ol","Farmer"
"1169",6,"Maniq",5,"1-Octen-3-ol","Hunter-gatherer"
"1170",16,"Thai",6,"1-Octen-3-ol","Urban"
"1171",2,"Semelai",3,"1-Octen-3-ol","Farmer"
"1172",1,"Semelai",9,"1-Octen-3-ol","Farmer"
"1173",6,"Semelai",3,"1-Octen-3-ol","Farmer"
"1174",15,"Mah Meri",8,"1-Octen-3-ol","Farmer"
"1175",10,"Mexican",6,"1-Octen-3-ol","Urban"
"1176",27,"Mexican",7,"1-Octen-3-ol","Urban"
"1177",15,"Mexican",8,"1-Octen-3-ol","Urban"
"1178",2,"Mexican",7,"1-Octen-3-ol","Urban"
"1179",14,"Mexican",6,"1-Octen-3-ol","Urban"
"1180",6,"Semaq Beri",1,"1-Octen-3-ol","Hunter-gatherer"
"1181",1,"Mexican",6,"1-Octen-3-ol","Urban"
"1182",18,"Semaq Beri",8,"1-Octen-3-ol","Hunter-gatherer"
"1183",11,"Imbabura Quechua",7,"1-Octen-3-ol","Farmer"
"1184",3,"Imbabura Quechua",9,"1-Octen-3-ol","Farmer"
"1185",21,"Mexican",5,"1-Octen-3-ol","Urban"
"1186",4,"Semaq Beri",5,"1-Octen-3-ol","Hunter-gatherer"
"1187",8,"Mexican",6,"1-Octen-3-ol","Urban"
"1188",24,"Mexican",8,"1-Octen-3-ol","Urban"
"1189",20,"Mexican",4,"1-Octen-3-ol","Urban"
"1190",19,"Semelai",1,"1-Octen-3-ol","Farmer"
"1191",22,"Semaq Beri",2,"1-Octen-3-ol","Hunter-gatherer"
"1192",12,"Semaq Beri",6,"1-Octen-3-ol","Hunter-gatherer"
"1193",14,"Thai",8,"1-Octen-3-ol","Urban"
"1194",3,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1195",25,"Semaq Beri",5,"1-Octen-3-ol","Hunter-gatherer"
"1196",5,"Thai",9,"1-Octen-3-ol","Urban"
"1197",23,"Seri",5,"1-Octen-3-ol","Hunter-gatherer"
"1198",29,"Mexican",3,"1-Octen-3-ol","Urban"
"1199",22,"Thai",6,"1-Octen-3-ol","Urban"
"1200",24,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1201",20,"Cha'palaa",7,"1-Octen-3-ol","Farmer"
"1202",12,"Maniq",3,"1-Octen-3-ol","Hunter-gatherer"
"1203",10,"Semaq Beri",6,"1-Octen-3-ol","Hunter-gatherer"
"1204",5,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1205",22,"Mexican",1,"1-Octen-3-ol","Urban"
"1206",8,"Cha'palaa",5,"1-Octen-3-ol","Farmer"
"1207",1,"Cha'palaa",10,"1-Octen-3-ol","Farmer"
"1208",4,"Maniq",2,"1-Octen-3-ol","Hunter-gatherer"
"1209",24,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1210",14,"Imbabura Quechua",8,"1-Octen-3-ol","Farmer"
"1211",20,"Semelai",7,"1-Octen-3-ol","Farmer"
"1212",5,"Mexican",4,"1-Octen-3-ol","Urban"
"1213",12,"Cha'palaa",1,"1-Octen-3-ol","Farmer"
"1214",34,"Mexican",5,"1-Octen-3-ol","Urban"
"1215",26,"Thai",10,"1-Octen-3-ol","Urban"
"1216",16,"Seri",4,"1-Octen-3-ol","Hunter-gatherer"
"1217",16,"Maniq",10,"1-Octen-3-ol","Hunter-gatherer"
"1218",8,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1219",17,"Mah Meri",6,"1-Octen-3-ol","Farmer"
"1220",2,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1221",2,"Mah Meri",5,"1-Octen-3-ol","Farmer"
"1222",8,"Imbabura Quechua",7,"1-Octen-3-ol","Farmer"
"1223",16,"Semelai",6,"1-Octen-3-ol","Farmer"
"1224",21,"Semaq Beri",10,"1-Octen-3-ol","Hunter-gatherer"
"1225",23,"Imbabura Quechua",2,"1-Octen-3-ol","Farmer"
"1226",3,"Semelai",2,"1-Octen-3-ol","Farmer"
"1227",11,"Semelai",8,"1-Octen-3-ol","Farmer"
"1228",8,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1229",14,"Maniq",7,"1-Octen-3-ol","Hunter-gatherer"
"1230",25,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1231",12,"Mexican",6,"1-Octen-3-ol","Urban"
"1232",2,"Maniq",3,"1-Octen-3-ol","Hunter-gatherer"
"1233",21,"Seri",9,"1-Octen-3-ol","Hunter-gatherer"
"1234",1,"Semaq Beri",9,"1-Octen-3-ol","Hunter-gatherer"
"1235",9,"Maniq",8,"1-Octen-3-ol","Hunter-gatherer"
"1236",1,"Thai",6,"1-Octen-3-ol","Urban"
"1237",19,"Mexican",8,"1-Octen-3-ol","Urban"
"1238",6,"Mexican",7,"1-Octen-3-ol","Urban"
"1239",5,"Semelai",7,"1-Octen-3-ol","Farmer"
"1240",15,"Imbabura Quechua",9,"1-Octen-3-ol","Farmer"
"1241",11,"Semaq Beri",8,"1-Octen-3-ol","Hunter-gatherer"
"1242",23,"Mexican",6,"1-Octen-3-ol","Urban"
"1243",25,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1244",20,"Imbabura Quechua",7,"1-Octen-3-ol","Farmer"
"1245",11,"Mah Meri",4,"1-Octen-3-ol","Farmer"
"1246",6,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1247",9,"Thai",4,"1-Octen-3-ol","Urban"
"1248",3,"Mexican",6,"1-Octen-3-ol","Urban"
"1249",21,"Cha'palaa",2,"1-Octen-3-ol","Farmer"
"1250",17,"Semaq Beri",8,"1-Octen-3-ol","Hunter-gatherer"
"1251",7,"Seri",3,"1-Octen-3-ol","Hunter-gatherer"
"1252",2,"Seri",8,"1-Octen-3-ol","Hunter-gatherer"
"1253",8,"Thai",8,"1-Octen-3-ol","Urban"
"1254",11,"Seri",3,"1-Octen-3-ol","Hunter-gatherer"
"1255",25,"Mexican",8,"1-Octen-3-ol","Urban"
"1256",14,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1257",7,"Thai",8,"1-Octen-3-ol","Urban"
"1258",9,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1259",4,"Imbabura Quechua",2,"1-Octen-3-ol","Farmer"
"1260",18,"Seri",4,"1-Octen-3-ol","Hunter-gatherer"
"1261",7,"Semaq Beri",4,"1-Octen-3-ol","Hunter-gatherer"
"1262",11,"Thai",7,"1-Octen-3-ol","Urban"
"1263",20,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1264",16,"Imbabura Quechua",10,"1-Octen-3-ol","Farmer"
"1265",8,"Maniq",6,"1-Octen-3-ol","Hunter-gatherer"
"1266",19,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1267",17,"Semelai",3,"1-Octen-3-ol","Farmer"
"1268",7,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1269",23,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1270",19,"Seri",8,"1-Octen-3-ol","Hunter-gatherer"
"1271",21,"Semelai",3,"1-Octen-3-ol","Farmer"
"1272",9,"Imbabura Quechua",7,"1-Octen-3-ol","Farmer"
"1273",23,"Semaq Beri",5,"1-Octen-3-ol","Hunter-gatherer"
"1274",14,"Semaq Beri",9,"1-Octen-3-ol","Hunter-gatherer"
"1275",22,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1276",7,"Imbabura Quechua",6,"1-Octen-3-ol","Farmer"
"1277",21,"Mah Meri",9,"1-Octen-3-ol","Farmer"
"1278",15,"Semaq Beri",6,"1-Octen-3-ol","Hunter-gatherer"
"1279",7,"Mah Meri",6,"1-Octen-3-ol","Farmer"
"1280",28,"Mexican",3,"1-Octen-3-ol","Urban"
"1281",17,"Imbabura Quechua",9,"1-Octen-3-ol","Farmer"
"1282",5,"Imbabura Quechua",8,"1-Octen-3-ol","Farmer"
"1283",6,"Thai",6,"1-Octen-3-ol","Urban"
"1284",15,"Seri",4,"1-Octen-3-ol","Hunter-gatherer"
"1285",13,"Imbabura Quechua",1,"1-Octen-3-ol","Farmer"
"1286",15,"Maniq",6,"1-Octen-3-ol","Hunter-gatherer"
"1287",12,"Thai",6,"1-Octen-3-ol","Urban"
"1288",16,"Mexican",9,"1-Octen-3-ol","Urban"
"1289",3,"Maniq",4,"1-Octen-3-ol","Hunter-gatherer"
"1290",1,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1291",11,"Cha'palaa",4,"1-Octen-3-ol","Farmer"
"1292",25,"Imbabura Quechua",6,"1-Octen-3-ol","Farmer"
"1293",18,"Semelai",7,"1-Octen-3-ol","Farmer"
"1294",13,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1295",18,"Cha'palaa",7,"1-Octen-3-ol","Farmer"
"1296",5,"Cha'palaa",6,"1-Octen-3-ol","Farmer"
"1297",8,"Semelai",5,"1-Octen-3-ol","Farmer"
"1298",13,"Mah Meri",8,"1-Octen-3-ol","Farmer"
"1299",17,"Seri",4,"1-Octen-3-ol","Hunter-gatherer"
"1300",7,"Maniq",10,"1-Octen-3-ol","Hunter-gatherer"
"1301",4,"Mah Meri",9,"1-Octen-3-ol","Farmer"
"1302",9,"Mexican",4,"1-Octen-3-ol","Urban"
"1303",24,"Imbabura Quechua",9,"1-Octen-3-ol","Farmer"
"1304",15,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1305",14,"Cha'palaa",6,"1-Octen-3-ol","Farmer"
"1306",4,"Mexican",5,"1-Octen-3-ol","Urban"
"1307",22,"Semelai",9,"1-Octen-3-ol","Farmer"
"1308",9,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1309",3,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1310",5,"Semaq Beri",5,"1-Octen-3-ol","Hunter-gatherer"
"1311",8,"Mah Meri",4,"1-Octen-3-ol","Farmer"
"1312",23,"Thai",6,"1-Octen-3-ol","Urban"
"1313",10,"Semelai",6,"1-Octen-3-ol","Farmer"
"1314",10,"Cha'palaa",7,"1-Octen-3-ol","Farmer"
"1315",10,"Thai",6,"1-Octen-3-ol","Urban"
"1316",13,"Thai",9,"1-Octen-3-ol","Urban"
"1317",4,"Seri",3,"1-Octen-3-ol","Hunter-gatherer"
"1318",3,"Semaq Beri",8,"1-Octen-3-ol","Hunter-gatherer"
"1319",33,"Mexican",9,"1-Octen-3-ol","Urban"
"1320",4,"Thai",8,"1-Octen-3-ol","Urban"
"1321",10,"Seri",4,"1-Octen-3-ol","Hunter-gatherer"
"1322",1,"Imbabura Quechua",5,"1-Octen-3-ol","Farmer"
"1323",6,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1324",18,"Thai",4,"1-Octen-3-ol","Urban"
"1325",24,"Cha'palaa",9,"1-Octen-3-ol","Farmer"
"1326",13,"Mexican",8,"1-Octen-3-ol","Urban"
"1327",12,"Mah Meri",6,"1-Octen-3-ol","Farmer"
"1328",11,"Maniq",2,"1-Octen-3-ol","Hunter-gatherer"
"1329",16,"Cha'palaa",2,"1-Octen-3-ol","Farmer"
"1330",26,"Mexican",8,"1-Octen-3-ol","Urban"
"1331",9,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1332",25,"Seri",7,"1-Octen-3-ol","Hunter-gatherer"
"1333",2,"Thai",7,"1-Octen-3-ol","Urban"
"1334",12,"Imbabura Quechua",5,"1-Octen-3-ol","Farmer"
"1335",12,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1336",7,"Semelai",5,"1-Octen-3-ol","Farmer"
"1337",20,"Semaq Beri",7,"1-Octen-3-ol","Hunter-gatherer"
"1338",13,"Maniq",8,"1-Octen-3-ol","Hunter-gatherer"
"1339",19,"Imbabura Quechua",6,"1-Octen-3-ol","Farmer"
"1340",11,"Mexican",8,"1-Octen-3-ol","Urban"
"1341",21,"Thai",8,"1-Octen-3-ol","Urban"
"1342",1,"Seri",6,"1-Octen-3-ol","Hunter-gatherer"
"1343",20,"Thai",4,"1-Octen-3-ol","Urban"
"1344",25,"Thai",4,"1-Octen-3-ol","Urban"
"1345",10,"Maniq",10,"1-Octen-3-ol","Hunter-gatherer"
"1346",15,"Semelai",4,"1-Octen-3-ol","Farmer"
"1347",10,"Mah Meri",7,"1-Octen-3-ol","Farmer"
"1348",27,"Thai",3,"1-Octen-3-ol","Urban"
"1349",3,"Cha'palaa",7,"1-Octen-3-ol","Farmer"
"1350",4,"Cha'palaa",7,"1-Octen-3-ol","Farmer"
"1351",18,"Mexican",3,"1-Octen-3-ol","Urban"
"1352",23,"Semelai",8,"1-Octen-3-ol","Farmer"
"1353",23,"Mah Meri",4,"1-Octen-3-ol","Farmer"
"1354",14,"Mah Meri",9,"1-Octen-3-ol","Farmer"
"1355",6,"Mah Meri",8,"1-Octen-3-ol","Farmer"
"1356",9,"Cha'palaa",10,"1-Octen-3-ol","Farmer"
"1357",22,"Imbabura Quechua",9,"1-Octen-3-ol","Farmer"
"1358",13,"Cha'palaa",10,"1-Octen-3-ol","Farmer"
"1359",22,"Mah Meri",6,"1-Octen-3-ol","Farmer"
"1360",24,"Semaq Beri",3,"1-Octen-3-ol","Hunter-gatherer"
"1361",3,"Thai",8,"1-Octen-3-ol","Urban"
"1362",19,"Thai",6,"1-Octen-3-ol","Urban"
"1363",6,"Imbabura Quechua",8,"1-Octen-3-ol","Farmer"
"1364",9,"Semelai",9,"1-Octen-3-ol","Farmer"
"1365",2,"Cha'palaa",5,"1-Octen-3-ol","Farmer"
"1366",18,"Imbabura Quechua",6,"1-Octen-3-ol","Farmer"
"1367",17,"Cha'palaa",8,"1-Octen-3-ol","Farmer"
"1368",17,"Mexican",3,"1-Octen-3-ol","Urban"
"1369",19,"Semelai",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1370",18,"Mexican",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1371",22,"Imbabura Quechua",4,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1372",24,"Seri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1373",25,"Semaq Beri",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1374",4,"Thai",9,"2-Isobutyl-3-methoxypyrazine","Urban"
"1375",4,"Semaq Beri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1376",9,"Semelai",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1377",13,"Cha'palaa",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1378",2,"Mah Meri",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1379",5,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1380",12,"Mexican",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1381",5,"Semelai",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1382",9,"Imbabura Quechua",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1383",1,"Thai",9,"2-Isobutyl-3-methoxypyrazine","Urban"
"1384",11,"Thai",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1385",29,"Mexican",8,"2-Isobutyl-3-methoxypyrazine","Urban"
"1386",8,"Mah Meri",9,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1387",22,"Cha'palaa",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1388",5,"Mah Meri",3,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1389",3,"Imbabura Quechua",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1390",14,"Mexican",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1391",20,"Semelai",2,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1392",33,"Mexican",2,"2-Isobutyl-3-methoxypyrazine","Urban"
"1393",8,"Seri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1394",15,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1395",9,"Seri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1396",26,"Thai",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1397",8,"Maniq",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1398",25,"Imbabura Quechua",7,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1399",1,"Mah Meri",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1400",8,"Mexican",10,"2-Isobutyl-3-methoxypyrazine","Urban"
"1401",24,"Mexican",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1402",2,"Semaq Beri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1403",4,"Maniq",7,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1404",15,"Mah Meri",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1405",3,"Mah Meri",4,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1406",12,"Semelai",3,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1407",11,"Seri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1408",1,"Seri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1409",21,"Semaq Beri",3,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1410",23,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1411",11,"Mexican",7,"2-Isobutyl-3-methoxypyrazine","Urban"
"1412",13,"Mexican",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1413",28,"Mexican",7,"2-Isobutyl-3-methoxypyrazine","Urban"
"1414",10,"Imbabura Quechua",9,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1415",4,"Mah Meri",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1416",25,"Cha'palaa",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1417",7,"Semelai",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1418",5,"Maniq",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1419",12,"Maniq",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1420",3,"Semaq Beri",3,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1421",20,"Thai",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1422",16,"Mexican",8,"2-Isobutyl-3-methoxypyrazine","Urban"
"1423",16,"Maniq",6,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1424",21,"Thai",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1425",17,"Mexican",6,"2-Isobutyl-3-methoxypyrazine","Urban"
"1426",5,"Mexican",8,"2-Isobutyl-3-methoxypyrazine","Urban"
"1427",15,"Semelai",2,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1428",7,"Imbabura Quechua",4,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1429",18,"Cha'palaa",5,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1430",27,"Mexican",8,"2-Isobutyl-3-methoxypyrazine","Urban"
"1431",11,"Mah Meri",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1432",24,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1433",9,"Thai",7,"2-Isobutyl-3-methoxypyrazine","Urban"
"1434",17,"Seri",7,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1435",20,"Seri",10,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1436",2,"Semelai",9,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1437",10,"Cha'palaa",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1438",10,"Mexican",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1439",3,"Semelai",7,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1440",18,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1441",6,"Cha'palaa",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1442",13,"Thai",2,"2-Isobutyl-3-methoxypyrazine","Urban"
"1443",21,"Cha'palaa",9,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1444",6,"Mexican",5,"2-Isobutyl-3-methoxypyrazine","Urban"
"1445",11,"Maniq",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1446",18,"Mah Meri",1,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1447",9,"Maniq",1,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1448",14,"Mah Meri",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1449",14,"Maniq",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1450",2,"Maniq",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1451",11,"Imbabura Quechua",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1452",3,"Thai",10,"2-Isobutyl-3-methoxypyrazine","Urban"
"1453",18,"Semelai",8,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1454",10,"Seri",5,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1455",4,"Cha'palaa",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1456",1,"Imbabura Quechua",6,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1457",5,"Seri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1458",1,"Semaq Beri",3,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1459",10,"Thai",8,"2-Isobutyl-3-methoxypyrazine","Urban"
"1460",18,"Seri",8,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1461",19,"Semaq Beri",4,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1462",8,"Thai",4,"2-Isobutyl-3-methoxypyrazine","Urban"
"1463",4,"Seri",7,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1464",12,"Semaq Beri",9,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1465",20,"Semaq Beri",3,"2-Isobutyl-3-methoxypyrazine","Hunter-gatherer"
"1466",13,"Imbabura Quechua",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
"1467",6,"Semelai",10,"2-Isobutyl-3-methoxypyrazine","Farmer"
